dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,plain_cg,EFGP-CG,1681,41,,,,,,1155,3.053400842999963,5.344874257000356,0.0002201142312745,0.0199988932291114,1.0,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,eigenpro_pcg_q90,EigenPro-PCG,1681,41,,90.0,,,,156,0.2398668149999139,4.801270621000185,0.0002999181140944,0.0200002416678541,1.113220786518992,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,eigenpro_pcg_q180,EigenPro-PCG,1681,41,,180.0,,,,20,0.0295274929999322,0.629093894000107,0.0003004738646897,0.02000025132004,8.496147090245717,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_64,Active inverse,1681,41,64.0,,64.0,81.0,,939,2.6718187129999933,2.699607806000131,0.000297371244266,0.0200002014714473,1.9798706482922714,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_128,Active inverse,1681,41,128.0,,128.0,169.0,,391,0.6525282249999691,0.6810877529997015,0.0002974626792922,0.0200002008445339,7.847555962443945,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_256,Active inverse,1681,41,256.0,,256.0,361.0,,143,0.2514179250001689,0.2790229740003269,0.0002975597505716,0.020000200494037,19.155678044611818,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_512,Active inverse,1681,41,512.0,,512.0,625.0,,24,0.0762534320001577,0.1040301540001564,0.0002975574998935,0.0200002007574947,51.378125009719014,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_1024,Active inverse,1681,41,1024.0,,1024.0,1369.0,,5,0.098847341000237,0.126637490000121,0.0002975909786973,0.0200002013139761,42.20609755448603,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_64_q16,Box-EigenPro,1681,41,64.0,16.0,64.0,81.0,16.0,1727,4.254767795000134,4.282392625000284,0.000297151090513,0.0200001966511568,1.2481046753624094,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_64_q32,Box-EigenPro,1681,41,64.0,32.0,64.0,81.0,32.0,937,1.6250072899997576,1.652839714000038,0.0002977306299915,0.0200001967931807,3.233752318345028,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_128_q16,Box-EigenPro,1681,41,128.0,16.0,128.0,169.0,16.0,1584,2.7040620739999213,2.7318160720001288,0.0002987024179882,0.0200002141604404,1.9565278613677122,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_128_q32,Box-EigenPro,1681,41,128.0,32.0,128.0,169.0,32.0,1072,1.8541748030002052,1.8819135029998504,0.0002984549421151,0.0200002145599114,2.8401274811410824,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_128_q64,Box-EigenPro,1681,41,128.0,64.0,128.0,169.0,64.0,516,0.9976408039997297,1.0253638519998276,0.0002984477414057,0.0200002144372214,5.21266109252431,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_256_q32,Box-EigenPro,1681,41,256.0,32.0,256.0,361.0,32.0,1038,2.060136328000226,2.088015625000025,0.0002968534541671,0.0200001872974702,2.559786523149362,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_256_q64,Box-EigenPro,1681,41,256.0,64.0,256.0,361.0,64.0,529,1.023227283000324,1.05111302000023,0.0002967672605358,0.0200001876404623,5.084966274130242,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_256_q128,Box-EigenPro,1681,41,256.0,128.0,256.0,361.0,128.0,165,1.4403075899999749,1.467988478999814,0.000297071322806,0.0200001982627413,3.6409510929145603,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_512_q64,Box-EigenPro,1681,41,512.0,64.0,512.0,625.0,64.0,421,0.951007132000086,0.9785323749997588,0.000297808616183,0.0200001981325656,5.462133286087416,ok,btab_group_b_se_20260628_180907
