N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
1000000,SE,0.1,Active inverse,btab_auto_topk_64,64.0,81.0,,652,1.053657698999814,1.0724386229999254,0.0200043901296612,1.0000340863272932,0.8226010627371905
1000000,SE,0.1,Active inverse,btab_auto_topk_128,128.0,169.0,,302,0.4967425520003417,0.5150979200002439,0.0200043891392856,1.0000340368176932,1.7126630039580244
1000000,SE,0.1,Active inverse,btab_auto_topk_256,256.0,361.0,,105,0.1843474699999205,0.2029177389999858,0.0200043884273975,1.0000340012298865,4.347521095729386
1000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,17,0.0487698299998555,0.0676360519996706,0.0200043883149443,1.0000339956082689,13.043179264875548
1000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,5,0.0839737850001256,0.1022637750002104,0.0200043888515048,1.0000340224313204,8.626604591883419
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q16,64.0,81.0,16.0,1186,1.9964963689999424,2.0149325439997483,0.0200043886965207,1.000034014683552,0.437825650107847
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q32,64.0,81.0,32.0,703,1.2068008969999937,1.2253378730001714,0.0200044035457089,1.0000347570053252,0.7199558345814914
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q16,128.0,169.0,16.0,1196,2.008380367999962,2.0270962390000022,0.0200043947296658,1.0000343162848861,0.43519845482785036
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q32,128.0,169.0,32.0,800,1.4148201660000268,1.4340742470003534,0.0200043940638656,1.0000342830010471,0.6151628152066875
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q64,128.0,169.0,64.0,432,0.8507150949999414,0.8696664700000838,0.0200043972039485,1.000034439976087,1.0143994064759825
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q32,256.0,361.0,32.0,708,1.262569350999911,1.28137260099993,0.0200043841980285,1.0000337898006384,0.6884719950401031
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,379,0.7757757059998767,0.7941211339998517,0.0200043849174484,1.000033825764965,1.1108999788945455
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,120,0.455544264999844,0.4743407739997565,0.0200043903162479,1.0000340956548988,1.8598214603423502
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q64,512.0,625.0,64.0,286,0.6105877340000916,0.6288627810004073,0.0200043925510334,1.0000342073734596,1.4028325059987554
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,85,0.391441653000129,0.4101182449999214,0.0200043897225935,1.0000340659776814,2.1510604850079686
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,16,0.4939330360002714,0.5125889490000191,0.0200043876870012,1.0000339642169342,1.7210459818167383
3000000,SE,0.1,Active inverse,btab_auto_topk_64,64.0,81.0,,939,2.6718187129999933,2.699607806000131,0.0200002014714473,1.0000654157368067,1.9798706482922714
3000000,SE,0.1,Active inverse,btab_auto_topk_128,128.0,169.0,,391,0.6525282249999691,0.6810877529997015,0.0200002008445339,1.0000653843894018,7.847555962443945
3000000,SE,0.1,Active inverse,btab_auto_topk_256,256.0,361.0,,143,0.2514179250001689,0.2790229740003269,0.020000200494037,1.000065366863587,19.155678044611818
3000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,24,0.0762534320001577,0.1040301540001564,0.0200002007574947,1.0000653800372012,51.378125009719014
3000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,5,0.098847341000237,0.126637490000121,0.0200002013139761,1.0000654078628108,42.20609755448603
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q16,64.0,81.0,16.0,1727,4.254767795000134,4.282392625000284,0.0200001966511568,1.0000651747089435,1.2481046753624094
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q32,64.0,81.0,32.0,937,1.6250072899997576,1.652839714000038,0.0200001967931807,1.0000651818105315,3.233752318345028
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q16,128.0,169.0,16.0,1584,2.7040620739999213,2.7318160720001288,0.0200002141604404,1.000066050221573,1.9565278613677122
3000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q32,128.0,169.0,32.0,1072,1.8541748030002052,1.8819135029998504,0.0200002145599114,1.0000660701962285,2.8401274811410824
