dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_128_q16,c1,topk_128,16.0,128.0,169.0,169.0,1512.0,7630.414161542541,309998.7401310643,22662.472913901503,226624.72913901505,226624.72913901505,8.634793378886294e-16,5.968453588155811e-16,43520.0,66.0,66.0,66.0,cupy,2315,2315.0,0.047581245000174,0.0492628739998508,3.676489030000084,3.6946259230001033,0.0068748579999464,3.7015007810000498,0.1488953909837593,0.1495240527596094
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_128_q32,c1,topk_128,32.0,128.0,169.0,169.0,1512.0,7630.414161542541,309998.7401310643,8929.086001466085,89290.86001466084,89290.86001466084,1.8599653311092388e-15,9.497853708669613e-16,87040.0,98.0,98.0,98.0,cupy,1572,1572.0,0.0706436730001769,0.072367923999991,2.534922707000078,2.552638661999936,0.013048364000042,2.5656870259999778,0.14889545203504,0.149524110379375
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_128_q64,c1,topk_128,64.0,128.0,169.0,169.0,1512.0,7630.414161542541,309998.7401310643,1163.960359276425,11639.603592764248,11639.603592764248,1.0957827551822623e-14,1.373580340477485e-15,174080.0,162.0,162.0,162.0,cupy,700,700.0,0.1187457630001063,0.1204831009999907,1.241287070999988,1.259253809000029,0.025113465000004,1.284367274000033,0.1488953251394587,0.1495239829479645
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_256_q32,c1,topk_256,32.0,256.0,361.0,361.0,1320.0,233.2848063774234,8206.258994536403,8961.359278743827,89613.59278743826,89613.59278743826,2.013603477531196e-15,9.42436573419493e-16,185344.0,98.0,98.0,98.0,cupy,1431,1431.0,0.0725640170001042,0.0743529399999261,2.368720553000003,2.38645778099999,0.0129756849999012,2.3994334659998917,0.1488954377855763,0.1495241002549605
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_256_q64,c1,topk_256,64.0,256.0,361.0,361.0,1320.0,233.2848063774234,8206.258994536403,1511.2678206685594,15112.678206685592,15112.678206685592,5.7338738091684226e-15,1.0442795163588565e-15,370688.0,162.0,162.0,162.0,cupy,677,677.0,0.1225080990000151,0.1242879690000791,1.2116508899998737,1.2296626459999516,0.0250408750000588,1.2547035210000104,0.1488953241743867,0.149523992287441
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_256_q128,c1,topk_256,128.0,256.0,361.0,361.0,1320.0,233.2848063774234,8206.258994536403,54.65016212596085,546.5016212596086,546.5016212596086,1.817278959478109e-13,3.8237096576133416e-15,741376.0,290.0,290.0,290.0,cupy,203,203.0,0.2271543419999488,0.2289710800000648,0.5689740249999886,0.5869150679998256,0.0491357319999679,0.6360507999997935,0.1488954011208735,0.1495240588815201
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_512_q64,c1,topk_512,64.0,512.0,625.0,625.0,1056.0,2.0827556961143703,66.7679132960937,1511.4979190218637,15114.979190218632,15114.979190218632,1.0928252233773178e-14,1.0382054678446746e-15,641024.0,162.0,162.0,162.0,cupy,580,580.0,0.121104626000033,0.1229308679999121,1.059401790000038,1.0776528050000709,0.0264409589999559,1.1040937640000266,0.1488953962555089,0.1495240645688058
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_512_q128,c1,topk_512,128.0,512.0,625.0,625.0,1056.0,2.0827556961143703,66.7679132960937,64.66229676327364,646.6229676327364,646.6229676327364,9.049772252132037e-14,3.496632397082636e-15,1282048.0,290.0,290.0,290.0,cupy,163,163.0,0.2260238329999992,0.2278538339999158,0.5059713569999076,0.5237676599999759,0.0494087890001537,0.5731764490001297,0.1488953547230203,0.1495240109006865
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_512_q256,c1,topk_512,256.0,512.0,625.0,625.0,1056.0,2.0827556961143703,66.7679132960937,0.2434399271923678,2.4343992719236778,2.4343992719236778,9.140388092265076e-12,4.2892783346788074e-14,2564096.0,546.0,546.0,546.0,cupy,21,21.0,0.4486892239999633,0.450547207999989,0.4919612680000682,0.5097028150000824,0.1080188650000764,0.6177216800001588,0.1488953810580303,0.1495240393800538
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-07,btab_boxeig_topk_64_q16,c1,topk_64,16.0,64.0,81.0,81.0,1600.0,39384.92902371874,1794798.0241272133,22070.512447933288,220705.12447933288,220705.12447933288,8.398612371220855e-16,5.808245167644595e-16,20992.0,66.0,66.0,66.0,cupy,2381,2381.0,0.0477457810000032,0.0494501780001428,3.807407824000165,3.825484454000161,0.0069277299999157,3.832412184000077,0.1488953727230641,0.1495240279411959
