M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,2479,2480,9.600494294965941e-08,,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,,,,,,,,2,1681,,,,,,,,,0,0,,,1e-07,,,True,,,,,,,,,,,False,2479.0,SE,0.1,1.5,1.0,,,20000,plain_cg,41,2480,,750000,3000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.14319432386125905,0.14323820954916888,0,,,ok,,0.0010869308838716697,2.695588592001741,,,,,,,,,,,,,,,,,,,,,,,,2.3192857479998565,,0.030019917999879908,4.4047002880001855,,6.723987932,,1e-07,,v1
1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,346,347,9.842659416639787e-08,,,nan,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,,,,,,,,2,1681,98,3,nan,,372.0421026446515,0.0007387287334139017,,,5,482,0.0010199422242730485,0.4916121520996094,1e-07,,,True,[],,,,,,,,,,False,346.0,SE,0.1,1.5,1.0,nan,,20000,eigenpro_pcg_q90,41,347,346,750000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.14314944262175514,0.1431926569860236,0,,,ok,,0.000619695939494652,0.21503449100464422,0.0002018631271686763,0.069844642000362,,,[],,,,,,,,,,,,,,,,,1.9922945429998435,,1.902703941000027,0.44657288100006554,0.029391031000159273,0.49490248999995856,,4.836473854999895,,1e-07,90,v3
1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,50,51,8.254877227986654e-08,,,nan,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,,,,,,,,2,1681,188,3,nan,,5.837289336820095,1.159015497365971e-05,,,5,932,0.0005576097218263815,0.5196922607421876,1e-07,,,True,[],,,,,,,,,,False,50.0,SE,0.1,1.5,1.0,nan,,20000,eigenpro_pcg_q180,41,51,50,750000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.14314942710552944,0.14319266609376294,0,,,ok,,0.0006124686862953168,0.03123590300106116,0.00016288987999814707,0.008144493999907354,,,[],,,,,,,,,,,,,,,,,0.5650727810000262,,0.027870760000041628,0.00030019199994058,0.029652071000100477,0.06985421400008818,,0.6630979470000966,,1e-07,180,v3
1681,expanded_box,topk,64,,64,0,"[4, 4]","[9, 9]",81,topk,64,,64,80000,81,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,1991,1992,9.67232206626769e-08,104976,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1681,,,,,,,,,,,,,1e-07,chol_solve,2999999.999994243,True,,nan,0,50,diag,0.001,0,0,0,0,False,1991.0,SE,0.1,1.5,1.0,,0,20000,btab_auto_topk_64,41,1992,1991,750000,3000000,cufinufft,binned_c1,50,1991,9.67232206626769e-08,pcg,converged,1991,,True,0.1,0,118154.7870711536,0.1431494949092775,0.1431927142816106,0,0.1,exact,ok,,0.0006051456054241458,1.2054500460048985,0.00038361328478194254,0.7637740500008476,5384394.072381521,1600,,,0.006029169999919759,4.2325959315950034e-05,0.08427098499805652,3.6764011052342366e-05,0.07319714600521365,0.00021284048919977986,0.4237654139967617,0.6032739849999871,0.37829650100002254,-0.6032739849999871,0.0,0.11894464000010885,5.243645404321282e-05,0.10440098000003672,,,9.898200005409308e-05,0.027432596999915404,1.0833822980000605,0.029841222999948513,4.214996584000119,0.10603284399985569,4.242429181000034,4.242528163000088,1e-07,,v6_btab
1681,expanded_box,topk,128,,128,0,"[6, 6]","[13, 13]",169,topk,128,,128,80000,169,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,985,986,9.866961175117517e-08,456976,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1681,,,,,,,,,,,,,1e-07,chol_solve,2999999.999994243,True,,nan,0,50,diag,0.001,0,0,0,0,False,985.0,SE,0.1,1.5,1.0,,0,20000,btab_auto_topk_128,41,986,985,750000,3000000,cufinufft,binned_c1,50,985,9.866961175117517e-08,pcg,converged,985,,True,0.1,0,22891.242484627117,0.14314943613599834,0.14319265576954823,0,0.1,exact,ok,,0.0006101020628839657,0.6015606340035902,0.0003954819634468849,0.38954973399518167,929996.2203931722,1512,,,0.00045847700016565796,4.2967002028596424e-05,0.04232249699816748,3.7278012188078276e-05,0.0367188420052571,0.00022324170964464724,0.21989308399997753,0.002432173999977749,0.0013052639999386884,-0.002432173999977749,0.0,0.0009065459998964798,5.2563579694445805e-05,0.051775125999029115,,,9.826300015447487e-05,0.027043694999974832,0.003720907000115403,0.029526872000133153,1.5775435479999942,0.00022036400014258106,1.604587242999969,1.6046855060001235,1e-07,,v6_btab
1681,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,80000,361,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,233,234,9.549594299920578e-08,2085136,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1681,,,,,,,,,,,,,1e-07,chol_solve,2999999.999994243,True,,nan,0,50,diag,0.001,0,0,0,0,False,233.0,SE,0.1,1.5,1.0,,0,20000,btab_auto_topk_256,41,234,233,750000,3000000,cufinufft,binned_c1,50,233,9.549594299920578e-08,pcg,converged,233,,True,0.1,0,699.8544191322549,0.1431494344962954,0.14319265519929883,0,0.1,exact,ok,,0.0006085484059873575,0.14240032700104166,0.0004427321330386753,0.10315658699801133,24618.77698360866,1320,,,0.0007109390001005522,4.327499140766594e-05,0.010083072997986164,3.6958695275452284e-05,0.008611375999180382,0.0002706273261832425,0.0630561670006955,0.005474198999991131,0.00327547400002004,-0.005474198999991131,0.0,0.001985597999919264,5.2465566506116804e-05,0.012224476995925215,,,9.823100003814034e-05,0.027289965999898413,0.006990488999917943,0.02967132000003403,0.3904832289999831,0.00021312700005182705,0.4177731949998815,0.41787142599991967,1e-07,,v6_btab
1681,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,34,35,7.924626237092698e-08,6250000,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1681,,,,,,,,,,,,,1e-07,chol_solve,2999999.999994243,True,,nan,0,50,diag,0.001,0,0,0,0,False,34.0,SE,0.1,1.5,1.0,,0,20000,btab_auto_topk_512,41,35,34,750000,3000000,cufinufft,binned_c1,50,34,7.924626237092698e-08,pcg,converged,34,,True,0.1,0,6.248267088342973,0.14314943562567228,0.14319265463906686,0,0.1,exact,ok,,0.0006432027142636798,0.022512094999228793,0.0005577764411755732,0.01896439899996949,200.30373988827662,1056,,,0.0004928519999793934,4.455614703815894e-05,0.001514908999297404,3.92885882547489e-05,0.0013358120006614627,0.0003786512646951558,0.012874142999635296,0.028192780999916067,0.010668841000097018,-0.028192780999916067,0.0,0.017300867999892944,5.417047058846733e-05,0.0018417960000078892,,,8.417799995186215e-05,0.02758099800007585,0.02962811099996543,0.029533924000133993,0.09240884699988783,0.0002230719999261055,0.11998984499996368,0.12007402299991554,1e-07,,v6_btab
1681,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,80000,1369,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,14,15,6.157382475119659e-08,29986576,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1681,,,,,,,,,,,,,1e-07,chol_solve,2999999.999994243,True,,nan,0,50,diag,0.001,0,0,0,0,False,14.0,SE,0.1,1.5,1.0,,0,20000,btab_auto_topk_1024,41,15,14,750000,3000000,cufinufft,binned_c1,50,14,6.157382475119659e-08,pcg,converged,14,,True,0.1,0,1.240234868885826e-05,0.14314943640697086,0.14319265548396073,0,0.1,exact,ok,,0.0006500209333050104,0.009750313999575155,0.0012480581428430274,0.017472813999802383,0.0003596023193361666,312,,,0.0005784780000794854,4.185292854279916e-05,0.0005859409995991882,5.3832642850336144e-05,0.000753656999904706,0.0010548249285063452,0.014767548999088831,0.0736542570000438,0.04676079099999697,-0.0736542570000438,0.0,0.02475739299984525,5.40198571538245e-05,0.000756278000153543,,,7.72339999457472e-05,0.027571412000042983,0.07511614300005931,0.029621437000059814,0.11174521099997037,0.002136073000201577,0.13931662300001335,0.1393938569999591,1e-07,,v6_btab
1681,expanded_box,topk,64,,64,0,"[4, 4]","[9, 9]",81,topk,64,,64,80000,81,cheap,30,0.01,,cupy,9.025626205802405e-16,5.760703568498017e-16,80,66,66,,66,16,81,1600,20992,66186.33613190224,661863.3613190224,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,3710,3711,9.460310739728837e-08,0,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,16,0,16,16,0,0,2,1681,,,,,,,9.025626205802405e-16,5.760703568498017e-16,,,,,1e-07,boxeig,2999999.999994243,True,,nan,0,0,,nan,0,0,0,0,False,3710.0,SE,0.1,1.5,1.0,,4624,20000,btab_boxeig_topk_64_q16,41,3711,3710,750000,3000000,cufinufft,binned_c1,50,3710,9.460310739728837e-08,pcg,converged,3710,,True,0.1,0,118154.7870711536,0.1431494720011529,0.14319270667215656,0,0.1,boxeig,ok,,0.0006051146531931387,2.245580477999738,0.00038660165309828626,1.434292132994642,5384394.072381521,1600,,661863.3613190224,0.000423276999981681,4.273452857059009e-05,0.15854510099688923,3.4921772777918994e-05,0.12955977700607946,0.00021743946981397225,0.8067004330098371,1.2088449289999517,0.0,0.0,0.08025930100006917,0.0,5.354871428623956e-05,0.19866573000194876,1.1285856279998825,,0.7174841230000766,0.02740564199984874,1.4238045960000818,0.029537987999901816,7.294611163000127,0.0,7.322016804999976,8.039500928000052,1e-07,,v7_btab_boxeig
1681,expanded_box,topk,64,,64,0,"[4, 4]","[9, 9]",81,topk,64,,64,80000,81,cheap,30,0.01,,cupy,2.566640495748848e-15,8.393002700463345e-16,160,80,80,,80,32,81,1600,41984,16601.08019040475,166010.8019040475,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,2148,2149,9.703238453760717e-08,0,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,32,0,32,32,0,0,2,1681,,,,,,,2.566640495748848e-15,8.393002700463345e-16,,,,,1e-07,boxeig,2999999.999994243,True,,nan,0,0,,nan,0,0,0,0,False,2148.0,SE,0.1,1.5,1.0,,4624,20000,btab_boxeig_topk_64_q32,41,2149,2148,750000,3000000,cufinufft,binned_c1,50,2148,9.703238453760717e-08,pcg,converged,2148,,True,0.1,0,118154.7870711536,0.14314949312129105,0.14319269626151726,0,0.1,boxeig,ok,,0.0006050752284797826,1.3003066660030527,0.0003868420698328954,0.8309367660010594,5384394.072381521,1600,,166010.8019040475,0.00046114099995975266,4.258936173349023e-05,0.09148194900353701,3.4765209965412966e-05,0.07467567100570704,0.00021809447206980022,0.4684669260059309,0.060219958000061524,0.0,0.0,0.000989960999959294,0.0,5.3423774205322024e-05,0.1147542669930317,0.05922999700010223,,0.013033671999892249,0.02742842600014228,0.06103553000002648,0.029635446000156662,3.4633938769998167,0.0,3.490822302999959,3.5038559749998512,1e-07,,v7_btab_boxeig
