M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_residual_max,eig_residual_median,eps,exact_apply_mode,gamma,has_nufft,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,version
1225,expanded_box,topk,64,,64,0,"[4, 4]","[9, 9]",81,topk,64,,64,80000,81,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,1766,1767,9.608540566256664e-08,104976,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,2999999.999993953,True,nan,0,50,diag,0.001,0,0,0,0,False,1766.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_64,35,1767,1766,750000,3000000,cufinufft,binned_c1,50,1766,9.608540566256664e-08,pcg,converged,1766,True,0.1,0,110693.86020725065,0.14313808722918753,0.1431810857859884,0,0.1,exact,ok,0.0006360635059421075,1.123924214999704,0.0004078929779166972,0.7203389990008873,4654180.79270439,1144,,0.004722354000023188,4.4738927519940556e-05,0.07900894600021502,3.8379390713471254e-05,0.06777800399999023,0.00022857178765493423,0.4036577769986138,0.6192838430000052,0.39105777800000396,-0.6192838430000052,0.0,0.12148260399999344,5.499692695406748e-05,0.09712457300088317,,0.00013379699998949945,0.02771342499994489,1.1114431849999846,0.029793944999994437,4.0272591810000335,0.10674346100000776,4.054972605999978,4.055106402999968,1e-07,v6_btab
1225,expanded_box,topk,128,,128,0,"[6, 6]","[13, 13]",169,topk,128,,128,80000,169,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,853,854,8.624186895097585e-08,456976,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,2999999.999993953,True,nan,0,50,diag,0.001,0,0,0,0,False,853.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_128,35,854,853,750000,3000000,cufinufft,binned_c1,50,853,8.624186895097585e-08,pcg,converged,853,True,0.1,0,18595.576021115034,0.1431380179981433,0.1431810106502253,0,0.1,exact,ok,0.0006321818501160139,0.5398832999990759,0.00040783074325845346,0.3478796239994608,696608.5659074183,1056,,0.00047832400002789655,4.4771147713751396e-05,0.03818978899982994,3.880246072778491e-05,0.03309849900080053,0.00022846944079821764,0.19488443300087965,0.002527638999993087,0.0013718829999902482,-0.002527638999993087,0.0,0.0009146840000084921,5.4453641265860164e-05,0.04644895599977872,,0.000147003999984463,0.028147891000003256,0.0039486950000195975,0.02961385900005098,1.4065299029999778,0.0002410719999943467,1.434677793999981,1.4348247979999655,1e-07,v6_btab
1225,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,80000,361,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,176,177,9.572577986356155e-08,2085136,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,2999999.999993954,True,nan,0,50,diag,0.001,0,0,0,0,False,176.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_256,35,177,176,750000,3000000,cufinufft,binned_c1,50,176,9.572577986356155e-08,pcg,converged,176,True,0.1,0,419.89683820751753,0.1431380041338046,0.14318099806615328,0,0.1,exact,ok,0.000621416062148838,0.10999064300034433,0.0004528746363657955,0.07970593600038,13699.959337897362,864,,0.0007311519999575466,4.449714204665415e-05,0.00783149700021113,3.884985227290113e-05,0.0068375740000305996,0.00027460789204622216,0.048330989000135105,0.0055310359999793945,0.0033144440000114628,-0.0055310359999793945,0.0,0.001991359999976794,5.426939772138181e-05,0.009551413998963199,,0.00010851999996930317,0.027818389000003663,0.007094739000024219,0.029559068000025945,0.3016922499999737,0.00022523199999113785,0.32951063899997735,0.32961915899994665,1e-07,v6_btab
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,25,26,6.51822923774213e-08,6250000,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,2999999.9999939525,True,nan,0,50,diag,0.001,0,0,0,0,False,25.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_512,35,26,25,750000,3000000,cufinufft,binned_c1,50,25,6.51822923774213e-08,pcg,converged,25,True,0.1,0,2.4879414196804936,0.14313800118210615,0.14318099434866893,0,0.1,exact,ok,0.0006485057307700642,0.01686114900002167,0.0005621826400079044,0.01405456600019761,74.51296047674009,600,,0.0004831719999742745,4.398756000000503e-05,0.0010996890000001258,3.89728400000422e-05,0.0009743210000010549,0.0003818116000024929,0.009545290000062323,0.03433009799999809,0.010887125000010656,-0.03433009799999809,0.0,0.023207823999996435,5.6440799999109006e-05,0.001411019999977725,,9.36490000071899e-05,0.02764650699998583,0.035805391999986114,0.029808997999964504,0.0826409840000224,0.00023514899999099725,0.11028749100000823,0.11038114000001542,1e-07,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,auto,14,15,6.227716083423355e-08,24010000,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,2999999.9999939525,True,nan,0,50,diag,0.001,0,0,0,0,False,14.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_1024,35,15,14,750000,3000000,cufinufft,binned_c1,50,14,6.227716083423355e-08,pcg,converged,14,True,0.1,0,0.0,0.14313800131457327,0.14318099490533337,0,0.1,exact,ok,0.0006601739333405021,0.009902609000107532,0.0010240611428693164,0.014336856000170428,0.0,0,,0.0006390180000153123,1.6522714283999968e-05,0.00023131799997599956,3.645478572268855e-05,0.0005103670001176397,0.0008753619285641889,0.012255066999898645,0.06581339999996771,0.03821444199996904,-0.06581339999996771,0.0,0.025996308999992834,5.500985713524642e-05,0.0007701379998934499,,3.574599998046324e-05,0.029153990999986945,0.06732701900000393,0.029748514999994313,0.10079001100001506,0.0016026490000058402,0.129944002000002,0.12997974799998246,1e-07,v6_btab
1225,expanded_box,topk,64,,64,0,"[4, 4]","[9, 9]",81,topk,64,,64,80000,81,cheap,30,0.01,,cupy,8.168347433200837e-16,6.298581702132148e-16,80,66,66,,66,16,81,1144,20992,67423.66238451915,674236.6238451914,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,3300,3301,9.870743860662759e-08,0,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,16,0,16,16,0,0,2,1225,8.168347433200837e-16,6.298581702132148e-16,1e-05,boxeig,2999999.999993953,True,nan,0,0,,nan,0,0,0,0,False,3300.0,SE,0.1,1.5,1.0,4624,20000,btab_boxeig_topk_64_q16,35,3301,3300,750000,3000000,cufinufft,binned_c1,50,3300,9.870743860662759e-08,pcg,converged,3300,True,0.1,0,110693.86020725065,0.14313803496461128,0.1431810080767903,0,0.1,boxeig,ok,0.0006333084740992624,2.0905512730016653,0.0004046696869700685,1.335409967001226,4654180.79270439,1144,674236.6238451914,0.0004283049999571631,4.446214787928208e-05,0.14672508800163087,3.5921318181935515e-05,0.1185403500003872,0.00022920208818225712,0.7563668910014485,1.2614593019999916,0.0,0.0,0.08715187000001379,0.0,5.598993545456296e-05,0.18476678700005778,1.1743074319999778,0.7426721479999969,0.02810436499999014,1.488569463000033,0.029713872000002084,6.910656320999976,0.0,6.938760685999966,7.681432833999963,1e-07,v7_btab_boxeig
1225,expanded_box,topk,64,,64,0,"[4, 4]","[9, 9]",81,topk,64,,64,80000,81,cheap,30,0.01,,cupy,2.3080186069497642e-15,8.480193833275872e-16,160,80,80,,80,32,81,1144,41984,19666.67932560532,196666.7932560532,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,2043,2044,9.925099424021243e-08,0,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,32,0,32,32,0,0,2,1225,2.3080186069497642e-15,8.480193833275872e-16,1e-05,boxeig,2999999.999993954,True,nan,0,0,,nan,0,0,0,0,False,2043.0,SE,0.1,1.5,1.0,4624,20000,btab_boxeig_topk_64_q32,35,2044,2043,750000,3000000,cufinufft,binned_c1,50,2043,9.925099424021243e-08,pcg,converged,2043,True,0.1,0,110693.86020725069,0.14313793121893903,0.14318092715477013,0,0.1,boxeig,ok,0.0006382386878678553,1.3045598780018963,0.0004094860577594643,0.8365800160025856,4654180.792704392,1144,196666.7932560532,0.00043443499998829793,4.4858446891529644e-05,0.09164580699939506,3.642800097942381e-05,0.07442240600096284,0.00023268114928966694,0.47536758799878953,0.06179283200003738,0.0,0.0,0.000986834000059389,0.0,5.630278707717273e-05,0.11502659399866388,0.06080599799997799,0.013790976999985105,0.028083979000030013,0.06262209900000926,0.029737280000063038,3.45263084599992,0.0,3.48071482499995,3.494505801999935,1e-07,v7_btab_boxeig
1225,expanded_box,topk,128,,128,0,"[6, 6]","[13, 13]",169,topk,128,,128,80000,169,cheap,30,0.01,,cupy,9.662454473745836e-16,6.189993687120391e-16,80,66,66,,66,16,169,1056,43520,67954.67488071081,679546.748807108,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,3186,3187,9.83553176812678e-08,0,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,16,0,16,16,0,0,2,1225,9.662454473745836e-16,6.189993687120391e-16,1e-05,boxeig,2999999.999993953,True,nan,0,0,,nan,0,0,0,0,False,3186.0,SE,0.1,1.5,1.0,10000,20000,btab_boxeig_topk_128_q16,35,3187,3186,750000,3000000,cufinufft,binned_c1,50,3186,9.83553176812678e-08,pcg,converged,3186,True,0.1,0,18595.576021115034,0.14313793765250354,0.1431809193653297,0,0.1,boxeig,ok,0.0006322051427685635,2.014837790003412,0.0004047362219079899,1.2894896029988558,696608.5659074183,1056,679546.748807108,0.000449505999995381,4.4623334274667126e-05,0.14216994299908947,3.582597677184483e-05,0.11414156199509762,0.00022989646641576584,0.73245014200063,0.10154789700004585,0.0,0.0,0.0493154460000369,0.0,5.508635279137406e-05,0.17550511999331775,0.05223245100000895,0.007450661999996555,0.02810559200008811,0.10237479799991434,0.029753531999972438,5.331517061,0.0,5.359622653000088,5.367073315000084,1e-07,v7_btab_boxeig
1225,expanded_box,topk,128,,128,0,"[6, 6]","[13, 13]",169,topk,128,,128,80000,169,cheap,30,0.01,,cupy,1.7560699992520066e-15,8.443592359165165e-16,160,98,98,,98,32,169,1056,87040,26760.441971769353,267604.4197176935,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,2175,2176,9.594921041462599e-08,0,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,32,0,32,32,0,0,2,1225,1.7560699992520066e-15,8.443592359165165e-16,1e-05,boxeig,2999999.999993954,True,nan,0,0,,nan,0,0,0,0,False,2175.0,SE,0.1,1.5,1.0,10000,20000,btab_boxeig_topk_128_q32,35,2176,2175,750000,3000000,cufinufft,binned_c1,50,2175,9.594921041462599e-08,pcg,converged,2175,True,0.1,0,18595.57602111504,0.1431377215424646,0.14318069270902917,0,0.1,boxeig,ok,0.0006346200413602787,1.3809332099999665,0.0004037272275846935,0.8781067199967083,696608.5659074185,1056,267604.4197176935,0.0004894530000001396,4.4318921378080316e-05,0.09639365399732469,3.585741701191109e-05,0.07798988200090662,0.0002297972363215916,0.4998089889994617,0.07676428800004942,0.0,0.0,0.0010101029999987077,0.0,5.508419954011693e-05,0.11980813399975432,0.07575418500005071,0.013845166999999492,0.02813520500001232,0.07763362499997584,0.029787157999976444,3.6545963940000092,0.0,3.6827315990000216,3.696576766000021,1e-07,v7_btab_boxeig
1225,expanded_box,topk,128,,128,0,"[6, 6]","[13, 13]",169,topk,128,,128,80000,169,cheap,30,0.01,,cupy,1.4632208750222337e-14,1.1467780026998195e-15,320,162,162,,162,64,169,1056,174080,3943.658601851045,39436.58601851045,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,boxeig,1057,1058,9.95685616277064e-08,0,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,64,0,64,64,0,0,2,1225,1.4632208750222337e-14,1.1467780026998195e-15,1e-05,boxeig,2999999.999993954,True,nan,0,0,,nan,0,0,0,0,False,1057.0,SE,0.1,1.5,1.0,10000,20000,btab_boxeig_topk_128_q64,35,1058,1057,750000,3000000,cufinufft,binned_c1,50,1057,9.95685616277064e-08,pcg,converged,1057,True,0.1,0,18595.57602111504,0.14313792566210967,0.14318091985233636,0,0.1,boxeig,ok,0.000650028522684356,0.6877301770000486,0.0004170218609274683,0.440792107000334,696608.5659074185,1056,39436.58601851045,0.0004973520000248755,4.590740870422234e-05,0.04852413100036301,3.741960075744454e-05,0.039552518000618875,0.00023717678335142083,0.2506958600024518,0.13718716799985486,0.0,0.0,0.0009989499999392137,0.0,5.642553547829559e-05,0.05964179100055844,0.13618821799991565,0.02647169900001245,0.02813789199990424,0.1381149540000024,0.029797834000078183,1.9217371930000127,0.0,1.949875084999917,1.9763467839999294,1e-07,v7_btab_boxeig
