dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1665.0,1665,1666,1666,,0.032886942999994,,,1.751686311000071,0.0124891059999754,1.7845765260000237,0.1489404133319609,0.1495681054245836,9.561741533587953e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,230.0,230,231,231,230.0,0.0186342339999328,0.299466657000039,0.0002887399999735,0.3273937510000451,0.0124988549999898,0.6457833819999905,0.1488842559906685,0.1495132751614624,9.575992521633569e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,33.0,33,34,34,33.0,0.0184188840000842,0.5724260469999081,0.0003177309999955,0.0483702400000538,0.0130766419999872,0.6395329020000418,0.1488842567274758,0.1495132824774186,9.592753839618341e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,4114.0,4114,4115,4115,,0.2582665240000779,,,4.345535865999977,0.0923597629999903,4.603802938000058,0.137159613087188,0.1372443439746927,8.886797843172962e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,558.0,558,559,559,558.0,0.0591869300000098,0.2987448530000165,0.0003175980000378,0.7995322790000046,0.0924349829999755,1.1577816600000688,0.1370908850435948,0.1371765039040628,9.790034428826825e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,81.0,81,82,82,81.0,0.0595091380000667,0.5831190399999286,0.0003153350000957,0.1129078129999925,0.0927238519999491,0.7558513260000836,0.1370909315568898,0.1371765393947073,9.092428371656189e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,2563.0,2563,2564,2564,,2.4754349070000217,,,4.679615771000044,0.0300098319999619,7.155054273000019,0.143238330721648,0.1431944454050993,9.587432049204706e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,353.0,353,354,354,353.0,1.9538931270000148,2.047359646000018,0.462764098999969,0.5170081649999929,0.0295157160000485,4.981025036999995,0.1431809931392149,0.1431380017696511,8.168706469130099e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,51.0,51,52,52,51.0,0.0278606039999544,0.5889654740000196,0.0003016580000121,0.071170665000011,0.029724190999957,0.6882984009999973,0.1431810011143086,0.1431379954180434,9.160731005473925e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,plain_cg,cg_baseline,original/default,,6704.0,6704,6705,6705,,0.7643108949999942,,,7.038488958000016,0.2751303200000166,7.802800542999989,0.1327272887930708,0.1327246104074451,7.772102037161224e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,865.0,865,866,866,865.0,0.1489052179999817,0.2983737109999538,0.0002990310000541,1.2101858569999422,0.2749148510000623,1.6577638169999318,0.132659664284389,0.1326567826029167,9.977223311294476e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,125.0,125,126,126,125.0,0.1494293920000018,0.5738779119999435,0.0003125520000821,0.1752321569999821,0.2750263949999407,0.8988520130000097,0.1326597174306128,0.1326568052521076,8.250947277996925e-08,ok
