N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
1000000,SE,0.1,Active inverse,btab_auto_topk_64,64.0,81.0,,1101,1.7768237940000515,1.7953008050000108,0.1488843302361489,0.9996234527986235,0.9940264723493025
1000000,SE,0.1,Active inverse,btab_auto_topk_128,128.0,169.0,,531,0.8608911430000035,0.8792886520000138,0.148884264870468,0.9996230139272693,2.029568472128986
1000000,SE,0.1,Active inverse,btab_auto_topk_256,256.0,361.0,,110,0.1936339989999851,0.2116369099999246,0.1488842540611351,0.9996229413523874,8.432255630649019
1000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,18,0.0501278920000913,0.0684358970000857,0.1488842473262836,0.9996228961339586,26.076614820987718
1000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,14,0.0897663179999881,0.1114797029999863,0.1488842498340111,0.9996229129710779,16.00808468246675
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q16,64.0,81.0,16.0,2251,3.702507452999953,3.720913461000009,0.1488843165366453,0.9996233608188627,0.479607103122579
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q32,64.0,81.0,32.0,1375,2.3401918050000177,2.360298770999975,0.1488842157601537,0.9996226841959815,0.7560807758434589
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q16,128.0,169.0,16.0,1912,3.157252772999982,3.176055277000046,0.1488842157050352,0.9996226838259108,0.5618845927913609
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q32,128.0,169.0,32.0,1418,2.382281292000016,2.400769255,0.1488842790948693,0.9996231094312429,0.7433352965027135
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q64,128.0,169.0,64.0,704,1.274636462999979,1.29289716400001,0.1488842448070926,0.9996228792198721,1.3802927067136872
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q32,256.0,361.0,32.0,1454,2.4467413690000512,2.4650943300000563,0.1488841193393343,0.9996220368174947,0.7239384328144485
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,715,1.3145123580000018,1.3329760320000332,0.1488841513568027,0.999622251785801,1.3387911583994476
1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,206,1.4676303749999988,1.4865570719999823,0.1488842378669178,0.9996228326228832,1.2004762949323515
