dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,230,,0.0002887399999735,0.3273937510000451,0.6457833819999905,,,0.1495132751614624
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q180,c1,180.0,,,,,,,,,33,,0.0003177309999955,0.0483702400000538,0.6395329020000418,,,0.1495132824774186
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,1665,,,1.751686311000071,1.7845765260000237,,,0.1495681054245836
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1225.0,0.0,0.0,0.0,,,14,14.0,0.0594598559999894,0.0897663179999881,0.1114797029999863,2.7153000019097817e-05,0.1115068560000054,0.149513276756147
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q16,c1,,16.0,128.0,169.0,1056.0,6198.5253403715615,232202.8553024684,226594.50470891496,9.222603635702417e-16,1912,1912.0,0.0514061139999739,3.157252772999982,3.176055277000046,0.0071445010000843,3.18319977800013,0.1495132457196113
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q32,c1,,32.0,128.0,169.0,1056.0,6198.5253403715615,232202.8553024684,89148.8172494467,1.7656374357936486e-15,1418,1418.0,0.0762483590000329,2.382281292000016,2.400769255,0.0134203999999726,2.414189654999973,0.1495133019176642
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q64,c1,,64.0,128.0,169.0,1056.0,6198.5253403715615,232202.8553024684,13160.68656800344,1.2560916781458312e-14,704,704.0,0.1248867460000155,1.274636462999979,1.29289716400001,0.0255551239999931,1.3184522880000031,0.1495132761319317
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_128,inverse,btab_auto_topk_128,c1,,,128.0,169.0,1056.0,6198.5253403715615,232202.8553024684,,,531,531.0,0.0036094089999778,0.8608911430000035,0.8792886520000138,8.72410000738455e-05,0.8793758930000877,0.1495132855531168
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q32,c1,,32.0,256.0,361.0,864.0,139.9656127358365,4566.653112632366,89615.42923507147,1.3995119496285244e-15,1454,1454.0,0.0770702040000514,2.4467413690000512,2.4650943300000563,0.0132756600000902,2.4783699900001466,0.1495131498543967
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q64,c1,,64.0,256.0,361.0,864.0,139.9656127358365,4566.653112632366,15110.885762385726,8.822248124446929e-15,715,715.0,0.1266837100000657,1.3145123580000018,1.3329760320000332,0.0260659599999826,1.359041992000016,0.1495131761975268
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q128,c1,,128.0,256.0,361.0,864.0,139.9656127358365,4566.653112632366,619.488862225062,1.998337420724723e-13,206,206.0,1.1008228440000494,1.4676303749999988,1.4865570719999823,0.0510243840000157,1.537581455999998,0.1495132637058614
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_256,inverse,btab_auto_topk_256,c1,,,256.0,361.0,864.0,139.9656127358365,4566.653112632366,,,110,110.0,0.0068755969999756,0.1936339989999851,0.2116369099999246,0.000101597999901,0.2117385079998257,0.1495132800585261
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q64,c1,,64.0,512.0,625.0,600.0,0.8293138065601489,24.837653492246226,15113.848545707831,7.851293585733752e-15,541,541.0,0.1305561850000458,1.0363100880000502,1.0547047580000708,0.0262686730000041,1.080973431000075,0.1495132758745296
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,c1,,128.0,512.0,625.0,600.0,0.8293138065601489,24.837653492246226,646.2325325936572,9.590692585643952e-14,149,149.0,0.2367363350000459,0.5012167429999863,0.5199171839999508,0.0515858269999398,0.5715030109998906,0.1495132725820012
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q256,c1,,256.0,512.0,625.0,600.0,0.8293138065601489,24.837653492246226,2.6019078748412583,1.1871336445167294e-11,14,14.0,0.4661355079999794,0.4950235940000311,0.5134265170000845,0.1124450780000643,0.6258715950001488,0.1495132760102168
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,600.0,0.8293138065601489,24.837653492246226,,,18,18.0,0.0166826580000361,0.0501278920000913,0.0684358970000857,7.241900004828494e-05,0.068508316000134,0.1495132735042137
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_64,boxeig,btab_boxeig_topk_64_q16,c1,,16.0,64.0,81.0,1144.0,36897.95340241619,1551393.5975681008,224833.59438047808,7.859595758927263e-16,2251,2251.0,0.0560851550000052,3.702507452999953,3.720913461000009,0.0072519980000151,3.728165459000024,0.1495133338741089
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_64,boxeig,btab_boxeig_topk_64_q32,c1,,32.0,64.0,81.0,1144.0,36897.95340241619,1551393.5975681008,65475.40774004842,2.6595325153219657e-15,1375,1375.0,0.0699887819999958,2.3401918050000177,2.360298770999975,0.0135820049999892,2.3738807759999645,0.1495132298609339
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_64,inverse,btab_auto_topk_64,c1,,,64.0,81.0,1144.0,36897.95340241619,1551393.5975681008,,,1101,1101.0,0.0026999489999752,1.7768237940000515,1.7953008050000108,0.0001063199999862,1.795407124999997,0.1495133584561623
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,558,,0.0003175980000378,0.7995322790000046,1.1577816600000688,,,0.1371765039040628
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q180,c1,180.0,,,,,,,,,81,,0.0003153350000957,0.1129078129999925,0.7558513260000836,,,0.1371765393947073
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,4114,,,4.345535865999977,4.603802938000058,,,0.1372443439746927
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1225.0,0.0,0.0,0.0,,,14,14.0,0.0562743179999642,0.0866179429999647,0.1462448959999847,4.162499999438296e-05,0.146286520999979,0.1371764536732479
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q16,c1,,16.0,128.0,169.0,1056.0,61985.25340371784,2322028.553024768,2263946.2903897422,8.684215146440771e-16,4920,4920.0,0.0514719679999871,8.02505984600009,8.08473420000007,0.0075630969998883,8.09229729699996,0.1371765724462849
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q32,c1,,32.0,128.0,169.0,1056.0,61985.25340371784,2322028.553024768,891726.7578334574,1.652180255323567e-15,3926,3926.0,0.0753829780001069,6.419160165999983,6.478736650999963,0.0138984150000851,6.492635066000048,0.1371767300365662
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q64,c1,,64.0,128.0,169.0,1056.0,61985.25340371784,2322028.553024768,131537.8091889109,8.440405001621145e-15,1701,1701.0,0.128564836999999,2.908377367000071,2.967753312000013,0.0267306849999613,2.994483996999975,0.1371765790451176
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_128,inverse,btab_auto_topk_128,c1,,,128.0,169.0,1056.0,61985.25340371784,2322028.553024768,,,1404,1404.0,0.0036756599999989,2.2724177879999843,2.331967404000011,0.0001132129999632,2.332080616999974,0.1371764797267573
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q32,c1,,32.0,256.0,361.0,864.0,1399.6561273584157,45666.53112632532,896587.9704759516,1.8338548838003555e-15,3533,3533.0,0.0764894220000087,5.844293149000009,5.903743353999971,0.0136772250000376,5.917420579000009,0.1371764241833788
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q64,c1,,64.0,256.0,361.0,864.0,1399.6561273584157,45666.53112632532,150747.44559408756,7.718816091174156e-15,1805,1805.0,0.1292810929999177,3.0899912319999885,3.149489165999966,0.025931865000075,3.1754210310000417,0.1371763747471305
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q128,c1,,128.0,256.0,361.0,864.0,1399.6561273584157,45666.53112632532,6190.135611781413,1.946230546768759e-13,566,566.0,0.9925077870000224,1.934225681000044,1.9935817540000471,0.0508426700000654,2.0444244240001126,0.1371764642357172
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_256,inverse,btab_auto_topk_256,c1,,,256.0,361.0,864.0,1399.6561273584157,45666.53112632532,,,281,281.0,0.0068852109999397,0.4837637330000461,0.5429717839999739,0.0001292239999202,0.5431010079998941,0.1371764634123421
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q64,c1,,64.0,512.0,625.0,600.0,8.293138065601788,248.37653492247125,150777.56225960024,9.401888228805381e-15,1528,1528.0,0.1334890609999774,2.657761783000069,2.717067752000048,0.0264796099999102,2.7435473619999584,0.1371766010807498
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,c1,,128.0,512.0,625.0,600.0,8.293138065601788,248.37653492247125,6435.346818251829,2.503086174869036e-13,429,429.0,0.2370030110000698,0.9573760020000464,1.0166034090000269,0.0512675749999971,1.0678709840000238,0.1371763840378234
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q256,c1,,256.0,512.0,625.0,600.0,8.293138065601788,248.37653492247125,17.01792927123372,1.3558259911171577e-11,38,38.0,0.4655244240000229,0.5409937430000582,0.6006480890000603,0.1018295960000159,0.7024776850000762,0.1371764791028791
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,600.0,8.293138065601788,248.37653492247125,,,36,36.0,0.0169128270000555,0.0825394930000129,0.1418903810000529,0.0001218879999669,0.1420122690000198,0.1371764564744911
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_64,boxeig,btab_boxeig_topk_64_q16,c1,,16.0,64.0,81.0,1144.0,368979.5340241752,15513935.97568157,2246206.8981778286,9.350734611771909e-16,5426,5426.0,0.0510297330000639,8.847803703999944,8.907093572999997,0.0074152299999923,8.91450880299999,0.1371764199221525
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_64,boxeig,btab_boxeig_topk_64_q32,c1,,32.0,64.0,81.0,1144.0,368979.5340241752,15513935.97568157,655918.8526013232,2.054437119704718e-15,3290,3290.0,0.0609320569999454,5.377911535000067,5.43711672500001,0.0136922230000209,5.450808948000031,0.1371765122725345
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_64,inverse,btab_auto_topk_64,c1,,,64.0,81.0,1144.0,368979.5340241752,15513935.97568157,,,2781,2781.0,0.0027374589999453,4.442822457000034,4.502291340000056,0.0001556569999365,4.502446996999993,0.1371765275475798
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,353,,0.462764098999969,0.5170081649999929,4.981025036999995,,,0.1431380017696511
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q180,c1,180.0,,,,,,,,,51,,0.0003016580000121,0.071170665000011,0.6882984009999973,,,0.1431379954180434
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,2563,,,4.679615771000044,7.155054273000019,,,0.1431944454050993
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1225.0,0.0,0.0,0.0,,,14,14.0,0.0673270190000039,0.100790011000015,0.129944002000002,3.574599998046324e-05,0.1299797479999824,0.1431380013145732
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q16,c1,,16.0,128.0,169.0,1056.0,18595.576021115037,696608.5659074183,679546.748807108,9.662454473745836e-16,3186,3186.0,0.1023747979999143,5.331517061,5.359622653000088,0.0074506619999965,5.367073315000084,0.1431379376525035
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q32,c1,,32.0,128.0,169.0,1056.0,18595.57602111504,696608.5659074185,267604.4197176935,1.7560699992520066e-15,2175,2175.0,0.0776336249999758,3.654596394000009,3.6827315990000216,0.0138451669999994,3.696576766000021,0.1431377215424646
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_128,boxeig,btab_boxeig_topk_128_q64,c1,,64.0,128.0,169.0,1056.0,18595.57602111504,696608.5659074185,39436.58601851045,1.4632208750222337e-14,1057,1057.0,0.1381149540000024,1.9217371930000129,1.949875084999917,0.0264716990000124,1.9763467839999291,0.1431379256621096
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_128,inverse,btab_auto_topk_128,c1,,,128.0,169.0,1056.0,18595.576021115037,696608.5659074183,,,853,853.0,0.0039486950000195,1.4065299029999778,1.434677793999981,0.0001470039999844,1.4348247979999655,0.1431380179981433
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q32,c1,,32.0,256.0,361.0,864.0,419.89683820751753,13699.959337897362,269098.7412787827,2.2207044852348162e-15,2304,2304.0,0.3413829669999586,4.163076814000078,4.1911131310000656,0.0137206789999027,4.204833809999968,0.1431381943327362
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q64,c1,,64.0,256.0,361.0,864.0,419.89683820751753,13699.959337897362,45235.69805061246,9.712304943402488e-15,1120,1120.0,0.1326707279999937,1.9909981980000568,2.0189984250000634,0.0264222099999642,2.045420635000028,0.1431381542459301
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q128,c1,,128.0,256.0,361.0,864.0,419.8968382075174,13699.959337897357,1856.9441671859609,3.069769980563013e-13,338,338.0,0.2725875969999833,0.8517105060000176,0.8792373229999839,0.0511211100000537,0.9303584330000376,0.1431380032436898
