dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1952.0,1952,1953,1953,,0.0338111979999666,,,2.042940529000589,0.0123877179994451,2.0767538660002174,0.035171318327855,0.0357787165043394,9.572575123907553e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,501.0,501,502,502,501.0,0.029430596999191,0.4733266990006086,0.0003059660002691,0.9335814729993216,0.0123390980006661,1.4366447349993905,0.0349148329680417,0.035526619218649,7.799354267749247e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,252.0,252,253,253,252.0,0.0291978619998189,1.033330324000417,0.0003077669998674,0.5849933800000144,0.0126783039995643,1.647829333000118,0.0349148360215606,0.0355266412353739,9.907377208618417e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,5106.0,5106,5107,5107,,0.256441237999752,,,5.3932596500008,0.091831944999285,5.649701428000299,0.0285086915590264,0.0286463336388655,9.833200844684989e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,1274.0,1274,1275,1275,1274.0,0.1037185379991569,0.4814236970005368,0.0003069379999942,2.4451128629998493,0.0918134769999596,3.0305620359995373,0.0284772984102954,0.0286150288027697,9.945671783946098e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,655.0,655,656,656,655.0,0.1032479260002219,1.0413062200004788,0.0003001380000569,1.5187245009992694,0.0919085600007747,2.663578785000027,0.0284773056011081,0.0286150424890828,9.23441416896606e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,3068.0,3068,3069,3069,,2.464959678000014,,,5.170205760000499,0.0298880589998589,7.635167174999879,0.030730948846987,0.0311741281781708,7.569613576836339e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,772.0,772,773,773,772.0,2.075312589000532,2.215717879999829,0.457331683999655,1.4666291290004665,0.0295651719998204,6.214991282000483,0.0306543114237494,0.031097439861969,9.146053279226905e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,397.0,397,398,398,397.0,0.058310378999522,1.0432395170000746,0.0003214990001652,0.9478461779999634,0.0297012179999001,2.049717572999725,0.0306543171652138,0.0310974478291139,9.222795218646813e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,plain_cg,cg_baseline,original/default,,8024.0,8024,8025,8025,,0.7562899990007281,,,8.468521480000163,0.2728148950000104,9.224812093000764,0.0278918647893036,0.0278726149145144,9.356626162100009e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,1953.0,1953,1954,1954,1953.0,0.1985073120004017,0.4810662689997116,0.0002959889998237,3.688251270000365,0.273565587000121,4.3681208400003015,0.027875955369411,0.0278567986511386,9.712715368101917e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,1011.0,1011,1012,1012,1011.0,0.1963945549996424,1.0395081099995878,0.0003158170002279,2.3451676330005284,0.2734652330000244,3.5813861149999866,0.0278759641472641,0.0278568075572266,9.908944281750245e-08,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1290.0,1290,1291,1291,,0.033575638000002,,,1.3522004179994838,0.012340289000349,1.385776473000078,0.0199366114707467,0.0012485699287243,8.577215887116277e-08,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,329.0,329,330,330,329.0,0.0323070520007604,0.4826384949992643,0.0003217690000383,0.6126142800003436,0.0126213539997479,1.1278815960004067,0.0199360492909596,0.0012659244212981,9.959960473240973e-08,ok
