N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,250,0.4080221340000207,0.4379531559998213,0.0199360444328131,0.9999715579583607,3.1642116377410994
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_728,728.0,961.0,,175,0.3374105080001754,0.3669063810002626,0.0199360457168347,0.9999716223635682,3.7769211568961127
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,129,0.3370371529999829,0.3666484239993224,0.0199360450326987,0.9999715880480076,3.7795784252508855
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,72,0.8377162990000215,0.8668963919999442,0.0199360461715014,0.9999716451691839,1.5985491297328724
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,35,4.778679941999144,4.8082431779994295,0.0199360438925939,0.9999715308615191,0.28820848316092434
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q64,1024.0,1369.0,64.0,592,1.116474000999915,1.1461622930000883,0.019936045601669,0.9999716165869746,1.2090578109778831
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q128,1024.0,1369.0,128.0,287,0.7241581869993752,0.7544244829996387,0.0199360479028586,0.9999717320122867,1.8368657224512974
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q64,2048.0,2601.0,64.0,567,1.0763901099999202,1.1063020470000993,0.0199360455331782,0.9999716131515464,1.252620364174336
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q128,2048.0,2601.0,128.0,284,0.7313622769997892,0.7615038860003551,0.0199360476522513,0.9999717194420814,1.8197891021654375
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q192,2048.0,2601.0,192.0,188,0.6953377780000665,0.7250188620000699,0.0199360476047946,0.9999717170617021,1.9113660976725655
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q128,4096.0,5329.0,128.0,275,0.7243526980000752,0.7533811780003816,0.0199360561501427,0.9999721456876053,1.8394094695572232
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,180,0.6899178639996535,0.7202497309999671,0.0199360542706857,0.9999720514159683,1.924022201405225
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q256,4096.0,5329.0,256.0,129,0.7387056030001986,0.769240121000621,0.019936050053871,0.9999718399048645,1.801487513674497
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q128,8192.0,10609.0,128.0,311,0.7876295519999985,0.817662534000192,0.019936046177328,0.9999716454614401,1.6948024586873789
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,202,1.5712910400006876,1.6013056179999694,0.0199360439259588,0.9999715325350684,0.8654041161305064
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q256,8192.0,10609.0,256.0,140,0.95569371900001,0.9853377440003896,0.0199360408920308,0.999971380356349,1.4063974321880133
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q128,16384.0,21025.0,128.0,276,0.8345093890002317,0.8645265810000637,0.0199360475091231,0.9999717122629176,1.6029310184969034
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,173,0.880425383000329,0.9098591970005144,0.0199360484624488,0.9999717600807577,1.5230669509837294
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,122,1.058349521999844,1.087702220999745,0.0199360486184955,0.9999717679079002,1.2740403083174388
3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,352,0.5499848849995033,0.6080185899991193,0.0199708027452097,0.9999950213254597,3.217295809990557
3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_728,728.0,961.0,,283,0.4970776669997576,0.5551724730003116,0.0199708027185299,0.9999950199895262,3.523545847705304
3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,188,0.4249673960002837,0.4822233280001455,0.0199708037327764,0.9999950707757396,4.056576172109082
3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,111,0.9054606469999272,0.962935753000238,0.019970802499806,0.999995009037397,2.031470589710308
3000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,54,4.842914310999731,4.9004905920000965,0.0199708019418046,0.9999949810966762,0.39917955667416866
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q64,1024.0,1369.0,64.0,693,1.281186711999908,1.3388441759998386,0.0199708027381748,0.9999950209732021,1.4610928568589214
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q128,1024.0,1369.0,128.0,403,1.147705431999384,1.204625746999227,0.0199708038837705,0.9999950783364445,1.6238866443569284
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q64,2048.0,2601.0,64.0,791,1.455038644000524,1.5122491360007189,0.0199708064316636,0.999995205916715,1.2935538301405933
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q128,2048.0,2601.0,128.0,326,0.7907542949997151,0.8486207450005168,0.0199708107168713,0.9999954204892797,2.3051235472676805
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q192,2048.0,2601.0,192.0,251,0.7837963659994784,0.8410392979994867,0.0199708051401169,0.99999514124529,2.325902804605602
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q128,4096.0,5329.0,128.0,378,0.8799346080004398,0.93685318200005,0.019970807069165,0.9999952378382273,2.0880279851581145
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,245,0.7857294689993068,0.8428946249996443,0.0199708070572375,0.9999952372409834,2.320783172631286
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q256,4096.0,5329.0,256.0,182,0.8005116100002851,0.8584886600001482,0.0199708052468301,0.9999951465887241,2.2786272587458467
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q128,8192.0,10609.0,128.0,432,0.9698562060002588,1.0269862680006554,0.0199708058068783,0.9999951746319341,1.9047729487258191
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,268,0.8800612109998838,0.9381597840001632,0.0199708061921768,0.9999951939249282,2.0851199287819746
