M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,3068,3069,7.569613576836338e-08,,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,True,,,,,,,,,,,False,3068.0,matern,0.1,1.5,1.0,,,20000,plain_cg,189,3069,,750000,3000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.03117412817817086,0.030730948846987054,0,,,ok,,0.001025807221894341,3.1482023639937324,,,,,,,,,,,,,,,,,,,,,,,,2.464959678000014,,0.029888058999858913,5.170205760000499,,7.635167174999879,,1e-07,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,772,773,9.146053279226904e-08,,,nan,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,,,,,,,,2,35721,98,3,nan,,2655.322996344077,0.006075306771120875,,,5,482,0.0009117679041945588,0.43947212982177736,1e-05,,,True,[],,,,,,,,,,False,772.0,matern,0.1,1.5,1.0,nan,,20000,eigenpro_pcg_q90,189,773,772,750000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.03109743986196908,0.030654311423749483,0,,,ok,,0.0006478846054047716,0.5008147999778885,0.0006230209961403691,0.48097220902036497,,,[],,,,,,,,,,,,,,,,,2.215717879999829,,2.075312589000532,0.45733168399965507,0.02956517199982045,1.4666291290004665,,6.214991282000483,,1e-07,90,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,397,398,9.222795218646813e-08,,,nan,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,,,,,,,,2,35721,188,3,nan,,974.7073426485392,0.0022274617270875157,,,5,932,0.0004926132644194901,0.45911556243896484,1e-05,,,True,[],,,,,,,,,,False,397.0,matern,0.1,1.5,1.0,nan,,20000,eigenpro_pcg_q180,189,398,397,750000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.03109744782911398,0.030654317165213846,0,,,ok,,0.0006690065226243106,0.2662645960044756,0.0010490372367538442,0.4164677829912762,,,[],,,,,,,,,,,,,,,,,1.0432395170000746,,0.05831037899952207,0.00032149900016520405,0.02970121799990011,0.9478461779999634,,2.0497175729997252,,1e-07,180,v3
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,674,675,9.943532927186202e-08,0,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,2999999.9999965867,True,,nan,0,50,diag,0.001,0,0,0,6250000,False,674.0,matern,0.1,1.5,1.0,,0,20000,btab_auto_topk_512,189,675,674,750000,3000000,cufinufft,binned_c1,50,674,9.943532927186202e-08,pcg,converged,674,,True,0.1,0,3940.556332250379,0.031097418407083136,0.030654298349403905,0,0.1,exact,ok,,0.0006600510073985788,0.4455344299940407,0.0002843608842694015,0.19165923599757662,1388672.4014117874,35096,,,0.0065975389998129685,4.536756084021889e-05,0.030577736006307532,4.0990074176996955e-05,0.027627309995295946,0.00010037148072236534,0.06765037800687423,0.8095887190002031,0.4067708490001678,0.15145132099951297,0.0,0.14307420600016485,5.622817211763393e-05,0.03789778800728527,,,0.0002816599999277969,0.05744016199969337,1.30344836400036,0.029588480999336753,2.3639361990008183,0.1082923430003575,2.4213763610005117,2.4216580210004395,1e-07,,v6_btab
35721,expanded_box,topk,728,,728,0,"[15, 15]","[31, 31]",961,topk,728,,728,80000,961,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,451,452,9.533900876123077e-08,0,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,2999999.9999965867,True,,nan,0,50,diag,0.001,0,0,0,14776336,False,451.0,matern,0.1,1.5,1.0,,0,20000,btab_auto_topk_728,189,452,451,750000,3000000,cufinufft,binned_c1,50,451,9.533900876123077e-08,pcg,converged,451,,True,0.1,0,1580.8760886498414,0.03109741801610688,0.030654298841137517,0,0.1,exact,ok,,0.0006471751902612982,0.2925231859981068,0.0002966029667231952,0.13376793799216102,781434.8816038783,34760,,,0.0015408909994221176,4.442670511130794e-05,0.020036444005199883,4.054982486005951e-05,0.01828797101188684,0.00011720731260625457,0.05286049798542081,0.07162294800036761,0.026955322000503656,0.03471079200062377,0.0,0.009341801999653399,5.4536288245876e-05,0.024595865998890076,,,0.000295515000289015,0.057449382999948284,0.07422046000010596,0.029301018000296608,0.778481603999353,0.0006150319995867903,0.8359309869993012,0.8362265019995903,1e-07,,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,80000,1369,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,317,318,8.965158593500475e-08,0,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,2999999.9999965867,True,,nan,0,50,diag,0.001,0,0,0,29986576,False,317.0,matern,0.1,1.5,1.0,,0,20000,btab_auto_topk_1024,189,318,317,750000,3000000,cufinufft,binned_c1,50,317,8.965158593500475e-08,pcg,converged,317,,True,0.1,0,720.4558888598436,0.031097425688321634,0.030654305399274193,0,0.1,exact,ok,,0.0006340825817580549,0.20163826099906146,0.0003037827508152229,0.09629913200842566,477731.2262291375,34352,,,0.0015263169998434023,4.3343962147804925e-05,0.013740036000854161,4.0065574145671866e-05,0.012700787004177982,0.00012777957098900262,0.04050612400351383,0.13673621199995978,0.049096298000222305,0.0648323369996433,0.0,0.020651387000725663,5.317151419711351e-05,0.01685537000048498,,,0.00030057099957048194,0.05767469100010203,0.13936884200029453,0.029507064999961585,0.6281035419997352,0.0021561899993685074,0.6857782329998372,0.6860788039994077,1e-07,,v6_btab
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,80000,2601,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,183,184,9.39944576181132e-08,0,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,2999999.9999965867,True,,nan,0,50,diag,0.001,0,0,0,108243216,False,183.0,matern,0.1,1.5,1.0,,0,20000,btab_auto_topk_2048,189,184,183,750000,3000000,cufinufft,binned_c1,50,183,9.39944576181132e-08,pcg,converged,183,,True,0.1,0,163.64323537302514,0.031097419092154358,0.03065429819855976,0,0.1,exact,ok,,0.000655691478280697,0.12064723200364824,0.0008341021639054935,0.1526406959947053,189063.3603831785,33120,,,0.0016969870002867538,4.4338043715002946e-05,0.00811386199984554,4.5186857874557705e-05,0.00826919499104406,0.0006484674535724102,0.11866954400375107,0.6871445810002115,0.18833938900024805,0.39905581299990445,0.0,0.09114300900000671,5.515415301746682e-05,0.010093210002196429,,,0.00027240599956712686,0.05789596900012839,0.6899354409997613,0.02931211000031908,1.0775726409992785,0.008606370000052266,1.135468609999407,1.135741015998974,1e-07,,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,80000,5329,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,92,93,9.381422075036497e-08,0,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,2999999.9999965867,True,,nan,0,50,diag,0.001,0,0,0,454371856,False,92.0,matern,0.1,1.5,1.0,,0,20000,btab_auto_topk_4096,189,93,92,750000,3000000,cufinufft,binned_c1,50,92,9.381422075036497e-08,pcg,converged,92,,True,0.1,0,29.51563404084684,0.031097419119955314,0.03065429783518464,0,0.1,exact,ok,,0.0006476015376158043,0.060226942998269806,0.0021688373151984865,0.19953303299826075,63724.19886326596,30392,,,0.0018628289999469416,4.3618054366126436e-05,0.004012861001683632,4.797913046509759e-05,0.004414080002788978,0.0019816253804354187,0.18230953500005853,4.760464683000464,0.884219006999956,3.2451433420001194,0.0,0.5945905939997829,5.488778258396728e-05,0.005049675997724989,,,0.000256097000601585,0.057708035000359814,4.763542391000556,0.029192725999564573,5.080579864999891,0.03651174000060564,5.13828790000025,5.138543997000852,1e-07,,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,80000,1369,cheap,30,0.01,,cupy,4.001816530270678e-15,1.0189202184029477e-15,320,162,162,,162,64,1369,34352,1402880,7691.245806811311,76912.4580681131,0.001,boxeig,20000,group_a,50,diag,0.001,50,auto,boxeig,1956,1957,9.949663426587271e-08,0,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,64,0,64,64,0,0,2,35721,,,,,,,4.001816530270678e-15,1.0189202184029477e-15,,,,,1e-05,boxeig,2999999.9999965867,True,,nan,0,0,,nan,0,0,0,0,False,1956.0,matern,0.1,1.5,1.0,,85264,20000,btab_boxeig_topk_1024_q64,189,1957,1956,750000,3000000,cufinufft,binned_c1,50,1956,9.949663426587271e-08,pcg,converged,1956,,True,0.1,0,720.4558888598436,0.031097407788145418,0.030654286294557076,0,0.1,boxeig,ok,,0.0006518614971863843,1.2756929499937542,0.00041820101380831977,0.8180011830090734,477731.2262291375,34352,,76912.4580681131,0.0015141610001592198,4.4769402871281614e-05,0.08756895201622683,3.675366411681894e-05,0.07189016701249784,0.00024122126533926528,0.47182879500360286,1.27032219099965,0.0,0.0,0.05135111300023709,0.0,5.596019529756667e-05,0.1094581420020404,1.218971077999413,,0.7625204020005185,0.057301511999867216,1.3821560609994776,0.029596003000733617,4.68296752399965,0.0,4.740269035999518,5.502789438000036,1e-07,,v7_btab_boxeig
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,80000,1369,cheap,30,0.01,,cupy,1.0319137235355737e-14,1.808500593629552e-15,640,290,290,,290,128,1369,34352,2805760,1959.5849402133429,19595.849402133426,0.001,boxeig,20000,group_a,50,diag,0.001,50,auto,boxeig,1039,1040,9.893061878265805e-08,0,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,False,NVIDIA L4,cheap,128,0,128,128,0,0,2,35721,,,,,,,1.0319137235355737e-14,1.808500593629552e-15,,,,,1e-05,boxeig,2999999.9999965867,True,,nan,0,0,,nan,0,0,0,0,False,1039.0,matern,0.1,1.5,1.0,,85264,20000,btab_boxeig_topk_1024_q128,189,1040,1039,750000,3000000,cufinufft,binned_c1,50,1039,9.893061878265805e-08,pcg,converged,1039,,True,0.1,0,720.4558888598436,0.031097416272990962,0.030654295066418914,0,0.1,boxeig,ok,,0.0006449475884594974,0.6707454919978773,0.0004015878200349436,0.4172497450163064,477731.2262291375,34352,,19595.849402133426,0.0015438339996762807,4.501858999759059e-05,0.046774315007496625,3.569994320782821e-05,0.03709224099293351,0.00022711771895962316,0.23597530999904848,0.2456510829997569,0.0,0.0,0.0010114659999089781,0.0,5.473791146566316e-05,0.05687269001282402,0.24463961699984793,,0.050990284999897995,0.05768169200018747,0.24763987499954965,0.029455674999553594,1.9694881089999399,0.0,2.0271698010001273,2.0781600860000253,1e-07,,v7_btab_boxeig
