M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_residual_max,eig_residual_median,eps,exact_apply_mode,gamma,has_nufft,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,version
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,5000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,186,187,9.554837289479993e-07,6250000,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,0,0,0,0,0,0,2,35721,,,1e-05,chol_solve,999999.999998764,True,nan,0,50,diag,0.001,0,0,0,0,False,186.0,matern,0.1,1.5,1.0,0,6000,btab_auto_topk_512,189,187,186,1000,1000000,cufinufft,cufinufft,50,186,9.554837289479993e-07,pcg,converged,186,True,0.1,0,1313.5162514396102,0.0012488743518179184,0.01993662624790411,0,0.1,exact,ok,0.001492594117793643,0.27911510002741124,0.0008650650540197778,0.1609021000476787,462889.7870762957,35096,,0.012913099999423139,6.323333327991447e-05,0.011761399990064092,6.776505371465558e-05,0.012604299990925938,0.0006031392471394151,0.11218389996793121,0.07086969999363646,0.04218019999098033,-0.07086969999363646,0.0,0.01671300000452902,9.052419366242404e-05,0.01683750002121087,,0.008032900004764087,0.09291639999719337,0.13275269999576267,0.021739299991168082,0.7504063000087626,0.01197649999812711,0.843322700005956,0.8513556000107201,1e-06,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,5000,1369,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,91,92,9.59511513373408e-07,29986576,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,0,0,0,0,0,0,2,35721,,,1e-05,chol_solve,999999.999998764,True,nan,0,50,diag,0.001,0,0,0,0,False,91.0,matern,0.1,1.5,1.0,0,6000,btab_auto_topk_1024,189,92,91,1000,1000000,cufinufft,cufinufft,50,91,9.59511513373408e-07,pcg,converged,91,True,0.1,0,240.15142962489767,0.001248760321551579,0.019936633861244783,0,0.1,exact,ok,0.0014707228260901859,0.1353065000002971,0.0018077714285227359,0.16450719999556895,159243.36646229576,34352,,0.0024476999969920143,6.78164833916126e-05,0.006171299988636747,7.25593397094469e-05,0.006602899913559668,0.001522408791460803,0.13853920002293307,0.09860840000328608,0.042336900005466305,-0.09860840000328608,0.0,0.052977700004703365,9.730329531101653e-05,0.008854599873302504,,0.00019070001144427806,0.09260319999884814,0.10238609999942128,0.02122909999161493,0.49478540000563953,0.0032937999931164086,0.5873886000044877,0.587579300015932,1e-06,v6_btab
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,5000,625,cheap,30,0.01,,cupy,1.792538023768794e-15,9.87284143150582e-16,160,98,98,,98,32,625,35096,320512,7683.902607350541,76839.0260735054,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,403,404,9.401797912607062e-07,0,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,32,0,32,32,0,0,2,35721,1.792538023768794e-15,9.87284143150582e-16,1e-05,boxeig,999999.999998764,True,nan,0,0,,nan,0,0,0,0,False,403.0,matern,0.1,1.5,1.0,38416,6000,btab_boxeig_topk_512_q32,189,404,403,1000,1000000,cufinufft,cufinufft,50,403,9.401797912607062e-07,pcg,converged,403,True,0.1,0,1313.5162514396102,0.0012508547701359021,0.019936718050951072,0,0.1,boxeig,ok,0.0015396514852657466,0.6220192000473617,0.0006680131521062675,0.26920930029882584,462889.7870762957,35096,76839.0260735054,0.002347000001464039,7.202282867009611e-05,0.02902519995404873,6.689875974942683e-05,0.02696020017901901,0.0003822803974747265,0.15405900018231478,0.2507901000062702,0.0,0.0,0.024112700004479848,0.0,0.00010114119114601528,0.040759900031844154,0.22667740000179037,0.9054149000003235,0.09282799999346025,0.2714473999949405,0.021990299996105023,1.593477400005213,0.0,1.6863053999986732,2.591720299998997,1e-06,v7_btab_boxeig
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,5000,625,cheap,30,0.01,,cupy,4.811112762346255e-15,1.109644394592103e-15,320,162,162,,162,64,625,35096,641024,2514.3470578862407,25143.470578862405,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,231,232,9.689806178381608e-07,0,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,64,0,64,64,0,0,2,35721,4.811112762346255e-15,1.109644394592103e-15,1e-05,boxeig,999999.999998764,True,nan,0,0,,nan,0,0,0,0,False,231.0,matern,0.1,1.5,1.0,38416,6000,btab_boxeig_topk_512_q64,189,232,231,1000,1000000,cufinufft,cufinufft,50,231,9.689806178381608e-07,pcg,converged,231,True,0.1,0,1313.5162514396102,0.0012482312206247362,0.01993667146214273,0,0.1,boxeig,ok,0.0015298120682739958,0.354916399839567,0.0006458181821719998,0.14918400008173194,462889.7870762957,35096,25143.470578862405,0.002271600009407848,7.137229437566891e-05,0.016487000000779517,6.611991336809076e-05,0.015273699988028966,0.00036944242417802267,0.08534119998512324,0.191914099996211,0.0,0.0,0.0012657999905059114,0.0,9.753116908194941e-05,0.022529700057930313,0.1906483000057051,0.04036199999973178,0.09194270000443794,0.19467759999679402,0.021602100008749403,0.9327958999929251,0.0,1.024738599997363,1.0651005999970948,1e-06,v7_btab_boxeig
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,5000,625,cheap,30,0.01,,cupy,1.4854154745678736e-14,1.4061143476157644e-15,640,290,290,,290,128,625,35096,1282048,681.6580303956343,6816.580303956343,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,214,215,8.52354878919262e-07,0,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,128,0,128,128,0,0,2,35721,1.4854154745678736e-14,1.4061143476157644e-15,1e-05,boxeig,999999.999998764,True,nan,0,0,,nan,0,0,0,0,False,214.0,matern,0.1,1.5,1.0,38416,6000,btab_boxeig_topk_512_q128,189,215,214,1000,1000000,cufinufft,cufinufft,50,214,8.52354878919262e-07,pcg,converged,214,True,0.1,0,1313.5162514396102,0.0012480010433838147,0.01993657300706108,0,0.1,boxeig,ok,0.0015228865118588992,0.32742060004966334,0.0006472467289525999,0.13851079999585636,462889.7870762957,35096,6816.580303956343,0.002295600002980791,7.171495337524477e-05,0.015347000022302382,6.564719613073568e-05,0.014048499971977435,0.00036913691618682156,0.07899530006397981,0.3862915000063367,0.0,0.0,0.0012459999998100102,0.0,9.975046748741504e-05,0.021346600042306818,0.3850455000065267,0.07819739999831654,0.0960107999999309,0.3890707999962615,0.022606500002439134,1.0689752999896882,0.0,1.164986099989619,1.2431834999879356,1e-06,v7_btab_boxeig
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,5000,1369,cheap,30,0.01,,cupy,2.180026102466129e-15,9.542654781387916e-16,160,98,98,,98,32,1369,34352,701440,7687.9638810181505,76879.6388101815,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,502,503,9.904476716215298e-07,0,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,32,0,32,32,0,0,2,35721,2.180026102466129e-15,9.542654781387916e-16,1e-05,boxeig,999999.999998764,True,nan,0,0,,nan,0,0,0,0,False,502.0,matern,0.1,1.5,1.0,85264,6000,btab_boxeig_topk_1024_q32,189,503,502,1000,1000000,cufinufft,cufinufft,50,502,9.904476716215298e-07,pcg,converged,502,True,0.1,0,240.15142962489767,0.0012477238519757825,0.019936652173986952,0,0.1,boxeig,ok,0.0015137974160332713,0.7614401002647355,0.0006047798807299566,0.3035995001264382,159243.36646229576,34352,76879.6388101815,0.0024539999867556617,6.702211196743048e-05,0.0336451002076501,6.637470128823561e-05,0.03332010004669428,0.0003368838643434873,0.16911569990043063,0.135224500001641,0.0,0.0,0.02200799999991432,0.0,9.48583667442032e-05,0.04761890010559,0.11321650000172667,0.6486485000059474,0.09787599999981467,0.1381571000092663,0.022639299990260042,1.6992382000025827,0.0,1.7971142000023974,2.445762700008345,1e-06,v7_btab_boxeig
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,5000,1369,cheap,30,0.01,,cupy,4.886904713470564e-15,1.174162746868687e-15,320,162,162,,162,64,1369,34352,1402880,2521.0591190758323,25210.59119075832,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,267,268,9.787007308668164e-07,0,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,64,0,64,64,0,0,2,35721,4.886904713470564e-15,1.174162746868687e-15,1e-05,boxeig,999999.999998764,True,nan,0,0,,nan,0,0,0,0,False,267.0,matern,0.1,1.5,1.0,85264,6000,btab_boxeig_topk_1024_q64,189,268,267,1000,1000000,cufinufft,cufinufft,50,267,9.787007308668164e-07,pcg,converged,267,True,0.1,0,240.15142962489767,0.0012482834255106699,0.01993668873046718,0,0.1,boxeig,ok,0.0015181388053630389,0.4068611998372944,0.000633243071288132,0.16907590003393125,159243.36646229576,34352,25210.59119075832,0.002506999997422099,7.215767824361345e-05,0.01926610009104479,6.681535585281136e-05,0.017839700012700632,0.00035765168506892797,0.09549299991340376,0.1869425000040792,0.0,0.0,0.001361000002361834,0.0,9.535955098825629e-05,0.02546100011386443,0.18558150000171736,0.04106000000319909,0.09486159999505617,0.19006290000106674,0.021196999994572252,1.036908800000674,0.0,1.1317703999957303,1.1728303999989294,1e-06,v7_btab_boxeig
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,5000,1369,cheap,30,0.01,,cupy,1.1368673297384794e-14,1.6174832027145822e-15,640,290,290,,290,128,1369,34352,2805760,691.2102426268262,6912.102426268262,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,116,117,8.396053523782093e-07,0,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,128,0,128,128,0,0,2,35721,1.1368673297384794e-14,1.6174832027145822e-15,1e-05,boxeig,999999.999998764,True,nan,0,0,,nan,0,0,0,0,False,116.0,matern,0.1,1.5,1.0,85264,6000,btab_boxeig_topk_1024_q128,189,117,116,1000,1000000,cufinufft,cufinufft,50,116,8.396053523782093e-07,pcg,converged,116,True,0.1,0,240.15142962489767,0.0012470265651216793,0.019936663155199808,0,0.1,boxeig,ok,0.001484103418755321,0.17364009999437258,0.0006065517244960888,0.0703600000415463,159243.36646229576,34352,6912.102426268262,0.0022456000006059185,6.82000007082965e-05,0.007911200082162395,5.957413706145699e-05,0.006910599899129011,0.0003468456895367628,0.04023409998626448,0.342184900000575,0.0,0.0,0.0021840999979758635,0.0,9.272672330804073e-05,0.010756299903732724,0.34000080000259914,0.07625650000409223,0.09131709999928717,0.34491340001113713,0.022039500006940216,0.6993613999948138,0.0,0.790678499994101,0.8669349999981932,1e-06,v7_btab_boxeig
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,5000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,256,257,9.506848703882201e-07,6250000,,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,0,0,0,0,0,0,2,35721,,,1e-05,chol_solve,2999999.9999964214,True,nan,0,50,diag,0.001,0,0,0,0,False,256.0,matern,0.1,1.5,1.0,0,6000,btab_auto_topk_512,189,257,256,1000,3000000,cufinufft,cufinufft,50,256,9.506848703882201e-07,pcg,converged,256,True,0.1,0,3940.5522633324426,0.0008811440166237337,0.019970915103097016,0,0.1,exact,ok,0.001501080155388927,0.3857775999349542,0.0008038765621449784,0.20579239990911447,1388670.7690064183,35096,,0.0024261000071419403,6.597968769028739e-05,0.016890800048713572,7.100429667161734e-05,0.01817709994793404,0.0005326019529547921,0.13634609995642677,0.019949699999415316,0.00986160000320524,-0.019949699999415316,0.0,0.009338799995020963,9.284257851049915e-05,0.023767700098687783,,0.0002179000002797693,0.2552272000029916,0.023571099998662248,0.06220179999945685,0.8644698999996763,0.0007493000011891127,1.1196971000026679,1.1199150000029476,1e-06,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,5000,1369,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,134,135,8.388323250624531e-07,29986576,,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,0,0,0,0,0,0,2,35721,,,1e-05,chol_solve,2999999.9999964214,True,nan,0,50,diag,0.001,0,0,0,0,False,134.0,matern,0.1,1.5,1.0,0,6000,btab_auto_topk_1024,189,135,134,1000,3000000,cufinufft,cufinufft,50,134,8.388323250624531e-07,pcg,converged,134,True,0.1,0,720.4550297587765,0.0008808311987469859,0.019970901649591248,0,0.1,exact,ok,0.0016227162968048274,0.2190667000686517,0.0019146044780508921,0.25655700005881954,477730.621178876,34352,,0.002475200002663769,8.396417946804927e-05,0.011251200048718601,0.00011283432799408824,0.015119799951207824,0.001545255224667003,0.2070642001053784,0.10950900000170805,0.05166659998940304,-0.10950900000170805,0.0,0.05453370000759605,0.00011027835868994025,0.014777300064451993,,0.00022390000231098384,0.25511589999950957,0.11347579999710433,0.06253550000838004,0.7567721999948844,0.003308700004708953,1.011888099994394,1.012111999996705,1e-06,v6_btab
