dataset_stem,eps,method,route,selector_tag,S_kind,btab_active_size_raw,btab_box_size,active_size,box_size,tail_size,rho_max_T,tail_energy,btab_diagnostic_mode,time_post_diagnostics,time_total_with_diagnostics,diagnostic_n_matvec,diagnostic_n_A_matvec,diagnostic_n_ASS_matvec,diagnostic_n_precond,diagnostic_n_eig_matvec,diagnostic_n_power_iter
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q32,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15196295326257,159243.74207636682,cheap,0.0225798999890685,4.915328099988983,32,0,32,0,32,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q64,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15196295326257,159243.74207636682,cheap,0.0427633000072091,2.9076105000131065,64,0,64,0,64,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q128,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15196295326257,159243.74207636682,cheap,0.0828820000024279,1.9985791999934008,128,0,128,0,128,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_1024,inverse,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15196295326257,159243.74207636682,cheap,0.0001532999885967,0.8284394999936922,0,0,0,0,0,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q32,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5187774166911,462890.8004705599,cheap,0.0217322999960742,4.130950999999186,32,0,32,0,32,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q64,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5187774166911,462890.8004705599,cheap,0.0426818999985698,2.642461399998865,64,0,64,0,64,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q128,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5187774166911,462890.8004705599,cheap,0.0835013000032631,1.8448245999898063,128,0,128,0,128,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_512,inverse,topk_512,expanded_box,512,625,512,625,35096,1313.5187774166911,462890.8004705599,cheap,0.0002125000028172,1.1253217000048608,0,0,0,0,0,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q32,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4558888597658,477731.2262290859,cheap,0.0201358000049367,6.481089600012638,32,0,32,0,32,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q64,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4558888597658,477731.2262290859,cheap,0.0413284000096609,4.043471900004079,64,0,64,0,64,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q128,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4558888597658,477731.2262290859,cheap,0.0842253000009805,2.678020999999717,128,0,128,0,128,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_1024,inverse,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4558888597658,477731.2262290859,cheap,0.0001508999994257,1.4264862999989418,0,0,0,0,0,0
