dataset_stem,eps,selector_tag,route,method,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q32,32.0,1024,1369,34352,240.15196295326257,159243.74207636682,79929.34928974987,2.645355227956652e-15,1461,1461,0.1104842000058852,4.80048479999823,4.8927481999999145,0.0225798999890685,4.915328099988983,0.0357789655987184
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,64.0,1024,1369,34352,240.15196295326257,159243.74207636682,25622.46249466841,5.0308124750143176e-15,813,813,0.1868591000093147,2.767686899998808,2.8648472000058973,0.0427633000072091,2.9076105000131065,0.0357790151195151
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,128.0,1024,1369,34352,240.15196295326257,159243.74207636682,6549.683255956375,1.027108493237213e-14,438,438,0.3567590000020573,1.8226965999929237,1.9156971999909729,0.0828820000024279,1.9985791999934008,0.0357788873810141
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,,1024,1369,34352,240.15196295326257,159243.74207636682,,,148,148,0.1069330999889643,0.7351395000005141,0.8282862000050955,0.0001532999885967,0.8284394999936922,0.0357787819396507
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q32,32.0,512,625,35096,1313.5187774166911,462890.8004705599,79750.26770600125,2.090373549275908e-15,1230,1230,0.1183036000002175,4.016894300002605,4.109218700003112,0.0217322999960742,4.130950999999186,0.0357787066089745
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q64,64.0,512,625,35096,1313.5187774166911,462890.8004705599,25524.24552417214,3.56265300362985e-15,736,736,0.1839264000009279,2.506902400011313,2.5997795000002952,0.0426818999985698,2.642461399998865,0.0357786570179114
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,128.0,512,625,35096,1313.5187774166911,462890.8004705599,6213.456214114306,1.6062030521701936e-14,413,413,0.3416640999930678,1.6657314999902155,1.7613232999865431,0.0835013000032631,1.8448245999898063,0.0357787597666874
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_512,inverse,btab_auto_topk_512,,512,625,35096,1313.5187774166911,462890.8004705599,,,300,300,0.0242545000073732,1.0255604999983916,1.1251092000020435,0.0002125000028172,1.1253217000048608,0.0357787975163156
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q32,32.0,1024,1369,34352,720.4558888597658,477731.2262290859,239480.71414817177,2.2900756245433145e-15,1907,1907,0.1140982000069925,6.1956249000068055,6.460953800007701,0.0201358000049367,6.481089600012638,0.0311740845648131
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,64.0,1024,1369,34352,720.4558888597658,477731.2262290859,76910.05477276674,3.554111390713195e-15,1121,1121,0.182749400002649,3.747537400005968,4.002143499994418,0.0413284000096609,4.043471900004079,0.031174135286803
