dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q32,c1,topk_1024,32.0,1024.0,1369.0,1369.0,34352.0,240.15196295342733,159243.74207647605,7993.346518660623,79933.46518660622,79933.46518660622,2.081879126746235e-15,9.34976813567694e-16,701440.0,98.0,98.0,98.0,cupy,1466,1466.0,0.1153830000112066,0.1196959999942919,4.69914979999885,4.770605499987141,0.0201662000035867,4.790771699990728,0.0349152120716195,0.0355269404125003
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q64,c1,topk_1024,64.0,1024.0,1369.0,1369.0,34352.0,240.15196295342733,159243.74207647605,2562.491576210088,25624.915762100874,25624.915762100874,3.3636240853160848e-15,1.0812494469101234e-15,1402880.0,162.0,162.0,162.0,cupy,814,814.0,0.1681293999863555,0.1721969999925932,2.5845665000088047,2.652427000008174,0.0427850999985821,2.6952121000067564,0.0349151916589552,0.035526965140153
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q128,c1,topk_1024,128.0,1024.0,1369.0,1369.0,34352.0,240.15196295342733,159243.74207647605,654.867026957881,6548.670269578809,6548.670269578809,1.4915219690008594e-14,2.2350904823745223e-15,2805760.0,290.0,290.0,290.0,cupy,443,443.0,0.34590770000068,0.3498056999960681,1.6563515000016196,1.7245621000038227,0.0801617000106489,1.804723800014472,0.0349150882943678,0.0355268492089887
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q32,c1,topk_512,32.0,512.0,625.0,625.0,35096.0,1313.518777417592,462890.8004708774,7975.431845774066,79754.31845774066,79754.31845774066,1.7550899785224088e-15,8.847150614400059e-16,320512.0,98.0,98.0,98.0,cupy,1237,1237.0,0.1216563000052701,0.126514200004749,3.924297200006549,3.9949476000037976,0.0202732000034302,4.015220800007228,0.0349147965538494,0.0355266082844251
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q64,c1,topk_512,64.0,512.0,625.0,625.0,35096.0,1313.518777417592,462890.8004708774,2552.6558195391303,25526.558195391302,25526.558195391302,4.830144093494268e-15,1.0284133262857662e-15,641024.0,162.0,162.0,162.0,cupy,737,737.0,0.1750420000025769,0.1789538000011816,2.5330115999968257,2.601115099998424,0.0386829000053694,2.6397980000037933,0.0349147992957532,0.0355266081199104
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q128,c1,topk_512,128.0,512.0,625.0,625.0,35096.0,1313.518777417592,462890.8004708774,621.1929643640085,6211.929643640085,6211.929643640085,1.021586224569387e-14,1.4940816120316704e-15,1282048.0,290.0,290.0,290.0,cupy,415,415.0,0.3408198000106495,0.3447153999877628,1.5961355000035835,1.664096900000004,0.0905518000072334,1.7546487000072375,0.03491487895551,0.035526649955746
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q32,c1,topk_1024,32.0,1024.0,1369.0,1369.0,34352.0,720.4558888598436,477731.2262291375,23948.48274264257,239484.82742642568,239484.82742642568,2.0059573094364733e-15,1.0220042597848434e-15,701440.0,98.0,98.0,98.0,cupy,1909,1909.0,0.1052956000057747,0.1091942000057315,5.865502500004368,6.0449443999968935,0.0204397999914363,6.06538419998833,0.0306542955158875,0.0310973743677363
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q64,c1,topk_1024,64.0,1024.0,1369.0,1369.0,34352.0,720.4558888598436,477731.2262291375,7691.245806811318,76912.45806811318,76912.45806811318,4.307627849021514e-15,1.0886232953242598e-15,1402880.0,162.0,162.0,162.0,cupy,1114,1114.0,0.1815730999951483,0.1855661000008694,3.655715800006874,3.8344198999984656,0.0510771999979624,3.885497099996428,0.030654275101057,0.0310973848489277
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q128,c1,topk_1024,128.0,1024.0,1369.0,1369.0,34352.0,720.4558888598436,477731.2262291375,1959.584940213343,19595.84940213343,19595.84940213343,9.003194418420461e-15,1.6873638378135556e-15,2805760.0,290.0,290.0,290.0,cupy,608,608.0,0.3769862999906763,0.3815806000056909,2.1915076000004774,2.371932299996842,0.0809449000080348,2.452877200004877,0.0306543660703667,0.0310974372449151
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_512_q32,c1,topk_512,32.0,512.0,625.0,625.0,35096.0,3940.556332250379,1388672.4014117874,23895.775580220827,238957.75580220827,238957.75580220827,2.7320189790547624e-15,8.965023473253541e-16,320512.0,98.0,98.0,98.0,cupy,1581,1581.0,0.1364918000035686,0.1412688000127673,4.962521599998581,5.141762400002335,0.0200481000065337,5.161810500008869,0.0306545805652703,0.0310976707534124
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_512_q64,c1,topk_512,64.0,512.0,625.0,625.0,35096.0,3940.556332250379,1388672.4014117874,7661.942627312427,76619.42627312426,76619.42627312426,2.8727641101019206e-15,9.620907838698878e-16,641024.0,162.0,162.0,162.0,cupy,1015,1015.0,0.1852943999983836,0.1895120999979553,3.2852954999980284,3.469930999999633,0.0452594000089447,3.515190400008578,0.030654490685271,0.031097597535492
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_512_q128,c1,topk_512,128.0,512.0,625.0,625.0,35096.0,3940.556332250379,1388672.4014117874,1859.158953137529,18591.58953137529,18591.58953137529,1.0967155256421096e-14,1.6891551023813809e-15,1282048.0,290.0,290.0,290.0,cupy,646,646.0,0.351329800003441,0.3556575999973574,2.4010415999946417,2.5788141999946674,0.0864542000053916,2.665268400000059,0.0306543333579848,0.0310974657620946
