M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,790,9.79732645966526e-07,,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,True,,,,,,,,,,,False,789.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,790,,1000,1000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0012503840386405246,0.01993685757298306,0,,,ok,,0.0015312407595876169,1.2096802000742173,,,,,,,,,,,,,,,,,,,,,,,,0.395901199997752,,0.020876900001894683,1.8583197999978438,,2.2542220000032103,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,351,8.872250451322862e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,2331.582765226451,0.016285268710267142,,,5,257,0.0013256576478713217,0.3406940155029297,1e-05,,,True,[],,,,,,,,,,False,350.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,351,350,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0012667374525601777,0.01993635921916856,0,,,ok,,0.001453187464206729,0.5100687999365618,0.0004106394289244366,0.1437238001235528,,,[],,,,,,,,,,,,,,,,,0.5801084999984596,,0.2797310000023572,0.0007556999917142093,0.02144130000669975,0.9980944999988424,,1.8586896999913733,,1e-06,45,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,213,7.949163602115889e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,938.6877381731977,0.006496306931801235,,,5,482,0.0013409258735625081,0.6463262710571289,1e-05,,,True,[],,,,,,,,,,False,212.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,213,212,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0012678166111614294,0.019936300743003555,0,,,ok,,0.0014541375596582356,0.3097313002072042,0.0007398688676574857,0.15685219994338695,,,[],,,,,,,,,,,,,,,,,1.3559138999989955,,0.06811529998958576,0.0004287000047042966,0.021561400004429743,0.6689801000029547,,2.0934379999962403,,1e-06,90,v3
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,5000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,186,187,9.776718911556353e-07,6250000,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,186.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_512,189,187,186,1000,1000000,cufinufft,binned_c1,50,186,9.776718911556353e-07,pcg,converged,186,,True,0.1,0,1313.5162514399249,0.0012663058485557824,0.019936062182088515,0,0.1,exact,ok,,0.0014428855616438706,0.2698196000274038,0.0007735311829169552,0.14387680002255365,462889.78707640665,35096,,,0.0022889999963808805,6.296935527878363e-05,0.011712300081853755,6.472741949036517e-05,0.012039300025207922,0.0005199381711884022,0.0967084998410428,0.018729399991570972,0.008547199991880916,-0.018729399991570972,0.0,0.009405699995113537,8.618279569281606e-05,0.016029999998863786,,,0.00024080000002868474,0.06748810000135563,0.02247229999920819,0.021076899996842258,0.6091047999943839,0.0007765000045765191,0.6765928999957396,0.6768336999957683,1e-06,,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,5000,1369,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,91,92,9.819442427067396e-07,29986576,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,91.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_1024,189,92,91,1000,1000000,cufinufft,binned_c1,50,91,9.819442427067396e-07,pcg,converged,91,,True,0.1,0,240.1514296249552,0.001266196095206847,0.019936074460741235,0,0.1,exact,ok,,0.001611992390952883,0.14830329996766523,0.0019026428568535126,0.17314049997366965,159243.36646233394,34352,,,0.0022492999996757135,7.401428592856973e-05,0.006735300019499846,0.00016904285671394113,0.015382899960968643,0.0015034604396103053,0.13681490000453778,0.10126760001003277,0.046130700007779524,-0.10126760001003277,0.0,0.051930400004494004,0.00010216703310936363,0.00929720001295209,,,0.00017249998927582055,0.06907479999063071,0.10484340001130477,0.02101730000867974,0.5329083999968134,0.003206499997759238,0.6019831999874441,0.6021556999767199,1e-06,,v6_btab
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,5000,625,cheap,30,0.01,,cupy,2.2849519416417073e-15,9.666391313759726e-16,160,98,98,,98,32,625,35096,320512,7684.0873297614,76840.87329761399,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,403,404,9.953439116669859e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,32,0,32,32,0,0,2,35721,,,,,,,2.2849519416417073e-15,9.666391313759726e-16,,,,,1e-05,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,403.0,matern,0.1,1.5,1.0,,38416,6000,btab_boxeig_topk_512_q32,189,404,403,1000,1000000,cufinufft,binned_c1,50,403,9.953439116669859e-07,pcg,converged,403,,True,0.1,0,1313.5162514399249,0.0012682036225376827,0.019936170665394826,0,0.1,boxeig,ok,,0.001444378960243712,0.5835290999384597,0.0005756746898127937,0.23199689999455586,462889.78707640665,35096,,76840.87329761399,0.00243429999682121,6.260992569887026e-05,0.025231800056644715,5.8904466988800776e-05,0.02373850019648671,0.000328039702251334,0.1322000000072876,0.11095400000340305,0.0,0.0,0.0018156000005546957,0.0,8.824243169525181e-05,0.03556169997318648,0.10913840000284836,,0.020426100003533065,0.06828359999053646,0.11393690000113565,0.0209644999995362,1.3051841000124114,0.0,1.3734677000029478,1.3938938000064809,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,5000,625,cheap,30,0.01,,cupy,4.892718501925639e-15,1.0724766239991685e-15,320,162,162,,162,64,625,35096,641024,2514.350224199532,25143.50224199532,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,235,236,9.724224304887133e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,64,0,64,64,0,0,2,35721,,,,,,,4.892718501925639e-15,1.0724766239991685e-15,,,,,1e-05,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,235.0,matern,0.1,1.5,1.0,,38416,6000,btab_boxeig_topk_512_q64,189,236,235,1000,1000000,cufinufft,binned_c1,50,235,9.724224304887133e-07,pcg,converged,235,,True,0.1,0,1313.5162514399249,0.0012650160689681566,0.01993607940090206,0,0.1,boxeig,ok,,0.001455017797201497,0.3433842001395533,0.0005900872340599233,0.138670500004082,462889.78707640665,35096,,25143.50224199532,0.0022041000047465786,6.352638209020679e-05,0.014928699791198596,5.978851051545365e-05,0.014050299971131608,0.00033852851075278793,0.07955420002690516,0.18588930000260007,0.0,0.0,0.0013082999939797446,0.0,8.887914913468697e-05,0.020886600046651438,0.18458100000862032,,0.03767130000051111,0.06773920000705402,0.1885787000064738,0.021948100009467453,0.8943502999900375,0.0,0.9620894999970915,0.9997607999976026,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,5000,625,cheap,30,0.01,,cupy,1.573469715985557e-14,1.7559905173109983e-15,640,290,290,,290,128,625,35096,1282048,681.6421711735619,6816.421711735618,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,210,211,9.980584564591538e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,128,0,128,128,0,0,2,35721,,,,,,,1.573469715985557e-14,1.7559905173109983e-15,,,,,1e-05,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,210.0,matern,0.1,1.5,1.0,,38416,6000,btab_boxeig_topk_512_q128,189,211,210,1000,1000000,cufinufft,binned_c1,50,210,9.980584564591538e-07,pcg,converged,210,,True,0.1,0,1313.5162514399249,0.0012651387238258413,0.01993603094412673,0,0.1,boxeig,ok,,0.0014430933651405108,0.3044927000446478,0.0005683723812191082,0.11935820005601272,462889.78707640665,35096,,6816.421711735618,0.0021667999972123653,6.0758571184816814e-05,0.012759299948811531,5.8316667162303236e-05,0.01224650010408368,0.00032725190477711816,0.06872290000319481,0.3297596999909729,0.0,0.0,0.001196400000480935,0.0,8.539142817469491e-05,0.01793219991668593,0.32856329999049194,,0.0776968999998644,0.07013989999541081,0.3323608999926364,0.021864400012418628,0.9474560999951791,0.0,1.01759599999059,1.0952928999904543,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,5000,1369,cheap,30,0.01,,cupy,2.1576777447452567e-15,9.245667586296355e-16,160,98,98,,98,32,1369,34352,701440,7688.1539447560435,76881.53944756043,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,512,513,9.789549633265431e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,32,0,32,32,0,0,2,35721,,,,,,,2.1576777447452567e-15,9.245667586296355e-16,,,,,1e-05,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,512.0,matern,0.1,1.5,1.0,,85264,6000,btab_boxeig_topk_1024_q32,189,513,512,1000,1000000,cufinufft,binned_c1,50,512,9.789549633265431e-07,pcg,converged,512,,True,0.1,0,240.1514296249552,0.00126469295739193,0.01993607056227638,0,0.1,boxeig,ok,,0.0014530157896571613,0.7453971000941237,0.0005760220702484276,0.2949232999671949,159243.36646233394,34352,,76881.53944756043,0.002333800002816133,6.489101542683784e-05,0.033224199898540974,6.0241992684950674e-05,0.030843900254694745,0.00032118046854634485,0.16444439989572857,0.11398819998430554,0.0,0.0,0.0018127999937860295,0.0,8.983925795291725e-05,0.04599770007189363,0.11217539999051951,,0.019836299994494766,0.06816330000583548,0.11675870000908617,0.02314999999362044,1.648967500004801,0.0,1.7171308000106364,1.7369671000051312,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,5000,1369,cheap,30,0.01,,cupy,4.012708216055866e-15,9.357080363729575e-16,320,162,162,,162,64,1369,34352,1402880,2521.0699316286796,25210.699316286795,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,294,295,9.936664691887284e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,cheap,64,0,64,64,0,0,2,35721,,,,,,,4.012708216055866e-15,9.357080363729575e-16,,,,,1e-05,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,294.0,matern,0.1,1.5,1.0,,85264,6000,btab_boxeig_topk_1024_q64,189,295,294,1000,1000000,cufinufft,binned_c1,50,294,9.936664691887284e-07,pcg,converged,294,,True,0.1,0,240.1514296249552,0.0012658814537387306,0.01993607648733334,0,0.1,boxeig,ok,,0.0014505532207125325,0.42791320011019707,0.0005659030604478744,0.1663754997716751,159243.36646233394,34352,,25210.699316286795,0.0022213999909581617,6.371904739699814e-05,0.018733399934717454,5.8433333054251436e-05,0.017179399917949922,0.0003163255101246411,0.09299969997664448,0.18902380001964048,0.0,0.0,0.0012798000097973272,0.0,8.876666646026277e-05,0.026097399939317256,0.18774400000984315,,0.04066210000019055,0.0709385999944061,0.19190490001346916,0.02113820001250133,1.0625624999956926,0.0,1.1335010999900987,1.1741631999902893,1e-06,,v7_btab_boxeig
