dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1454.0,1454.0,1455.0,1455.0,,0.0949739000061526,,,3.582882799993968,0.0223723999952198,3.677857300004689,0.0351715895099439,0.0357789273773096,9.939233398796854e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,652.0,652.0,653.0,653.0,652.0,0.0735807000019121,0.6039963000075659,0.0004438999894773,1.9986034000030488,0.0221690000034868,2.676624300002004,0.0349150438023097,0.0355267334497039,8.756525582822354e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,368.0,368.0,369.0,369.0,368.0,0.0709943000110797,1.4121940999903018,0.0005478000093717,1.2296575999935158,0.0219070000021019,2.713393800004269,0.0349152161033914,0.0355270866458518,9.844805042365838e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,2248.0,2248.0,2249.0,2249.0,,0.2539663000061409,,,5.152392999996664,0.0644668000022647,5.406360399996629,0.0307314034646228,0.0311743832271234,8.101272442041834e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,987.0,987.0,988.0,988.0,987.0,0.1887915999977849,0.6006650000053924,0.0004793999978573,2.916567899999791,0.0616258999943966,3.7065039000008255,0.0306547787992801,0.0310976933608272,8.632313547938543e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,570.0,570.0,571.0,571.0,570.0,0.1854778999986592,1.397879299998749,0.0004534999898169,1.9345358000136912,0.0613126999960513,3.5183465000009164,0.0306548971004151,0.0310978383591197,9.503710270217404e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,789.0,789.0,790.0,790.0,,0.3494071000022813,,,1.8765580000035695,0.0221285999868996,2.225966400001198,0.0199368576424046,0.0012503656759942,8.807050485291738e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,350.0,350.0,351.0,351.0,350.0,0.0726328000018838,0.6005070999963209,0.000618599995505,1.030621300000348,0.021537000007811,1.704379799994058,0.0199363591651995,0.0012667516490841,8.834220831484418e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,212.0,212.0,213.0,213.0,212.0,0.0684589000011328,1.4068530000076862,0.0004698999982792,0.6927783999999519,0.0220019999978831,2.1685602000070503,0.0199363007007752,0.0012678206128343,7.884008931212539e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,1041.0,1041.0,1042.0,1042.0,,0.2560129999910714,,,2.338625199990929,0.061176000002888,2.594639799994184,0.0199711534578182,0.0008818678609196,8.653883087405782e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,448.0,448.0,449.0,449.0,448.0,0.1850578000012319,0.5994303000043146,0.000434799992945,1.3102461000089534,0.0619642999954521,2.095169000007445,0.0199711699398769,0.0008886991088142,9.76188088730074e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,244.0,244.0,245.0,245.0,244.0,0.1862231999984942,1.400056600003154,0.0005240999889792,0.8204393000050914,0.0639380000066012,2.407243199995719,0.0199713528571925,0.0008895225519467,9.620460942401364e-07,ok
