M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,epsilon_T,error_message,error_type,eta_eig,eta_eig_sq,eta_inv,eta_inv_sq,eta_inv_status,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,traceback,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,404,9.907908388535127e-07,,,,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,,,,,,,,,True,,,,,,,,,,,False,403.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,404,,1000,100000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.002596733431776824,0.019675129751948628,0,,,ok,,0.0016442957922924624,0.6642955000861548,,,,,,,,,,,,,,,,,,,,,,,,0.2855466999899363,,0.005337800001143478,1.007784499990521,,1.2933325999911176,,1e-06,,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,184,9.937989450790436e-07,,,nan,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,232.7740355772971,0.016260817949417,,,5,257,0.0013431971360737247,0.34520166397094726,1e-05,,,,,,,,,,,True,[],,,,,,,,,,False,183.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,184,183,1000,100000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.002867290953738403,0.01967733571883936,0,,,ok,,0.0014745793489608964,0.27132260020880494,0.0004183978140207842,0.07656679996580351,,,[],,,,,,,,,,,,,,,,,0.5867359999974724,,0.0359939000045415,0.0006504000048153102,0.005648499995004386,0.5348200000007637,,1.1582003000075929,,1e-06,45,,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,107,9.40831896465057e-07,,,nan,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,94.07055887196302,0.006511165886575658,,,5,482,0.0013664705585147334,0.6586388092041016,1e-05,,,,,,,,,,,True,[],,,,,,,,,,False,106.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,107,106,1000,100000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0028687221986296797,0.01967737625771956,0,,,ok,,0.00162513364567726,0.17388930008746684,0.0008212377362278343,0.08705120004015043,,,[],,,,,,,,,,,,,,,,,1.3702990000019781,,0.028863100000307895,0.001293599998462014,0.00587900000391528,0.4041460000007646,,1.8046017000015127,,1e-06,90,,v3
35721,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,10000,361,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4097,50,diag,0.001,50,auto,auto,124,125,8.393594543357853e-07,2085136,,,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,3.3340620179486784,,,,,1.909119086018836,3.644735684601396,ok,chol_solve,99999.99999983753,True,,nan,0,50,diag,0.001,0,0,0,0,False,124.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_256,189,125,124,1000,100000,cufinufft,binned_c1,50,124,8.393594543357853e-07,pcg,converged,124,,True,0.1,0,385.25042873014104,0.0028661512193466888,0.019677364952833305,0,0.1,exact,ok,,0.0015607728010509163,0.19509660013136454,0.0007759016122192054,0.09621179991518147,91741.62177133362,35360,,,0.0032263999892165884,7.484274207062328e-05,0.009280500016757287,7.399596858792188e-05,0.009175500104902312,0.000465815322733702,0.05776110001897905,0.009837199992034584,0.00585379998665303,-0.009837199992034584,0.0,0.0034421000018483028,0.0001101395164075638,0.013657300034537911,,,0.18333240000356454,0.026982300012605265,0.015382400000817142,0.00579749999451451,0.44852849999733735,0.0005413000035332516,0.4755108000099426,0.6588432000135072,1e-06,,,v6_btab
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,10000,625,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4097,50,diag,0.001,50,auto,auto,84,85,9.406618868252424e-07,6250000,,,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,3.1871976068283066,,,,,1.859318297231479,3.4570645304197662,ok,chol_solve,99999.99999983753,True,,nan,0,50,diag,0.001,0,0,0,0,False,84.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_512,189,85,84,1000,100000,cufinufft,binned_c1,50,84,9.406618868252424e-07,pcg,converged,84,,True,0.1,0,131.34961397239357,0.0028662263247393447,0.019677329423554737,0,0.1,exact,ok,,0.00145317529403495,0.12351989999297075,0.0007589428570922575,0.06375119999574963,46288.17184947727,35096,,,0.0024558000004617497,5.985119042591014e-05,0.005027499995776452,6.229761960899591e-05,0.005233000047155656,0.0005143404771280032,0.043204600078752264,0.019557999999960884,0.009441899994271807,-0.019557999999960884,0.0,0.009330700006103143,8.455238050720211e-05,0.007102399962604977,,,0.16920670001127291,0.028455299994675443,0.023406799999065697,0.005233600008068606,0.2873208999953931,0.000785399999585934,0.31577619999006856,0.4849829000013415,1e-06,,,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,10000,1369,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4097,50,diag,0.001,50,auto,auto,43,44,9.06789986185097e-07,29986576,,,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.8909697413207445,,,,,1.6979056015001455,2.8828834316055705,ok,chol_solve,99999.99999983754,True,,nan,0,50,diag,0.001,0,0,0,0,False,43.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_1024,189,44,43,1000,100000,cufinufft,binned_c1,50,43,9.06789986185097e-07,pcg,converged,43,,True,0.1,0,24.01471832986902,0.0028663056555757196,0.019677367624636524,0,0.1,exact,ok,,0.0015092363653159489,0.06640640007390175,0.0018032767453236332,0.07754090004891623,15924.037585041098,34352,,,0.002510599995730445,7.27511624274992e-05,0.0031282999843824655,7.951860607136041e-05,0.0034193000610684976,0.0015021279081296132,0.06459150004957337,0.10313990000577178,0.04829620000964496,-0.10313990000577178,0.0,0.051622700004372746,9.728604683999059e-05,0.004183300014119595,,,0.20111359999282286,0.02446399998734705,0.10707240000192542,0.00531599999521859,0.29938680000486784,0.00322099999175407,0.3238507999922149,0.5249643999850377,1e-06,,,v6_btab
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,10000,2601,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4097,50,diag,0.001,50,auto,auto,24,25,7.425123415620372e-07,108243216,,,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.4078465970894887,,,,,1.434504427106825,2.05780295138908,ok,chol_solve,99999.99999983753,True,,nan,0,50,diag,0.001,0,0,0,0,False,24.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_2048,189,25,24,1000,100000,cufinufft,binned_c1,50,24,7.425123415620372e-07,pcg,converged,24,,True,0.1,0,5.454659259340382,0.002866811653309936,0.019677398356222103,0,0.1,exact,ok,,0.0014666879997821524,0.03666719999455381,0.004465733334654942,0.10717760003171861,6301.9745343581435,33120,,,0.0028224999987287447,6.327499916854624e-05,0.00151859998004511,7.881249863809596e-05,0.001891499967314303,0.004190379166781592,0.1005691000027582,0.4896872999961488,0.2020973999897251,-0.4896872999961488,0.0,0.2757241000072099,8.829166593689781e-05,0.0021189999824855477,,,0.3005671999999322,0.025555000000167638,0.4946804999926826,0.0054678000014973804,0.6620538999995915,0.011865799999213777,0.6876088999997592,0.9881760999996914,1e-06,,,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,10000,5329,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4097,50,diag,0.001,50,auto,auto,15,16,7.760809915566555e-07,0,,,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,31,0,31,30,0,2,35721,,,,,,,,,,,,,1e-05,1.3113255278082407,,,,,nan,nan,skipped_no_exact_inverse,chol_solve,99999.99999983753,True,,0.625053658136457,50,50,diag,0.001,707,722,721,0,False,15.0,matern,0.1,1.5,1.0,,336400,6000,btab_auto_topk_4096,189,16,15,1000,100000,cufinufft,binned_c1,50,15,7.760809915566555e-07,fgmres,converged,15,,True,0.1,0,0.9838329408838159,0.002866364081115282,0.019677342652208617,0,0.1,inner_pcg,ok,,0.0014775812496736762,0.02364129999477882,0.0807887266681064,1.2118309000215959,2124.092769245548,30392,,,0.003033300003153272,7.202666893135756e-05,0.0010804000339703634,6.577333260793239e-05,0.0009865999891189858,0.07955629333252243,1.1933443999878364,0.013021599996136501,0.0,0.0,0.013021599996136501,0.0,0.0010471866650429245,0.015707799975643866,,,0.05968869999924209,0.02640610000526067,0.017871799995191395,0.00567600000067614,1.7729057999968063,0.0,1.799311900002067,1.859000600001309,1e-06,,,v6_btab
35721,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,10000,361,full,30,0.01,,cupy,3.766795198705072e-15,1.0147432683406189e-15,320,162,162,,162,64,361,35360,370688,250.2483226782382,2502.4832267823817,0.001,boxeig,4097,50,diag,0.001,50,auto,boxeig,195,196,8.655835089050423e-07,0,,,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,64,93,64,157,60,31,2,35721,,,,,,,3.766795198705072e-15,1.0147432683406189e-15,,,,,1e-05,3.334062017948677,,,1.1366637214523017,1.2920044156657955,,,,boxeig,99999.99999983753,True,,nan,0,0,,nan,0,0,0,0,False,195.0,matern,0.1,1.5,1.0,,21904,6000,btab_boxeig_topk_256_q64,189,196,195,1000,100000,cufinufft,binned_c1,50,195,8.655835089050423e-07,pcg,converged,195,,True,0.1,0,385.25042873014104,0.0028645911797894543,0.0196771582831892,0,0.1,boxeig,ok,,0.0014928341833536029,0.29259549993730616,0.000596486154021337,0.11631480003416073,91741.62177133362,35360,,2502.4832267823817,0.002199900001869537,6.374307723047259e-05,0.012429900059942156,6.001743492491257e-05,0.01170339981035795,0.00034178615419361264,0.06664830006775446,0.21152910000819247,0.0,0.0,0.022456799997598864,0.0,9.117333333378133e-05,0.017778800000087358,0.1890723000105936,,1.2021163999888813,0.025183000005199574,0.21459730000060517,0.005625499994494021,0.8100000999984331,0.0,0.8351831000036327,2.037299499992514,1e-06,,,v7_btab_boxeig
35721,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,10000,361,full,30,0.01,,cupy,3.365923840783941e-14,2.29991161298854e-15,640,290,290,,290,128,361,35360,741376,12.22218360902479,122.2218360902479,0.001,boxeig,4097,50,diag,0.001,50,auto,boxeig,121,122,9.537787197267895e-07,0,,,2,synthetic_true_func_2d_n100000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,128,93,128,221,60,31,2,35721,,,,,,,3.365923840783941e-14,2.29991161298854e-15,,,,,1e-05,3.3340620179486784,,,1.7976082893070056,3.2313955617852588,,,,boxeig,99999.99999983753,True,,nan,0,0,,nan,0,0,0,0,False,121.0,matern,0.1,1.5,1.0,,21904,6000,btab_boxeig_topk_256_q128,189,122,121,1000,100000,cufinufft,binned_c1,50,121,9.537787197267895e-07,pcg,converged,121,,True,0.1,0,385.25042873014104,0.0028657925920781142,0.019677326019283375,0,0.1,boxeig,ok,,0.0015099491799044132,0.18421379994833842,0.0006362768592436082,0.0769894999684766,91741.62177133362,35360,,122.2218360902479,0.0026856000040424988,6.969999940488641e-05,0.008433699927991256,6.397355413776321e-05,0.00774080005066935,0.00036401322331810603,0.04404560002149083,0.39175200001045596,0.0,0.0,0.0022770000068703666,0.0,9.81099168531412e-05,0.011871299939230084,0.3894750000035856,,0.25527760000841226,0.027915300001041032,0.3949551999976393,0.005632200001855381,0.7787293000001227,0.0,0.8066446000011638,1.061922200009576,1e-06,,,v7_btab_boxeig
