dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,eta_eig,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,646,,0.0004045999958179,2.167417899996508,3.1720603999856394,,,0.035526734348578
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,368,,0.0004293000092729,1.4102482000016607,3.315643900015857,,,0.035527087604539
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,1464,,,4.014317299996037,4.462906100001419,,,0.0357788529119624
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,240.15196295342736,159243.74207647608,5.965348978769048,,1.2011182154975109,6548.670269578816,1.0343899017165951e-14,443,443.0,0.3781005999771878,1.855891199986217,2.100654799985932,0.2890931000001728,2.389747899986105,0.0355268487907429
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,240.15196295342736,159243.74207647608,5.965348978769048,3.06818593329006,,,,154,154.0,0.1150042999943252,0.9008013000129722,1.2116146000043957,0.3360891999909654,1.547703799995361,0.0355266716639154
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,54.5477451243749,63021.1201277645,5.690954425193259,3.0281045245554936,,,,90,90.0,0.4925486999854911,1.221677900000941,1.4601168000081088,0.3522933999774977,1.8124101999856064,0.0355266295178468
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,9.838544680288264,21241.399621101573,4.931851559891996,2.637845186799576,,,,46,46.0,4.594662699993933,13.478751699993154,13.7360531000013,6.133636200014735,19.869689300016034,0.0355266373056851
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,35096.0,1313.518777417592,462890.8004708774,6.388460870011981,2.9635431788641697,,,,301,301.0,0.0240426999807823,1.2410636999993585,1.4794832000043243,0.2156547000049613,1.6951379000092857,0.0355266798115206
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,1514,,0.0003839000128209,5.225853899988579,6.993204700003844,,,0.0286162956654846
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,865,,0.0005214000120759,3.3609309000021312,5.968224900017958,,,0.0286166520562357
