M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,epsilon_T,eta_eig,eta_eig_sq,eta_inv,eta_inv_sq,eta_inv_status,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,788,789,9.008677823510011e-07,,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,,,,,,,True,,,,,,,,,,,False,788.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,789,,1000,1000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0012503883705249675,0.019936857768821137,0,,,ok,,0.0015538685678971249,1.2260023000708316,,,,,,,,,,,,,,,,,,,,,,,,0.29882419999921694,,0.024940500006778166,1.8629450000007637,,2.161770600010641,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,350,351,8.829535776149142e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,2331.5827652264506,0.016285268710267146,,,5,257,0.0014034019499901205,0.36067430114746096,1e-05,,,,,,,,,True,[],,,,,,,,,,False,350.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,351,350,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0012667367921677432,0.019936359299518196,0,,,ok,,0.0015312866093869456,0.5374815998948179,0.0004291571431427396,0.15020500009995885,,,[],,,,,,,,,,,,,,,,,0.6316290000104345,,0.09739119998994283,0.0007078000053297728,0.02222990000154823,1.0397771999996621,,1.7695052000053693,,1e-06,45,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,212,213,7.895881257583309e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,938.6877381731979,0.006496306931801236,,,5,482,0.0014060369784406608,0.6777098236083985,1e-05,,,,,,,,,True,[],,,,,,,,,,False,212.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,213,212,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0012678231911483588,0.019936300718932817,0,,,ok,,0.0015359676057448777,0.32716110002365895,0.0008252099052594342,0.17494449991500005,,,[],,,,,,,,,,,,,,,,,1.4198933999869041,,0.0762418000085745,0.000535300001502037,0.025518200010992587,0.7335770000063349,,2.2302475000033155,,1e-06,90,v3
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,6000,625,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,6000,group_a,50,diag,0.001,50,auto,auto,186,187,9.77676725802045e-07,6250000,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.921056339067285,,,1.8683819112803823,3.4908509663997345,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,186.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_512,189,187,186,1000,1000000,cufinufft,binned_c1,50,186,9.77676725802045e-07,pcg,converged,186,,True,0.1,0,1313.5162514399249,0.001266305925342847,0.019936062181535628,0,0.1,exact,ok,,0.001561387164087438,0.29197939968435094,0.0008967924731350453,0.16680340000311844,462889.78707640665,35096,,,0.002992699999595061,7.796612685866733e-05,0.014501699595712125,8.276935497183673e-05,0.015395100024761632,0.0005826048378679921,0.10836449984344654,0.029022800008533522,0.017141699994681403,-0.029022800008533522,0.0,0.01058020000346005,0.0001035569886919812,0.019261599896708503,,,0.17342430001008324,0.07915580002008937,0.03447399998549372,0.021694399998523295,0.708326499996474,0.0013009000103920698,0.7874823000165634,0.9609066000266466,1e-06,,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,6000,1369,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,6000,group_a,50,diag,0.001,50,auto,auto,91,92,9.819442427057892e-07,29986576,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.839405002211028,,,1.8063859279535779,3.2630301207087085,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,91.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_1024,189,92,91,1000,1000000,cufinufft,binned_c1,50,91,9.819442427057892e-07,pcg,converged,91,,True,0.1,0,240.1514296249552,0.0012661960952069164,0.019936074460741235,0,0.1,exact,ok,,0.0015031684774642242,0.13829149992670864,0.001761986813277702,0.1603408000082709,159243.36646233394,34352,,,0.009929899999406189,6.55252734649476e-05,0.005962799885310233,7.37934084839423e-05,0.006715200172038749,0.0014813802196071125,0.13480559998424724,0.1047524000168778,0.049047700013034046,-0.1047524000168778,0.0,0.052427300019189715,9.78901094480694e-05,0.008907999959774315,,,0.2054010000138078,0.06940860001486726,0.11609080000198446,0.021942099992884323,0.504577599989716,0.003277399984654039,0.5739862000045832,0.779387200018391,1e-06,,v6_btab
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,6000,2601,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,6000,group_a,50,diag,0.001,50,auto,auto,57,58,8.583678946251953e-07,108243216,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.731338618741145,,,1.7168587239733248,2.947603878083313,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,57.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_2048,189,58,57,1000,1000000,cufinufft,binned_c1,50,57,8.583678946251953e-07,pcg,converged,57,,True,0.1,0,54.54761652132973,0.0012655525452141502,0.01993605356487303,0,0.1,exact,ok,,0.0014906896555250317,0.08646000002045184,0.004604036843694191,0.2624301000905689,63020.96672492494,33120,,,0.002572199999121949,6.848069882069372e-05,0.0039033998327795416,8.987543977829709e-05,0.005122900067362934,0.004305291227003755,0.24540159993921407,0.4943353999988176,0.20096719998400658,-0.4943353999988176,0.0,0.281590700004017,9.183508646265979e-05,0.005234599928371608,,,0.3041097999957856,0.0698137000144925,0.4983240000146907,0.02176770000369288,0.9059572999831289,0.011777500010794029,0.9757709999976214,1.279880799993407,1e-06,,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,6000,5329,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,6000,group_a,50,diag,0.001,50,auto,auto,26,27,7.914420837450595e-07,454371856,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.4296804987506406,,,1.4648089798622008,2.1456653474849414,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,26.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_4096,189,27,26,1000,1000000,cufinufft,binned_c1,50,26,7.914420837450595e-07,pcg,converged,26,,True,0.1,0,9.83852065960661,0.001266587750390045,0.01993604275340753,0,0.1,exact,ok,,0.0016028518568620915,0.04327700013527647,0.18073183076697974,4.6990275999414735,21241.346961770272,30392,,,0.00274250001530163,6.893461641783897e-05,0.0017923000268638134,0.00018380768821001626,0.004778999893460423,0.18029099230569465,4.687565799948061,6.500778499990702,3.5853763000050094,-6.500778499990702,0.0,2.3383576999767683,0.00010112307567256861,0.002629199967486784,,,5.83819000000949,0.07073279999895021,6.52516060002381,0.03101010000682436,11.300088400021195,0.5770445000089239,11.370821200020146,17.209011200029636,1e-06,,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,6000,1369,full,30,0.01,,cupy,1.0322402461280626e-14,1.8025468304180567e-15,640,290,290,,290,128,1369,34352,2805760,691.2003545512329,6912.003545512328,0.001,boxeig,6000,group_a,50,diag,0.001,50,auto,boxeig,116,117,8.896204065531682e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,128,93,128,221,60,31,2,35721,,,,,,,1.0322402461280626e-14,1.8025468304180567e-15,,,,,1e-05,2.839405002211028,0.8840375934997834,0.7815224667208882,,,,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,116.0,matern,0.1,1.5,1.0,,85264,6000,btab_boxeig_topk_1024_q128,189,117,116,1000,1000000,cufinufft,binned_c1,50,116,8.896204065531682e-07,pcg,converged,116,,True,0.1,0,240.1514296249552,0.0012631436138648099,0.01993606083882088,0,0.1,boxeig,ok,,0.0016920000004271667,0.1979640000499785,0.0006537767248087691,0.07583810007781722,159243.36646233394,34352,,6912.003545512328,0.024916399997891858,6.998362118008964e-05,0.008118100056890398,6.675430932804814e-05,0.007743499882053584,0.00037264396287982576,0.04322669969405979,0.44578850001562387,0.0,0.0,0.004832300008274615,0.0,0.0001004224142324629,0.011649000050965697,0.44095620000734925,,0.32262779999291524,0.2490397999936249,0.47166439998545684,0.12171580002177507,0.8674702999996953,0.0,1.1165100999933202,1.4391378999862354,1e-06,,v7_btab_boxeig
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,997,998,9.606716605161328e-07,,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,,,,,,,True,,,,,,,,,,,False,997.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,998,,1000,3000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.00088344382094769,0.019971222662216095,0,,,ok,,0.0017140809617346836,1.7106527998112142,,,,,,,,,,,,,,,,,,,,,,,,1.2542182999895886,,0.37153720000060275,2.4694461000035517,,3.7236656000022776,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,448,449,9.728822606712764e-07,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,6996.7560237258485,0.016285857075972587,,,5,257,0.0016954491760016416,0.43573043823242186,1e-05,,,,,,,,,True,[],,,,,,,,,,False,448.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,449,448,1000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0008886797750607466,0.019971169932565865,0,,,ok,,0.0017297387529265152,0.7766527000640053,0.00042658281316627314,0.19110910029849038,,,[],,,,,,,,,,,,,,,,,0.7192737000004854,,0.6052191000198945,0.0009908999782055616,0.3382137999869883,1.4604237000166904,,2.785907400015276,,1e-06,45,v3
