dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1463.0,1463,1464,1464,,0.3879941999912262,,,3.458587200002512,0.1129631999938283,3.846582300000591,0.0351715643753553,0.0357788534529502,9.382196146444452e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,646.0,646,647,647,646.0,0.2155179000110365,0.6080724000057671,0.0004523999814409,2.0752783000061754,0.1107713000092189,2.89932100000442,0.0349150664502909,0.0355267384208959,9.93557874692577e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,368.0,368,369,369,368.0,0.2615549000038299,1.4521424999984447,0.0004445999802555,1.278170200006571,0.1221878000069409,2.992312199989101,0.0349152159428761,0.0355270876967476,9.8674066420928e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,3602.0,3602,3603,3603,,3.829496699996525,,,8.411193699983414,1.126875400019344,12.240691299986793,0.028509505826097,0.0286471645861676,9.759115015492883e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,1514.0,1514,1515,1515,1514.0,0.9197561999899336,0.61610880002263,0.0003839999844785,4.572497199987993,1.1318134000175633,6.108746199985035,0.0284785187029927,0.0286162941332544,8.873732562305011e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,865.0,865,866,866,865.0,0.8837272000091616,1.516268800012767,0.0005759999912697,2.858110100001795,1.1316333999857306,5.258682100014994,0.0284789013879298,0.028616653652555,9.475278556292122e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,2252.0,2252,2253,2253,,1.090952099999413,,,5.453629800002091,0.3121526000031736,6.54458259997773,0.0307314033676008,0.0311743837010276,9.619756922675934e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,970.0,970,971,971,970.0,0.5711570999992546,0.6519477000110783,0.0003855999966617,2.9636368000064977,0.3116672000032849,4.187127200013492,0.0306548770525404,0.0310978141224976,9.689273195737844e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,564.0,564,565,565,564.0,0.5406130999908783,1.4463195000134874,0.0004216999805066,2.004068800015375,0.3465250000008382,3.991423100000248,0.0306549861821571,0.031097975950237,9.989117336288036e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,832.0,832,833,833,,0.6956125000142492,,,2.3809993999893777,0.1317343000264372,3.07661439999356,0.0199367718523227,0.0012504944021168,8.922272268551835e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,350.0,350,351,351,350.0,0.2528940000047441,0.6116562999959569,0.0008681000035721,1.0423586000106295,0.1116281999857164,1.907777000014903,0.0199363592259595,0.0012667395696796,8.844086845591781e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,212.0,212,213,213,212.0,0.2589894999982789,1.441654499998549,0.0004504999960772,0.8029992000083439,0.1099226000078488,2.504093700001249,0.019936300714831,0.0012678139411734,7.91935776332323e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,1140.0,1140,1141,1141,,3.767865800007712,,,2.6231666000094265,1.076912499993341,6.391033000021707,0.0199959778725792,0.0005582857179146,9.836463671895176e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,519.0,519,520,520,519.0,1.0649610999971628,0.7461621999973431,0.0003921000170521,1.772192400007043,1.276860999991186,3.583707800018601,0.0199959876930049,0.000561504803066,9.58301117565839e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,268.0,268,269,269,268.0,0.990305499988608,1.5396363000036215,0.0004201999981887,0.8974527000100352,1.1241945999790914,3.4278147000004537,0.0199961719765394,0.0005603431403024,9.46207966249974e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,998.0,998,999,999,,1.142389299988281,,,2.279965599998832,0.3189226999820675,3.4223571000038646,0.0199712226118725,0.0008834661631503,9.64015044213431e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,448.0,448,449,449,448.0,0.5744203999929596,0.6018489999987651,0.001386200019624,1.4249992999830283,0.3570600000093691,2.602654899994377,0.0199711699745789,0.0008886736310418,9.582495717292358e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,244.0,244,245,245,244.0,0.6368263000040315,1.5875138999836054,0.0005504000000655,0.924642900004983,0.3282304000167642,3.1495334999926854,0.0199713528500482,0.0008895165518131,9.64792646706288e-07,ok
