M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,epsilon_T,eta_inv,eta_inv_sq,eta_inv_status,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,832,833,8.922272268551835e-07,,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,0,0,,,1e-05,,,,,,,True,,,,,,,,,,,False,832.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,833,,1000,1000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0012504944021168416,0.019936771852322788,0,,,ok,,0.0018700861954060355,1.5577818007732276,,,,,,,,,,,,,,,,,,,,,,0.6956125000142492,,0.13173430002643727,2.3809993999893777,,3.0766143999935593,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,350,351,8.844086845591781e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,2331.5827652264516,0.016285268710267142,5,257,0.001402425773412801,0.36042342376708986,1e-05,,,,,,,True,[],,,,,,,,,,False,350.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,351,350,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0012667395696796297,0.01993635922595956,0,,,ok,,0.0015307250714587562,0.5372845000820234,0.0004256820012648989,0.14898870044271462,,,[],,,,,,,,,,,,,,,0.6116562999959569,,0.25289400000474416,0.0008681000035721809,0.11162819998571649,1.0423586000106297,,1.907777000014903,,1e-06,45,v3
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,212,213,7.91935776332323e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,938.6877381731977,0.006496306931801235,5,482,0.0014177702907704713,0.6833652801513672,1e-05,,,,,,,True,[],,,,,,,,,,False,212.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,213,212,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.001267813941173415,0.019936300714831028,0,,,ok,,0.001872333332878743,0.39880699990317225,0.0008347014147559848,0.1769566999282688,,,[],,,,,,,,,,,,,,,1.441654499998549,,0.2589894999982789,0.0004504999960772693,0.10992260000784881,0.8029992000083439,,2.504093700001249,,1e-06,90,v3
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,6000,1369,full,30,0.01,inverse,6000,group_a,50,diag,0.001,50,auto,auto,91,92,9.819442424597128e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,1e-05,2.839405002211028,1.806385927953581,3.2630301207087196,ok,inverse,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,29986576,False,91.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_1024,189,92,91,1000,1000000,cufinufft,binned_c1,50,91,9.819442424597128e-07,pcg,converged,91,,True,0.1,0,240.1514296249552,0.00126619609520732,0.019936074460741228,0,0.1,exact,ok,,0.00161064130383159,0.14817899995250627,0.0006017846142960159,0.05476239990093745,159243.36646233394,34352,,0.003561899997293949,6.505494501063048e-05,0.005919999995967373,6.711868195702414e-05,0.006107800058089197,0.0003367604404447375,0.030645200080471113,0.3867274000076577,0.04747260001022369,0.2845268999808468,0.0,0.05140740002389066,8.895934257492586e-05,0.008095300174318254,,0.18984019997878931,0.25944860000163317,0.39215520001016557,0.13167229999089614,0.6867659999988973,0.0033204999926965684,0.9462146000005305,1.1360547999793198,1e-06,,v6_btab
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,6000,2601,full,30,0.01,inverse,6000,group_a,50,diag,0.001,50,auto,auto,57,58,8.583678944323923e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,1e-05,2.731338618741146,1.7168587239733035,2.94760387808324,ok,inverse,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,108243216,False,57.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_2048,189,58,57,1000,1000000,cufinufft,binned_c1,50,57,8.583678944323923e-07,pcg,converged,57,,True,0.1,0,54.54761652132973,0.001265552545214136,0.019936053564873032,0,0.1,exact,ok,,0.00169401724395294,0.09825300014927052,0.0011892859648357618,0.06778929999563843,63020.96672492494,33120,,0.0025886000075843185,6.439473343147128e-05,0.003670499805593863,7.154736739354568e-05,0.0040781999414321035,0.0009183824570898555,0.05234780005412176,2.062833900010446,0.1869627000123728,1.5335211000056006,0.0,0.32630909999716096,9.205438586752535e-05,0.005247099994448945,,0.18813239998416975,0.2245556999987457,2.0667849999736063,0.11131569999270141,2.288735900016036,0.016040999995311722,2.5132916000147816,2.7014239999989513,1e-06,,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,6000,5329,full,30,0.01,inverse,6000,group_a,50,diag,0.001,50,auto,auto,26,27,7.914420837905301e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,1e-05,2.42968049875064,1.4648089798621786,2.1456653474848766,ok,inverse,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,454371856,False,26.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_4096,189,27,26,1000,1000000,cufinufft,binned_c1,50,26,7.914420837905301e-07,pcg,converged,26,,True,0.1,0,9.83852065960661,0.0012665877503902937,0.01993604275340753,0,0.1,exact,ok,,0.0017366370356520983,0.046889199962606654,0.07999124615274084,2.0797723999712616,21241.346961770272,30392,,0.0031485999934375286,6.975384447007225e-05,0.0018135999562218785,0.0001933653850126295,0.005027500010328367,0.07954806153653547,2.0682495999499224,40.574700199998915,2.3175909999990836,30.652690499991877,0.0,6.8980491000111215,9.706538828770415e-05,0.002523700095480308,,2.5380474999838043,0.21865610001259483,40.58087700000033,0.15066869999282062,42.739958299993305,0.7063695999968331,42.9586144000059,45.496661899989704,1e-06,,v6_btab
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,998,999,9.64015044213431e-07,,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,0,0,,,1e-05,,,,,,,True,,,,,,,,,,,False,998.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,999,,1000,3000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0008834661631503122,0.019971222611872595,0,,,ok,,0.0015403570566693222,1.5388166996126529,,,,,,,,,,,,,,,,,,,,,,1.142389299988281,,0.31892269998206757,2.2799655999988317,,3.4223571000038646,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,448,449,9.582495717292358e-07,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,6996.756023725845,0.016285857075972576,5,257,0.0013978715740753057,0.35925299453735354,1e-05,,,,,,,True,[],,,,,,,,,,False,448.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,449,448,1000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0008886736310418453,0.019971169974578953,0,,,ok,,0.001650675056092047,0.7411531001853291,0.00042758616141977006,0.19155860031605698,,,[],,,,,,,,,,,,,,,0.6018489999987651,,0.5744203999929596,0.0013862000196240842,0.3570600000093691,1.4249992999830283,,2.602654899994377,,1e-06,45,v3
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,244,245,9.647926467062881e-07,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,2815.2623021797017,0.00649289034892189,5,482,0.0016749262196394418,0.8073144378662109,1e-05,,,,,,,True,[],,,,,,,,,,False,244.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,245,244,1000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0008895165518131516,0.019971352850048286,0,,,ok,,0.001655828164134897,0.4056779002130497,0.0008449209013096911,0.20616069991956465,,,[],,,,,,,,,,,,,,,1.5875138999836054,,0.6368263000040315,0.0005504000000655651,0.3282304000167642,0.924642900004983,,3.1495334999926854,,1e-06,90,v3
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,6000,1369,full,30,0.01,inverse,6000,group_a,50,diag,0.001,50,auto,auto,134,135,8.421202407324177e-07,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,1e-05,2.790658341840177,1.8362630681785006,3.3718620555563206,ok,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,29986576,False,134.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_1024,189,135,134,1000,3000000,cufinufft,binned_c1,50,134,8.421202407324177e-07,pcg,converged,134,,True,0.1,0,720.4550297588038,0.0008850994567807277,0.019970808626338772,0,0.1,exact,ok,,0.0015710162964683993,0.2120872000232339,0.0005546291046011359,0.07432030001655221,477730.6211788942,34352,,0.002705099992454052,7.372089716390387e-05,0.009878600219963118,7.043731157362128e-05,0.00943859975086525,0.0002660313440893374,0.035648200107971206,0.3744719999958761,0.06921059999149293,0.2502737000177149,0.0,0.05177159997401759,9.814626971648922e-05,0.013151600142009556,,0.1698028999962844,0.5515995000023395,0.3786722000222653,0.3254808000056073,0.8110536000167485,0.0032161000126507133,1.362653100019088,1.5324560000153724,1e-06,,v6_btab
