dataset_family,n_train,eps,selected_topk,selected_q,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,512.0,256.0,0.5099253289999979,14.0,14.0,14.0,0.1495132760102173,2.601907874841952,1.3025803901655744e-11
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,512.0,256.0,0.5459784069998932,23.0,23.0,23.0,0.1431379881414732,5.804257145791747,1.5603184777866372e-11
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,512.0,256.0,0.6089705370000047,38.0,38.0,38.0,0.1371764791028877,17.017929271236284,1.9629400326967743e-11
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,512.0,128.0,1.6545205069996882,731.0,731.0,731.0,0.1326566693270984,19321.098242661195,7.839112353560548e-14
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,512.0,256.0,2.147750008999992,110.0,110.0,110.0,0.1288440745140196,161.38523415736992,2.0991584113434563e-11
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,512.0,128.0,2.607889472000352,348.0,348.0,348.0,0.356159067437178,6.0078572661515866,3.729248795106772e-09
synthetic_true_func_2d,1000000,1e-05,512.0,256.0,0.4967852280001352,10.0,10.0,10.0,0.000419936953119,2.843990607135308,3.510130492539555e-11
synthetic_true_func_2d,3000000,1e-05,512.0,128.0,0.5040052439999272,117.0,117.0,117.0,0.0003455053878566,2125.675193348617,1.5081697028118977e-13
synthetic_true_func_2d,10000000,1e-05,512.0,256.0,0.5745078129998547,24.0,24.0,24.0,0.0003547367459048,19.45648563199881,1.365061183131852e-11
synthetic_true_func_2d,30000000,1e-05,512.0,256.0,0.6994422480001958,39.0,39.0,39.0,0.0003384907645195,56.39102739429751,2.554131838309245e-11
synthetic_true_func_2d,100000000,1e-05,512.0,256.0,1.0929989100000057,60.0,60.0,60.0,0.0004299417564911,185.73398734341905,3.681744417906305e-11
synthetic_true_func_2d,300000000,1e-05,512.0,256.0,2.126189707000094,90.0,90.0,90.0,0.0004593504933702,555.1917970230642,3.175950570273595e-11
