dataset_family,n_train,eps,selected_topk,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,256.0,0.2081170159999601,109.0,109.0,109.0,0.1495132824651812,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,256.0,0.3346721819998492,176.0,176.0,176.0,0.14313800452177,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,1024.0,0.5453508639999427,278.0,278.0,278.0,0.082895734050161,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,1024.0,0.8861320759999672,432.5,432.5,432.5,0.08025673744389795,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,1024.0,0.5796199490000618,15.0,15.0,15.0,0.1288440653423444,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,2048.0,6.601938514000267,3000.0,3000.0,3000.0,0.1789965820150275,,
synthetic_true_func_2d,1000000,1e-05,256.0,0.1497353429999748,73.0,73.0,73.0,0.0004199529997741,,
synthetic_true_func_2d,3000000,1e-05,256.0,0.2055772840003555,100.0,100.0,100.0,0.0003458565573687,,
synthetic_true_func_2d,10000000,1e-05,256.0,0.2953344649999962,134.0,134.0,134.0,0.0003546676091263,,
synthetic_true_func_2d,30000000,1e-05,256.0,0.4495300789999419,170.0,170.0,170.0,0.0003380474976621,,
synthetic_true_func_2d,100000000,1e-05,1024.0,0.5574506310003926,3.0,3.0,3.0,0.0004295666099329,,
synthetic_true_func_2d,300000000,1e-05,1024.0,1.5492944980001084,3.0,3.0,3.0,0.0004584732854071,,
