M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,error_message,error_type,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,traceback,v1_maxiter,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,1808,1809,9.487737447529148e-08,,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,,,True,,,,,,,,,,,False,1808.0,matern,0.1,1.5,1.0,,,80000,plain_cg,189,1809,,1000,3000000,3000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0008799803351337613,0.01997090156620627,0,,,ok,,0.0006382968817022463,1.1546790589993634,,,,,,,,,,,,,,,,,,,,,,,,0.04522417500015763,,0.018395139999938692,1.9679338880000614,,2.0131595310001558,,1e-07,,,80000,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,630,631,9.172411895143202e-08,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,72,3,nan,,4818.4650219679,0.011142831116749151,,,5,352,0.0005186501849781383,0.1825648651123047,1e-05,,,,,True,[],,,,,,,,,,False,630.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q64,189,631,630,1000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0008843007089859818,0.01997080812868915,0,,,ok,,0.0006563365657693246,0.4141483730004438,0.00018623680635531826,0.1173291880038505,,,[],,,,,,,,,,,,,,,,,0.2229700729999422,,0.042884339000011096,0.0003405050001674681,0.01785196199989514,0.945083398999941,,1.2112783160000617,,1e-07,64,,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,343,344,9.64486617299595e-08,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,136,3,nan,,1818.175093525653,0.004189030240610664,,,5,672,0.0005358811446598598,0.36011212921142577,1e-05,,,,,True,[],,,,,,,,,,False,343.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q128,189,344,343,1000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0008846070057033028,0.01997081094755034,0,,,ok,,0.0006580070988471287,0.22635444200341226,0.00021637086589039865,0.07421520700040674,,,[],,,,,,,,,,,,,,,,,0.42921529499994904,,0.03812262500014185,0.0003409609998925589,0.017871668999987378,0.5249015930000951,,0.9925804740000785,,1e-07,128,,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,228,229,9.290150671625572e-08,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,200,3,nan,,923.3703707132371,0.0021266404214389718,,,5,992,0.0005375308375204764,0.5332305908203125,1e-05,,,,,True,[],,,,,,,,,,False,228.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q192,189,229,228,1000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0008845232494946465,0.019970811897084672,0,,,ok,,0.0006612609213969963,0.15142875099991215,0.000270625600878423,0.06170263700028045,,,[],,,,,,,,,,,,,,,,,0.6334107800000766,,0.03659533199993348,0.0003284699998857832,0.017854769999985365,0.3639432410000154,,1.0342778229999112,,1e-07,192,,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,163,164,9.41752482138168e-08,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,264,3,nan,,564.2532912867354,0.0012994463511174126,,,5,1312,0.0005481053794302591,0.7191142578125,1e-05,,,,,True,[],,,,,,,,,,False,163.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q256,189,164,163,1000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0008844662654351505,0.01997081412166512,0,,,ok,,0.0006565588963403903,0.10767565899982401,0.0003280121963104698,0.05346598799860658,,,[],,,,,,,,,,,,,,,,,0.8569416679999904,,0.036827818999881856,0.0003139670000109618,0.017505996999943818,0.26905819800003883,,1.163141651999922,,1e-07,256,,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,128,129,8.590879702145299e-08,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,328,3,nan,,374.75921338802135,0.0008630305595821048,,,5,1632,0.0005617418008692125,0.9167626190185547,1e-05,,,,,True,[],,,,,,,,,,False,128.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q320,189,129,128,1000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.00088448331461999,0.01997081402585425,0,,,ok,,0.0006577640077508942,0.08485155699986535,0.000377306507807873,0.048295232999407745,,,[],,,,,,,,,,,,,,,,,1.09064073799982,,0.03671186300016416,0.0003378590001830162,0.01762424399998963,0.2191984279997996,,1.3468888879999668,,1e-07,320,,80000,v3
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,group_a,auto,352,353,9.429534113114606e-08,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,,,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,6250000,False,352.0,matern,0.1,1.5,1.0,,0,3000,btab_auto_topk_512,189,353,352,1000,3000000,3000,cufinufft,binned_c1,50,352,9.429534113114606e-08,pcg,converged,352,,True,0.1,0,3940.552263332592,0.0008843104494498906,0.019970802762176602,0,0.1,exact,ok,,0.0006443797507087299,0.22746605200018166,0.00026016797159074525,0.09157912599994233,1388670.769006471,35096,,,0.0015070309998463927,4.447871021927664e-05,0.015656505997185377,4.048744318652098e-05,0.014251580001655384,7.635421022717475e-05,0.026876681999965513,0.011702201999924,0.008981577999975343,0.001113149000047997,0.0,0.0013693359999251697,5.6334227276073015e-05,0.019829648001177702,,,0.0002929459999450046,0.03664058100002876,0.014102362999892648,0.01749428999983138,0.5538202660000024,0.00023813899997549015,0.5904608470000312,0.5907537929999762,1e-07,,,80000,v6_btab
35721,expanded_box,topk,728,,728,0,"[15, 15]","[31, 31]",961,topk,728,,728,80000,961,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,group_a,auto,283,284,7.426535466713186e-08,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,,,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,14776336,False,283.0,matern,0.1,1.5,1.0,,0,3000,btab_auto_topk_728,189,284,283,1000,3000000,3000,cufinufft,binned_c1,50,283,7.426535466713186e-08,pcg,converged,283,,True,0.1,0,1580.8742994619804,0.0008843134141550692,0.019970802714499858,0,0.1,exact,ok,,0.000644791249990697,0.18312071499735794,0.00027449450882984937,0.07768194599884737,781433.9185840107,34760,,,0.0014994780001416075,4.558420495134287e-05,0.012900330001230031,4.2195091879294e-05,0.011941211001840202,8.65362544155356e-05,0.024489759999596572,0.02589524099994378,0.020671206000088205,0.0026776129998324905,0.0,0.0022486110001409543,5.736027915206858e-05,0.016232959000035407,,,0.0003087109998887172,0.042495022999901266,0.028355811999972502,0.018340419999958613,0.46790742100006355,0.000297810999882131,0.5104024439999648,0.5107111549998535,1e-07,,,80000,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,80000,1369,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,group_a,auto,188,189,8.456061714391976e-08,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,,,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,29986576,False,188.0,matern,0.1,1.5,1.0,,0,3000,btab_auto_topk_1024,189,189,188,1000,3000000,3000,cufinufft,binned_c1,50,188,8.456061714391976e-08,pcg,converged,188,,True,0.1,0,720.4550297588038,0.0008843619163788869,0.01997080373277645,0,0.1,exact,ok,,0.0006471807777747999,0.12231716699943718,0.0002899546489387869,0.054511474000491944,477730.6211788942,34352,,,0.0015604709999479383,4.575965957631892e-05,0.008602816000347957,4.228218085095347e-05,0.007949049999979252,0.00010134159041617169,0.019052218998240278,0.05200605400000313,0.04345264700009466,0.004510445999812873,0.0,0.0035211399999752757,5.766760107162748e-05,0.010841509001465965,,,0.0002724610001223482,0.042711196000027485,0.05454166200001964,0.018376924999984112,0.35108628199986924,0.0005218210001203261,0.39379747799989673,0.3940699390000191,1e-07,,,80000,v6_btab
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,80000,2601,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,group_a,auto,111,112,7.594013589676014e-08,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,,,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,108243216,False,111.0,matern,0.1,1.5,1.0,,0,3000,btab_auto_topk_2048,189,112,111,1000,3000000,3000,cufinufft,binned_c1,50,111,7.594013589676014e-08,pcg,converged,111,,True,0.1,0,163.6430282154797,0.0008842870982225796,0.019970802499806078,0,0.1,exact,ok,,0.0006523610268069595,0.07306443500237947,0.000352512774782611,0.03912891800086982,189063.11327739028,33120,,,0.001663809999854493,4.593878377834715e-05,0.005099204999396534,4.341750450048248e-05,0.004819342999553555,0.00016205327027704584,0.017987913000752087,0.21510015399985605,0.1866036389999408,0.018040780999854178,0.0,0.008864889000051335,5.751354955144642e-05,0.0063840040002105525,,,0.00028135399998063804,0.04285175499990146,0.21790125300003638,0.01860277700006918,0.40174545400009265,0.0015908450000097218,0.4445972089999941,0.44487856299997475,1e-07,,,80000,v6_btab
