dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,16384.0,21025.0,21025.0,14696.0,0.3418047257904594,1608.5644281362052,271.8026298515293,2718.0262985152926,2718.0262985152926,1.4811453114929012e-14,3.968100934653206e-15,64591872.0,418.0,418.0,418.0,cupy,328.0,328.0,0.3491132500003004,0.3537697850001677,0.9284908820000056,0.9508090730000732,0.0765152470003158,1.027324320000389,0.0349148137176651,0.0355266063958
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,16384.0,21025.0,21025.0,14696.0,0.3418047257904595,1608.5644281362056,140.01313874940053,1400.1313874940051,1400.1313874940051,4.6177459303566735e-14,5.754037545459471e-15,86122496.0,546.0,546.0,546.0,cupy,239.0,239.0,0.4630891560000236,0.4678532249999989,0.8903348310000183,0.9128239320002648,0.101677828999982,1.014501761000247,0.0349148115609133,0.0355266051656955
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_16384_q320,c1,topk_16384,320.0,16384.0,21025.0,21025.0,14696.0,0.3418047257904595,1608.5644281362056,83.3688875511597,833.688875511597,833.688875511597,7.553503406417035e-14,7.860670133537872e-15,107653120.0,674.0,674.0,674.0,cupy,182.0,182.0,0.5845489779999298,0.5893122109996511,0.919341845999952,0.9408086290000028,0.1264051240000299,1.0672137530000327,0.0349148181859537,0.0355266094757461
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_2048_q192,c1,topk_2048,192.0,2048.0,2601.0,2601.0,33120.0,54.5477451243749,63021.1201277645,270.63055219675044,2706.3055219675043,2706.3055219675043,1.4287348533238956e-14,3.325342888607074e-15,7993344.0,418.0,418.0,418.0,cupy,462.0,462.0,0.3466092109997589,0.3495986550001362,1.1324461779995545,1.1518286589998752,0.0746313209997424,1.2264599799996176,0.0349148246161901,0.0355266303460072
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_256_q128,c1,topk_256,128.0,256.0,361.0,361.0,864.0,139.9656127358365,4566.653112632366,61.94888622250618,619.4888622250618,619.4888622250618,1.0173574650086561e-13,3.901233205590439e-15,741376.0,290.0,290.0,290.0,cupy,207.0,207.0,0.2301915840002948,0.2320145610001418,0.5952959599999303,0.6139890300000843,0.0498171610001918,0.6638061910002762,0.1488842375030896,0.1495132619047945
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,9.838544680288264,21241.399621101573,271.6911292688933,2716.911292688933,2716.911292688933,1.4599350301079937e-14,2.7724458149397096e-15,16373760.0,418.0,418.0,418.0,cupy,455.0,455.0,0.3520736479999868,0.3552786609998293,1.1363485379997655,1.155699039999945,0.076989838999907,1.232688878999852,0.034914846528339,0.0355266601784714
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q256,c1,topk_4096,256.0,4096.0,5329.0,5329.0,30392.0,9.838544680288264,21241.399621101573,139.91373578701587,1399.137357870159,1399.137357870159,7.975396626795508e-14,4.963426388678108e-15,21831680.0,546.0,546.0,546.0,cupy,334.0,334.0,0.4646527889999561,0.4678607880000527,1.0514501070001645,1.0739440550000836,0.1024107260000164,1.1763547810001,0.0349148368962374,0.0355266317202508
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q128,c1,topk_512,128.0,512.0,625.0,625.0,600.0,0.8293138065601489,24.837653492246226,64.62325325936573,646.2325325936572,646.2325325936572,1.2541237421159128e-13,3.721548351318896e-15,1282048.0,290.0,290.0,290.0,cupy,149.0,149.0,0.2297483610000199,0.2315733810000892,0.5033484900000076,0.5215914450000128,0.0508987739999611,0.5724902189999739,0.1488842474834445,0.1495132711319095
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q256,c1,topk_512,256.0,512.0,625.0,625.0,600.0,0.8293138065601489,24.837653492246226,0.2601907874841997,2.601907874841997,2.601907874841997,1.0727701592191435e-11,4.5156545661760296e-14,2564096.0,546.0,546.0,546.0,cupy,14.0,14.0,1.100859059999948,1.102725613000075,1.134016836000228,1.152749545000006,0.1193875089998073,1.2721370539998134,0.1488842492444026,0.1495132760102163
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_768_q128,c1,topk_768,128.0,768.0,961.0,961.0,264.0,0.0012893802652318,0.0364161691078115,64.6260747461867,646.260747461867,646.260747461867,1.2262227463793388e-13,3.804881510365306e-15,1970176.0,290.0,290.0,290.0,cupy,105.0,105.0,0.967601792000096,0.9694807750001928,1.1698047799995948,1.1886686659995576,0.0501165390001006,1.2387852049996582,0.1488842520498548,0.1495132995644058
