Dataset,N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,420.0,0.6478593639999417,0.667301395999857,0.0349148335930724,0.9927075855312045,3.248384431673344
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_728,728.0,961.0,,284.0,0.4616678329998649,0.4812819579997267,0.0349148291456068,0.9927074590797114,4.503911750627178
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,205.0,0.377284392999627,0.3998809209997489,0.0349148348875093,0.9927076223349695,5.420742406465513
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,120.0,0.4067546149999543,0.4292885780000688,0.0349148299736811,0.9927074826237343,5.049404007202534
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,56.0,1.0006304089997684,1.0230557959998805,0.0349148323984479,0.9927075515653315,2.1188008263823743
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q192,2048.0,2601.0,192.0,462.0,1.1324461779995545,1.1518286589998752,0.0349148246161901,0.9927073302981636,1.8819218023989621
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,455.0,1.1363485379997655,1.155699039999945,0.034914846528339,0.9927079533100523,1.8756193359820805
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q256,4096.0,5329.0,256.0,334.0,1.0514501070001645,1.0739440550000836,0.0349148368962374,0.9927076794476467,2.0184025936059173
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,415.0,1.0727582380000058,1.0953243849999126,0.0349148218944799,0.9927072529137946,1.9790041157533416
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q256,8192.0,10609.0,256.0,302.0,1.0041853200000332,1.0265871840001637,0.0349148166119438,0.992707102719361,2.111512299962123
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q320,8192.0,10609.0,320.0,235.0,0.993641750000279,1.0164580440000464,0.034914810702774,0.992706934708316,2.1325538016989967
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,328.0,0.9284908820000056,0.9508090730000732,0.0349148137176651,0.9927070204284798,2.2797967831336186
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,239.0,0.8903348310000183,0.9128239320002648,0.0349148115609133,0.9927069591071545,2.374665463962875
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q320,16384.0,21025.0,320.0,182.0,0.919341845999952,0.9408086290000028,0.0349148181859537,0.9927071474720178,2.304030170624443
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,18.0,0.0441773289999218,0.062414976999662,0.1488842473262831,0.9996228961049975,28.46440773357223
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,14.0,0.0672403759999724,0.0856976619998022,0.1488842498340114,0.9996229129421221,20.731083118743808
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,207.0,0.5952959599999303,0.6139890300000843,0.1488842375030896,0.9996228301511486,2.8935457592779272
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,149.0,0.5033484900000076,0.5215914450000128,0.1488842474834445,0.9996228971601939,3.40612441218216
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,14.0,1.134016836000228,1.152749545000006,0.1488842492444026,0.999622908983433,1.541189377784489
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q128,768.0,961.0,128.0,105.0,1.1698047799995948,1.1886686659995576,0.1488842520498548,0.9996229278195039,1.4946178063051367
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q256,768.0,961.0,256.0,9.0,0.4766048279998358,0.495718074999786,0.1488842532651071,0.9996229359788226,3.583902713252243
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,1058.0,1.613801432999935,1.686497301000145,0.0284772733854218,0.9988980181306555,3.375367932474056
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_728,728.0,961.0,,736.0,1.1531499679999797,1.2350165319999178,0.0284772787218332,0.9988982053160892,4.609289641476892
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,543.0,0.8942541119999987,0.9669140810001408,0.0284772787623443,0.9988982067370981,5.887336858422591
