M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,error_message,error_type,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,traceback,v1_maxiter,version
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,3302,3303,9.702788286187546e-08,,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,,,,,,,,,0,0,,,1e-05,,,,,True,,,,,,,,,,,False,3302.0,SE,0.1,1.5,1.0,,,80000,plain_cg,35,3303,,75000000,300000000,3000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0003420462828771559,0.3000174867035169,0,,,ok,,0.0006128548265238393,2.024259492008241,,,,,,,,,,,,,,,,,,,,,,,,3.0362569270000677,,1.5044684310000775,3.4657555809999394,,6.502013286999954,,1e-07,,,80000,v1
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,1039,1040,8.384450454409664e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,72,3,nan,,147830.2416763224,0.0029478247697103605,,,5,352,0.000589937459338795,0.20765798568725585,1e-05,,,,,True,[],,,,,,,,,,False,1039.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q64,35,1040,1039,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005656436861591185,0.30001782098465735,0,,,ok,,0.0006200500817271859,0.6448520849962733,0.00014825703851324495,0.1540390630152615,,,[],,,,,,,,,,,,,,,,,0.2144431770002484,,1.500819970000066,0.0003044729996872775,1.5069023349997224,1.44466338500024,,3.1602310050002416,,1e-07,64,,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,261,262,9.907522274155415e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,136,3,nan,,6884.036745143312,0.00013720063112451729,,,5,672,0.0005994102727799189,0.4028037033081055,1e-05,,,,,True,[],,,,,,,,,,False,261.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q128,35,262,261,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005657690531394525,0.3000178210233592,0,,,ok,,0.0006294979923634556,0.1649284739992254,0.0001520261992384549,0.03967883800123673,,,[],,,,,,,,,,,,,,,,,0.4129621560000487,,1.5005461549999382,0.0003261289998590655,1.5196474660001513,0.3705147059999945,,2.2843491459998404,,1e-07,128,,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,8,9,9.480965769701837e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,264,3,nan,,20.373877183804538,4.060562158651231e-07,,,5,1312,0.000590926030787026,0.7752949523925782,1e-05,,,,,True,[],,,,,,,,,,False,8.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q256,35,9,8,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005493455484934619,0.30001782028681445,0,,,ok,,0.0006361459999829498,0.0057253139998465485,0.00016209799997568552,0.0012967839998054842,,,[],,,,,,,,,,,,,,,,,0.7936095319996639,,1.5007737480000287,0.00028228200017110794,1.517057553000086,0.01250904200014702,,2.3071746040000107,,1e-07,256,,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,1,2,8.158046956803878e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,328,3,nan,,1.5426088807857756,3.0744561726489694e-08,,,5,1632,0.0005896834579168582,0.9623634033203126,1e-05,,,,,True,[],,,,,,,,,,False,1.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q320,35,2,1,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0004973370469637503,0.3000177688637993,0,,,ok,,0.0006322065000858856,0.0012644130001717713,0.00026412600027470035,0.00026412600027470035,,,[],,,,,,,,,,,,,,,,,0.9840008749997651,,1.500200330000098,0.0003268049999860523,1.5159781219999786,0.0025624790000620123,,2.487090488999911,,1e-07,320,,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,3,4,6.604363022116962e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,392,3,nan,,0.25124320757071705,5.00733685623809e-09,,,5,1952,0.0005888881214329454,1.1495096130371094,1e-05,,,,,True,[],,,,,,,,,,False,3.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q384,35,4,3,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005660157167918888,0.30001782326187476,0,,,ok,,0.0006260549999979048,0.0025042199999916193,0.00018103899992638617,0.0005431169997791585,,,[],,,,,,,,,,,,,,,,,1.1748746399998709,,1.5010706610000852,0.0002945530000033614,1.509271654999793,0.005445248000341962,,2.6816851020003014,,1e-07,384,,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,2,3,6.692047569415268e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,456,3,nan,,0.23683639553979222,4.7202056674554445e-09,,,5,2272,0.0005868732425528513,1.3333760070800782,1e-05,,,,,True,[],,,,,,,,,,False,2.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q448,35,3,2,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005648648395057709,0.30001782059506554,0,,,ok,,0.0006485050001477551,0.0019455150004432653,0.0001967725002032239,0.0003935450004064478,,,[],,,,,,,,,,,,,,,,,1.36247774200001,,1.5009093940002458,0.00028836299998147297,1.5162854200002585,0.004059105999658641,,2.867734604999896,,1e-07,448,,80000,v3
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,79,80,8.87272237761744e-08,6250000,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,,,chol_solve,299999999.99935234,True,,nan,0,50,diag,0.001,0,0,0,0,False,79.0,SE,0.1,1.5,1.0,,0,3000,btab_auto_topk_512,35,80,79,75000000,300000000,3000,cufinufft,binned_c1,50,79,8.87272237761744e-08,pcg,converged,79,,True,0.1,0,248.7941398093209,0.0005649614805522849,0.30001782106078445,0,0.1,exact,ok,,0.0006425873125010639,0.051406985000085115,0.0004461390759687778,0.035244987001533445,7451.295978545698,600,,,0.000562056000035227,4.5275329083307055e-05,0.0035767509975812573,4.1304468365374706e-05,0.003263053000864602,0.00026011020254027473,0.020548706000681705,0.010375166999892826,0.008760445999996591,-0.010375166999892826,0.0,0.001351993999833212,5.523740506023272e-05,0.004363754999758385,,,0.00014805600039835554,1.500759005999953,0.011785909000082029,1.5174957100002757,0.14843252699984077,0.0002627270000630233,1.6491915329997937,1.649339589000192,1e-07,,,80000,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,2.697129506061317e-09,24010000,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,,,chol_solve,299999999.99935234,True,,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,,0,3000,btab_auto_topk_1024,35,4,3,75000000,300000000,3000,cufinufft,binned_c1,50,3,2.697129506061317e-09,pcg,converged,3,,True,0.1,0,0.0,0.0005649883817159736,0.3000178210388806,0,0.1,exact,ok,,0.0006920649999528905,0.002768259999811562,0.0006200843333014442,0.0018602529999043327,0.0,0,,,0.0005488209999384708,1.7459999980928842e-05,5.2379999942786526e-05,3.6980000004405156e-05,0.00011094000001321547,0.0004577606667529229,0.0013732820002587687,0.03632278099985342,0.033239015999697585,-0.03632278099985342,0.0,0.0026536850000411505,6.45786666003308e-05,0.00019373599980099243,,,4.7155000174825545e-05,1.50117433000014,0.037680925999666215,1.5171282090000204,0.04472702000020945,0.0004300800001146854,1.5459013500003493,1.5459485050005242,1e-07,,,80000,v6_btab
1225,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,80000,361,cheap,30,0.01,,cupy,2.795632224840643e-13,4.347495340934884e-15,640,290,290,,290,128,361,864,741376,21207.543950395004,212075.43950395004,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,631,632,9.507165888141749e-08,0,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,128,0,128,128,0,0,2,1225,,,,,,,2.795632224840643e-13,4.347495340934884e-15,,,,,1e-05,,,boxeig,299999999.99935234,True,,nan,0,0,,nan,0,0,0,0,False,631.0,SE,0.1,1.5,1.0,,21904,3000,btab_boxeig_topk_256_q128,35,632,631,75000000,300000000,3000,cufinufft,binned_c1,50,631,9.507165888141749e-08,pcg,converged,631,,True,0.1,0,41989.68361803287,0.0005638822952568264,0.30001782011507666,0,0.1,boxeig,ok,,0.0006309536708989049,0.39876272000810786,0.00042520462282715686,0.26830411700393597,1369995.9262617128,864,,212075.43950395004,0.0004765159997077717,4.459794451624746e-05,0.02814130298975215,3.905625356983451e-05,0.024644496002565575,0.00024362659429235002,0.15372838099847286,0.23677416900000026,0.0,0.0,0.0009744439998939924,0.0,5.561874326788246e-05,0.03509542700203383,0.23579972500010626,,0.05064569099977234,1.5016769399999248,0.2376860439999291,1.5221863609999673,1.3001266390001547,0.0,2.8018035790000795,2.852449269999852,1e-07,,,80000,v7_btab_boxeig
