M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,v1_maxiter,version,output_group,output_dir,error_message,error_type,traceback
35721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,2730.0,2731.0,8.950891895392975e-08,,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2.0,35721.0,,,,,,,,,0.0,0.0,,,1e-05,,,True,,,,,,,,,,,False,2730.0,matern,0.1,1.5,1.0,,,80000,plain_cg,189.0,2731.0,,750000,3000000,3000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0130598633470349,0.2995625807105733,0,,,ok,,0.0006429021497652,1.7557657710090098,,,,,,,,,,,,,,,,,,,,,,,,0.0449546069999087,,0.0183380640000905,2.98855155199999,,3.033507663999899,,1e-07,,80000,v1,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
35721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,957.0,958.0,9.39675165368262e-08,,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2.0,35721.0,72.0,3.0,,,4818.465106373193,0.0111428313121629,,,5.0,352.0,0.0005321600112048,0.1873203239440918,1e-05,,,True,[],,,,,,,,,,False,957.0,matern,0.1,1.5,1.0,,,3000,eigenpro_pcg_q64,189.0,958.0,957.0,750000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.013121984785598,0.2995611850010416,0,,,ok,,0.0006472078684684,0.6200251379927977,0.0001814439979023,0.1736419059925538,,,[],,,,,,,,,,,,,,,,,0.2307553010000447,,0.0428167169998232,0.0002881630002775,0.0175328060004176,1.405101318999641,,1.6789614999997866,,1e-07,64.0,80000,v3,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
35721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,522.0,523.0,9.757320127272265e-08,,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2.0,35721.0,136.0,3.0,,,1818.175096152469,0.0041890302466853,,,5.0,672.0,0.0005353325775691,0.3597434921264648,1e-05,,,True,[],,,,,,,,,,False,522.0,matern,0.1,1.5,1.0,,,3000,eigenpro_pcg_q128,189.0,523.0,522.0,750000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0131220232034447,0.2995611853563965,0,,,ok,,0.0006506662963759,0.3402984730046228,0.0002095405766261,0.109380180998869,,,[],,,,,,,,,,,,,,,,,0.425736734000111,,0.0363389479998659,0.0003000169999722,0.0175045319997479,0.7864470520003124,,1.2488227510002616,,1e-07,128.0,80000,v3,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
35721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,257.0,258.0,9.550448168673717e-08,,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2.0,35721.0,264.0,3.0,,,564.2532863699521,0.0012994463398018,,,5.0,1312.0,0.0005434364923616,0.7129886779785156,1e-05,,,True,[],,,,,,,,,,False,257.0,matern,0.1,1.5,1.0,,,3000,eigenpro_pcg_q256,189.0,258.0,257.0,750000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0131220178424432,0.2995611855600144,0,,,ok,,0.0006455340891351,0.166547794996859,0.0003234459104939,0.0831255989969577,,,[],,,,,,,,,,,,,,,,,0.8502875210001548,,0.0359152139999423,0.0003203319997737,0.0175016369998957,0.415510999000162,,1.302034066000033,,1e-07,256.0,80000,v3,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
35721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,195.0,196.0,9.55133409377678e-08,,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2.0,35721.0,328.0,3.0,,,374.759213801975,0.0008630305605405,,,5.0,1632.0,0.0005518625857783,0.9006397399902344,1e-05,,,True,[],,,,,,,,,,False,195.0,matern,0.1,1.5,1.0,,,3000,eigenpro_pcg_q320,189.0,196.0,195.0,750000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0131220246380721,0.2995611860548655,0,,,ok,,0.0006462768367397,0.1266702600009921,0.000371464902587,0.0724356560044725,,,[],,,,,,,,,,,,,,,,,1.074818950000008,,0.0361135800003467,0.0002981569996336,0.0175045099999806,0.3256960759999856,,1.436926762999974,,1e-07,320.0,80000,v3,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
35721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,157.0,158.0,9.721996092013539e-08,,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2.0,35721.0,392.0,3.0,,,272.5065127530874,0.0006275477932611,,,5.0,1952.0,0.0005587546239133,1.0906890258789064,1e-05,,,True,[],,,,,,,,,,False,157.0,matern,0.1,1.5,1.0,,,3000,eigenpro_pcg_q384,189.0,158.0,157.0,750000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0131220489695083,0.299561186369383,0,,,ok,,0.0006446044303888,0.1018475000014405,0.0004231898025493,0.0664407990002473,,,[],,,,,,,,,,,,,,,,,1.3030369119996976,,0.0364072930001384,0.0003109220001533,0.0174848120000206,0.2708871189997808,,1.6106422459997702,,1e-07,384.0,80000,v3,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
35721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,131.0,132.0,9.22623839689558e-08,,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2.0,35721.0,456.0,3.0,,,204.0505160781059,0.0004699004155864,,,5.0,2272.0,0.0005678278157408,1.290104797363281,1e-05,,,True,[],,,,,,,,,,False,131.0,matern,0.1,1.5,1.0,,,3000,eigenpro_pcg_q448,189.0,132.0,131.0,750000,3000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.013122044223515,0.2995611865132231,0,,,ok,,0.0006558686288137,0.0865746590034177,0.0004773763740586,0.0625363050016858,,,[],,,,,,,,,,,,,,,,,1.5457621990003645,,0.0357275259998459,0.00033178700005,0.0176271590003125,0.2377555669995672,,1.819577078999828,,1e-07,448.0,80000,v3,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
35721.0,expanded_box,topk,512.0,,512.0,0.0,"[12, 12]","[25, 25]",625.0,topk,512.0,,512.0,80000.0,625.0,cheap,30.0,0.01,,,,,,,,,,,,,,,,,inverse,20000.0,group_a,50.0,diag,0.001,50.0,auto,group_a,auto,359.0,360.0,9.678043322820668e-08,0.0,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,cheap,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35721.0,,,,,,,,,,,,,1e-05,inverse,2999999.999996535,True,,,0.0,50.0,diag,0.001,0.0,0.0,0.0,6250000.0,False,359.0,matern,0.1,1.5,1.0,,0.0,3000,btab_auto_topk_512,189.0,360.0,359.0,750000,3000000,3000,cufinufft,binned_c1,50.0,359.0,9.678043322820668e-08,pcg,converged,359.0,,True,0.1,0,3940.5524016829063,0.0131219790685735,0.2995611848426407,0,0.1,exact,ok,,0.0006494660222314,0.2338077680033166,0.0002651877910815,0.0952024169982905,1388670.8245110956,35096.0,,,0.0014420070001506,4.5760473545913015e-05,0.0164280100029827,4.186693317262178e-05,0.0150302290089712,7.63239610089316e-05,0.0274003020022064,0.0115039510001224,0.0087177370000972,0.001203495000027,0.0,0.0013320809998731,5.70690835691058e-05,0.0204878010013089,,,0.0002779880001071,0.0359777260000555,0.0138502490003702,0.017539883000154,0.5695061279998299,0.000250638000125,0.6054838539998855,0.6057618419999926,1e-07,,80000,v6_btab,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
35721.0,expanded_box,topk,728.0,,728.0,0.0,"[15, 15]","[31, 31]",961.0,topk,728.0,,728.0,80000.0,961.0,cheap,30.0,0.01,,,,,,,,,,,,,,,,,inverse,20000.0,group_a,50.0,diag,0.001,50.0,auto,group_a,auto,283.0,284.0,7.720430641759209e-08,0.0,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,cheap,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35721.0,,,,,,,,,,,,,1e-05,inverse,2999999.999996535,True,,,0.0,50.0,diag,0.001,0.0,0.0,0.0,14776336.0,False,283.0,matern,0.1,1.5,1.0,,0.0,3000,btab_auto_topk_728,189.0,284.0,283.0,750000,3000000,3000,cufinufft,binned_c1,50.0,283.0,7.720430641759209e-08,pcg,converged,283.0,,True,0.1,0,1580.874360297487,0.0131219932859713,0.2995611843320902,0,0.1,exact,ok,,0.0006372041690127,0.1809659839996129,0.0002691647561761,0.0761736259978533,781433.9513283625,34760.0,,,0.0015096039996933,4.5215936401220697e-05,0.0127961100015454,4.1395441690169736e-05,0.011714909998318,8.293565722742513e-05,0.0234707909953613,0.0249687550003727,0.0207199610003954,0.0021742990002167,0.0,0.0017939829999704,5.649749115621589e-05,0.015988789997209,,,0.0002685630001906,0.0372967520002021,0.0275575919999937,0.0182880810002643,0.4595247909996942,0.0002805119997901,0.4968215429998963,0.4970901060000869,1e-07,,80000,v6_btab,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
35721.0,expanded_box,topk,1024.0,,1024.0,0.0,"[18, 18]","[37, 37]",1369.0,topk,1024.0,,1024.0,80000.0,1369.0,cheap,30.0,0.01,,,,,,,,,,,,,,,,,inverse,20000.0,group_a,50.0,diag,0.001,50.0,auto,group_a,auto,188.0,189.0,8.550675228164957e-08,0.0,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,cheap,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35721.0,,,,,,,,,,,,,1e-05,inverse,2999999.999996535,True,,,0.0,50.0,diag,0.001,0.0,0.0,0.0,29986576.0,False,188.0,matern,0.1,1.5,1.0,,0.0,3000,btab_auto_topk_1024,189.0,189.0,188.0,750000,3000000,3000,cufinufft,binned_c1,50.0,188.0,8.550675228164957e-08,pcg,converged,188.0,,True,0.1,0,720.4550589697357,0.0131220090057601,0.2995611843810068,0,0.1,exact,ok,,0.000631939587288,0.1194365819974336,0.0002863059999991,0.0538255279998338,477730.6417516551,34352.0,,,0.0014892670001245,4.5182803171670416e-05,0.008494366996274,4.250288297517979e-05,0.0079905419993338,9.875036700693872e-05,0.0185650689973044,0.0500886519998857,0.0416151780000291,0.0044772940000257,0.0,0.0034732760000224,5.680409044253657e-05,0.0106791690031968,,,0.0002587009998933,0.0421443549998912,0.0524986360001094,0.0182211450000977,0.3422932789999322,0.0005229039998084,0.3844376339998234,0.3846963349997168,1e-07,,80000,v6_btab,group_a,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260629_120143/group_a,,,
