dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1800.0,1800,1801,1801,,0.0170447629999443,,,1.9475918350000256,0.0090235569999777,1.964637166999978,0.1239068078357786,0.1240139525608274,8.789430253831464e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,724.0,724,725,725,,0.0196172910000314,,,0.7731035210001664,0.0090215299999272,0.7927214210001239,0.3957754080224807,0.3953175210868638,4.052159779683797e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q64,eigenpro_baseline,c1,64.0,279.0,279,280,280,279.0,0.0239420389999622,0.2208225450000327,0.0002895799999578,0.4069741920000069,0.0085573940000358,0.6520283559999598,0.1230750577564259,0.1232028695948364,8.95585405956899e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q64,eigenpro_baseline,c1,64.0,27.0,27,28,28,27.0,0.0195870229999854,0.221203566999975,0.0002957380002044,0.0402632689999791,0.009070371000007,0.281349597000144,0.395650288990962,0.3951969462566621,1.5431007756984944e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q128,eigenpro_baseline,c1,128.0,131.0,131,132,132,131.0,0.0200300080000488,0.4153193659999488,0.000285667000071,0.1958452749998969,0.0083759520000512,0.6314803159999656,0.1230750568551714,0.123202880588327,8.55162952438794e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q128,eigenpro_baseline,c1,128.0,7.0,7,8,8,7.0,0.0192533550000462,0.4169245120001505,0.0002856529999917,0.0114452450000044,0.0129097009998986,0.4479087650001929,0.3956502474009834,0.3951968916849585,7.80286255488394e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q256,eigenpro_baseline,c1,256.0,55.0,55,56,56,55.0,0.0190537189999986,0.8427933829999574,0.0003147439999793,0.0902504300000828,0.0084712240000044,0.9524122760000182,0.1230750519468216,0.1232028888826528,7.902647349373065e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q256,eigenpro_baseline,c1,256.0,5.0,5,6,6,5.0,0.019351171999915,0.8029852189999929,0.0002911820001827,0.008429981999825,0.0091125370001918,0.8310575549999157,0.3956502422443757,0.3951968852787054,8.351112797110102e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q320,eigenpro_baseline,c1,320.0,41.0,41,42,42,41.0,0.0186811210000996,1.068802501999926,0.000314258000003,0.0702243650000582,0.0083640799999784,1.1580222460000869,0.1230750518460397,0.1232028966627892,7.495679630907245e-08,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q320,eigenpro_baseline,c1,320.0,4.0,4,5,5,4.0,0.0197194679999483,1.0038963780000358,0.0003113129998837,0.0070107230001212,0.0091720159998658,1.0309378819999893,0.3956503467685409,0.395197005702143,3.306258603397444e-08,ok
