M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,v1_maxiter,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,group_c,,11282,11283,8.691061164640788e-08,,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,True,,,,,,,,,,,False,11282.0,matern,0.1,1.5,1.0,,,80000,plain_cg,189,11283,,75000000,300000000,3000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0017288248796066999,0.3000125242889939,0,,,ok,,0.000640586144376597,7.227733467001144,,,,,,,,,,,,,,,,,,,,,,,,2.985154156999897,,1.532146426000054,12.286362669000027,,15.271517430999893,,1e-07,,80000,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,group_c,,3000,3001,2.738216909162006e-07,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,72,3,nan,,481737.745296971,0.011140672753495824,,,5,352,0.0005478109121322632,0.19282944107055663,1e-05,,,True,[],,,,,,,,,,False,3000.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q64,189,3001,3001,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0017393213071633642,0.30001253599238986,0,,,ok,,0.0006527255001654103,1.9588292259963964,0.00018443996134620444,0.5535043239999595,,,[],,,,,,,,,,,,,,,,,0.22776169899998422,,1.5333797310001955,0.00029805799999849114,1.536386101000062,4.448668569999882,,6.21010805800006,,1e-07,64,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,group_c,,2009,2010,9.362866607893936e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,136,3,nan,,181751.97672361223,0.0041876543767637945,,,5,672,0.0005329325653257823,0.3581306838989258,1e-05,,,True,[],,,,,,,,,,False,2009.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q128,189,2010,2009,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0017390589685197411,0.3000125272814118,0,,,ok,,0.0006528188049719687,1.3121657979936572,0.00021231181831577844,0.42653444299639887,,,[],,,,,,,,,,,,,,,,,0.42437842899994394,,1.5311327740000706,0.0002953650000563357,1.5327451299999666,3.028580922999936,,4.984387491000007,,1e-07,128,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,group_c,,963,964,9.061937626169516e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,264,3,nan,,56457.67304599941,0.0013002330191065105,,,5,1312,0.0005407133567623976,0.7094159240722656,1e-05,,,True,[],,,,,,,,,,False,963.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q256,189,964,963,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0017390334660075334,0.3000125288791683,0,,,ok,,0.0006535888941899388,0.630059693999101,0.00032448546625042245,0.3124795039991568,,,[],,,,,,,,,,,,,,,,,0.8472951319999993,,1.5311697739998635,0.0003167300001223339,1.5363044220000575,1.5619258029998946,,3.9407074389998797,,1e-07,256,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,group_c,,754,755,9.766594386644018e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,328,3,nan,,37465.29283223758,0.0008628135371473602,,,5,1632,0.0005547294149211809,0.9053184051513672,1e-05,,,True,[],,,,,,,,,,False,754.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q320,189,755,754,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.001739061917527943,0.300012528919261,0,,,ok,,0.0006480602834493019,0.48928551400422293,0.0003733767148513779,0.28152604299793893,,,[],,,,,,,,,,,,,,,,,1.07964326299998,,1.530950350000012,0.0003057700000681507,1.5249373970000306,1.25400989700006,,3.86490928000012,,1e-07,320,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,group_c,,589,590,9.70084517373308e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,392,3,nan,,27205.45564687807,0.0006265271454140908,,,5,1952,0.0005687753411590076,1.110249465942383,1e-05,,,True,[],,,,,,,,,,False,589.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q384,189,590,589,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0017392186473843755,0.3000125311593491,0,,,ok,,0.0006591405000038984,0.38889289500230007,0.0004254098132474326,0.2505663800027378,,,[],,,,,,,,,,,,,,,,,1.3221236469998985,,1.5305167540000184,0.00030092299994066707,1.5411479649999364,1.0236576520001108,,3.8765989759999684,,1e-07,384,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,group_c,,489,490,9.974761619092886e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,456,3,nan,,20374.607867183757,0.0004692144309533176,,,5,2272,0.0005654814545537385,1.2847738647460938,1e-05,,,True,[],,,,,,,,,,False,489.0,matern,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q448,189,490,489,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0017391419418069688,0.3000125316827028,0,,,ok,,0.0006415245428514732,0.31434702599722186,0.0004787663865030154,0.23411676299997453,,,[],,,,,,,,,,,,,,,,,1.5400241070001357,,1.5303327120000176,0.0003132790000108798,1.5195610079999824,0.85961564299987,,3.9302857410000342,,1e-07,448,80000,v3
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,80000,2601,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,group_c,auto,522,523,6.995980976968185e-08,0,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,299999999.99961233,True,,nan,0,50,diag,0.001,0,0,0,108243216,False,522.0,matern,0.1,1.5,1.0,,0,3000,btab_auto_topk_2048,189,523,522,75000000,300000000,3000,cufinufft,binned_c1,50,522,6.995980976968185e-08,pcg,converged,522,,True,0.1,0,16364.323522779074,0.0017384330250504237,0.30001252064256634,0,0.1,exact,ok,,0.0006336951472269905,0.331422561999716,0.0003341945478860346,0.17444955399651008,18906336.02099381,33120,,,0.001781124999979511,4.46340478914326e-05,0.023298972999327816,4.093467050133977e-05,0.02136789800169936,0.00015111947701585115,0.0788843670022743,0.2011607819999881,0.17853458500007946,0.014073134999989634,0.0,0.00698277399988001,5.5787392719111584e-05,0.029121018999376247,,,0.00034796499994627084,1.5310279529999207,0.20383092400015812,1.5321457420000115,1.0309833569999682,0.0015702880000389996,2.562011309999889,2.562359274999835,1e-07,,80000,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,80000,5329,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,group_c,auto,246,247,9.750568572310343e-08,0,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,299999999.99961233,True,,nan,0,50,diag,0.001,0,0,0,454371856,False,246.0,matern,0.1,1.5,1.0,,0,3000,btab_auto_topk_4096,189,247,246,75000000,300000000,3000,cufinufft,binned_c1,50,246,9.750568572310343e-08,pcg,converged,246,,True,0.1,0,2951.563401371989,0.0017384730847576602,0.30001252072503487,0,0.1,exact,ok,,0.0006361264777435118,0.15712324000264744,0.0005961720853732677,0.14665833300182385,6372419.880379709,30392,,,0.0018556489999355108,4.452249999954299e-05,0.010952534999887575,4.2717402439899986e-05,0.010508481000215397,0.00040952580893719007,0.10074334899854875,0.873659435000036,0.7480898759999945,0.0947314960001222,0.0,0.024789847999954873,5.689409349043871e-05,0.013995946998647923,,,0.00030896699990989873,1.530332111000007,0.8764626209999733,1.519700246999946,1.3324985439999182,0.00604821499996433,2.862830654999925,2.863139621999835,1e-07,,80000,v6_btab
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,1.6235676038799686e-13,6.235341293869118e-15,1600,674,674,,674,320,25921,9800,132720640,26920.289736935872,269202.8973693587,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,892,893,9.901417262934231e-08,0,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,320,0,320,320,0,0,2,35721,,,,,,,1.6235676038799686e-13,6.235341293869118e-15,,,,,1e-05,boxeig,299999999.99961233,True,,nan,0,0,,nan,0,0,0,0,False,892.0,matern,0.1,1.5,1.0,,1648656,3000,btab_boxeig_topk_20480_q320,189,893,892,75000000,300000000,3000,cufinufft,binned_c1,50,892,9.901417262934231e-08,pcg,converged,892,,True,0.1,0,61.117451836373945,0.0017380884809040972,0.3000125285940719,0,0.1,boxeig,ok,,0.0006622565408694926,0.5913950909964569,0.0005027039641201591,0.4484119359951819,245733.59308476432,9800,,269202.8973693587,0.0034886790001564805,4.617748206635446e-05,0.04119031400318818,4.124344730834281e-05,0.036789154999041784,0.00031351942936729585,0.2796593309956279,0.8886422180000864,0.0,0.0,0.004011796999975559,0.0,5.891049999790627e-05,0.05254816599813239,0.8846304210001108,,0.13223904200003744,1.531031146000032,0.8930294730000696,1.5327178499999263,2.509234719999995,0.0,4.040265866000027,4.1725049080000645,1e-07,,80000,v7_btab_boxeig
