dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721,189,,,,,,2730,4.7014158080000925,6.894754121999995,0.0130598604234183,0.2995625807102219,1.0,ok,group_a
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q64,EigenPro-PCG,35721,189,,64.0,,,,966,1.4250076989999343,5.866021379000131,0.0131220526005504,0.2995611848824311,1.175371461597914,ok,group_a
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q128,EigenPro-PCG,35721,189,,128.0,,,,522,0.7743961710000349,1.2451299839999592,0.0131220223467327,0.2995611853572381,5.537376989228637,ok,group_a
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q256,EigenPro-PCG,35721,189,,256.0,,,,257,0.4120603559999836,1.2987271380000038,0.0131220178251189,0.2995611855601407,5.308855047579652,ok,group_a
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q320,EigenPro-PCG,35721,189,,320.0,,,,195,0.3305093500000566,1.441407356000127,0.0131220233182335,0.2995611860549495,4.783348782909491,ok,group_a
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q384,EigenPro-PCG,35721,189,,384.0,,,,157,0.2745744540000032,1.636114606000092,0.0131220482798757,0.2995611863685592,4.214102176409277,ok,group_a
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q448,EigenPro-PCG,35721,189,,448.0,,,,131,0.2342972179999378,1.818550918000028,0.0131220437096751,0.2995611865144558,3.791345105465938,ok,group_a
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_512,Active inverse,35721,189,512.0,,512.0,625.0,,359,1.7879313440000717,1.8244354959999785,0.0131219782264996,0.2995611848437811,3.779116410043842,ok,group_a
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_728,Active inverse,35721,189,728.0,,728.0,961.0,,283,0.47283510200009,0.5157002840001041,0.0131219929170678,0.2995611843356442,13.369692311432976,ok,group_a
synthetic_true_func_2d_ntrain3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_1024,Active inverse,35721,189,1024.0,,1024.0,1369.0,,188,0.3516818129999137,0.3945754930000476,0.0131220090057584,0.2995611843810067,17.473852898408882,ok,group_a
