M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_residual_max,eig_residual_median,eps,exact_apply_mode,gamma,has_nufft,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,v1_maxiter,version
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,80000,2601,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,group_c,auto,508,509,8.801961472072577e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,1e-05,inverse,299999999.99961233,True,nan,0,50,diag,0.001,0,0,0,108243216,False,508.0,matern,0.1,1.5,1.0,0,3500,btab_auto_topk_2048,189,509,508,75000000,300000000,3500,cufinufft,binned_c1,50,508,8.801961472072577e-08,pcg,converged,508,True,0.1,0,16364.323522779074,0.0017384395840084207,0.30001252066754025,0,0.1,exact,ok,0.000648835943025229,0.3302574949998416,0.0003441923188795159,0.17484969799079408,18906336.02099381,33120,,0.0017786610001166991,4.54688011826674e-05,0.023098151000795042,4.313908465068323e-05,0.02191465500254708,0.000155190285435611,0.07883666500129038,0.20823636400018586,0.1855297890001566,0.014124197999990429,0.0,0.006971701000111352,5.742457283232634e-05,0.02917168299882178,,0.00033976599979723687,1.531526680999832,0.21099892499978523,1.53374493299998,1.0351705420002872,0.00161067599992748,2.5666972230001193,2.5670369889999165,1e-07,80000,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,80000,5329,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,group_c,auto,246,247,9.750875887440558e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,1e-05,inverse,299999999.99961233,True,nan,0,50,diag,0.001,0,0,0,454371856,False,246.0,matern,0.1,1.5,1.0,0,3500,btab_auto_topk_4096,189,247,246,75000000,300000000,3500,cufinufft,binned_c1,50,246,9.750875887440558e-08,pcg,converged,246,True,0.1,0,2951.563401371989,0.0017384730313509053,0.3000125207250401,0,0.1,exact,ok,0.0006451205465426854,0.15934477499604327,0.0006055997073306616,0.14897752800334274,6372419.880379709,30392,,0.001979082000161725,4.4743113827886795e-05,0.011006806001660152,4.490669918477505e-05,0.011047047999454662,0.0004153026301097507,0.10216444700699867,0.8784834339999179,0.7524540760000491,0.0951402609998695,0.0,0.024830271000155335,5.7100930896597015e-05,0.014046829000562866,,0.000351428999692871,1.5321507059998112,0.8815308040002492,1.5206557090000388,1.3445669650000127,0.006058825999843975,2.876717670999824,2.8770690999995168,1e-07,80000,v6_btab
35721,expanded_box,topk,8192,,8192,0,"[51, 51]","[103, 103]",10609,topk,8192,,8192,80000,10609,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,group_c,auto,137,138,7.785130637579767e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,1e-05,inverse,299999999.99961233,True,nan,0,50,diag,0.001,0,0,0,1800814096,False,137.0,matern,0.1,1.5,1.0,0,3500,btab_auto_topk_8192,189,138,137,75000000,300000000,3500,cufinufft,binned_c1,50,137,7.785130637579767e-08,pcg,converged,137,True,0.1,0,552.0105234307591,0.0017383863970100077,0.30001252061462036,0,0.1,exact,ok,0.0006546383188583275,0.09034008800244919,0.001637391510923182,0.22432263699647592,2044451.55891066,25112,,0.0022452319999501924,4.5962270098615374e-05,0.006296831003510306,5.013467153418728e-05,0.006868450000183657,0.001438253021899776,0.19704066400026932,3.723945902000196,2.944944174000284,0.6180665150000095,0.0,0.13735295300011785,5.869070073591488e-05,0.008040626000820339,,0.0002932359998339962,1.5316423680001208,3.7273037909999402,1.5305849639998996,4.130015401000037,0.023582259999784583,5.661657769000158,5.661951004999992,1e-07,80000,v6_btab
35721,expanded_box,topk,10240,,10240,0,"[57, 57]","[115, 115]",13225,topk,10240,,10240,80000,13225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,group_c,auto,115,116,8.439075438506471e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,1e-05,inverse,299999999.99961233,True,nan,0,50,diag,0.001,0,0,0,2798410000,False,115.0,matern,0.1,1.5,1.0,0,3500,btab_auto_topk_10240,189,116,115,75000000,300000000,3500,cufinufft,binned_c1,50,115,8.439075438506471e-08,pcg,converged,115,True,0.1,0,321.38903989505314,0.0017384281834783453,0.3000125206437063,0,0.1,exact,ok,0.0006427503017181967,0.07455903499931082,0.0023648975739295405,0.2719632210018972,1361274.553738643,22496,,0.0024678429999767104,4.598233046003177e-05,0.0052879680029036535,5.007923476944637e-05,0.005759111998486333,0.0021689180434765623,0.24942557499980467,7.312639693000165,5.164774570000191,1.5060503489999064,0.0,0.41341059200021846,5.6568704356955686e-05,0.006505401001049904,,0.0002942450000773533,1.5313194240002304,7.316242779999811,1.5203327459998945,7.734957166000186,0.22840418199984924,9.266276590000416,9.266570835000493,1e-07,80000,v6_btab
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,3.049541706882105e-14,2.37613223468825e-15,960,418,418,,418,192,25921,9800,79632384,89464.75748253192,894647.5748253191,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,1695,1696,9.073609870518108e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,192,0,192,192,0,0,2,35721,3.049541706882105e-14,2.37613223468825e-15,1e-05,boxeig,299999999.99961233,True,nan,0,0,,nan,0,0,0,0,False,1695.0,matern,0.1,1.5,1.0,1648656,3500,btab_boxeig_topk_20480_q192,189,1696,1695,75000000,300000000,3500,cufinufft,binned_c1,50,1695,9.073609870518108e-08,pcg,converged,1695,True,0.1,0,61.117451836373945,0.0017383919906588862,0.30001252752664254,0,0.1,boxeig,ok,0.0006488399398587293,1.1004325380004047,0.00045164533333915476,0.7655388400098673,245733.59308476432,9800,894647.5748253191,0.0034481790003155766,4.612010737119686e-05,0.07817358199417868,4.021418230166354e-05,0.0681630390013197,0.0002652892613575438,0.4496652980010367,0.43582073299967306,0.0,0.0,0.00432495499990182,0.0,5.7773482597904446e-05,0.09792605300344803,0.43149577799977124,0.08199510199983706,1.5307944090000092,0.4399725399998715,1.5262749539997458,3.375762634000239,0.0,4.906557043000248,4.988552145000085,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,3.455939475422469e-14,4.9250162945988054e-15,1280,546,546,,546,256,25921,9800,106176512,45066.18247115354,450661.82471153536,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,1196,1197,9.932569164827355e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,35721,3.455939475422469e-14,4.9250162945988054e-15,1e-05,boxeig,299999999.99961233,True,nan,0,0,,nan,0,0,0,0,False,1196.0,matern,0.1,1.5,1.0,1648656,3500,btab_boxeig_topk_20480_q256,189,1197,1196,75000000,300000000,3500,cufinufft,binned_c1,50,1196,9.932569164827355e-08,pcg,converged,1196,True,0.1,0,61.117451836373945,0.0017384909726179956,0.3000125277681302,0,0.1,boxeig,ok,0.0006516019490432455,0.7799675330047648,0.00047208688209611927,0.5646159109869586,245733.59308476432,9800,450661.82471153536,0.003520268000102078,4.602779012678558e-05,0.05504923699163555,4.0461119565589496e-05,0.04839149900044504,0.00028525820819657894,0.3411688170031084,0.49752154499992685,0.0,0.0,0.0010451739999552956,0.0,5.773498578438622e-05,0.06905104299812592,0.49647637099997155,0.10802304399976492,1.529875021999942,0.5018404130000818,1.5392529269997794,2.60523787000011,0.0,4.135112892000052,4.243135935999817,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,6.876127724880025e-14,6.333979369644495e-15,1600,674,674,,674,320,25921,9800,132720640,26920.289736935876,269202.89736935875,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,919,920,9.754720140006817e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,320,0,320,320,0,0,2,35721,6.876127724880025e-14,6.333979369644495e-15,1e-05,boxeig,299999999.99961233,True,nan,0,0,,nan,0,0,0,0,False,919.0,matern,0.1,1.5,1.0,1648656,3500,btab_boxeig_topk_20480_q320,189,920,919,75000000,300000000,3500,cufinufft,binned_c1,50,919,9.754720140006817e-08,pcg,converged,919,True,0.1,0,61.117451836373945,0.0017382787528091431,0.3000125280612532,0,0.1,boxeig,ok,0.0006533025608657384,0.6010383559964794,0.0004937311284109523,0.4537389070096651,245733.59308476432,9800,269202.89736935875,0.0035727460003727174,4.59485788875046e-05,0.04222674399761672,4.025922307440726e-05,0.036998226005380275,0.0003075282263330559,0.2826184400000784,0.6301763459996437,0.0,0.0,0.0010641549997671973,0.0,5.7681347115327264e-05,0.053009157998985756,0.6291121909998765,0.13459371899989492,1.5299896619999345,0.6346484850000707,1.5284001009999884,2.271974567000143,0.0,3.8019642290000775,3.9365579479999724,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,8.475871934968604e-14,1.0424469488791992e-14,1920,802,802,,802,384,25921,9800,159264768,17261.100082979247,172611.00082979247,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,686,687,9.925987983506333e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,384,0,384,384,0,0,2,35721,8.475871934968604e-14,1.0424469488791992e-14,1e-05,boxeig,299999999.99961233,True,nan,0,0,,nan,0,0,0,0,False,686.0,matern,0.1,1.5,1.0,1648656,3500,btab_boxeig_topk_20480_q384,189,687,686,75000000,300000000,3500,cufinufft,binned_c1,50,686,9.925987983506333e-08,pcg,converged,686,True,0.1,0,61.117451836373945,0.0017380000239987268,0.30001252935876127,0,0.1,boxeig,ok,0.0006504896928487708,0.44688641898710557,0.0005406011865885248,0.370852413999728,245733.59308476432,9800,172611.00082979247,0.0033973019999393728,4.651325510647163e-05,0.03190809300303954,4.093985423858734e-05,0.028084740007670916,0.000352765657431471,0.24199724099798914,1.484533029999966,0.0,0.0,0.0010293459999957122,0.0,5.769991545682597e-05,0.039582142003382614,1.4835036839999702,0.1612092919999668,1.5303479680001146,1.48890908400017,1.5170487420000427,2.74042326100016,0.0,4.270771229000275,4.431980521000241,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,2.963874224616543e-13,1.433643080892238e-14,2240,930,930,,930,448,25921,9800,185808896,12033.775889358494,120337.75889358493,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,555,556,9.631106427740063e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,448,0,448,448,0,0,2,35721,2.963874224616543e-13,1.433643080892238e-14,1e-05,boxeig,299999999.99961233,True,nan,0,0,,nan,0,0,0,0,False,555.0,matern,0.1,1.5,1.0,1648656,3500,btab_boxeig_topk_20480_q448,189,556,555,75000000,300000000,3500,cufinufft,binned_c1,50,555,9.631106427740063e-08,pcg,converged,555,True,0.1,0,61.117451836373945,0.0017378769787195422,0.30001252998759315,0,0.1,boxeig,ok,0.0006668567481853165,0.370772351991036,0.0006006871063241839,0.33338134400992203,245733.59308476432,9800,120337.75889358493,0.0034071810000568803,4.799453873102221e-05,0.026636968995717325,4.329483424314546e-05,0.024028633004945732,0.0004056602774899393,0.22514145400691632,2.7703495710002244,0.0,0.0,0.0010952940001516254,0.0,6.037123783752175e-05,0.03350603699982457,2.7692542770000728,0.1881559590001416,1.5300640170003135,2.774941026000306,1.5207066140001189,3.842819741999847,0.0,5.37288375900016,5.561039718000302,1e-07,80000,v7_btab_boxeig
35721,expanded_box,topk,25720,,25720,0,"[90, 90]","[181, 181]",32761,topk,25720,,25720,80000,32761,cheap,30,0.01,,cupy,2.3804733540987455e-14,2.339006555932559e-15,960,418,418,,418,192,32761,2960,100644864,89464.779620758,894647.7962075799,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,group_c,boxeig,1855,1856,9.797475974280539e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,192,0,192,192,0,0,2,35721,2.3804733540987455e-14,2.339006555932559e-15,1e-05,boxeig,299999999.99961233,True,nan,0,0,,nan,0,0,0,0,False,1855.0,matern,0.1,1.5,1.0,2085136,3500,btab_boxeig_topk_25720_q192,189,1856,1855,75000000,300000000,3500,cufinufft,binned_c1,50,1855,9.797475974280539e-08,pcg,converged,1855,True,0.1,0,34.22564399829071,0.0017385236821581332,0.30001252840742604,0,0.1,boxeig,ok,0.0006391039806192209,1.186176988029274,0.00047340750134957727,0.8781709150034658,55168.59487875234,2960,894647.7962075799,0.004133822999847325,4.6767844740909175e-05,0.08675435199438652,4.129035094426137e-05,0.07659360100160484,0.00028474759406998235,0.5282067869998173,1.2684120359999724,0.0,0.0,0.17191899199997351,0.0,5.798263234608831e-05,0.10755778300199381,1.096493043999999,0.07889557599992258,1.530174889999671,1.2733882589996028,1.5236459289999402,4.501267867000024,0.0,6.031442756999695,6.110338332999618,1e-07,80000,v7_btab_boxeig
