row_type,btab_box_size,btab_eig_q,btab_active_topk_values,iters,relres,converged,time_precond_build,time_solve,time_total,rmse_test,method,source_summary_file,n_source_rows,collapse_rule
boxeig,25921,192,20480,3500.0,2.0107375815093293e-06,False,2.170593622000069,8.310114419000001,9.863887556999998,0.1105823537436516,btab_boxeig_topk_20480_q192,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,25921,256,20480,3500.0,1.976434019529838e-07,True,0.4852625580001586,6.624238191000131,8.177868239000418,0.110582710244375,btab_boxeig_topk_20480_q256,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,25921,320,20480,2773.0,7.918567157734278e-08,True,0.602125598999919,5.569744126999922,7.1231661669999085,0.1105827522116853,btab_boxeig_topk_20480_q320,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,25921,384,20480,2243.0,9.763977834446394e-08,True,0.7405392190003113,4.898432121000042,6.45188460899999,0.1105827654772664,btab_boxeig_topk_20480_q384,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,25921,448,20480,1905.0,8.87395431497023e-08,True,2.878293748000033,6.488783212999806,8.041959805999795,0.1105827744768993,btab_boxeig_topk_20480_q448,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,32761,192,25720,3500.0,1.3115662669374926e-06,False,0.3585155559999293,6.483598644000267,8.03679742200029,0.1105842026062825,btab_boxeig_topk_25720_q192,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,32761,256,25720,3269.0,9.123517311374775e-08,True,0.4778347599999506,6.410341361000064,7.962951828999849,0.1105827576563152,btab_boxeig_topk_25720_q256,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,32761,320,25720,2535.0,9.31603079304181e-08,True,0.598628496999936,5.310655311000119,6.864120318000005,0.1105827687519553,btab_boxeig_topk_25720_q320,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,32761,384,25720,2053.0,8.903359653603856e-08,True,1.7474138140000832,5.645425784000054,7.19861753000032,0.110582785828443,btab_boxeig_topk_25720_q384,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,32761,448,25720,1658.0,9.996494072392126e-08,True,0.9168457610003315,4.150683057999686,5.704346519999945,0.110582783554388,btab_boxeig_topk_25720_q448,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,35721,192,35721,781.0,9.895939145665041e-08,True,0.378281772000264,1.7325294669999494,3.285360727999887,0.1105830167572779,btab_boxeig_topk_35721_q192,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
boxeig,35721,256,35721,541.0,9.370225652974883e-08,True,0.4893284859999767,1.453368319999754,3.0064259910000146,0.1105830590246265,btab_boxeig_topk_35721_q256,/content/EFGP-Eigenpro/efgp_eigenpro_py/gpu/box_toeplitz_active_block/outputs/btab_group_a_group_b_group_c_20260703_022920/group_c/master_summary.csv,1,fastest converged row per actual btab_box_size and btab_eig_q; input btab_active_topk is diagnostic only
