M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,v1_maxiter,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,2730,2731,8.862889772158892e-08,,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,True,,,,,,,,,,,False,2730.0,matern,0.1,1.5,1.0,,,80000,plain_cg,189,2731,,750000,3000000,3500,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.013059860423418368,0.2995625807102219,0,,,ok,,0.0010420097396545696,2.8457285989966294,,,,,,,,,,,,,,,,,,,,,,,,2.1933362289998968,,0.01881468099986705,4.7014158080000925,,6.894754121999995,,1e-07,,80000,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,966,967,7.731996640589366e-08,,,nan,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,72,3,nan,,4818.465106373191,0.01114283131216293,,,5,352,0.0011702108599922873,0.41191422271728517,1e-05,,,True,[],,,,,,,,,,False,966.0,matern,0.1,1.5,1.0,nan,,3500,eigenpro_pcg_q64,189,967,966,750000,3000000,3500,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.013122052600550495,0.29956118488243116,0,,,ok,,0.0006442144643229314,0.6229553870002746,0.00019803651345323082,0.19130327199582098,,,[],,,,,,,,,,,,,,,,,1.9547724679998737,,2.0330911560001823,0.45315005600014047,0.01875572199992348,1.4250076989999343,,5.866021379000131,,1e-07,64,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,522,523,9.372678429858196e-08,,,nan,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,136,3,nan,,1818.1750961524688,0.00418903024668536,,,5,672,0.0005231984683445523,0.3515893707275391,1e-05,,,True,[],,,,,,,,,,False,522.0,matern,0.1,1.5,1.0,nan,,3500,eigenpro_pcg_q128,189,523,522,750000,3000000,3500,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.01312202234673273,0.2995611853572381,0,,,ok,,0.0006408967495204936,0.33518899999921814,0.00020889741570933448,0.1090444510002726,,,[],,,,,,,,,,,,,,,,,0.42810187300005964,,0.04230840199988961,0.0003235379999750876,0.01746565799999189,0.7743961710000349,,1.2451299839999592,,1e-07,128,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,257,258,9.546998252008245e-08,,,nan,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,264,3,nan,,564.253286369952,0.0012994463398018534,,,5,1312,0.0005424187241531,0.7116533660888672,1e-05,,,True,[],,,,,,,,,,False,257.0,matern,0.1,1.5,1.0,nan,,3500,eigenpro_pcg_q256,189,258,257,750000,3000000,3500,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.013122017825118949,0.2995611855601407,0,,,ok,,0.0006397606085290467,0.16505823700049405,0.0003263878793678993,0.08388168499755011,,,[],,,,,,,,,,,,,,,,,0.8506208939998032,,0.035742442000127994,0.0003034460000890249,0.0173470360000465,0.4120603559999836,,1.2987271380000038,,1e-07,256,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,195,196,9.550586390406659e-08,,,nan,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,328,3,nan,,374.75921380197485,0.0008630305605405253,,,5,1632,0.0005487698760687136,0.8955924377441407,1e-05,,,True,[],,,,,,,,,,False,195.0,matern,0.1,1.5,1.0,nan,,3500,eigenpro_pcg_q320,189,196,195,750000,3000000,3500,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.013122023318233518,0.2995611860549495,0,,,ok,,0.0006542932703932449,0.128241480997076,0.0003779753794834762,0.07370519899927785,,,[],,,,,,,,,,,,,,,,,1.074100518000023,,0.036465166999960275,0.0003323210000871768,0.017589302000033058,0.33050935000005666,,1.441407356000127,,1e-07,320,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,157,158,9.692988083008428e-08,,,nan,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,392,3,nan,,272.50651275308735,0.0006275477932611376,,,5,1952,0.0005694405211776984,1.1115478973388673,1e-05,,,True,[],,,,,,,,,,False,157.0,matern,0.1,1.5,1.0,nan,,3500,eigenpro_pcg_q384,189,158,157,750000,3000000,3500,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.013122048279875767,0.2995611863685592,0,,,ok,,0.0006543965696163802,0.10339465799938807,0.0004255186305825446,0.0668064250014595,,,[],,,,,,,,,,,,,,,,,1.3246633860001111,,0.036561764999987645,0.0003150009999899339,0.017432849999977407,0.27457445400000324,,1.636114606000092,,1e-07,384,80000,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,group_a,,131,132,9.205579518297913e-08,,,nan,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,456,3,nan,,204.0505160781059,0.00046990041558644664,,,5,2272,0.000568361027140013,1.2913162536621094,1e-05,,,True,[],,,,,,,,,,False,131.0,matern,0.1,1.5,1.0,nan,,3500,eigenpro_pcg_q448,189,132,131,750000,3000000,3500,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.013122043709675138,0.2995611865144558,0,,,ok,,0.0006429303484851241,0.08486680600003638,0.0004820560992228619,0.06314934899819491,,,[],,,,,,,,,,,,,,,,,1.5475735810000515,,0.036360961000127645,0.0003191579999111127,0.01740234099997906,0.23429721799993786,,1.818550918000028,,1e-07,448,80000,v3
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,group_a,auto,359,360,9.643510536141103e-08,0,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,6250000,False,359.0,matern,0.1,1.5,1.0,,0,3500,btab_auto_topk_512,189,360,359,750000,3000000,3500,cufinufft,binned_c1,50,359,9.643510536141103e-08,pcg,converged,359,,True,0.1,0,3940.5524016829067,0.013121978226499671,0.29956118484378114,0,0.1,exact,ok,,0.0006404760305504926,0.23057137099817737,0.0002648028746541025,0.09506423200082281,1388670.8245110956,35096,,,0.008107401999950525,4.560466016321047e-05,0.016372072998592557,4.2380810586854695e-05,0.015214711000680836,7.6550701955371e-05,0.027481702001978192,0.757920939999849,0.3908822569999302,0.12635028399995463,0.0,0.13703040099994723,5.765676602237353e-05,0.020698779002032097,,,0.000279432000070301,0.03650415199990675,1.2387477160000344,0.018309623000050124,1.7879313440000715,0.10365799800001696,1.8244354959999782,1.8247149280000485,1e-07,,80000,v6_btab
35721,expanded_box,topk,728,,728,0,"[15, 15]","[31, 31]",961,topk,728,,728,80000,961,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,group_a,auto,283,284,7.676367591187731e-08,0,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,14776336,False,283.0,matern,0.1,1.5,1.0,,0,3500,btab_auto_topk_728,189,284,283,750000,3000000,3500,cufinufft,binned_c1,50,283,7.676367591187731e-08,pcg,converged,283,,True,0.1,0,1580.874360297487,0.013121992917067888,0.2995611843356442,0,0.1,exact,ok,,0.0006433171654903867,0.18270207499926983,0.0002745381236707692,0.07769428899882769,781433.9513283625,34760,,,0.001519411999879594,4.6424742057279733e-05,0.013138202002210164,4.2585826863952226e-05,0.01205178900249848,8.47602261519858e-05,0.023987144001011984,0.03168976000006296,0.026319342000078905,0.00272526799994921,0.0,0.0023550800001430616,5.832784805604877e-05,0.016506780999861803,,,0.0002708650001750357,0.0428651820000141,0.03419710000002851,0.018428694000022006,0.47283510200009005,0.0002900699998917844,0.5157002840001041,0.5159711490002792,1e-07,,80000,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,80000,1369,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,group_a,auto,188,189,8.550675091178785e-08,0,,,2,synthetic_true_func_2d_ntrain3000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,29986576,False,188.0,matern,0.1,1.5,1.0,,0,3500,btab_auto_topk_1024,189,189,188,750000,3000000,3500,cufinufft,binned_c1,50,188,8.550675091178785e-08,pcg,converged,188,,True,0.1,0,720.4550589697357,0.013122009005758436,0.29956118438100676,0,0.1,exact,ok,,0.0006414585820046283,0.12123567199887475,0.0002882479255233309,0.05419060999838621,477730.6417516551,34352,,,0.0015332650000345893,4.5686792557649395e-05,0.008589117000838087,4.324676594957596e-05,0.008130391998520281,9.920691489609686e-05,0.01865090000046621,0.05605284800003574,0.047500594999974055,0.0044956140000067535,0.0,0.003481696000108059,5.79138776619731e-05,0.010887809000450943,,,0.0002911599999606551,0.04289368000013383,0.05855308800005332,0.018262817000049836,0.35168181299991375,0.0005749429999468703,0.3945754930000476,0.3948666530000082,1e-07,,80000,v6_btab
