M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_residual_max,eig_residual_median,eps,exact_apply_mode,gamma,has_nufft,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,v1_maxiter,version
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,79,80,8.872722472648413e-08,6250000,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.99935234,True,nan,0,50,diag,0.001,0,0,0,0,False,79.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_512,35,80,79,75000000,300000000,3000,cufinufft,binned_c1,50,79,8.872722472648413e-08,pcg,converged,79,True,0.1,0,248.7941398093209,0.0005649614805061935,0.3000178210607841,0,0.1,exact,ok,0.0006226195124980904,0.049809560999847236,0.0005900640253170008,0.046615058000043064,7451.295978545698,600,,0.0005808659998365329,4.395369619545173e-05,0.0034723419994406868,4.109762023831478e-05,0.003246711998826868,0.0004065192152015525,0.032115018000922646,0.010382933000073535,0.008780187999946065,-0.010382933000073535,0.0,0.001340089000223088,5.565878479754684e-05,0.0043970439990062005,,0.00017792200014810078,1.4984796769999775,0.011816469999985202,1.519476080000004,0.15713465800013182,0.00026265599990438204,1.6556143350001093,1.6557922570002575,1e-07,80000,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,2.6971295012994267e-09,24010000,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.99935234,True,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_1024,35,4,3,75000000,300000000,3000,cufinufft,binned_c1,50,3,2.6971295012994267e-09,pcg,converged,3,True,0.1,0,0.0,0.0005649883817288609,0.3000178210388806,0,0.1,exact,ok,0.0007219920000238744,0.0028879680000954977,0.0006310306666819088,0.0018930920000457263,0.0,0,,0.0005710100001579121,2.4816666685486172e-05,7.445000005645852e-05,3.712366666756376e-05,0.00011137100000269129,0.00046192233329141647,0.0013857669998742494,0.03906015200004731,0.03589972600002511,-0.03906015200004731,0.0,0.0026972100001785293,6.187500002852175e-05,0.00018562500008556526,,5.9656999837898184e-05,1.498390567999877,0.040413093999859484,1.5267066849999082,0.04772268700003224,0.0004632159998436691,1.5461132549999093,1.5461729119997472,1e-07,80000,v6_btab
1225,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,80000,361,cheap,30,0.01,,cupy,5.955372191521577e-15,1.1949120849756762e-15,320,162,162,,162,64,361,864,370688,451215.62108416605,4512156.21084166,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,1546,1547,8.467739094041275e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,64,0,64,64,0,0,2,1225,5.955372191521577e-15,1.1949120849756762e-15,1e-05,boxeig,299999999.99935234,True,nan,0,0,,nan,0,0,0,0,False,1546.0,SE,0.1,1.5,1.0,21904,3000,btab_boxeig_topk_256_q64,35,1547,1546,75000000,300000000,3000,cufinufft,binned_c1,50,1546,8.467739094041275e-08,pcg,converged,1546,True,0.1,0,41989.68361803287,0.0005590893253875826,0.3000178105723418,0,0.1,boxeig,ok,0.0006285718319326919,0.9724006239998744,0.00042364229624814603,0.6549509899996337,1369995.9262617128,864,4512156.21084166,0.00046669699986523483,4.512496830743699e-05,0.06976320100329758,3.855946313666223e-05,0.05961293000927981,0.00024151381953384257,0.3733803649993206,0.3575881150004534,0.0,0.0,0.23007560100040791,0.0,5.667307826299121e-05,0.08761657899458442,0.12751251400004548,0.026834186000087357,1.498571372999777,0.35850772399999187,1.523435660999894,2.945494377000159,0.0,4.444065749999936,4.4708999360000234,1e-07,80000,v7_btab_boxeig
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,cupy,2.034975140404838e-13,3.735529213310306e-15,640,290,290,,290,128,625,600,1282048,21267.04979324995,212670.49793249948,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,458,459,9.92902558738849e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,128,0,128,128,0,0,2,1225,2.034975140404838e-13,3.735529213310306e-15,1e-05,boxeig,299999999.99935234,True,nan,0,0,,nan,0,0,0,0,False,458.0,SE,0.1,1.5,1.0,38416,3000,btab_boxeig_topk_512_q128,35,459,458,75000000,300000000,3000,cufinufft,binned_c1,50,458,9.92902558738849e-08,pcg,converged,458,True,0.1,0,248.7941398093209,0.0005640035818965425,0.3000178216889612,0,0.1,boxeig,ok,0.0006404231459865972,0.2939542240078481,0.00042709484061688034,0.1956094370025312,7451.295978545698,600,212670.49793249948,0.0005406320001384302,4.527172706321124e-05,0.02073445099495075,3.9658069862243756e-05,0.01816339599690764,0.00024347970305305306,0.1115137039982983,0.29848351500004355,0.0,0.0,0.06019700200022271,0.0,5.6999353729109644e-05,0.026105704007932218,0.23828651299982084,0.05173533500010308,1.4983935850000307,0.2994868209998458,1.5184093419998135,1.0775451090003116,0.0,2.5759386940003424,2.6276740290004454,1e-07,80000,v7_btab_boxeig
1225,expanded_box,topk,768,,768,0,"[15, 15]","[31, 31]",961,topk,768,,768,80000,961,cheap,30,0.01,,cupy,1.1074210160266717e-13,3.466804617773792e-15,640,290,290,,290,128,961,264,1970176,21267.405757085828,212674.05757085828,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,353,354,9.869889965148016e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,128,0,128,128,0,0,2,1225,1.1074210160266717e-13,3.466804617773792e-15,1e-05,boxeig,299999999.99935234,True,nan,0,0,,nan,0,0,0,0,False,353.0,SE,0.1,1.5,1.0,59536,3000,btab_boxeig_topk_768_q128,35,354,353,75000000,300000000,3000,cufinufft,binned_c1,50,353,9.869889965148016e-08,pcg,converged,353,True,0.1,0,0.3868140743360568,0.00056646020927076,0.3000178194601014,0,0.1,boxeig,ok,0.0006426640169487819,0.2275030619998688,0.00043013159773557706,0.1518364540006587,10.924850578839887,264,212674.05757085828,0.0005076020001979487,4.57497790168119e-05,0.0161496719929346,3.921057507618146e-05,0.013841333001892053,0.00024588691503956036,0.0867980810089648,0.2830368740001177,0.0,0.0,0.04701792600008048,0.0,5.699772236766876e-05,0.02012019599578707,0.2360189480000372,0.050449432999812416,1.4984513500003231,0.28400034900005267,1.5203283659998306,0.8862505239999336,0.0,2.384701874000257,2.435151307000069,1e-07,80000,v7_btab_boxeig
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,55,56,8.039642606383038e-08,6250000,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,99999999.99978426,True,nan,0,50,diag,0.001,0,0,0,0,False,55.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_512,35,56,55,25000000,100000000,3000,cufinufft,binned_c1,50,55,8.039642606383038e-08,pcg,converged,55,True,0.1,0,82.93137509464722,0.0006876480422123325,0.30003081509064505,0,0.1,exact,ok,0.0006238498392657935,0.034935590998884436,0.0004437519090639729,0.02440635499851851,2483.765171134476,600,,0.0005592509996859008,4.4090399991215564e-05,0.002424971999516856,4.065218179014416e-05,0.002235869998457929,0.0002605408727008167,0.014329747998544917,0.01031315000000177,0.008712421999916842,-0.01031315000000177,0.0,0.0013371150002967624,5.634223637323223e-05,0.003098823000527773,,0.00014836199989076704,0.5095161829999597,0.011730440000064846,0.5091921169996567,0.10549577400024646,0.0002636129997881653,0.6150119570002062,0.6151603190000969,1e-07,80000,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,6.057356083614254e-09,24010000,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,99999999.99978425,True,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_1024,35,4,3,25000000,100000000,3000,cufinufft,binned_c1,50,3,6.057356083614254e-09,pcg,converged,3,True,0.1,0,0.0,0.0006876167031330372,0.3000308149421985,0,0.1,exact,ok,0.0006929972499847281,0.0027719889999389125,0.0006017543332745845,0.0018052629998237535,0.0,0,,0.0005212529999880644,1.7226000030253392e-05,5.167800009076018e-05,3.5682999926696844e-05,0.00010704899978009053,0.0004512116665864596,0.0013536349997593788,0.03658334900001137,0.03347076799991555,-0.03658334900001137,0.0,0.002668184999947698,5.515266669438764e-05,0.00016545800008316291,,4.473300032259431e-05,0.5095077989999481,0.037932914000066376,0.5075727419998657,0.04498961400031476,0.0004443960001481173,0.5544974130002629,0.5545421460005855,1e-07,80000,v6_btab
1225,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,80000,361,cheap,30,0.01,,cupy,8.515013062824672e-15,1.1685778153954216e-15,320,162,162,,162,64,361,864,370688,150385.55544743975,1503855.5544743973,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,1208,1209,9.451059662067289e-08,0,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,cheap,64,0,64,64,0,0,2,1225,8.515013062824672e-15,1.1685778153954216e-15,1e-05,boxeig,99999999.99978425,True,nan,0,0,,nan,0,0,0,0,False,1208.0,SE,0.1,1.5,1.0,21904,3000,btab_boxeig_topk_256_q64,35,1209,1208,25000000,100000000,3000,cufinufft,binned_c1,50,1208,9.451059662067289e-08,pcg,converged,1208,True,0.1,0,13996.560751340596,0.0006843384222362777,0.3000308068043386,0,0.1,boxeig,ok,0.0006308931124870246,0.7627497729968127,0.00042226729636087046,0.5100988940039315,456665.29186953156,864,1503855.5544743973,0.00045278800007508835,4.496153145464933e-05,0.05431352999721639,3.844043626584258e-05,0.04643604700913784,0.00024071713162334313,0.2907862950009985,0.1260898570003519,0.0,0.0,0.0009639029999561899,0.0,5.684175580080778e-05,0.0686648410073758,0.12512595400039572,0.026069527999879938,0.5093334869998216,0.12698728100031076,0.5073062679998657,2.1525593159999517,0.0,2.6618928029997733,2.687962330999653,1e-07,80000,v7_btab_boxeig
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,cupy,9.658015630466685e-14,2.8218361618222727e-15,640,290,290,,290,128,625,600,1282048,7088.211373576989,70882.11373576989,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,413,414,9.083017361545871e-08,0,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,cheap,128,0,128,128,0,0,2,1225,9.658015630466685e-14,2.8218361618222727e-15,1e-05,boxeig,99999999.99978426,True,nan,0,0,,nan,0,0,0,0,False,413.0,SE,0.1,1.5,1.0,38416,3000,btab_boxeig_topk_512_q128,35,414,413,25000000,100000000,3000,cufinufft,binned_c1,50,413,9.083017361545871e-08,pcg,converged,413,True,0.1,0,82.93137509464722,0.0006878172462960119,0.30003081867829917,0,0.1,boxeig,ok,0.0006407980434645748,0.26529038999433396,0.00042891359564488113,0.1771413150013359,2483.765171134476,600,70882.11373576989,0.0004671890001191059,4.575458596424828e-05,0.018896644003234542,3.924049637460806e-05,0.01620632500271313,0.0002447873123549869,0.1010971600026096,0.234946003999994,0.0,0.0,0.0009481659999437397,0.0,5.7032145275488076e-05,0.023554275998776575,0.23399783800005025,0.054762410999956046,0.5096555260001878,0.23585466500026087,0.5074735019998116,0.9388481529999808,0.0,1.4485036790001686,1.5032660900001247,1e-07,80000,v7_btab_boxeig
1225,expanded_box,topk,768,,768,0,"[15, 15]","[31, 31]",961,topk,768,,768,80000,961,cheap,30,0.01,,cupy,9.979264566094058e-14,3.6339488304084004e-15,640,290,290,,290,128,961,264,1970176,7088.330065609597,70883.30065609596,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,266,267,8.12412911800591e-08,0,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,cheap,128,0,128,128,0,0,2,1225,9.979264566094058e-14,3.6339488304084004e-15,1e-05,boxeig,99999999.99978426,True,nan,0,0,,nan,0,0,0,0,False,266.0,SE,0.1,1.5,1.0,59536,3000,btab_boxeig_topk_768_q128,35,267,266,25000000,100000000,3000,cufinufft,binned_c1,50,266,8.12412911800591e-08,pcg,converged,266,True,0.1,0,0.12893801304042637,0.0006881557930403522,0.3000308207831162,0,0.1,boxeig,ok,0.0006500047940043964,0.17355127999917386,0.0004346817856929917,0.1156253549943358,3.6416165153189026,264,70883.30065609596,0.0004997890000595362,4.62146767038343e-05,0.012293104003219923,3.962453007104221e-05,0.010540124998897227,0.00024829619174216306,0.06604678700341537,0.23214639200023157,0.0,0.0,0.0009576120000929222,0.0,5.801445488367264e-05,0.01543184499905692,0.23118878000013865,0.05037308800001483,0.509521167999992,0.23309429999972053,0.5080631069999981,0.6929537619998882,0.0,1.2024749299998803,1.252848017999895,1e-07,80000,v7_btab_boxeig
