M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,v1_maxiter,version
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,3300,3301,8.500802064256799e-08,,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,,,,,,,,,0,0,,,1e-05,,,True,,,,,,,,,,,False,3300.0,SE,0.1,1.5,1.0,,,80000,plain_cg,35,3301,,75000000,300000000,3000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0003420545677519432,0.30001748670461204,0,,,ok,,0.0006151307007010438,2.0305464430141456,,,,,,,,,,,,,,,,,,,,,,,,3.9504534259999673,,1.6626446660000056,3.470590148999918,,7.421044373999848,,1e-07,,80000,v1
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,1038,1039,9.863065063332278e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,72,3,nan,,147830.2416763223,0.0029478247697103587,,,5,352,0.0005988043655048718,0.21077913665771486,1e-05,,,True,[],,,,,,,,,,False,1038.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q64,35,1039,1038,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005656508898988508,0.30001782097834717,0,,,ok,,0.0006162493243511171,0.6402830480008106,0.00014794698555102085,0.15356897100195965,,,[],,,,,,,,,,,,,,,,,0.21793606599999293,,1.5032502479998584,0.00027515300007507904,1.5120219359998828,1.431121426000118,,3.1525828930000444,,1e-07,64,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,262,263,8.507733285052403e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,136,3,nan,,6884.036745143282,0.00013720063112451672,,,5,672,0.0005873980976286388,0.3947315216064453,1e-05,,,True,[],,,,,,,,,,False,262.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q128,35,263,262,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005657766627949998,0.30001782103485525,0,,,ok,,0.0006219922243386263,0.1635839550010587,0.00015110025572605555,0.03958826700022655,,,[],,,,,,,,,,,,,,,,,0.4048832809999112,,1.4982045420001668,0.00030406800010496227,1.5138456140000471,0.36665737499993156,,2.2700492660001146,,1e-07,128,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,8,9,9.481586653448912e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,264,3,nan,,20.373877183789016,4.060562158648138e-07,,,5,1312,0.0006123098512975182,0.8033505249023438,1e-05,,,True,[],,,,,,,,,,False,8.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q256,35,9,8,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005493455648079449,0.30001782028686524,0,,,ok,,0.0006491322222043689,0.00584218999983932,0.00017889687507022245,0.0014311750005617796,,,[],,,,,,,,,,,,,,,,,0.8216384039999411,,1.4989099730000817,0.0003373550000560499,1.5259353779999856,0.012805379999917932,,2.333691111999997,,1e-07,256,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,1,2,8.157466815531145e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,328,3,nan,,1.5426088808118423,3.074456172700921e-08,,,5,1632,0.000590196076561423,0.9631999969482422,1e-05,,,True,[],,,,,,,,,,False,1.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q320,35,2,1,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.000497337054882999,0.3000177688637955,0,,,ok,,0.0006319530000382656,0.0012639060000765312,0.0002375669998855301,0.0002375669998855301,,,[],,,,,,,,,,,,,,,,,0.9849815560000934,,1.4984238590000132,0.0002858579998701316,1.5187983169998915,0.0025994330001140042,,2.4862907060000907,,1e-07,320,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,3,4,5.536570014598347e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,392,3,nan,,0.25124320766505054,5.007336858118179e-09,,,5,1952,0.0005911979128102787,1.154018325805664,1e-05,,,True,[],,,,,,,,,,False,3.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q384,35,4,3,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005660176315342244,0.3000178232648821,0,,,ok,,0.0006298912500142251,0.0025195650000569003,0.00018449500006075445,0.0005534850001822633,,,[],,,,,,,,,,,,,,,,,1.1795147100001486,,1.4983511879997877,0.00028488999987530406,1.5187096520000978,0.005482731000029162,,2.683633518999841,,1e-07,384,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,2,3,8.64508388312646e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,456,3,nan,,0.23683639553339852,4.720205667328016e-09,,,5,2272,0.0005913049939652564,1.3434449462890625,1e-05,,,True,[],,,,,,,,,,False,2.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q448,35,3,2,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005648646478175776,0.30001782059623666,0,,,ok,,0.0006323070000083438,0.0018969210000250314,0.00019756899996536958,0.00039513799993073917,,,[],,,,,,,,,,,,,,,,,1.372623219000161,,1.500071786000035,0.00030105499990895623,1.5240688129999853,0.0039997660001063196,,2.8769958260002113,,1e-07,448,80000,v3
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,79,80,8.872722472648413e-08,6250000,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,chol_solve,299999999.99935234,True,,nan,0,50,diag,0.001,0,0,0,0,False,79.0,SE,0.1,1.5,1.0,,0,3000,btab_auto_topk_512,35,80,79,75000000,300000000,3000,cufinufft,binned_c1,50,79,8.872722472648413e-08,pcg,converged,79,,True,0.1,0,248.7941398093209,0.0005649614805061935,0.3000178210607841,0,0.1,exact,ok,,0.0006226195124980904,0.049809560999847236,0.0005900640253170008,0.046615058000043064,7451.295978545698,600,,,0.0005808659998365329,4.395369619545173e-05,0.0034723419994406868,4.109762023831478e-05,0.003246711998826868,0.0004065192152015525,0.032115018000922646,0.010382933000073535,0.008780187999946065,-0.010382933000073535,0.0,0.001340089000223088,5.565878479754684e-05,0.0043970439990062005,,,0.00017792200014810078,1.4984796769999775,0.011816469999985202,1.519476080000004,0.15713465800013182,0.00026265599990438204,1.6556143350001093,1.6557922570002575,1e-07,,80000,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,2.6971295012994267e-09,24010000,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,chol_solve,299999999.99935234,True,,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,,0,3000,btab_auto_topk_1024,35,4,3,75000000,300000000,3000,cufinufft,binned_c1,50,3,2.6971295012994267e-09,pcg,converged,3,,True,0.1,0,0.0,0.0005649883817288609,0.3000178210388806,0,0.1,exact,ok,,0.0007219920000238744,0.0028879680000954977,0.0006310306666819088,0.0018930920000457263,0.0,0,,,0.0005710100001579121,2.4816666685486172e-05,7.445000005645852e-05,3.712366666756376e-05,0.00011137100000269129,0.00046192233329141647,0.0013857669998742494,0.03906015200004731,0.03589972600002511,-0.03906015200004731,0.0,0.0026972100001785293,6.187500002852175e-05,0.00018562500008556526,,,5.9656999837898184e-05,1.498390567999877,0.040413093999859484,1.5267066849999082,0.04772268700003224,0.0004632159998436691,1.5461132549999093,1.5461729119997472,1e-07,,80000,v6_btab
1225,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,80000,361,cheap,30,0.01,,cupy,5.955372191521577e-15,1.1949120849756762e-15,320,162,162,,162,64,361,864,370688,451215.62108416605,4512156.21084166,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,1546,1547,8.467739094041275e-08,0,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,64,0,64,64,0,0,2,1225,,,,,,,5.955372191521577e-15,1.1949120849756762e-15,,,,,1e-05,boxeig,299999999.99935234,True,,nan,0,0,,nan,0,0,0,0,False,1546.0,SE,0.1,1.5,1.0,,21904,3000,btab_boxeig_topk_256_q64,35,1547,1546,75000000,300000000,3000,cufinufft,binned_c1,50,1546,8.467739094041275e-08,pcg,converged,1546,,True,0.1,0,41989.68361803287,0.0005590893253875826,0.3000178105723418,0,0.1,boxeig,ok,,0.0006285718319326919,0.9724006239998744,0.00042364229624814603,0.6549509899996337,1369995.9262617128,864,,4512156.21084166,0.00046669699986523483,4.512496830743699e-05,0.06976320100329758,3.855946313666223e-05,0.05961293000927981,0.00024151381953384257,0.3733803649993206,0.3575881150004534,0.0,0.0,0.23007560100040791,0.0,5.667307826299121e-05,0.08761657899458442,0.12751251400004548,,0.026834186000087357,1.498571372999777,0.35850772399999187,1.523435660999894,2.945494377000159,0.0,4.444065749999936,4.4708999360000234,1e-07,,80000,v7_btab_boxeig
