M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_residual_max,eig_residual_median,eps,exact_apply_mode,gamma,has_nufft,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,v1_maxiter,version
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,79,80,8.87272236268777e-08,6250000,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.99935234,True,nan,0,50,diag,0.001,0,0,0,0,False,79.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_512,35,80,79,75000000,300000000,3000,cufinufft,binned_c1,50,79,8.87272236268777e-08,pcg,converged,79,True,0.1,0,248.7941398093209,0.0005649614805388924,0.3000178210607844,0,0.1,exact,ok,0.0006345769000063228,0.050766152000505826,0.0007320116075812,0.05782891699891479,7451.295978545698,600,,0.005000158000029842,4.4649531636296854e-05,0.0035273129992674512,4.097000000508126e-05,0.0032366300004014192,0.0005465133038002552,0.04317455100022016,0.6349586190001446,0.39173826199998985,-0.6349586190001446,0.0,0.13747821800006932,5.634993671195889e-05,0.004451645000244753,,0.0001784710000265477,1.4954126890002044,1.1258588260000124,1.5154549489998317,1.2839920139999776,0.10574213900008544,2.779404703000182,2.7795831740002086,1e-07,80000,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,2.697129509561021e-09,24010000,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.99935234,True,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_1024,35,4,3,75000000,300000000,3000,cufinufft,binned_c1,50,3,2.697129509561021e-09,pcg,converged,3,True,0.1,0,0.0,0.0005649883817196242,0.30001782103888064,0,0.1,exact,ok,0.0007328655000264916,0.0029314620001059666,0.0006058386667670371,0.0018175160003011115,0.0,0,,0.0006103270000039629,1.7412333363608923e-05,5.223700009082677e-05,4.7183000030296775e-05,0.00014154900009089033,0.0004393136668265167,0.00131794100047955,0.051323871000022336,0.04804496899987498,-0.051323871000022336,0.0,0.0027818370001568837,5.803333336492263e-05,0.0001741000000947679,,6.92070000241074e-05,1.4956452820001687,0.05274773800010735,1.5223332279999795,0.060024825000027704,0.0004970649999904708,1.5556701070001964,1.5557393140002205,1e-07,80000,v6_btab
1225,expanded_box,topk,1225,,1225,0,"[17, 17]","[35, 35]",1225,topk,1225,,1225,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,2.6971295017330824e-09,24010000,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,299999999.99935234,True,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_1225,35,4,3,75000000,300000000,3000,cufinufft,binned_c1,50,3,2.6971295017330824e-09,pcg,converged,3,True,0.1,0,0.0,0.0005649883817733007,0.3000178210388806,0,0.1,exact,ok,0.0007142549999912262,0.002857019999964905,0.0005962503332739288,0.0017887509998217865,0.0,0,,0.0005760960000316118,1.7573666582393344e-05,5.272099974718003e-05,3.9636666618510695e-05,0.00011890999985553208,0.0004396503334191948,0.0013189510002575844,0.0417663260000154,0.03865694799992525,-0.0417663260000154,0.0,0.0026759250001759938,5.561533331880734e-05,0.00016684599995642202,,6.13009999597125e-05,1.4956508489999578,0.043134734999966895,1.5242803419998836,0.05017415600013919,0.0004334529999141523,1.545825005000097,1.5458863060000567,1e-07,80000,v6_btab
1225,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,80000,361,cheap,30,0.01,,cupy,7.910216871757296e-15,1.065183448759399e-15,320,162,162,,162,64,361,864,370688,451215.6210841663,4512156.210841662,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,1546,1547,8.531152021157268e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,64,0,64,64,0,0,2,1225,7.910216871757296e-15,1.065183448759399e-15,1e-05,boxeig,299999999.99935234,True,nan,0,0,,nan,0,0,0,0,False,1546.0,SE,0.1,1.5,1.0,21904,3000,btab_boxeig_topk_256_q64,35,1547,1546,75000000,300000000,3000,cufinufft,binned_c1,50,1546,8.531152021157268e-08,pcg,converged,1546,True,0.1,0,41989.68361803287,0.0005591119405616042,0.3000178105682576,0,0.1,boxeig,ok,0.0006384391829376694,0.9876654160045746,0.0004303273305301362,0.6652860529995905,1369995.9262617128,864,4512156.210841662,0.0005083010000817012,4.5983186288860196e-05,0.07109000600257787,3.9630699229587986e-05,0.06126906100894303,0.00024372054269316943,0.37679195900363993,1.4427572189999864,0.0,0.0,0.23462012899994988,0.0,5.859103687024191e-05,0.09058174300139399,1.2081370900000366,0.753281546000153,1.4952994269999635,1.6646036770000592,1.525975973999948,4.294981601000018,0.0,5.790281027999981,6.543562574000134,1e-07,80000,v7_btab_boxeig
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,cupy,3.33711656246066e-13,2.914406093044976e-15,640,290,290,,290,128,625,600,1282048,21267.04979324994,212670.49793249936,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,458,459,9.941529227234123e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,128,0,128,128,0,0,2,1225,3.33711656246066e-13,2.914406093044976e-15,1e-05,boxeig,299999999.99935234,True,nan,0,0,,nan,0,0,0,0,False,458.0,SE,0.1,1.5,1.0,38416,3000,btab_boxeig_topk_512_q128,35,459,458,75000000,300000000,3000,cufinufft,binned_c1,50,458,9.941529227234123e-08,pcg,converged,458,True,0.1,0,248.7941398093209,0.0005640267253332954,0.30001782168587093,0,0.1,boxeig,ok,0.000652517200432968,0.2995053949987323,0.0004359375196519588,0.19965938400059713,7451.295978545698,600,212670.49793249936,0.0005527149999124958,4.648879913290278e-05,0.021291870002869473,3.964061791195419e-05,0.01815540300367502,0.00024824709387859326,0.1136971689963957,0.31105548000005,0.0,0.0,0.05984113299996352,0.0,5.811902401626263e-05,0.026618512999448285,0.2512143470000865,0.05195099399998071,1.4962383980000595,0.3121929020001062,1.5334504620000189,1.104889447000005,0.0,2.6011278450000646,2.6530788390000453,1e-07,80000,v7_btab_boxeig
1225,expanded_box,topk,768,,768,0,"[15, 15]","[31, 31]",961,topk,768,,768,80000,961,cheap,30,0.01,,cupy,3.4172052549620995e-13,4.238287280939477e-15,640,290,290,,290,128,961,264,1970176,21267.40575708583,212674.0575708583,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,352,353,7.8005257325654e-08,0,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,128,0,128,128,0,0,2,1225,3.4172052549620995e-13,4.238287280939477e-15,1e-05,boxeig,299999999.99935234,True,nan,0,0,,nan,0,0,0,0,False,352.0,SE,0.1,1.5,1.0,59536,3000,btab_boxeig_topk_768_q128,35,353,352,75000000,300000000,3000,cufinufft,binned_c1,50,352,7.8005257325654e-08,pcg,converged,352,True,0.1,0,0.3868140743360568,0.0005663849914495654,0.30001781934822724,0,0.1,boxeig,ok,0.0006600334815827149,0.23299181899869836,0.000440688357952271,0.1551223019991994,10.924850578839887,264,212674.0575708583,0.0007142160000057629,4.6610559655329617e-05,0.016406916998676024,3.969533522895187e-05,0.013972758000591057,0.0002523629204515291,0.08883174799893823,0.2899210989999119,0.0,0.0,0.05002478699998392,0.0,5.8560394888021705e-05,0.02061325900058364,0.239896311999928,0.05192827499990926,1.4959160119999524,0.2911010720001741,1.5245797069999298,0.9078919680000581,0.0,2.4038079800000105,2.4557362549999198,1e-07,80000,v7_btab_boxeig
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,55,56,8.039642579438925e-08,6250000,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,99999999.99978425,True,nan,0,50,diag,0.001,0,0,0,0,False,55.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_512,35,56,55,25000000,100000000,3000,cufinufft,binned_c1,50,55,8.039642579438925e-08,pcg,converged,55,True,0.1,0,82.93137509464721,0.0006876480422227258,0.300030815090645,0,0.1,exact,ok,0.0006373963749979339,0.0356941969998843,0.00044953672725734414,0.024724519999153927,2483.765171134476,600,,0.0005241829999249603,4.44589999915479e-05,0.0024452449995351344,4.1468090892687376e-05,0.0022807449990978057,0.0002632140000059735,0.014476770000328543,0.010408726000150637,0.008805008000081216,-0.010408726000150637,0.0,0.0013681160000942327,5.661989091343209e-05,0.003114094000238765,,0.00013143899991518992,0.5089940149998711,0.011790128000029654,0.504032651999978,0.10684707000018534,0.00023560199997518794,0.6158410850000564,0.6159725239999716,1e-07,80000,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,6.05735608994312e-09,24010000,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,99999999.99978425,True,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_1024,35,4,3,25000000,100000000,3000,cufinufft,binned_c1,50,3,6.05735608994312e-09,pcg,converged,3,True,0.1,0,0.0,0.0006876167031319526,0.3000308149421984,0,0.1,exact,ok,0.0007268087499596732,0.0029072349998386926,0.0005980430000060247,0.0017941290000180743,0.0,0,,0.0005605239998658362,1.746466674982609e-05,5.239400024947827e-05,3.749600000446662e-05,0.00011248800001339987,0.0004391943334667303,0.001317583000400191,0.04019156300000759,0.03704516999982843,-0.04019156300000759,0.0,0.0026858210001137195,5.603299996437272e-05,0.00016809899989311816,,4.437400002643699e-05,0.5087597060000917,0.041565450999996756,0.5089267399998789,0.04876921499999298,0.0004605720000654401,0.5575289210000847,0.5575732950001111,1e-07,80000,v6_btab
1225,expanded_box,topk,1225,,1225,0,"[17, 17]","[35, 35]",1225,topk,1225,,1225,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,6.057356077405203e-09,24010000,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,chol_solve,99999999.99978425,True,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,0,3000,btab_auto_topk_1225,35,4,3,25000000,100000000,3000,cufinufft,binned_c1,50,3,6.057356077405203e-09,pcg,converged,3,True,0.1,0,0.0,0.0006876167031330839,0.3000308149421986,0,0.1,exact,ok,0.0007159294999610211,0.0028637179998440843,0.0006172829999589643,0.0018518489998768928,0.0,0,,0.00088066299986167,1.7583333374204813e-05,5.275000012261444e-05,3.835366662012044e-05,0.00011506099986036133,0.00045634399998562003,0.00136903199995686,0.03710528999999951,0.033882897000012235,-0.03710528999999951,0.0,0.0027913849999094964,6.055333331763298e-05,0.00018165999995289894,,3.9564000189784565e-05,0.5089105849999669,0.03875325200010593,0.5082231000001229,0.04598341799987793,0.0004310080000777816,0.5548940029998448,0.5549335670000346,1e-07,80000,v6_btab
1225,expanded_box,topk,256,,256,0,"[9, 9]","[19, 19]",361,topk,256,,256,80000,361,cheap,30,0.01,,cupy,6.218086790599484e-15,1.2247555877669531e-15,320,162,162,,162,64,361,864,370688,150385.5554474397,1503855.5544743969,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,1174,1175,8.579994436835513e-08,0,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,cheap,64,0,64,64,0,0,2,1225,6.218086790599484e-15,1.2247555877669531e-15,1e-05,boxeig,99999999.99978426,True,nan,0,0,,nan,0,0,0,0,False,1174.0,SE,0.1,1.5,1.0,21904,3000,btab_boxeig_topk_256_q64,35,1175,1174,25000000,100000000,3000,cufinufft,binned_c1,50,1174,8.579994436835513e-08,pcg,converged,1174,True,0.1,0,13996.560751340598,0.0006838482096003831,0.30003080661250503,0,0.1,boxeig,ok,0.0006360031880856385,0.7473037460006253,0.00042593882793883864,0.5000521840001966,456665.2918695316,864,1503855.5544743969,0.0004867299999204988,4.576472742375771e-05,0.05372778999549155,3.859306899172609e-05,0.04530826299628643,0.00024282171634799844,0.28507269499255017,0.1251844250002705,0.0,0.0,0.0009629120002045966,0.0,5.6658220612799166e-05,0.06651675099942622,0.1242215130000659,0.026069009000138976,0.5084641139999349,0.1261338900001192,0.5133289229997899,2.110919732000184,0.0,2.619383846000119,2.645452855000258,1e-07,80000,v7_btab_boxeig
