M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,v1_maxiter,version
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,3318,3319,6.572788359818682e-08,,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,,,,,,,,,0,0,,,1e-05,,,True,,,,,,,,,,,False,3318.0,SE,0.1,1.5,1.0,,,80000,plain_cg,35,3319,,75000000,300000000,3000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0003420895947372248,0.300017486700119,0,,,ok,,0.0009677085679402075,3.211824736993549,,,,,,,,,,,,,,,,,,,,,,,,4.93215413300004,,1.521744359999957,5.358612884000195,,10.290769732000172,,1e-07,,80000,v1
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,1075,1076,8.226596426978814e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,72,3,nan,,147830.24167632248,0.002947824769710363,,,5,352,0.0012445469227704135,0.43808051681518556,1e-05,,,True,[],,,,,,,,,,False,1075.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q64,35,1076,1075,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005647238929156518,0.3000178203762548,0,,,ok,,0.0006371723336493743,0.6855974310067268,0.00016921803069677946,0.18190938299903792,,,[],,,,,,,,,,,,,,,,,1.9416142720001517,,3.461094041999786,0.4531722079998417,1.5226593909999337,1.5552761570002076,,7.411156678999987,,1e-07,64,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,265,266,6.94541301045493e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,136,3,nan,,6884.036745143308,0.0001372006311245172,,,5,672,0.0006074499062129429,0.40820633697509767,1e-05,,,True,[],,,,,,,,,,False,265.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q128,35,266,265,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005653326867171971,0.30001782099547747,0,,,ok,,0.0006380369661664552,0.1697178330002771,0.00015661294716562036,0.041502430998889395,,,[],,,,,,,,,,,,,,,,,0.4203751079999165,,1.4955916050000724,0.00034175200016761664,1.5238181980000718,0.38058235399989826,,2.2968908190000548,,1e-07,128,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,8,9,9.480774029520077e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,264,3,nan,,20.373877183781254,4.06056215864659e-07,,,5,1312,0.0006054673194885254,0.7943731231689454,1e-05,,,True,[],,,,,,,,,,False,8.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q256,35,9,8,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.000549345512194274,0.3000178202868099,0,,,ok,,0.0006448296667005909,0.005803467000305318,0.00016893662501615836,0.0013514930001292669,,,[],,,,,,,,,,,,,,,,,0.8133576769998854,,1.4952040309999575,0.00031182200018520234,1.5236131070000738,0.01267311499987045,,2.3215466449998985,,1e-07,256,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,1,2,8.147143945963272e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,328,3,nan,,1.5426088808110352,3.074456172699312e-08,,,5,1632,0.0006040846974241967,0.985866226196289,1e-05,,,True,[],,,,,,,,,,False,1.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q320,35,2,1,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0004973368574233025,0.3000177688637223,0,,,ok,,0.0006407160000208023,0.0012814320000416046,0.00023913800009722763,0.00023913800009722763,,,[],,,,,,,,,,,,,,,,,1.0112945910000235,,1.4958617130000675,0.00031266599989976385,1.5229470570000103,0.0025893160000123316,,2.510058286000003,,1e-07,320,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,1,2,8.68789307780385e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,392,3,nan,,0.25124320758082846,5.007336856439612e-09,,,5,1952,0.0006017505536313917,1.1746170806884766,1e-05,,,True,[],,,,,,,,,,False,1.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q384,35,2,1,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005514783935816431,0.3000178131336864,0,,,ok,,0.0006404509999811125,0.001280901999962225,0.00022968500002207293,0.00022968500002207293,,,[],,,,,,,,,,,,,,,,,1.20018625900002,,1.4954101069999979,0.0002890630000820238,1.5227574079999613,0.0026368389999333885,,2.6985222680000334,,1e-07,384,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,2,3,7.5052172177582e-08,,,nan,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,456,3,nan,,0.23683639551464591,4.720205666954272e-09,,,5,2272,0.0006011461338526765,1.3658040161132812,1e-05,,,True,[],,,,,,,,,,False,2.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q448,35,3,2,75000000,300000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005648640431311203,0.30001782059520676,0,,,ok,,0.0006474766666239399,0.0019424299998718197,0.0002454089999446296,0.0004908179998892592,,,[],,,,,,,,,,,,,,,,,1.3956571650001024,,1.4960718400000133,0.00032964000001811655,1.5210333969998828,0.004187618000059956,,2.8962462630001937,,1e-07,448,80000,v3
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,79,80,8.87272236268777e-08,6250000,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,chol_solve,299999999.99935234,True,,nan,0,50,diag,0.001,0,0,0,0,False,79.0,SE,0.1,1.5,1.0,,0,3000,btab_auto_topk_512,35,80,79,75000000,300000000,3000,cufinufft,binned_c1,50,79,8.87272236268777e-08,pcg,converged,79,,True,0.1,0,248.7941398093209,0.0005649614805388924,0.3000178210607844,0,0.1,exact,ok,,0.0006345769000063228,0.050766152000505826,0.0007320116075812,0.05782891699891479,7451.295978545698,600,,,0.005000158000029842,4.4649531636296854e-05,0.0035273129992674512,4.097000000508126e-05,0.0032366300004014192,0.0005465133038002552,0.04317455100022016,0.6349586190001446,0.39173826199998985,-0.6349586190001446,0.0,0.13747821800006932,5.634993671195889e-05,0.004451645000244753,,,0.0001784710000265477,1.4954126890002044,1.1258588260000124,1.5154549489998317,1.2839920139999776,0.10574213900008544,2.779404703000182,2.7795831740002086,1e-07,,80000,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,2.697129509561021e-09,24010000,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,chol_solve,299999999.99935234,True,,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,,0,3000,btab_auto_topk_1024,35,4,3,75000000,300000000,3000,cufinufft,binned_c1,50,3,2.697129509561021e-09,pcg,converged,3,,True,0.1,0,0.0,0.0005649883817196242,0.30001782103888064,0,0.1,exact,ok,,0.0007328655000264916,0.0029314620001059666,0.0006058386667670371,0.0018175160003011115,0.0,0,,,0.0006103270000039629,1.7412333363608923e-05,5.223700009082677e-05,4.7183000030296775e-05,0.00014154900009089033,0.0004393136668265167,0.00131794100047955,0.051323871000022336,0.04804496899987498,-0.051323871000022336,0.0,0.0027818370001568837,5.803333336492263e-05,0.0001741000000947679,,,6.92070000241074e-05,1.4956452820001687,0.05274773800010735,1.5223332279999795,0.060024825000027704,0.0004970649999904708,1.5556701070001964,1.5557393140002205,1e-07,,80000,v6_btab
1225,expanded_box,topk,1225,,1225,0,"[17, 17]","[35, 35]",1225,topk,1225,,1225,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,chol_solve,20000,group_b,50,diag,0.001,50,auto,group_b,auto,3,4,2.6971295017330824e-09,24010000,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,chol_solve,299999999.99935234,True,,nan,0,50,diag,0.001,0,0,0,0,False,3.0,SE,0.1,1.5,1.0,,0,3000,btab_auto_topk_1225,35,4,3,75000000,300000000,3000,cufinufft,binned_c1,50,3,2.6971295017330824e-09,pcg,converged,3,,True,0.1,0,0.0,0.0005649883817733007,0.3000178210388806,0,0.1,exact,ok,,0.0007142549999912262,0.002857019999964905,0.0005962503332739288,0.0017887509998217865,0.0,0,,,0.0005760960000316118,1.7573666582393344e-05,5.272099974718003e-05,3.9636666618510695e-05,0.00011890999985553208,0.0004396503334191948,0.0013189510002575844,0.0417663260000154,0.03865694799992525,-0.0417663260000154,0.0,0.0026759250001759938,5.561533331880734e-05,0.00016684599995642202,,,6.13009999597125e-05,1.4956508489999578,0.043134734999966895,1.5242803419998836,0.05017415600013919,0.0004334529999141523,1.545825005000097,1.5458863060000567,1e-07,,80000,v6_btab
