dataset_family,n_train,eps,selected_topk,selected_q,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,768.0,128.0,0.2648903260001134,5.0,5.0,5.0,0.3951969478468211,1.02280958301633,5.2529142695077e-10
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,768.0,128.0,0.8868445379998775,5.0,5.0,5.0,0.3896628373948179,1.0684933963939731,1.4338284971024634e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,768.0,128.0,0.3171109449999676,7.0,7.0,7.0,0.3821210026366184,1.2286006528420363,4.779216241328302e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,768.0,128.0,0.4177935299999262,9.0,9.0,9.0,0.3742906418622588,1.686497683629712,7.848668429733703e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,768.0,128.0,0.7764370980000876,14.0,14.0,14.0,0.3645633460580094,3.2878426375006864,9.984326680467758e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,768.0,128.0,2.0390022830001726,26.0,26.0,26.0,0.3561590499064122,7.863207293443147,1.0823135268875762e-08
synthetic_true_func_2d,1000000,1e-05,768.0,128.0,0.3928860510000049,70.0,70.0,70.0,0.0049062373691475,709.2674565565877,1.9049178136700945e-13
synthetic_true_func_2d,3000000,1e-05,768.0,128.0,0.4565169630000127,98.0,98.0,98.0,0.0029089369952951,2125.710994786746,1.8124051621424026e-13
synthetic_true_func_2d,10000000,1e-05,768.0,128.0,0.5599603030000253,143.0,143.0,143.0,0.0017023276394863,7086.556890574268,2.5171880037578963e-13
synthetic_true_func_2d,30000000,1e-05,768.0,128.0,0.7586157480000111,202.0,202.0,202.0,0.0010720566055095,21268.167269345835,3.026442462923907e-13
synthetic_true_func_2d,100000000,1e-05,768.0,128.0,1.209813782999845,266.0,266.0,266.0,0.0006881693846671,70883.30065609589,1.70572704278089e-13
synthetic_true_func_2d,300000000,1e-05,768.0,128.0,2.393718705000083,352.0,352.0,352.0,0.0005664174950809,212674.05757085816,2.2464987851715718e-13
