dataset_family,n_train,eps,selected_topk,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,1024.0,4.567859934999888,3000.0,3000.0,3000.0,0.3951038002790943,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,512.0,4.558342502999949,3000.0,3000.0,3000.0,0.3898362058468947,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,512.0,4.610896127999695,3000.0,3000.0,3000.0,0.3829657124665861,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,1024.0,4.71073427400006,3000.0,3000.0,3000.0,0.376059321260715,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,1024.0,5.035497452000072,3000.0,3000.0,3000.0,0.3674466066881781,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,1024.0,6.285426013000006,3000.0,3000.0,3000.0,0.3594536965194075,,
synthetic_true_func_2d,1000000,1e-05,512.0,0.0515402870000798,11.0,11.0,11.0,0.0049064991885325,,
synthetic_true_func_2d,3000000,1e-05,512.0,0.0720133229999646,16.0,16.0,16.0,0.0029091482511974,,
synthetic_true_func_2d,10000000,1e-05,1024.0,0.1111785919999874,4.0,4.0,4.0,0.0017027089708414,,
synthetic_true_func_2d,30000000,1e-05,1024.0,0.2135720030000811,3.0,3.0,3.0,0.0010710988537798,,
synthetic_true_func_2d,100000000,1e-05,1024.0,0.5604700100000173,3.0,3.0,3.0,0.0006876167030982,,
synthetic_true_func_2d,300000000,1e-05,1024.0,1.555447155000138,3.0,3.0,3.0,0.0005649883817361,,
