dataset_stem,eps,method,precompute_mode,selector_tag,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1225.0,0.0,0.0,0.0,3000,3000.0,0.043786910000108,4.548250247999931,4.567859934999888,2.9008000183239343e-05,4.567888943000071,0.3955674092868363,0.3951038002790943
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,600.0,0.829195548393433,24.83386656410284,3000,3000.0,0.0134216699998432,4.56375669199997,4.583722272000159,9.571900000082678e-05,4.58381799100016,0.3955592851201622,0.3950932921599168
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1225.0,0.0,0.0,0.0,3000,3000.0,0.0420855529996515,4.54404255999998,4.618999320000057,3.427100000408245e-05,4.619033591000061,0.3829542756445796,0.3830006181900368
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,600.0,8.29313806561155,248.3765349227636,3000,3000.0,0.0128728939998836,4.547227343000031,4.610896127999695,0.0001341160000265,4.611030243999721,0.3829207012826782,0.3829657124665861
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1225.0,0.0,0.0,0.0,3000,3000.0,0.0420439229999374,4.5226252079999085,5.035497452000072,4.4730000126946834e-05,5.035542182000199,0.3674054508281637,0.3674466066881781
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,600.0,82.93138065611586,2483.7653492276468,3000,3000.0,0.0133778920001077,4.549507434999896,5.063410411999939,0.0001767829999153,5.063587194999855,0.3672661651918293,0.3673087666472635
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1225.0,0.0,0.0,0.0,3000,3000.0,0.047216631000083,4.540154917000109,4.572877066999808,3.027599996130448e-05,4.57290734299977,0.3897195074930629,0.3898157178417435
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,600.0,2.4879414196834726,74.5129604768293,3000,3000.0,0.01343972199993,4.52571576299988,4.558342502999949,8.84050000422576e-05,4.558430907999991,0.3897398517905808,0.3898362058468947
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1225.0,0.0,0.0,0.0,3000,3000.0,0.046174560000054,4.547299975999977,4.71073427400006,3.7867000173719134e-05,4.710772141000234,0.3760317788199485,0.376059321260715
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,600.0,24.879414196834848,745.1296047682968,3000,3000.0,0.0130253319998701,4.592628780999803,4.756203492999703,0.0001180680001198,4.756321560999822,0.3761790474778522,0.3762104956623096
