btab_active_mode,btab_active_tau,btab_active_topk,btab_box_budget,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_maxiter,btab_eig_ncv,btab_eig_q,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,dataset_dim,dataset_stem,eps,error_messages,error_types,failed_count,iterations,iterations_max,iterations_median,iterations_min,iterations_std,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,maxiter,method,n_test,n_train,ok_count,reg_lambda,repeat_count,status,tol,top_q
topk,,1024,6000,cheap,30,0.01,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,SE,0.1,1.5,1.0,100000,btab_auto_topk_1024,250000,1000000,0,0.1,1,failed,1e-06,
topk,,1024,6000,cheap,30,0.01,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,matern,0.1,1.5,1.0,100000,btab_auto_topk_1024,250000,1000000,0,0.1,1,failed,1e-06,
topk,,2048,6000,cheap,30,0.01,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,SE,0.1,1.5,1.0,100000,btab_auto_topk_2048,250000,1000000,0,0.1,1,failed,1e-06,
topk,,2048,6000,cheap,30,0.01,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,matern,0.1,1.5,1.0,100000,btab_auto_topk_2048,250000,1000000,0,0.1,1,failed,1e-06,
topk,,4096,6000,cheap,30,0.01,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,SE,0.1,1.5,1.0,100000,btab_auto_topk_4096,250000,1000000,0,0.1,1,failed,1e-06,
topk,,4096,6000,cheap,30,0.01,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,matern,0.1,1.5,1.0,100000,btab_auto_topk_4096,250000,1000000,0,0.1,1,failed,1e-06,
topk,,512,6000,cheap,30,0.01,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,SE,0.1,1.5,1.0,100000,btab_auto_topk_512,250000,1000000,0,0.1,1,failed,1e-06,
topk,,512,6000,cheap,30,0.01,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,matern,0.1,1.5,1.0,100000,btab_auto_topk_512,250000,1000000,0,0.1,1,failed,1e-06,
topk,,1024,6000,cheap,30,0.01,,,,128,0.001,boxeig,20000,group_a,50,diag,0.001,50,auto,boxeig,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,SE,0.1,1.5,1.0,100000,btab_boxeig_topk_1024_q128,250000,1000000,0,0.1,1,failed,1e-06,
topk,,1024,6000,cheap,30,0.01,,,,128,0.001,boxeig,20000,group_a,50,diag,0.001,50,auto,boxeig,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,CuPy is importable but CUDA runtime device count is unavailable.,RuntimeError,1,nan,nan,nan,nan,nan,matern,0.1,1.5,1.0,100000,btab_boxeig_topk_1024_q128,250000,1000000,0,0.1,1,failed,1e-06,
