dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q64,c1,topk_1024,64.0,1024.0,1225.0,1225.0,0.0,0.0,0.0,1511.385263059597,15113.85263059597,15113.85263059597,8.237255641434309e-15,1.1566336258777245e-15,1255424.0,162.0,162.0,162.0,cupy,273.0,273.0,0.1280078769998454,0.1298577850000128,0.5829015019999133,0.600980909999862,0.0259099639999931,0.6268908739998551,0.1488845101081368,0.1495136484430428
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q64,c1,topk_1024,64.0,1024.0,1369.0,1369.0,34352.0,240.15196295342733,159243.74207647605,2562.491576210088,25624.915762100874,25624.915762100874,4.470079415378702e-15,1.0369563437219505e-15,1402880.0,162.0,162.0,162.0,cupy,814.0,814.0,0.1235499320000599,0.1264800500000547,1.496706976000041,1.5258557069998917,0.0257099099999322,1.5515656169998238,0.0349151916631512,0.0355269649315715
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q128,c1,topk_1024,128.0,1024.0,1225.0,1225.0,0.0,0.0,0.0,64.62607511877214,646.2607511877213,646.2607511877213,1.0616345961368889e-13,4.435736713569287e-15,2510848.0,290.0,290.0,290.0,cupy,66.0,66.0,0.2354210630001034,0.2372760389998802,0.3615435599999728,0.3797292570000081,0.0509945520000201,0.4307238090000282,0.1488847016974901,0.1495139993595428
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q128,c1,topk_1024,128.0,1024.0,1369.0,1369.0,34352.0,240.15196295342736,159243.74207647605,654.8670269578811,6548.670269578811,6548.670269578811,7.807181274526473e-15,1.6696081870338334e-15,2805760.0,290.0,290.0,290.0,cupy,443.0,443.0,0.2337895539999408,0.23684740900012,0.9852843759999814,1.0152835680000862,0.0508955840000453,1.0661791520001316,0.0349150871990806,0.0355268476404529
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,64.62607511877216,646.2607511877216,646.2607511877216,1.780124960593973e-13,3.4343640413734373e-15,2510848.0,290.0,290.0,290.0,cupy,66.0,66.0,0.2334761139998136,0.235314475999985,0.3659470899999633,0.3840174199999637,0.0542719040001884,0.4382893240001522,0.1488847020547444,0.1495140010592704
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,3.474533058475888,34.745330584758875,34.745330584758875,4.435924290292183e-12,1.3079258643441722e-14,3766272.0,418.0,418.0,418.0,cupy,16.0,16.0,0.3564854179999202,0.3584075609999217,0.3901474930000859,0.4086000140000578,0.0877279490000546,0.4963279630001125,0.1488852612078594,0.1495146749594863
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,0.2828322995731138,2.8283229957311384,2.8283229957311384,9.877338283237832e-12,4.0843511062345317e-14,5021696.0,546.0,546.0,546.0,cupy,4.0,4.0,0.4659119059999739,0.4677827890000117,0.4770189099999697,0.4953052880000541,0.1167708489999768,0.6120761370000309,0.1488830790441209,0.1495121031012611
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_2048_q64,c1,topk_2048,64.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,1511.385263059597,15113.85263059597,15113.85263059597,8.250837388690821e-15,1.1210857354679537e-15,1255424.0,162.0,162.0,162.0,cupy,273.0,273.0,0.1244318960000328,0.1262561969999751,0.5782737140000336,0.5962269260000994,0.0269068000000061,0.6231337260001055,0.1488845105892689,0.1495136483544188
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_2048_q64,c1,topk_2048,64.0,2048.0,2601.0,2601.0,33120.0,54.54774512437489,63021.1201277645,2567.4778502540303,25674.778502540303,25674.778502540303,3.855229464295918e-15,1.0586767550502623e-15,2664448.0,162.0,162.0,162.0,cupy,864.0,864.0,0.1233732190000864,0.1263945329999387,1.575696515000118,1.604285657999981,0.028504139000006,1.6327897969999867,0.0349150438675914,0.0355270085833824
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_2048_q128,c1,topk_2048,128.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,64.62607511877218,646.2607511877218,646.2607511877218,1.1318955905714573e-13,4.195207612594414e-15,2510848.0,290.0,290.0,290.0,cupy,66.0,66.0,0.2330225749999499,0.2348764139999275,0.3589734550000685,0.377086104,0.0505161180001323,0.4276022220001323,0.1488847019054787,0.1495140007923223
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_2048_q128,c1,topk_2048,128.0,2048.0,2601.0,2601.0,33120.0,54.5477451243749,63021.1201277645,657.3944520243647,6573.944520243646,6573.944520243646,9.105593794429642e-15,1.8647382822356203e-15,5328896.0,290.0,290.0,290.0,cupy,455.0,455.0,0.2375155249999352,0.2406780839999101,1.022152093999921,1.0522444059999998,0.0511335199998939,1.1033779259998937,0.034914918102106,0.0355267272798993
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_2048_q192,c1,topk_2048,192.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,3.474533058475963,34.74533058475963,34.74533058475963,9.490901155524665e-13,1.5617217506705933e-14,3766272.0,418.0,418.0,418.0,cupy,16.0,16.0,0.3504739079999126,0.3523629300000266,0.3842623999998977,0.4025337169998693,0.0895288649999201,0.4920625819997895,0.1488852612059303,0.1495146750145784
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_2048_q192,c1,topk_2048,192.0,2048.0,2601.0,2601.0,33120.0,54.5477451243749,63021.1201277645,270.6305521967505,2706.305521967505,2706.305521967505,1.2462511805744878e-14,2.3174478689206267e-15,7993344.0,418.0,418.0,418.0,cupy,310.0,310.0,0.3602892359999714,0.363332956000022,0.9026810160000878,0.9328727760000676,0.0753975170000558,1.0082702930001233,0.0349148609473812,0.0355267157917383
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,64.62607511877218,646.2607511877218,646.2607511877218,1.157687722338877e-13,3.5321846518322968e-15,2510848.0,290.0,290.0,290.0,cupy,66.0,66.0,0.2343598509999083,0.2362895310000112,0.3608408380000583,0.3789003080000839,0.0508286580000003,0.4297289660000842,0.1488846997942293,0.1495140005845397
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,9.838544680288264,21241.399621101573,657.5664981475209,6575.664981475208,6575.664981475208,8.85002846859586e-15,1.6972536365150137e-15,10915840.0,290.0,290.0,290.0,cupy,495.0,495.0,0.2744499150001047,0.2779144160001578,1.1392768529999555,1.169457188000024,0.0540920399998867,1.2235492279999107,0.0349148567281134,0.0355266485402525
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,3.474533058475895,34.745330584758946,34.745330584758946,2.833395502110613e-12,1.8589463436270286e-14,3766272.0,418.0,418.0,418.0,cupy,16.0,16.0,0.3537426870000217,0.3556131180000648,0.3874441560001287,0.4057957920001627,0.0890584000001126,0.4948541920002753,0.1488852612020965,0.1495146750449854
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,9.838544680288264,21241.399621101573,271.6911292688934,2716.911292688934,2716.911292688934,2.591873883433064e-14,2.952586125842505e-15,16373760.0,418.0,418.0,418.0,cupy,315.0,315.0,1.0303586769998674,1.0338086429999294,1.5824027119999755,1.613052517999904,0.0775622440000916,1.6906147619999956,0.0349148149655873,0.0355266027798872
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q256,c1,topk_4096,256.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,0.2828322995730867,2.8283229957308667,2.8283229957308667,1.1741592657951989e-11,5.444111002942677e-14,5021696.0,546.0,546.0,546.0,cupy,4.0,4.0,0.461291213000095,0.4631987299999309,0.4724408039999161,0.4906912199999169,0.1233674889999747,0.6140587089998917,0.1488830790442035,0.1495121031013821
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q256,c1,topk_4096,256.0,4096.0,5329.0,5329.0,30392.0,9.838544680288264,21241.399621101573,139.9137357870159,1399.137357870159,1399.137357870159,4.0211751232466763e-14,5.216927158287227e-15,21831680.0,546.0,546.0,546.0,cupy,236.0,236.0,0.4889620909998484,0.4924465419999251,0.9091290769999888,0.9385134569999992,0.1026406510000015,1.0411541080000006,0.0349149002286925,0.0355266776177703
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,64.62607511877218,646.2607511877218,646.2607511877218,1.339712947778675e-13,3.785974203339246e-15,2510848.0,290.0,290.0,290.0,cupy,67.0,67.0,1.0989677989998654,1.100860412999964,1.2603638369998862,1.2784301359999972,0.0513654559999849,1.3297955919999822,0.1488846229920519,0.1495138577024657
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,3.474533058475952,34.74533058475952,34.74533058475952,3.756866412704648e-12,1.4270044639109143e-14,3766272.0,418.0,418.0,418.0,cupy,16.0,16.0,1.365516295999896,1.367632389999926,1.4091610899999978,1.427488884000013,0.094747788000177,1.52223667200019,0.1488852612035318,0.1495146749988872
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_8192_q256,c1,topk_8192,256.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,0.2828322995730458,2.8283229957304576,2.8283229957304576,1.2689361746881809e-11,4.2350720699590585e-14,5021696.0,546.0,546.0,546.0,cupy,4.0,4.0,0.4716125829997963,0.4735207009998703,0.482763148999993,0.5013491180000074,0.1170138790000692,0.6183629970000766,0.1488830790442836,0.1495121031016073
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_8192_q256,c1,topk_8192,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_1024_q64,c1,topk_1024,64.0,1024.0,1225.0,1225.0,0.0,0.0,0.0,15077.760276489356,150777.60276489353,150777.60276489353,8.795474386268772e-15,1.1085171996660884e-15,1255424.0,162.0,162.0,162.0,cupy,689.0,689.0,0.1229563269999971,0.1248194300000022,1.2345437809999569,1.293570561000024,0.0262071189999915,1.3197776800000156,0.1370917939991142,0.13717758430164
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_1024_q64,c1,topk_1024,64.0,1024.0,1369.0,1369.0,34352.0,2401.5196295323567,1592437.420763489,25653.12362557409,256531.2362557409,256531.2362557409,3.392279848659213e-15,1.0622744384400654e-15,1402880.0,162.0,162.0,162.0,cupy,1438.0,1438.0,0.1242150710000942,0.1273096200000054,2.5194321319999062,2.62274472699994,0.0261937679999846,2.648938494999925,0.0284776334171872,0.0286153795812019
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_1024_q128,c1,topk_1024,128.0,1024.0,1225.0,1225.0,0.0,0.0,0.0,643.563037667575,6435.63037667575,6435.63037667575,7.651410940929213e-14,3.666193283802479e-15,2510848.0,290.0,290.0,290.0,cupy,167.0,167.0,0.2314860310000313,0.2333220499999697,0.5148765789999743,0.5739368729999796,0.0513824969999632,0.6253193699999429,0.1370924558801316,0.1371778518502004
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_1024_q128,c1,topk_1024,128.0,1024.0,1369.0,1369.0,34352.0,2401.5196295323567,1592437.420763489,6537.876525704512,65378.76525704511,65378.76525704511,1.134133335655231e-14,2.2703962452718555e-15,2805760.0,290.0,290.0,290.0,cupy,929.0,929.0,0.2336412019999443,0.2366607600000634,1.7867145720000508,1.8898902580000367,0.0507643050000297,1.9406545630000664,0.0284773340537614,0.0286150783112975
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,643.5630376675745,6435.630376675745,6435.630376675745,1.534146162920042e-13,3.484976928205845e-15,2510848.0,290.0,290.0,290.0,cupy,167.0,167.0,0.2368099360000997,0.2386567870000817,0.5381468250000125,0.5970742099999597,0.0515631849999635,0.6486373949999233,0.1370924649024263,0.1371778612752858
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,33.7813990199797,337.813990199797,337.813990199797,2.090259655160384e-12,1.2817878402196968e-14,3766272.0,418.0,418.0,418.0,cupy,46.0,46.0,0.3632619850000083,0.3651640920001,0.4555476280000903,0.5146201660000997,0.0819436479999922,0.596563814000092,0.1370922468236419,0.1371778975933814
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,1.9200539681279112,19.20053968127911,19.20053968127911,2.2573214037421625e-11,4.3935467588815097e-14,5021696.0,546.0,546.0,546.0,cupy,10.0,10.0,0.4833994990000292,0.4853451679999807,0.5062713390000226,0.5652566569999635,0.1022149310000486,0.6674715880000122,0.1370978999294204,0.1371832443374004
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_2048_q64,c1,topk_2048,64.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,15077.760276489347,150777.60276489347,150777.60276489347,7.055604165349297e-15,1.1225941842591133e-15,1255424.0,162.0,162.0,162.0,cupy,677.0,677.0,0.1232340140001042,0.1251192349999428,1.2190386419999868,1.277662224000096,0.0262265650000017,1.303888789000098,0.1370919765321732,0.1371777369488062
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_2048_q64,c1,topk_2048,64.0,2048.0,2601.0,2601.0,33120.0,545.4774512433136,630211.2012771419,25703.139250253404,257031.39250253403,257031.39250253403,4.820682965976916e-15,1.1098028887165285e-15,2664448.0,162.0,162.0,162.0,cupy,1751.0,1751.0,0.1315583939999669,0.1346989090000079,3.0468112339999607,3.150388164999981,0.0259376770000017,3.176325841999983,0.0284777234976999,0.028615326898326
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_2048_q128,c1,topk_2048,128.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,643.5630376675771,6435.63037667577,6435.63037667577,9.925731351373417e-14,3.850290509950988e-15,2510848.0,290.0,290.0,290.0,cupy,167.0,167.0,1.2598057540000127,1.2617396959999496,1.5568668720000003,1.6161594469999727,0.0517139810000344,1.6678734280000072,0.1370924641022685,0.1371778497220058
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_2048_q128,c1,topk_2048,128.0,2048.0,2601.0,2601.0,33120.0,545.4774512433136,630211.2012771419,6563.6216456515685,65636.21645651569,65636.21645651569,9.025528162454048e-15,1.7022573211199634e-15,5328896.0,290.0,290.0,290.0,cupy,951.0,951.0,0.2358704019998185,0.239012207000087,1.849434305999921,1.95223885900009,0.0557320150001032,2.0079708740001934,0.0284775770673219,0.0286152227947655
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_2048_q192,c1,topk_2048,192.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,33.78139901997962,337.81399019979614,337.81399019979614,2.065033186750874e-12,1.3088910151277224e-14,3766272.0,418.0,418.0,418.0,cupy,48.0,48.0,0.3638546299999916,0.3657307670000591,0.45823249700004,0.5172010649999947,0.0761980080000057,0.5933990730000005,0.1370918096360317,0.1371776014359889
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_2048_q192,c1,topk_2048,192.0,2048.0,2601.0,2601.0,33120.0,545.4774512433136,630211.2012771419,2708.372103575351,27083.721035753508,27083.721035753508,1.3066799709519511e-14,2.490920156014212e-15,7993344.0,418.0,418.0,418.0,cupy,667.0,667.0,0.358139729999948,0.3614052309999351,1.4864115760001368,1.590252552000038,0.0749262689998886,1.6651788209999268,0.0284774759515298,0.0286151523463183
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,1225.0,1225.0,1225.0,0.0,0.0,0.0,643.5630376675763,6435.630376675763,6435.630376675763,1.0892661569368819e-13,3.762132761289956e-15,2510848.0,290.0,290.0,290.0,cupy,168.0,168.0,0.2401004069999999,0.2419659700000238,0.5305868120000241,0.5897039660000019,0.0513200430000324,0.6410240090000343,0.137092423294054,0.1371778367215543
