dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source,selection_note
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,788.0,0.8348490860000766,0.8682497400000102,0.0012503698557091,0.0199368577992604,1.0,ok,btab_group_a_se_matern_20260627_161839,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,35721.0,189.0,,90.0,,,,212.0,0.3971407969999063,0.9020935809999172,0.0012678210897532,0.0199363007251145,0.9624830042994064,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_1024,Active inverse,35721.0,189.0,1024.0,,1024.0,1369.0,,91.0,0.2765749000000141,0.3068722729999535,0.0012661960952061,0.0199360744607412,2.829352197616569,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_1024_q128,Box-EigenPro,35721.0,189.0,1024.0,128.0,1024.0,1369.0,128.0,116.0,0.4492052829999693,0.4792521990000296,0.0012631436138993,0.0199360608388208,1.8116760691169131,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,1040.0,1.103532636999944,1.186262041999953,0.0008818433481542,0.0199711535530987,1.0,ok,btab_group_a_se_matern_20260627_161839,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,35721.0,189.0,,90.0,,,,244.0,0.4583309439999539,0.9933592080000152,0.0008895188237393,0.019971352855872,1.1941924255056937,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_1024,Active inverse,35721.0,189.0,1024.0,,1024.0,1369.0,,134.0,0.3472573459999921,0.4047419170000239,0.0008850994567808,0.0199708086263387,2.9309097777482807,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_2048_q128,Box-EigenPro,35721.0,189.0,2048.0,128.0,2048.0,2601.0,128.0,129.0,0.4771965800000544,0.5344476010000108,0.0008845944111026,0.0199708892243242,2.21960401689581,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,1132.0,1.2078869460000303,1.4645157759999847,0.0005582586410251,0.0199959847352288,1.0,ok,btab_group_a_se_matern_20260627_161839,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,35721.0,189.0,,90.0,,,,268.0,0.5062642830000641,1.0877074140000786,0.0005603391091141,0.0199961719821539,1.346424375847712,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_1024,Active inverse,35721.0,189.0,1024.0,,1024.0,1369.0,,187.0,0.4320373240000208,0.5361187469999322,0.0005597136677593,0.0199956673296452,2.731700363390146,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q128,Box-EigenPro,35721.0,189.0,4096.0,128.0,4096.0,5329.0,128.0,148.0,0.5165604060000533,0.6208311139999978,0.0005593070869971,0.0199957807930309,2.3589600182312864,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n30000000,30000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,969.0,1.0233565129999531,1.916506070999958,0.0003383758495093,0.0200007981606643,1.0,ok,btab_group_a_se_matern_20260627_161839,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n30000000,30000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,35721.0,189.0,,90.0,,,,233.0,0.4445323869999811,1.2470896820000237,0.000336625545885,0.0200009290344883,1.5367828782981796,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n30000000,30000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_512,Active inverse,35721.0,189.0,512.0,,512.0,625.0,,282.0,0.4542892979999351,0.6520845320000035,0.0003473416251713,0.0200004985717363,2.9390454411207343,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
