M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,error_message,error_type,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,traceback,version
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,528,529,9.560355336825994e-07,,,,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,,,,,,,,2,1225,,,,,,,,,0,0,,,1e-05,,,,,True,,,,,,,,,,,False,528.0,SE,0.1,1.5,1.0,,,100000,plain_cg,35,529,,1000,30000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0001481957254230506,0.02000417803759982,0,,,ok,,0.0027784725954625223,1.4698120029996744,,,,,,,,,,,,,,,,,,,,,,,,2.963202524000053,,0.27335052900002665,2.3548304900000403,,5.318034200000056,,1e-06,,,v1
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,83,84,9.7664679198078e-07,,,nan,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,,,,,,,,2,1225,98,3,nan,,3912.2315059504267,0.0007797127102838236,,,5,482,0.0010508471841139417,0.5065083427429199,1e-05,,,,,True,[],,,,,,,,,,False,83.0,SE,0.1,1.5,1.0,nan,,100000,eigenpro_pcg_q90,35,84,83,1000,30000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.00032114001443968396,0.02000689608304389,0,,,ok,,0.0006316343571402935,0.053057285999784654,0.0004353691204809124,0.03613563699991573,,,[],,,,,,,,,,,,,,,,,2.0537946649999412,,2.0461761080000542,0.4571824040000365,0.27403299499997047,0.14060570100002678,,4.697758878000059,,1e-06,90,,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,9,10,9.819508431016878e-07,,,nan,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,,,,,,,,2,1225,188,3,nan,,66.60787480343464,1.3274490512614833e-05,,,5,932,0.0005984346037770545,0.5577410507202148,1e-05,,,,,True,[],,,,,,,,,,False,9.0,SE,0.1,1.5,1.0,nan,,100000,eigenpro_pcg_q180,35,10,9,1000,30000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0003415561086872678,0.020007206534404257,0,,,ok,,0.0006422296000209826,0.006422296000209826,0.00017494266665431092,0.0015744839998887983,,,[],,,,,,,,,,,,,,,,,0.5987813229999119,,0.1479075230000717,0.00030748100004984735,0.2741715250000425,0.014064372000007097,,0.7610606990000406,,1e-06,180,,v3
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,6000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,25,26,9.530354052329219e-07,0,,,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,,,inverse,29999999.999935064,True,,nan,0,50,diag,0.001,0,0,0,6250000,False,25.0,SE,0.1,1.5,1.0,,0,100000,btab_auto_topk_512,35,26,25,1000,30000000,cufinufft,binned_c1,50,25,9.530354052329219e-07,pcg,converged,25,,True,0.1,0,24.879402061028987,0.00033884023239470155,0.02000753868514586,0,0.1,exact,ok,,0.0006542551153905571,0.017010633000154485,0.0004545056799952363,0.011362641999880907,745.1292161467543,600,,,0.0063090769999689655,4.7210959996846215e-05,0.0011802739999211553,4.3746040000769425e-05,0.0010936510000192357,0.0002686401600112731,0.006716004000281828,0.8008637159999807,0.40516279999997096,0.14320285899998453,0.0,0.1456781620000811,5.341883999790298e-05,0.0013354709999475745,,,0.000177534999920681,0.14800784099998054,1.2990847300000041,0.2738965329999701,1.343404107000083,0.10681989499994415,1.4914119480000636,1.4915894829999843,1e-06,,,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,6000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,3,4,6.997805305475695e-08,0,,,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,,,inverse,29999999.999935064,True,,nan,0,50,diag,0.001,0,0,0,24010000,False,3.0,SE,0.1,1.5,1.0,,0,100000,btab_auto_topk_1024,35,4,3,1000,30000000,cufinufft,binned_c1,50,3,6.997805305475695e-08,pcg,converged,3,,True,0.1,0,0.0,0.00033834190695784154,0.020007528645076156,0,0.1,exact,ok,,0.0007280782499492489,0.0029123129997969954,0.0002933563333726852,0.0008800690001180556,0.0,0,,,0.0006303850000222155,1.683499999671767e-05,5.050499999015301e-05,3.4749666648773804e-05,0.00010424899994632142,0.00014642933331288077,0.0004392879999386423,0.12132603600002767,0.04819123800007219,0.05317286100000729,0.0,0.018352384999957394,5.378633341024397e-05,0.0001613590002307319,,,6.275999999161286e-05,0.14797921199999564,0.12287425800002438,0.2759906869999895,0.12913931000002776,0.0016095519999907992,0.2771185220000234,0.277181282000015,1e-06,,,v6_btab
1225,expanded_box,topk,1225,,2048,0,"[17, 17]","[35, 35]",1225,topk,1225,,2048,6000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,3,4,6.997804848784252e-08,0,,,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,,,inverse,29999999.999935064,True,,nan,0,50,diag,0.001,0,0,0,24010000,False,3.0,SE,0.1,1.5,1.0,,0,100000,btab_auto_topk_2048,35,4,3,1000,30000000,cufinufft,binned_c1,50,3,6.997804848784252e-08,pcg,converged,3,,True,0.1,0,0.0,0.000338341906949973,0.02000752864507597,0,0.1,exact,ok,,0.0007417452499680621,0.0029669809998722485,0.0002944226666462176,0.0008832679999386528,0.0,0,,,0.0005966259999468093,1.736599998973058e-05,5.209799996919173e-05,3.322433334081628e-05,9.967300002244883e-05,0.00014039633333595702,0.00042118900000787107,0.11227071799999067,0.039327012999933686,0.05316328900005374,0.0,0.018206726000016715,5.516833334695548e-05,0.00016550500004086643,,,5.070899999282119e-05,0.1486658940000325,0.11381293700003425,0.2747911120000026,0.12017726800002038,0.0015736899999865273,0.26884316200005287,0.2688938710000457,1e-06,,,v6_btab
1225,expanded_box,topk,1225,,4096,0,"[17, 17]","[35, 35]",1225,topk,1225,,4096,6000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,3,4,6.997804891727954e-08,0,,,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,,,inverse,29999999.999935064,True,,nan,0,50,diag,0.001,0,0,0,24010000,False,3.0,SE,0.1,1.5,1.0,,0,100000,btab_auto_topk_4096,35,4,3,1000,30000000,cufinufft,binned_c1,50,3,6.997804891727954e-08,pcg,converged,3,,True,0.1,0,0.0,0.0003383419069525288,0.020007528645076145,0,0.1,exact,ok,,0.0007282592499961993,0.002913036999984797,0.000284569999962514,0.0008537099998875419,0.0,0,,,0.0005971240000235412,1.703633332302464e-05,5.110899996907392e-05,3.259466666349908e-05,9.778399999049725e-05,0.0001350710000451727,0.0004052130001355181,0.10814997499994661,0.03523064599994541,0.05316633199993248,0.0,0.018195426000033876,5.995366666411428e-05,0.00017986099999234284,,,5.319199999576085e-05,0.1482264070000383,0.10962735300006443,0.2742844699999978,0.11579237499995543,0.0015575710000348408,0.26401878199999373,0.2640719739999895,1e-06,,,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,6000,1225,cheap,30,0.01,,cupy,7.111457890869252e-15,1.2491653413269068e-15,320,162,162,,162,64,1225,0,1255424,45116.22790598034,451162.2790598034,0.001,boxeig,20000,group_a,50,diag,0.001,50,auto,boxeig,143,144,9.512940320357847e-07,0,,,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,cheap,64,0,64,64,0,0,2,1225,,,,,,,7.111457890869252e-15,1.2491653413269068e-15,,,,,1e-05,,,boxeig,29999999.999935064,True,,nan,0,0,,nan,0,0,0,0,False,143.0,SE,0.1,1.5,1.0,,76176,100000,btab_boxeig_topk_1024_q64,35,144,143,1000,30000000,cufinufft,binned_c1,50,143,9.512940320357847e-07,pcg,converged,143,,True,0.1,0,0.0,0.0003222638961500372,0.020007078509248672,0,0.1,boxeig,ok,,0.000652186437501238,0.09391484700017827,0.00039064966433050523,0.05586290199926225,0.0,0,,451162.2790598034,0.0005820730000323238,1.724281818420499e-05,0.0024657230003413133,2.7777706296941294e-05,0.003972212000462605,0.00024991345454331346,0.035737623999693824,1.2347152539999797,0.0,0.0,0.0008925079999926311,0.0,5.7115286713619404e-05,0.008167486000047575,1.233822745999987,,0.7562023990000171,0.1478217170000562,1.3429369219999217,0.27589324999996734,1.5836837690000038,0.0,1.73150548600006,2.487707885000077,1e-06,,,v7_btab_boxeig
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,6000,1225,cheap,30,0.01,,cupy,2.2759535865128457e-13,3.477562453577161e-15,640,290,290,,290,128,1225,0,2510848,2125.8391445459583,21258.391445459583,0.001,boxeig,20000,group_a,50,diag,0.001,50,auto,boxeig,32,33,9.539018282009505e-07,0,,,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,cheap,128,0,128,128,0,0,2,1225,,,,,,,2.2759535865128457e-13,3.477562453577161e-15,,,,,1e-05,,,boxeig,29999999.999935064,True,,nan,0,0,,nan,0,0,0,0,False,32.0,SE,0.1,1.5,1.0,,76176,100000,btab_boxeig_topk_1024_q128,35,33,32,1000,30000000,cufinufft,binned_c1,50,32,9.539018282009505e-07,pcg,converged,32,,True,0.1,0,0.0,0.0003223414134080839,0.02000690362777125,0,0.1,boxeig,ok,,0.0009667974242464686,0.031904315000133465,0.00045347746874568884,0.014511278999862043,0.0,0,,21258.391445459583,0.0006161569999676431,1.946606250768923e-05,0.0006229140002460554,3.2437374990479384e-05,0.0010379959996953403,0.000279403750010232,0.008940920000327424,0.6407269280000492,0.0,0.0,0.0009337390000609957,0.0,7.53235937374086e-05,0.0024103549995970752,0.6397931889999882,,0.05184985599998981,0.14845561900006032,0.6418512610000562,0.2846809170000597,0.7126157149999699,0.0,0.8610713340000302,0.91292119000002,1e-06,,,v7_btab_boxeig
1225,expanded_box,topk,1225,,2048,0,"[17, 17]","[35, 35]",1225,topk,1225,,2048,6000,1225,cheap,30,0.01,,cupy,8.710066606248112e-15,1.2315106879798815e-15,320,162,162,,162,64,1225,0,1255424,45116.22790598035,451162.27905980346,0.001,boxeig,20000,group_a,50,diag,0.001,50,auto,boxeig,143,144,9.672698248705674e-07,0,,,2,synthetic_true_func_2d_n30000000,False,NVIDIA L4,cheap,64,0,64,64,0,0,2,1225,,,,,,,8.710066606248112e-15,1.2315106879798815e-15,,,,,1e-05,,,boxeig,29999999.999935064,True,,nan,0,0,,nan,0,0,0,0,False,143.0,SE,0.1,1.5,1.0,,76176,100000,btab_boxeig_topk_2048_q64,35,144,143,1000,30000000,cufinufft,binned_c1,50,143,9.672698248705674e-07,pcg,converged,143,,True,0.1,0,0.0,0.0003222569751520993,0.020007078041383967,0,0.1,boxeig,ok,,0.0007236810555539819,0.10421007199977339,0.0004318911748312886,0.061760438000874274,0.0,0,,451162.27905980346,0.0005979839999099568,1.9174020973299445e-05,0.0027418849991818206,3.0784951045906845e-05,0.004402247999564679,0.00027554962237801744,0.039403596000056496,0.13336601800006065,0.0,0.0,0.00091365000002952,0.0,6.306131468635568e-05,0.009017768000148862,0.13245236800003113,,0.026609366999991835,0.1484124990000737,0.1344164219999584,0.2770367670000269,0.40140518299995165,0.0,0.5498176820000253,0.5764270490000172,1e-06,,,v7_btab_boxeig
