dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1260.0,1260,1261,1261,,0.0323098679998565,,,1.2908392910001112,0.0127581639999334,1.3231497120000313,0.1489406112668801,0.1495683959868811,9.593294056521378e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1497.0,1497,1498,1498,,0.0339175600001908,,,1.5650549320000664,0.0126963459999842,1.5989730150001833,0.0351715068118957,0.0357788177112924,9.631923020162488e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,173.0,173,174,174,173.0,0.0183091920000606,0.2917743200000586,0.0002944630000456,0.2405981529998371,0.0124612200002047,0.5509761280000021,0.1488845442083185,0.1495137007474858,8.09956850027741e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,368.0,368,369,369,368.0,0.0298789219998525,0.4726821599999766,0.0003127620000213,0.6836303920001683,0.0124935549999918,1.1865042360000189,0.0349152160813842,0.0355270872947037,9.82472080258119e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,25.0,25,26,26,25.0,0.0180974150000565,0.5614457589999802,0.0003025189998879,0.0354121440000199,0.0126490840000315,0.6152578369999446,0.1488846217513882,0.1495140194419651,6.481747248109713e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,189.0,189,190,190,189.0,0.0299132850000205,1.0400264109998716,0.0003190570000697,0.4455850800000007,0.0124493549999442,1.5158438329999626,0.0349153340690447,0.0355272511220068,9.428163316424772e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,3147.0,3147,3148,3148,,0.2577773089999482,,,3.233651737999935,0.093335517000014,3.491429604999894,0.1371605061767193,0.1372454123366496,9.349386498431848e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,3537.0,3537,3538,3538,,0.2565762900001118,,,3.7084184170000754,0.0954521920000388,3.9649954050000815,0.028509664665748,0.028647341694743,8.876919088191016e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,403.0,403,404,404,403.0,0.0591433770000549,0.2973223680000956,0.0003226679998533,0.562618367000141,0.0934395419999418,0.9194067800001448,0.1370933620341799,0.1371787433909969,9.95197958861198e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,865.0,865,866,866,865.0,0.1033214130000033,0.4721717550000903,0.0002976169998873,1.6120462189999216,0.092885674000172,2.1878370039999027,0.0284789013617062,0.0286166530788417,9.222052720385198e-07,ok
