dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225,35,,,,,,1061,2.919353784000009,5.258788509999988,0.0002207457414948,0.0199989005454364,1.0,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,1225,35,,90.0,,,,157,0.2440059649999852,4.66032600799997,0.0003486821150088,0.0200012784929427,1.128416445753514,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q180,EigenPro-PCG,1225,35,,180.0,,,,20,0.0290534239999828,0.633584505999977,0.0003494671222098,0.0200012923839531,8.300058571824007,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_512,Active inverse,1225,35,512.0,,512.0,625.0,,16,1.3273662940000008,1.355357773000037,0.000345803533124,0.0200012268355736,3.8800002587950218,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_728,Active inverse,1225,35,728.0,,728.0,961.0,,5,0.0821079429999827,0.1095170909999865,0.0003458141139235,0.0200012269255943,48.01797109458136,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_1024,Active inverse,1225,35,1024.0,,1024.0,1225.0,,5,0.1298778330000232,0.1572828770000001,0.0003458147998548,0.0200012269271222,33.435225819273285,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_2048,Active inverse,1225,35,2048.0,,2048.0,1225.0,,5,0.1222649889999729,0.1494098590000021,0.0003458147998528,0.0200012269271221,35.19706494067379,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_4096,Active inverse,1225,35,4096.0,,4096.0,1225.0,,5,0.1218446050000352,0.1490138830000091,0.0003458147998548,0.0200012269271222,35.290594434074755,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_1024_q64,Box-EigenPro,1225,35,1024.0,64.0,1024.0,1225.0,64.0,269,1.7686036430000058,1.7955801770000337,0.0003462696191729,0.0200012462074837,2.9287405694053223,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_1024_q128,Box-EigenPro,1225,35,1024.0,128.0,1024.0,1225.0,128.0,71,0.3801802130000169,0.4070842650000372,0.0003461722949344,0.0200012464041967,12.91818171846929,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_2048_q64,Box-EigenPro,1225,35,2048.0,64.0,2048.0,1225.0,64.0,269,0.5728780050000069,0.599937132999969,0.0003462642388503,0.0200012460513967,8.76556595805891,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_2048_q128,Box-EigenPro,1225,35,2048.0,128.0,2048.0,1225.0,128.0,71,0.3706845490000319,0.3976544030000468,0.0003461668711594,0.0200012464033687,13.22451975968532,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_2048_q192,Box-EigenPro,1225,35,2048.0,192.0,2048.0,1225.0,192.0,13,0.5191235249999977,0.5466544260000319,0.000348808324709,0.0200012941370213,9.619950484037023,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q128,Box-EigenPro,1225,35,4096.0,128.0,4096.0,1225.0,128.0,71,1.0173283130000073,1.04459063500002,0.0003461693723517,0.0200012464127284,5.0343056253801155,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q192,Box-EigenPro,1225,35,4096.0,192.0,4096.0,1225.0,192.0,13,1.5299496819999945,1.5575340859999756,0.0003488074517873,0.0200012941113122,3.3763553281235033,ok,btab_group_a_se_matern_20260628_050345
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q256,Box-EigenPro,1225,35,4096.0,256.0,4096.0,1225.0,256.0,3,0.4963219680000179,0.5241487010000014,0.000350566791258,0.0200013255264679,10.033008762526674,ok,btab_group_a_se_matern_20260628_050345
