M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,1061,1062,7.607040967256238e-08,,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,,,,,,,,2,1225,,,,,,,,,0,0,,,1e-05,,,True,,,,,,,,,,,False,1061.0,SE,0.1,1.5,1.0,,,100000,plain_cg,35,1062,,1000,3000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.00022074574149486911,0.01999890054543647,0,,,ok,,0.001699142101694283,1.8044889119993286,,,,,,,,,,,,,,,,,,,,,,,,2.339433440999983,,0.0298502279999866,2.919353784000009,,5.258788509999988,,1e-07,,v1
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,157,158,9.00026959912647e-08,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,,,,,,,,2,1225,98,3,nan,,391.40226237271526,0.0007800810280867063,,,5,482,0.0010472673281594431,0.5047828521728516,1e-05,,,True,[],,,,,,,,,,False,157.0,SE,0.1,1.5,1.0,nan,,100000,eigenpro_pcg_q90,35,158,157,1000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0003486821150088741,0.02000127849294271,0,,,ok,,0.0006439984240484413,0.10175175099965372,0.00027512321656098383,0.04319434500007446,,,[],,,,,,,,,,,,,,,,,2.0353902800000014,,1.9268846140000164,0.45404514899996684,0.029385228000023744,0.24400596499998528,,4.66032600799997,,1e-07,90,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,20,21,9.006275366805638e-08,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,,,,,,,,2,1225,188,3,nan,,6.7362286638315805,1.342503415941362e-05,,,5,932,0.0005747870171018937,0.5357014999389649,1e-05,,,True,[],,,,,,,,,,False,20.0,SE,0.1,1.5,1.0,nan,,100000,eigenpro_pcg_q180,35,21,20,1000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.00034946712220985184,0.020001292383953186,0,,,ok,,0.0006311430476178733,0.013254003999975339,0.00015411710000421409,0.0030823420000842816,,,[],,,,,,,,,,,,,,,,,0.5766256960000078,,0.02760062299995525,0.0003047630000310164,0.029554007999990972,0.029053423999982897,,0.633584505999977,,1e-07,180,v3
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,16,17,3.8526901104398786e-08,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,inverse,2999999.9999934905,True,,nan,0,50,diag,0.001,0,0,0,6250000,False,16.0,SE,0.1,1.5,1.0,,0,100000,btab_auto_topk_512,35,17,16,1000,3000000,cufinufft,binned_c1,50,16,3.8526901104398786e-08,pcg,converged,16,,True,0.1,0,2.4879106235891815,0.0003458035331240634,0.02000122683557368,0,0.1,exact,ok,,0.0006605258823543301,0.011228940000023613,0.00048109649999616977,0.007697543999938716,74.51197430233907,600,,,0.005490643000030104,4.465493750416272e-05,0.0007144790000666035,4.140056250179214e-05,0.0006624090000286742,0.00029356756250109584,0.004697081000017533,0.8033424619999892,0.4118892249999817,0.1455887650000136,0.0,0.14062644099999488,5.8018937497905654e-05,0.0009283029999664905,,,0.00013375699995776813,0.02799147900003618,1.2981240729999968,0.029419341999982862,1.3273662940000008,0.10523803099999895,1.355357773000037,1.3554915299999948,1e-07,,v6_btab
1225,expanded_box,topk,728,,728,0,"[15, 15]","[31, 31]",961,topk,728,,728,80000,961,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,5,6,6.627954923445798e-09,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,inverse,2999999.9999934905,True,,nan,0,50,diag,0.001,0,0,0,14776336,False,5.0,SE,0.1,1.5,1.0,,0,100000,btab_auto_topk_728,35,6,5,1000,3000000,cufinufft,binned_c1,50,5,6.627954923445798e-09,pcg,converged,5,,True,0.1,0,0.0038680661350803166,0.0003458141139235055,0.020001226925594338,0,0.1,exact,ok,,0.0006756094999881649,0.0040536569999289895,0.0003126671999893915,0.0015633359999469576,0.10924631745688788,264,,,0.0005047779999927116,4.7091199996884824e-05,0.00023545599998442412,3.9205600000968846e-05,0.00019602800000484422,0.00012758540001414075,0.0006379270000707038,0.0715004639999961,0.027205944999991516,0.03440165399996431,0.0,0.00932629200002566,5.4163599997991696e-05,0.0002708179999899585,,,0.00010538100002577266,0.027409148000003825,0.07297327100002349,0.029320430000041142,0.0821079429999827,0.0005665730000146141,0.10951709099998652,0.1096224720000123,1e-07,,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,5,6,6.77048105086814e-09,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,inverse,2999999.9999934905,True,,nan,0,50,diag,0.001,0,0,0,24010000,False,5.0,SE,0.1,1.5,1.0,,0,100000,btab_auto_topk_1024,35,6,5,1000,3000000,cufinufft,binned_c1,50,5,6.77048105086814e-09,pcg,converged,5,,True,0.1,0,0.0,0.0003458147998548798,0.020001226927122234,0,0.1,exact,ok,,0.000690560666669171,0.004143364000015026,0.00028047400002151335,0.0014023700001075667,0.0,0,,,0.0004905960000201048,1.752660000420292e-05,8.76330000210146e-05,3.361999999924592e-05,0.0001680999999962296,0.00013403059999745893,0.0006701529999872946,0.11943223899999111,0.04640862499996956,0.05322221799997351,0.0,0.018216202000019166,5.6781199987199216e-05,0.0002839059999359961,,,2.811799998880815e-05,0.027405043999976897,0.12074314399995956,0.029376100999968457,0.1298778330000232,0.0015851940000288778,0.1572828770000001,0.1573109949999889,1e-07,,v6_btab
1225,expanded_box,topk,1225,,2048,0,"[17, 17]","[35, 35]",1225,topk,1225,,2048,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,5,6,6.770481061445998e-09,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,inverse,2999999.9999934905,True,,nan,0,50,diag,0.001,0,0,0,24010000,False,5.0,SE,0.1,1.5,1.0,,0,100000,btab_auto_topk_2048,35,6,5,1000,3000000,cufinufft,binned_c1,50,5,6.770481061445998e-09,pcg,converged,5,,True,0.1,0,0.0,0.000345814799852871,0.020001226927122195,0,0.1,exact,ok,,0.0006940468333311856,0.004164280999987113,0.00027167480000116483,0.0013583740000058242,0.0,0,,,0.0005494229999953859,1.7877599998428195e-05,8.938799999214098e-05,3.2261199999084055e-05,0.00016130599999542028,0.00012102619999723174,0.0006051309999861587,0.11184097000000293,0.0389459350000152,0.05312577600000168,0.0,0.018202981999991152,5.725400000073932e-05,0.0002862700000036966,,,3.233800003954457e-05,0.027144870000029186,0.11322559599994975,0.029800992999980735,0.12226498899997296,0.0015662769999948978,0.14940985900000214,0.1494421970000417,1e-07,,v6_btab
1225,expanded_box,topk,1225,,4096,0,"[17, 17]","[35, 35]",1225,topk,1225,,4096,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_a,50,diag,0.001,50,auto,auto,5,6,6.77048104921586e-09,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,cheap,0,0,0,0,0,0,2,1225,,,,,,,,,,,,,1e-05,inverse,2999999.9999934905,True,,nan,0,50,diag,0.001,0,0,0,24010000,False,5.0,SE,0.1,1.5,1.0,,0,100000,btab_auto_topk_4096,35,6,5,1000,3000000,cufinufft,binned_c1,50,5,6.77048104921586e-09,pcg,converged,5,,True,0.1,0,0.0,0.0003458147998548886,0.02000122692712222,0,0.1,exact,ok,,0.0006815209999994446,0.004089125999996668,0.00027305060000344384,0.0013652530000172192,0.0,0,,,0.000490800000022773,1.801260000320326e-05,9.00630000160163e-05,3.579720003017428e-05,0.0001789860001508714,0.00012479879999318654,0.0006239939999659327,0.11151907300001085,0.03864151500005164,0.05311555599996609,0.0,0.01820506300003899,5.622739998898396e-05,0.0002811369999449198,,,2.7794000004632835e-05,0.02716927799997393,0.11283525600003941,0.02938072999995711,0.12184460500003524,0.0015569389999541272,0.14901388300000917,0.1490416770000138,1e-07,,v6_btab
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,cupy,9.375264193051648e-15,1.416398600912061e-15,320,162,162,,162,64,1225,0,1255424,4517.951721417816,45179.51721417816,0.001,boxeig,20000,group_a,50,diag,0.001,50,auto,boxeig,269,270,8.372071150671981e-08,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,cheap,64,0,64,64,0,0,2,1225,,,,,,,9.375264193051648e-15,1.416398600912061e-15,,,,,1e-05,boxeig,2999999.9999934905,True,,nan,0,0,,nan,0,0,0,0,False,269.0,SE,0.1,1.5,1.0,,76176,100000,btab_boxeig_topk_1024_q64,35,270,269,1000,3000000,cufinufft,binned_c1,50,269,8.372071150671981e-08,pcg,converged,269,,True,0.1,0,0.0,0.00034626961917296346,0.020001246207483735,0,0.1,boxeig,ok,,0.0006228378333336996,0.16816621500009887,0.00037002155762280503,0.09953579900053455,0.0,0,,45179.51721417816,0.0005067309999731151,1.6081832714058475e-05,0.00432601300008173,2.7064315986958432e-05,0.007280301000491818,0.00023578070632140468,0.06342501000045786,1.231506330000002,0.0,0.0,0.0008250340000017786,0.0,5.4311483275039144e-05,0.014609789000985529,1.2306812960000002,,0.7491880379999998,0.02697653400002764,1.3383526319999532,0.029780791999996836,1.7686036430000058,0.0,1.7955801770000335,2.5447682150000333,1e-07,,v7_btab_boxeig
1225,expanded_box,topk,1024,,1024,0,"[17, 17]","[35, 35]",1225,topk,1024,,1024,80000,1225,cheap,30,0.01,,cupy,2.207534951379653e-13,3.3349296572326625e-15,640,290,290,,290,128,1225,0,2510848,212.57110044798816,2125.7110044798815,0.001,boxeig,20000,group_a,50,diag,0.001,50,auto,boxeig,71,72,5.97528326449741e-08,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA L4,cheap,128,0,128,128,0,0,2,1225,,,,,,,2.207534951379653e-13,3.3349296572326625e-15,,,,,1e-05,boxeig,2999999.9999934905,True,,nan,0,0,,nan,0,0,0,0,False,71.0,SE,0.1,1.5,1.0,,76176,100000,btab_boxeig_topk_1024_q128,35,72,71,1000,3000000,cufinufft,binned_c1,50,71,5.97528326449741e-08,pcg,converged,71,,True,0.1,0,0.0,0.0003461722949344727,0.020001246404196798,0,0.1,boxeig,ok,,0.0007268206527789465,0.05233108700008415,0.00041510526760386174,0.029472473999874182,0.0,0,,2125.7110044798815,0.000501905000021452,1.8903309859377284e-05,0.0013421350000157872,3.0321845068095135e-05,0.0021528509998347545,0.00026028760563624764,0.01848042000017358,0.247027361999983,0.0,0.0,0.0008711340000218115,0.0,6.253591549174941e-05,0.0044400499999142085,0.24615622799996117,,0.051648623999994925,0.02690405200002033,0.24801082799996266,0.029279687999974158,0.3801802130000169,0.0,0.40708426500003725,0.4587328890000322,1e-07,,v7_btab_boxeig
