dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,eta_eig,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,646,,0.003224299987778,1.9119365999940785,2.741751099994872,,,0.0355267371412642
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,368,,0.000412099994719,1.1942656000028364,2.8106358000077307,,,0.0355270873415075
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,1463,,,3.329156299994793,3.714479299989762,,,0.0357788483369336
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,c1,,64.0,1024.0,1369.0,34352.0,240.15196295342733,159243.74207647605,5.965348978769048,,1.0155814592395556,25624.91576210088,4.081817434237114e-15,814,814.0,0.2158079999790061,2.9733579000167083,3.2069449000118766,0.2792630000039935,3.48620790001587,0.0355269651760984
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,240.15196295342736,159243.74207647608,5.965348978769048,,1.2011182154975113,6548.670269578815,8.669491739388376e-15,443,443.0,0.4264135000121314,1.8581854000221936,2.0811570000078063,0.2605418000021018,2.341698800009908,0.0355268487701284
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,240.15196295342736,159243.74207647608,5.9653489787690495,3.068185933290067,,,,154,154.0,0.1144548000011127,0.7889814999944065,1.0061193000001367,0.2485106000094674,1.2546299000096042,0.0355266718430123
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_2048,boxeig,btab_boxeig_topk_2048_q128,c1,,128.0,2048.0,2601.0,33120.0,54.5477451243749,63021.1201277645,5.690954425193257,,0.906924399449748,6573.944520243647,8.612988884893676e-15,455,455.0,0.3601177000091411,1.9308884000056423,2.147960200003581,0.2426582000043708,2.390618400007952,0.0355267279274536
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,54.5477451243749,63021.1201277645,5.690954425193256,3.0281045245554905,,,,90,90.0,0.4617307000153232,1.1360157000017352,1.3519654999836348,0.3482635999971535,1.7002290999807883,0.0355266295178468
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q128,c1,,128.0,4096.0,5329.0,30392.0,9.838544680288264,21241.399621101573,4.931851559891996,,0.6216539708957951,6575.664981475212,9.64760763876489e-15,495,495.0,0.3881218999740667,1.940455399977509,2.1530072999885306,0.262861499999417,2.415868799987948,0.035526648130491
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,9.838544680288264,21241.399621101573,4.931851559891996,,0.6991630655277283,2716.9112926889343,3.2870541365562574e-14,315,315.0,0.6706535999837797,1.8048849999904637,2.0631646999972872,0.2929652000020724,2.35612989999936,0.0355266029697872
