M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,epsilon_T,eta_eig,eta_eig_sq,eta_inv,eta_inv_sq,eta_inv_status,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,789,790,8.665857077811498e-07,,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,,,,,,,True,,,,,,,,,,,False,789.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,790,,1000,1000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0012503715851873364,0.019936857640643235,0,,,ok,,0.0017087070891026502,1.3498786003910936,,,,,,,,,,,,,,,,,,,,,,,,0.7974090999923646,,0.11598920001415536,1.987873199977912,,2.78528389998246,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,350,351,8.884126199543571e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,2331.5827652264506,0.016285268710267142,,,5,257,0.0015327529461931163,0.3939175071716309,1e-05,,,,,,,,,True,[],,,,,,,,,,False,350.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,351,350,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0012667349380717913,0.019936359241237288,0,,,ok,,0.001521238462005787,0.5339547001640312,0.0004110614296847156,0.14387150038965046,,,[],,,,,,,,,,,,,,,,,0.6563856000138912,,0.23616420000325888,0.0006713999900966883,0.10800350000499748,1.0332700999861117,,1.9264912999933586,,1e-06,45,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,212,213,7.955174497481016e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,938.6877381731978,0.006496306931801236,,,5,482,0.0014104877646038641,0.6798551025390626,1e-05,,,,,,,,,True,[],,,,,,,,,,False,212.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,213,212,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0012678160206013765,0.019936300760625452,0,,,ok,,0.001553487322733742,0.330892799742287,0.000773117924768056,0.16390100005082786,,,[],,,,,,,,,,,,,,,,,1.393635499989614,,0.21594689998892136,0.0004403000057209283,0.11828939997940324,0.7311240000126418,,2.341146699996898,,1e-06,90,v3
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,12000,1369,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,6000,group_b,50,diag,0.001,50,auto,auto,91,92,9.819442427065498e-07,29986576,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.8394050022110284,,,1.8063859279535643,3.26303012070866,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,91.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_1024,189,92,91,1000,1000000,cufinufft,binned_c1,50,91,9.819442427065498e-07,pcg,converged,91,,True,0.1,0,240.1514296249552,0.0012661960952069086,0.019936074460741235,0,0.1,exact,ok,,0.0014764163032573972,0.13583029989968054,0.0017275461526638778,0.15720669989241287,159243.36646233394,34352,,,0.00258689999463968,6.181098729279916e-05,0.005624799843644723,6.42417577622397e-05,0.005845999956363812,0.0014740241762470699,0.13413620003848337,0.09876180000719614,0.04438119998667389,-0.09876180000719614,0.0,0.051141400006599724,8.725384851549189e-05,0.007940100214909762,,,0.2301971999986563,0.21763249998912215,0.10399179998785257,0.10921279998729005,0.48220349999610335,0.0032392000139225274,0.6998359999852255,0.9300331999838818,1e-06,,v6_btab
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,12000,2601,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,6000,group_b,50,diag,0.001,50,auto,auto,57,58,8.583678946252103e-07,108243216,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.731338618741146,,,1.7168587239733801,2.9476038780835028,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,57.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_2048,189,58,57,1000,1000000,cufinufft,binned_c1,50,57,8.583678946252103e-07,pcg,converged,57,,True,0.1,0,54.54761652132973,0.0012655525452139077,0.019936053564873032,0,0.1,exact,ok,,0.0017853224146228027,0.10354870004812256,0.004861445613961111,0.27710239999578334,63020.96672492494,33120,,,0.0026430999860167503,6.269473733641861e-05,0.0035736000281758606,9.3859649496153e-05,0.005350000021280721,0.004568626313253813,0.2604116998554673,0.5208576000004541,0.21062470000470057,-0.5208576000004541,0.0,0.29437590000452474,8.741228355160147e-05,0.0049825001624412835,,,0.3374920999922324,0.25136990001192316,0.5250017000071239,0.12896279999404214,0.965331099985633,0.015856999991228804,1.2167009999975562,1.5541930999897886,1e-06,,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,12000,5329,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,6000,group_b,50,diag,0.001,50,auto,auto,26,27,7.914420837447957e-07,454371856,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.429680498750641,,,1.4648089798621877,2.1456653474849032,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,26.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_4096,189,27,26,1000,1000000,cufinufft,binned_c1,50,26,7.914420837447957e-07,pcg,converged,26,,True,0.1,0,9.83852065960661,0.0012665877503901257,0.01993604275340753,0,0.1,exact,ok,,0.0018356851856138005,0.049563500011572614,0.2665706269214682,6.930836299958173,21241.346961770272,30392,,,0.003245900006731972,6.823076714331713e-05,0.0017739999457262456,0.00019204231032815116,0.0049931000685319304,0.26612576923351017,6.919270000071265,4.9034973999951035,1.131910500000231,-4.9034973999951035,0.0,3.2802288999955636,9.496153730791635e-05,0.002468999970005825,,,7.95172330000787,0.22755580002558418,4.908664599992335,0.12123059999430552,11.921315099985804,0.49135799999930896,12.148870900011389,20.10059420001926,1e-06,,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,12000,1369,full,30,0.01,,cupy,4.631135280784958e-15,1.0857817073242021e-15,320,162,162,,162,64,1369,34352,1402880,2521.06993162868,25210.6993162868,0.001,boxeig,6000,group_b,50,diag,0.001,50,auto,boxeig,294,295,9.93374532969876e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,64,93,64,157,60,31,2,35721,,,,,,,4.631135280784958e-15,1.0857817073242021e-15,,,,,1e-05,2.8394050022110275,0.6671994563160223,0.44515511450839573,,,,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,294.0,matern,0.1,1.5,1.0,,85264,6000,btab_boxeig_topk_1024_q64,189,295,294,1000,1000000,cufinufft,binned_c1,50,294,9.93374532969876e-07,pcg,converged,294,,True,0.1,0,240.1514296249552,0.0012658792427186467,0.019936076479334267,0,0.1,boxeig,ok,,0.001744613897398714,0.5146610997326206,0.0006066496599011035,0.1783550000109244,159243.36646233394,34352,,25210.6993162868,0.0023122999991755933,6.780476205614807e-05,0.019934600044507533,6.215714207663498e-05,0.018274199770530686,0.0003408397957532141,0.10020689995144494,0.19185279999510385,0.0,0.0,0.001600399991730228,0.0,9.489251731508443e-05,0.027898400090634823,0.19025240000337362,,0.2199974000104703,0.26897240002290346,0.19484969999757595,0.11276739998720586,1.1782196999993175,0.0,1.447192100022221,1.6671895000326913,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,12000,1369,full,30,0.01,,cupy,1.1529985756471826e-14,1.5855425522355851e-15,640,290,290,,290,128,1369,34352,2805760,691.2003545512331,6912.003545512331,0.001,boxeig,6000,group_b,50,diag,0.001,50,auto,boxeig,116,117,8.896204070057719e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,128,93,128,221,60,31,2,35721,,,,,,,1.1529985756471826e-14,1.5855425522355851e-15,,,,,1e-05,2.8394050022110275,0.884037593499784,0.7815224667208892,,,,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,116.0,matern,0.1,1.5,1.0,,85264,6000,btab_boxeig_topk_1024_q128,189,117,116,1000,1000000,cufinufft,binned_c1,50,116,8.896204070057719e-07,pcg,converged,116,,True,0.1,0,240.1514296249552,0.0012631436138845202,0.01993606083882088,0,0.1,boxeig,ok,,0.0015486470089317896,0.1811917000450194,0.0005945034464620503,0.06896239978959784,159243.36646233394,34352,,6912.003545512331,0.002294300007633865,6.613103449063632e-05,0.007671200000913814,6.243620411059337e-05,0.0072425996768288314,0.0003337172421542446,0.03871120008989237,0.4048391000251286,0.0,0.0,0.002104200015310198,0.0,9.301637955700401e-05,0.010789900028612465,0.4027349000098184,,0.29569669999182224,0.21775440001511015,0.40764889999991283,0.10934190000989474,0.7706768999923952,0.0,0.9884313000075053,1.2841279999993276,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,12000,2601,full,30,0.01,,cupy,1.1629293294559712e-14,1.7544901650041078e-15,640,290,290,,290,128,2601,33120,5328896,691.9820422213622,6919.820422213622,0.001,boxeig,6000,group_b,50,diag,0.001,50,auto,boxeig,135,136,9.11713561502172e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,128,93,128,221,60,31,2,35721,,,,,,,1.1629293294559712e-14,1.7544901650041078e-15,,,,,1e-05,2.731338618741145,0.6600444618855921,0.43565869166584076,,,,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,135.0,matern,0.1,1.5,1.0,,163216,6000,btab_boxeig_topk_2048_q128,189,136,135,1000,1000000,cufinufft,binned_c1,50,135,9.11713561502172e-07,pcg,converged,135,,True,0.1,0,54.54761652132973,0.001263408967168408,0.019936089581897513,0,0.1,boxeig,ok,,0.0015907448526858764,0.21634129996527918,0.0005792222222899674,0.07819500000914559,63020.96672492494,33120,,6919.820422213622,0.002364400017540902,6.753851840686467e-05,0.00911769998492673,6.041703616372413e-05,0.008156299882102758,0.0003225370374922123,0.043542500061448663,0.384499700012384,0.0,0.0,0.0015477999986615032,0.0,9.034592658281326e-05,0.01219670008867979,0.3829519000137225,,0.26597840001340955,0.22213320000446402,0.38743249999242835,0.1091801000002306,0.809875099977944,0.0,1.032008299982408,1.2979866999958176,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,12000,5329,full,30,0.01,,cupy,1.0655496712074744e-14,1.6686483892178924e-15,640,290,290,,290,128,5329,30392,10915840,692.0767201498464,6920.767201498464,0.001,boxeig,6000,group_b,50,diag,0.001,50,auto,boxeig,134,135,9.759851976714888e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,128,93,128,221,60,31,2,35721,,,,,,,1.0655496712074744e-14,1.6686483892178924e-15,,,,,1e-05,2.4296804987506406,0.44569540041289285,0.19864438994920888,,,,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,134.0,matern,0.1,1.5,1.0,,336400,6000,btab_boxeig_topk_4096_q128,189,135,134,1000,1000000,cufinufft,binned_c1,50,134,9.759851976714888e-07,pcg,converged,134,,True,0.1,0,9.83852065960661,0.0012659554833786492,0.019936128473102707,0,0.1,boxeig,ok,,0.001788122221586053,0.24139649991411716,0.0006705291053182932,0.08985090011265129,21241.346961770272,30392,,6920.767201498464,0.002429499989375472,7.764477658071624e-05,0.010404400061815977,6.55350756202477e-05,0.00878170013311319,0.0003721701487752873,0.0498707999358885,0.40497210004832596,0.0,0.0,0.0014666000206489116,0.0,0.0001083499994806584,0.014518899930408224,0.40350550002767704,,0.27211439999518916,0.2502235000138171,0.40800289998878725,0.11268510000081733,0.8855426000081934,0.0,1.1357661000220105,1.4078805000171997,1e-06,,v7_btab_boxeig
