dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1455.0,1455,1456,1456,,0.3754382000188343,,,3.252077899989672,0.1132974000065587,3.627516900014598,0.0351715893173579,0.0357789309017829,9.992473873441996e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,652.0,652,653,653,652.0,0.2168677999870851,0.6007783000241034,0.0003863000019919,1.8825954999774692,0.1089667000051122,2.70062789999065,0.0349150442187743,0.0355267306676448,9.41698704048026e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,368.0,368,369,369,368.0,0.2099279000249225,1.396089599991683,0.0004246000025887,1.2038601999811362,0.1133028000185731,2.8103023000003304,0.0349152161757834,0.0355270874011088,9.81714166581988e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,3580.0,3580,3581,3581,,4.467301299999235,,,10.191739499976393,1.2856167000136338,14.659041399980197,0.028509548220437,0.028647194392687,8.975303283100921e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,1514.0,1514,1515,1515,1514.0,1.058232900017174,0.7793233999982476,0.0006846000032965,5.313071099983063,1.2746478999906683,7.151312000001781,0.0284785198285026,0.028616296493831,9.92251765186539e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,865.0,865,866,866,865.0,1.067123899993021,1.747366299998248,0.0003878999850712,3.515862700005528,1.2782674000191037,6.330740799981868,0.028478901746044,0.0286166517689857,9.291440909548828e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,2291.0,2291,2292,2292,,1.131736500014085,,,5.4439973999978974,0.3145630000217352,6.575735299993539,0.030731321186223,0.0311743563185386,8.665154381269933e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,987.0,987,988,988,987.0,0.5267506999953184,0.6142664999933913,0.0004880000196862,2.905847099988023,0.3165727999876253,4.047352299996419,0.0306547789583808,0.0310976963502519,8.615651689847357e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,570.0,570,571,571,570.0,0.5725132999941707,1.4205047000141349,0.0004630000039469,1.9510323999857064,0.3601008999976329,3.944513399997959,0.030654897990576,0.0310978387617912,9.640313750634786e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,861.0,861,862,862,,0.7728376000013668,,,2.3585476000152994,0.1114350999996531,3.131387600005837,0.0199367393907536,0.0012505690154655,9.461578961050776e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,350.0,350,351,351,350.0,0.249676300009014,0.682797199988272,0.0010433999996166,1.1970141000056174,0.1266954000166151,2.13053100000252,0.0199363591967015,0.001266743992196,8.830811534469243e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,212.0,212,213,213,212.0,0.2756702999759,1.491902600013418,0.0004235999949742,0.6819563000171911,0.1115193000005092,2.4499528000014834,0.0199363007177513,0.0012678168737123,7.923821555927403e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,1140.0,1140,1141,1141,,3.630380500020692,,,2.616128000023309,1.114434099989012,6.246509100019466,0.0199959779205131,0.0005583031476492,9.600678349072436e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,519.0,519,520,520,519.0,0.879407500004163,0.61006959999213,0.0003862000012304,1.4897686000040269,1.1011367999890354,2.97963190000155,0.0199959876527364,0.0005614993286079,9.739542676713085e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,268.0,268,269,269,268.0,0.8847249999816995,1.4149315000104252,0.0004198999959044,0.8833975000015926,1.1028247000067497,3.1834738999896217,0.0199961719872107,0.0005603428058947,9.426564581508804e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,997.0,997,998,998,,1.1056349000136834,,,2.2958682000171398,0.3139862999960314,3.401505100016948,0.0199712226484977,0.0008834687257881,9.530737339228558e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,448.0,448,449,449,448.0,0.5463947000098415,0.6136366999999154,0.0004016000020783,1.3328933999873698,0.3157154000073205,2.493326399999205,0.0199711699585239,0.0008886816749783,9.6908652430052e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,244.0,244,245,245,244.0,0.5354487999866251,1.3942064000002574,0.0003957000153604,0.8158564000041224,0.322177299996838,2.7459073000063654,0.0199713528712214,0.0008895234084005,9.627407192530427e-07,ok
