dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721,189,,,,,,861,2.3585476000152994,3.131387600005837,0.0012505690154655,0.0199367393907536,1.0,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q45,EigenPro-PCG,35721,189,,45.0,,,,350,1.1970141000056174,2.13053100000252,0.001266743992196,0.0199363591967015,1.4697686163694088,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,35721,189,,90.0,,,,212,0.6819563000171911,2.4499528000014834,0.0012678168737123,0.0199363007177513,1.2781420115538311,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q128,Box-EigenPro,35721,189,4096.0,128.0,4096.0,5329.0,128.0,134,0.952624300000025,1.208981000003405,0.0012659554833785,0.0199361284731027,2.590104889983398,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q192,Box-EigenPro,35721,189,4096.0,192.0,4096.0,5329.0,192.0,90,0.9381257999921218,1.2002876999904402,0.001264857984266,0.0199361225851687,2.608864191502402,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_8192_q128,Box-EigenPro,35721,189,8192.0,128.0,8192.0,10609.0,128.0,140,0.8844767999835312,1.1359108999895398,0.0012634316579828,0.0199363248797236,2.7567193870880833,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_8192_q192,Box-EigenPro,35721,189,8192.0,192.0,8192.0,10609.0,192.0,91,0.9813305999850854,1.2209572999854572,0.0012633605885515,0.0199363387207598,2.5646986999816743,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721,189,,,,,,997,2.2958682000171398,3.401505100016948,0.0008834687257881,0.0199712226484977,1.0,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q45,EigenPro-PCG,35721,189,,45.0,,,,448,1.3328933999873698,2.493326399999205,0.0008886816749783,0.0199711699585239,1.3642438069953586,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,35721,189,,90.0,,,,244,0.8158564000041224,2.7459073000063654,0.0008895234084005,0.0199713528712214,1.2387545275141163,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q128,Box-EigenPro,35721,189,4096.0,128.0,4096.0,5329.0,128.0,119,0.7372107999981381,1.264128199982224,0.0008886637048553,0.019971037500326,2.6907912504956215,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q192,Box-EigenPro,35721,189,4096.0,192.0,4096.0,5329.0,192.0,79,0.8848332000197843,1.4308128000120632,0.0008875026650551,0.0199710137846163,2.3773236442868484,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_8192_q128,Box-EigenPro,35721,189,8192.0,128.0,8192.0,10609.0,128.0,168,0.9387861999857704,1.472156499978155,0.0008889104560936,0.0199709877597677,2.310559441246513,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_8192_q192,Box-EigenPro,35721,189,8192.0,192.0,8192.0,10609.0,192.0,100,0.9848782999906688,1.5123464000062086,0.0008885885906674,0.0199710578166155,2.249157402036322,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721,189,,,,,,1140,2.616128000023309,6.246509100019466,0.0005583031476492,0.0199959779205131,1.0,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q45,EigenPro-PCG,35721,189,,45.0,,,,519,1.4897686000040269,2.97963190000155,0.0005614993286079,0.0199959876527364,2.0964029483025124,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,35721,189,,90.0,,,,268,0.8833975000015926,3.1834738999896217,0.0005603428058947,0.0199961719872107,1.9621675239868717,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q128,Box-EigenPro,35721,189,4096.0,128.0,4096.0,5329.0,128.0,148,0.8228449000162072,1.7070504000002984,0.0005593070869972,0.0199957807930309,3.6592411682855843,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q192,Box-EigenPro,35721,189,4096.0,192.0,4096.0,5329.0,192.0,102,0.9231061000027694,1.7846076000132598,0.000560002639567,0.0199957598868528,3.500214332816387,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_8192_q128,Box-EigenPro,35721,189,8192.0,128.0,8192.0,10609.0,128.0,160,0.930362499988405,1.8143611999985296,0.0005663821902682,0.0199958359157814,3.44281452889564,ok,btab_group_b_20260622_122953
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_8192_q192,Box-EigenPro,35721,189,8192.0,192.0,8192.0,10609.0,192.0,106,1.000037200021325,1.8887178000004496,0.000565652849265,0.0199958352712771,3.3072749671856636,ok,btab_group_b_20260622_122953
