dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source,selection_note
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,861.0,2.3585476000152994,3.131387600005837,0.0012505690154655,0.0199367393907536,1.0,ok,btab_group_b_20260622_122953,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q45,EigenPro-PCG,35721.0,189.0,,45.0,,,,350.0,1.1970141000056174,2.13053100000252,0.001266743992196,0.0199363591967015,1.4697686163694088,ok,btab_group_b_20260622_122953,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,,Matern-1.5,,0.1,1e-05,0.1,--,Active inverse,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_8192_q128,Box-EigenPro,35721.0,189.0,8192.0,128.0,8192.0,10609.0,128.0,140.0,0.8844767999835312,1.1359108999895398,0.0012634316579828,0.0199363248797236,2.7567193870880833,ok,btab_group_b_20260622_122953,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,997.0,2.2958682000171398,3.401505100016948,0.0008834687257881,0.0199712226484977,1.0,ok,btab_group_b_20260622_122953,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q45,EigenPro-PCG,35721.0,189.0,,45.0,,,,448.0,1.3328933999873698,2.493326399999205,0.0008886816749783,0.0199711699585239,1.3642438069953586,ok,btab_group_b_20260622_122953,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,,Matern-1.5,,0.1,1e-05,0.1,--,Active inverse,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n3000000,3000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q128,Box-EigenPro,35721.0,189.0,4096.0,128.0,4096.0,5329.0,128.0,119.0,0.7372107999981381,1.264128199982224,0.0008886637048553,0.019971037500326,2.6907912504956215,ok,btab_group_b_20260622_122953,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,1140.0,2.616128000023309,6.246509100019466,0.0005583031476492,0.0199959779205131,1.0,ok,btab_group_b_20260622_122953,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q45,EigenPro-PCG,35721.0,189.0,,45.0,,,,519.0,1.4897686000040269,2.97963190000155,0.0005614993286079,0.0199959876527364,2.0964029483025124,ok,btab_group_b_20260622_122953,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,,Matern-1.5,,0.1,1e-05,0.1,--,Active inverse,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_4096_q128,Box-EigenPro,35721.0,189.0,4096.0,128.0,4096.0,5329.0,128.0,148.0,0.8228449000162072,1.7070504000002984,0.0005593070869972,0.0199957807930309,3.6592411682855843,ok,btab_group_b_20260622_122953,selected by min time_total under 1.1x EFGP-CG RMSE
