N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q128,4096.0,5329.0,128.0,134,0.952624300000025,1.208981000003405,0.0012659554833785,1.0123035735914765,2.590104889983398
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,90,0.9381257999921218,1.2002876999904402,0.001264857984266,1.0114259737957614,2.608864191502402
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q128,8192.0,10609.0,128.0,140,0.8844767999835312,1.1359108999895398,0.0012634316579828,1.0102854319579573,2.7567193870880833
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,91,0.9813305999850854,1.2209572999854572,0.0012633605885515,1.0102286022824887,2.5646986999816743
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q128,4096.0,5329.0,128.0,119,0.7372107999981381,1.264128199982224,0.0008886637048553,1.005880207092295,2.6907912504956215
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,79,0.8848332000197843,1.4308128000120632,0.0008875026650551,1.0045660238435736,2.3773236442868484
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q128,8192.0,10609.0,128.0,168,0.9387861999857704,1.472156499978155,0.0008889104560936,1.0061595053074976,2.310559441246513
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,100,0.9848782999906688,1.5123464000062086,0.0008885885906674,1.005795185194284,2.249157402036322
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q128,4096.0,5329.0,128.0,148,0.8228449000162072,1.7070504000002984,0.0005593070869972,1.0017981975423698,3.6592411682855843
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,102,0.9231061000027694,1.7846076000132598,0.000560002639567,1.0030440306936401,3.500214332816387
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q128,8192.0,10609.0,128.0,160,0.930362499988405,1.8143611999985296,0.0005663821902682,1.0144707094219652,3.44281452889564
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,106,1.000037200021325,1.8887178000004496,0.000565652849265,1.0131643564016195,3.3072749671856636
