M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,epsilon_T,eta_eig,eta_eig_sq,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,861,862,9.461578961050777e-07,,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,,,,True,,,,,,,,,,,False,861.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,862,,1000,1000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0012505690154655884,0.01993673939075367,0,,,ok,,0.0018716636896114515,1.6133741004450712,,,,,,,,,,,,,,,,,,,,,,,,0.7728376000013668,,0.11143509999965318,2.3585476000152994,,3.131387600005837,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,350,351,8.830811534469243e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,2331.5827652264506,0.016285268710267142,,,5,257,0.001581310999532618,0.4063969268798828,1e-05,,,,,,True,[],,,,,,,,,,False,350.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,351,350,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.001266743992196087,0.019936359196701583,0,,,ok,,0.0017875726496438598,0.6274380000249948,0.0004663728566707245,0.16323049983475357,,,[],,,,,,,,,,,,,,,,,0.682797199988272,,0.24967630000901408,0.0010433999996166676,0.12669540001661517,1.1970141000056174,,2.13053100000252,,1e-06,45,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,212,213,7.923821555927403e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,938.6877381731978,0.006496306931801236,,,5,482,0.0015745699554063472,0.7589427185058594,1e-05,,,,,,True,[],,,,,,,,,,False,212.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,213,212,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.00126781687371232,0.019936300717751387,0,,,ok,,0.0015038455409618716,0.32031910022487864,0.0007498240572529985,0.1589627001376357,,,[],,,,,,,,,,,,,,,,,1.4919026000134181,,0.2756702999759,0.00042359999497421086,0.11151930000050925,0.6819563000171911,,2.4499528000014834,,1e-06,90,v3
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,12000,5329,full,30,0.01,,cupy,1.034693344931213e-14,1.844871295799113e-15,640,290,290,,290,128,5329,30392,10915840,692.0767201498468,6920.767201498467,0.001,boxeig,6000,group_b,50,diag,0.001,50,auto,boxeig,134,135,9.759851976672166e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,128,93,128,221,60,31,2,35721,,,,,,,1.034693344931213e-14,1.844871295799113e-15,,,,,1e-05,2.429680498750641,0.44569540041289196,0.19864438994920808,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,134.0,matern,0.1,1.5,1.0,,336400,6000,btab_boxeig_topk_4096_q128,189,135,134,1000,1000000,cufinufft,binned_c1,50,134,9.759851976672166e-07,pcg,converged,134,,True,0.1,0,9.83852065960661,0.0012659554833785948,0.019936128473102707,0,0.1,boxeig,ok,,0.001782277037596537,0.2406074000755325,0.0006168559710529925,0.08265870012110099,21241.346961770272,30392,,6920.767201498467,0.01026320000528358,7.00828358235616e-05,0.009391100000357255,6.219104463199793e-05,0.008333599980687723,0.0003421320912250971,0.04584570022416301,0.47794519999297336,0.0,0.0,0.0028962999931536615,0.0,9.672835868011827e-05,0.012961600063135847,0.4750488999998197,,0.2790069000038784,0.25635670000337996,0.48902540002018213,0.11010280001210049,0.952624300000025,0.0,1.208981000003405,1.4879879000072833,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,12000,5329,full,30,0.01,,cupy,4.440224566970614e-14,2.333603042938361e-15,960,418,418,,418,192,5329,30392,16373760,298.8013631659401,2988.0136316594007,0.001,boxeig,6000,group_b,50,diag,0.001,50,auto,boxeig,90,91,8.677660331310679e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,192,93,192,285,60,31,2,35721,,,,,,,4.440224566970614e-14,2.333603042938361e-15,,,,,1e-05,2.4296804987506406,0.5136205114308348,0.2638060297624723,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,90.0,matern,0.1,1.5,1.0,,336400,6000,btab_boxeig_topk_4096_q192,189,91,90,1000,1000000,cufinufft,binned_c1,50,90,8.677660331310679e-07,pcg,converged,90,,True,0.1,0,9.83852065960661,0.001264857984266089,0.019936122585168758,0,0.1,boxeig,ok,,0.001705195603170688,0.1551727998885326,0.0006271755552410873,0.05644579997169785,21241.346961770272,30392,,2988.0136316594007,0.003419399989070371,6.726777776040964e-05,0.006054099998436868,6.362889220731125e-05,0.005726600298658013,0.0003589755538592322,0.0323077998473309,0.6308015999966301,0.0,0.0,0.0012758999946527183,0.0,9.412778017576784e-05,0.008471500215819106,0.6295257000019774,,0.30296679999446496,0.2621618999983184,0.6349429000110831,0.13712349999696016,0.9381257999921218,0.0,1.2002876999904402,1.5032544999849051,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,8192,,8192,0,"[51, 51]","[103, 103]",10609,topk,8192,,8192,12000,10609,full,30,0.01,,cupy,1.5461292422372126e-14,1.7884012245974054e-15,640,290,290,,290,128,10609,25112,21729280,692.0915484633265,6920.915484633265,0.001,boxeig,6000,group_b,50,diag,0.001,50,auto,boxeig,140,141,9.88700336583874e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,128,93,128,221,60,31,2,35721,,,,,,,1.5461292422372126e-14,1.7884012245974054e-15,,,,,1e-05,1.6726014724805354,0.26202157126932835,0.06865530381044771,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,140.0,matern,0.1,1.5,1.0,,672400,6000,btab_boxeig_topk_8192_q128,189,141,140,1000,1000000,cufinufft,binned_c1,50,140,9.88700336583874e-07,pcg,converged,140,,True,0.1,0,1.8400305107767636,0.0012634316579828492,0.019936324879723626,0,0.1,boxeig,ok,,0.001508343260956545,0.21267639979487285,0.00066940714438845,0.093717000214383,6814.821494690161,25112,,6920.915484633265,0.003918000002158806,6.486928593533646e-05,0.009081700030947104,6.25199989631905e-05,0.008752799854846671,0.000414357144161061,0.05801000018254854,0.4384077999566216,0.0,0.0,0.002512299979571253,0.0,8.844214379288522e-05,0.012381900131003931,0.43589549997705035,,0.27627400000346825,0.2514341000060085,0.4430651000002399,0.11058259999845177,0.8844767999835312,0.0,1.1359108999895398,1.412184899993008,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,8192,,8192,0,"[51, 51]","[103, 103]",10609,topk,8192,,8192,12000,10609,full,30,0.01,,cupy,3.7437270375566506e-14,1.9753790053081562e-15,960,418,418,,418,192,10609,25112,32593920,298.8170415471587,2988.1704154715867,0.001,boxeig,6000,group_b,50,diag,0.001,50,auto,boxeig,91,92,9.578204372902092e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,192,93,192,285,60,31,2,35721,,,,,,,3.7437270375566506e-14,1.9753790053081562e-15,,,,,1e-05,1.6726014724805347,0.30168262505141197,0.09101240625791084,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,91.0,matern,0.1,1.5,1.0,,672400,6000,btab_boxeig_topk_8192_q192,189,92,91,1000,1000000,cufinufft,binned_c1,50,91,9.578204372902092e-07,pcg,converged,91,,True,0.1,0,1.8400305107767636,0.0012633605885515407,0.019936338720759894,0,0.1,boxeig,ok,,0.0017350391300050946,0.1596235999604687,0.0008044538448262796,0.07320529987919144,6814.821494690161,25112,,2988.1704154715867,0.003264099999796599,6.531648578347413e-05,0.005943800206296146,6.041208641593355e-05,0.005497499863849953,0.0005504857159634172,0.050094200152670965,0.6541142000060063,0.0,0.0,0.0024716000189073384,0.0,8.855604344037372e-05,0.008058599953074008,0.651642599987099,,0.2975095000001602,0.23962670000037178,0.6583823999972083,0.10713469999609515,0.9813305999850854,0.0,1.2209572999854572,1.5184667999856174,1e-06,,v7_btab_boxeig
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,997,998,9.530737339228558e-07,,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,,,,True,,,,,,,,,,,False,997.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,998,,1000,3000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0008834687257881179,0.019971222648497714,0,,,ok,,0.0015348930863471318,1.5318233001744375,,,,,,,,,,,,,,,,,,,,,,,,1.1056349000136834,,0.31398629999603145,2.2958682000171393,,3.401505100016948,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,448,449,9.6908652430052e-07,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,6996.756023725847,0.016285857075972583,,,5,257,0.0014326955298041557,0.368202751159668,1e-05,,,,,,True,[],,,,,,,,,,False,448.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,449,448,1000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0008886816749783791,0.019971169958523903,0,,,ok,,0.0015268734958850444,0.685566199652385,0.00041531004503018006,0.18605890017352067,,,[],,,,,,,,,,,,,,,,,0.6136366999999154,,0.5463947000098415,0.00040160000207833946,0.31571540000732057,1.3328933999873698,,2.493326399999205,,1e-06,45,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,,244,245,9.627407192530427e-07,,,nan,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,2815.262302179701,0.006492890348921888,,,5,482,0.0014066445758233923,0.678002685546875,1e-05,,,,,,True,[],,,,,,,,,,False,244.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,245,244,1000,3000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0008895234084005491,0.019971352871221437,0,,,ok,,0.001543418367687917,0.37813750008353963,0.0007598454914662651,0.1854022999177687,,,[],,,,,,,,,,,,,,,,,1.3942064000002574,,0.5354487999866251,0.0003957000153604895,0.322177299996838,0.8158564000041224,,2.7459073000063654,,1e-06,90,v3
