dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,80000000,1e-05,plain_cg,cg_baseline,original/default,,6000.0,6000.0,6001.0,6001.0,,2.143945661000089,,,6.396472543000073,0.733517398999993,8.540418856000088,0.0674851455377674,0.0674828399042214,4.006052452728491e-06,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,80000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,1294.0,1294.0,1295.0,1295.0,1294.0,0.3755339399999684,0.1946420019999095,0.0003064409997932,2.133168964000106,0.7305448170000091,2.703651346999777,0.0674197346721293,0.067416526209237,9.874947587663422e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,80000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,471.0,471.0,472.0,472.0,471.0,0.3752455730000292,0.477453630999662,0.0003089080000791,0.8939494410001316,0.7314272260000507,1.746957552999902,0.0674205844530634,0.0674173704812985,8.982717879505109e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,3534.0,3534.0,3535.0,3535.0,,0.2566684750004242,,,3.7376999919997616,0.091990732999875,3.994369026000186,0.0285096642530523,0.0286473408594234,9.607132418479522e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,1514.0,1514.0,1515.0,1515.0,1514.0,0.105345158000091,0.19388537299983,0.0003062000000682,2.4882113119997484,0.0916619910003646,2.7877480429997377,0.0284785190005137,0.0286162953641162,9.88342317132695e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,865.0,865.0,866.0,866.0,865.0,0.1027099449997877,0.4746230690002448,0.0002986519998557,1.6386850129997583,0.0922391430003699,2.2163166789996467,0.0284789013743292,0.0286166527961991,9.325195570221724e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,plain_cg,cg_baseline,original/default,,5439.0,5439.0,5440.0,5440.0,,0.7560304520002319,,,5.797756736999872,0.2724070780000147,6.553788008000083,0.0278931574460549,0.027873959811213,9.138264796122108e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,2306.0,2306.0,2307.0,2307.0,2306.0,0.1964211039999099,0.1942665450001186,0.0003154719997837,3.8303564100001495,0.2745713610001985,4.221359530999962,0.027877654028613,0.0278585722447771,9.151701507681992e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,1322.0,1322.0,1323.0,1323.0,1322.0,0.1973088869999628,0.4792993129999559,0.0003234739997424,2.5250718340003004,0.274585960999957,3.2020035079999616,0.0278780877070425,0.0278590311578478,8.861372361464707e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,plain_cg,cg_baseline,original/default,,,,,,,,,,,,,,,,failed
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,,,,,,,,,,,,,,,failed
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,300000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,,,,,,,,,,,,,,,failed
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,1101.0,1101.0,1102.0,1102.0,,0.4009915500000716,,,1.187571487999776,0.0925513729998783,1.5885653519999323,0.0199960124839301,0.0005585234787308,9.697750207453522e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,527.0,527.0,528.0,528.0,527.0,0.1281165750001491,0.3792559519997667,0.0029884519999541,0.8723142370004098,0.0924133829998936,1.3826752160002798,0.0199959737180931,0.0005617834704234,8.967807678385129e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,268.0,268.0,269.0,269.0,268.0,0.1045716769999671,0.485755915000027,0.0003197300002284,0.5133487199996125,0.0925196390003293,1.1039960419998351,0.0199961719902139,0.0005603411715491,9.419940936557596e-07,ok
synthetic_true_func_2d_n100000000,100000000,1e-05,plain_cg,cg_baseline,original/default,,843.0,843.0,844.0,844.0,,2.510741867999968,,,0.8970529849998456,0.9141736680003304,3.407795754999825,0.0199976537768045,0.0001882246124244,9.861198551915424e-07,ok
synthetic_true_func_2d_n100000000,100000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,387.0,387.0,388.0,388.0,387.0,0.5387516450000476,0.196358472999691,0.000302849000036,0.6427733680002348,0.9086069909999424,1.3781863350000094,0.0199976762814523,0.0001905897393654,8.208070019875931e-07,ok
synthetic_true_func_2d_n100000000,100000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,211.0,211.0,212.0,212.0,211.0,0.5367266260000179,0.4774791560002995,0.0002992249997078,0.3954544640000677,0.9099786920000952,1.409959471000093,0.0199977094655302,0.0001873119479312,8.495211569645659e-07,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,plain_cg,cg_baseline,original/default,,969.0,969.0,970.0,970.0,,0.7555009949996929,,,1.0235576830000357,0.2725985009997203,1.779060121999919,0.0200007981989795,0.000338396756507,9.438705460641172e-07,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,458.0,458.0,459.0,459.0,458.0,0.2004447960002835,0.1940428289999545,0.000298107999697,0.7461020200003077,0.2719122489997971,1.1408877530002428,0.0200007983042369,0.0003430893732928,8.726069387700968e-07,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,233.0,233.0,234.0,234.0,233.0,0.198257440999896,0.4737774290001653,0.0003021049997187,0.4372182600000087,0.2717507610000211,1.1095552349997888,0.020000929040107,0.0003366276163207,9.66276882254405e-07,ok
synthetic_true_func_2d_n300000000,300000000,1e-05,plain_cg,cg_baseline,original/default,,,,,,,,,,,,,,,,failed
synthetic_true_func_2d_n300000000,300000000,1e-05,eigenpro_pcg_q45,eigenpro_baseline,c1,45.0,,,,,,,,,,,,,,,failed
synthetic_true_func_2d_n300000000,300000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,,,,,,,,,,,,,,,failed
