dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,epsilon_T,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,eta_eig,eta_eig_sq,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,16384.0,21025.0,21025.0,14696.0,27.34437806320609,128685.1542507521,128.68454989012025,2492.140872826383,24921.408728263832,24921.408728263832,3.6044297798865836e-13,3.8268830891820014e-14,9.260748587640204,85.76146440348003,43061248.0,290.0,290.0,290.0,cupy,4445,4445.0,0.7729259480001929,0.7776357030002146,8.307602894999945,8.713936818000093,0.1492831420000584,8.863219960000151,0.0674143593926601,0.0674112041152319
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,16384.0,21025.0,21025.0,14696.0,27.34437806320609,128685.1542507521,128.68454989012025,167.5735864441376,1675.7358644413755,1675.7358644413755,4.0149068334590814e-12,4.372566074494747e-14,10.320524245776271,106.5132207076559,64591872.0,418.0,418.0,418.0,cupy,1453,1453.0,0.3542037990000608,0.3588766810003108,2.849528553999789,3.255536959999972,0.1733091950000016,3.428846154999974,0.0674135075918652,0.0674103620988462
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,16384.0,21025.0,21025.0,14696.0,27.34437806320609,128685.1542507521,128.68454989012028,90.63914633658624,906.3914633658624,906.3914633658624,2.009411473094633e-12,1.0665256171977726e-13,10.38079388460326,107.76088167461646,86122496.0,546.0,546.0,546.0,cupy,1159,1159.0,0.4639105799997196,0.4687159350000911,2.4429334040000867,2.8489250989996435,0.1970878389997779,3.0460129379994214,0.0674135610975883,0.0674104132135517
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,787.0835744221785,1699311.96968622,251.09477761720703,1956.285980062592,19562.85980062592,19562.85980062592,1.4026860260519157e-12,4.117630388136793e-14,13.834119568931914,191.38286424750493,10915840.0,290.0,290.0,290.0,cupy,4509,4509.0,1.0146916950002378,1.0182043320000955,8.70948136700008,9.115552566000131,0.1496522580000601,9.265204824000191,0.0674131393153394,0.0674099802760371
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,787.0835744221785,1699311.96968622,251.094777617207,71.21468841106032,712.1468841106032,712.1468841106032,4.0099543756208015e-11,5.710969390323288e-14,14.560496807462624,212.00806728012924,16373760.0,418.0,418.0,418.0,cupy,3866,3866.0,0.355314663000172,0.3586165509996135,6.945675948999906,7.351842025999758,0.1738693689999308,7.525711394999689,0.0674129261197532,0.0674097765703603
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,8192.0,10609.0,10609.0,25112.0,147.20280638572376,545187.0828890986,217.7495720436495,2334.013397173662,23340.133971736617,23340.133971736617,1.9636305796451497e-13,3.2087642618525137e-14,11.53020396581046,132.94560349319127,21729280.0,290.0,290.0,290.0,cupy,4813,4813.0,0.2374094049996529,0.2411635539997405,8.460777706000044,8.867292172999896,0.1498236320003343,9.01711580500023,0.0674133528062119,0.0674102039227436
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,8192.0,10609.0,10609.0,25112.0,147.20280638572376,545187.0828890986,217.7495720436496,118.00997997479382,1180.099799747938,1180.099799747938,4.2352462076017356e-11,5.908496978142397e-14,12.916966366069268,166.84802010216472,32593920.0,418.0,418.0,418.0,cupy,2118,2118.0,0.3586690219999582,0.3624783440000101,3.984598810999614,4.390780629999881,0.1782003309999709,4.568980960999852,0.0674131060321032,0.067409956930053
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,16384.0,21025.0,21025.0,14696.0,3.418047257901867,16085.644281349216,4.320710723187871,6566.420044161968,65664.20044161967,65664.20044161967,8.882491490398184e-15,1.6955917388830072e-15,0.4381830369743955,0.1920043738921044,43061248.0,290.0,290.0,290.0,cupy,1272,1272.0,0.234033146999991,0.238641687999916,2.380300447000081,2.461753800000224,0.1466139940002904,2.6083677940005146,0.0284780856844199,0.0286157785011258
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,16384.0,21025.0,21025.0,14696.0,3.418047257901867,16085.644281349216,4.320710723187871,2719.6966346074582,27196.96634607458,27196.96634607458,1.4605480246349822e-14,3.312904060529437e-15,0.4531134145996666,0.2053117664901693,64591872.0,418.0,418.0,418.0,cupy,828,828.0,0.3550086579998606,0.3597006780000811,1.759738814999764,1.8408907549996911,0.1708582360001855,2.0117489909998767,0.0284780460885389,0.0286157548201122
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,16384.0,21025.0,21025.0,14696.0,3.418047257901867,16085.644281349216,4.320710723187872,1399.6316767999251,13996.316767999251,13996.316767999251,9.36855003155036e-14,6.427235439553358e-15,0.472470301364803,0.2232281856717478,86122496.0,546.0,546.0,546.0,cupy,608,608.0,0.4632486519999474,0.4681397930003186,1.5060661569996228,1.5866272509997543,0.1973667859997476,1.783994036999502,0.0284779988987734,0.0286157086128043
