dataset_stem,eps,method,precompute_mode,selector_tag,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,2401.5196295323567,1592437.420763489,365,365.0,0.0526496100001168,0.6248680969997622,0.6976816470000813,0.000270790000286,0.6979524370003674,0.028477271497918,0.0286150002180299
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,545.4774512433136,630211.2012771419,234,234.0,0.2039029130000926,0.5868003289997432,0.6594032969996988,0.0002740970003287,0.6596773940000276,0.0284772712229754,0.0286150044107516
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,98.38544680280414,212413.99621084624,113,113.0,0.8818706030001522,1.0972885139999562,1.1701006789999155,0.000266431,1.1703671099999156,0.0284772858380006,0.0286150275221147
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,24015.196295323258,15924374.207634691,746,746.0,0.0526556099998742,1.2091027510000458,1.7325040020000415,0.0003231450000384,1.73282714700008,0.0276408098169257,0.0276136809008529
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,5454.774512433066,6302112.012771339,545,545.0,0.2076410330000726,1.0902242450001722,1.6136950500003877,0.0003512610001052,1.614046311000493,0.0276408214718277,0.0276136914730402
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,983.8544680280286,2124139.962108435,276,276.0,0.8848061989997404,1.407840919999671,1.9311970869998727,0.0003677110003081,1.931564798000181,0.0276408507652866,0.0276137174660388
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,7204.558888596941,4777312.262290384,556,556.0,0.0513844350002727,0.9073065860002316,1.0805389320003087,0.0003064210000047,1.0808453530003137,0.027875889251186,0.027856727619713
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,1636.4323537299117,1890633.603831393,355,355.0,0.2047477370001615,0.7716206909999528,0.944747930000176,0.000267648999852,0.945015579000028,0.0278759296564122,0.0278567691429332
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,295.1563404084071,637241.9886325274,175,175.0,0.8771243350001896,1.2072788460000083,1.3803788420000274,0.0003632259999903,1.3807420680000178,0.0278759207151357,0.027856761557649
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,72045.58888596435,47773122.62290046,100000,100000.0,0.0517799510000713,156.22939165499997,157.77499705399987,0.0003806120000717,157.77537766599994,0.1106554206806645,0.1106626648342904
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,16364.323537297962,18906336.03831259,100000,100000.0,0.2038089909999598,162.02377242900002,163.56965692500012,0.0003520750001371,163.57000900000023,0.1106782662875347,0.1106857033483783
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,2951.563404083863,6372419.886324823,100000,100000.0,0.8822634560001461,189.915451978,191.46139669500008,0.0003683740001179,191.4617650690002,0.1106844684914459,0.1106914867753419
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,187,187.0,0.0521559510000315,0.3425042070000472,0.415649902000041,0.0002649020000262,0.4159148040000673,0.0199956673296453,0.0005597136677963
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,545.477332504985,630211.0596413196,120,120.0,0.2055759120000857,0.40033979299983,0.4731564789999538,0.0002721299999848,0.4734286089999386,0.0199956674844434,0.000560766703005
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,56,56.0,0.8735660740001094,0.979041757999994,1.0519061410000177,0.0002522169997973,1.052158357999815,0.019995673421302,0.0005597028508445
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,24015.1960450302,15924374.031357467,200,200.0,0.0552775989999645,0.3673862250000184,0.8926738770001066,0.0003064769998673,0.8929803539999739,0.0199975006699889,0.0001987467480199
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,5454.774452079139,6302111.940778754,169,169.0,0.2035265529998469,0.4762198930000068,1.0009207529999458,0.0003024229999937,1.0012231759999397,0.0199975151743143,0.0002016683629286
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,983.854456755023,2124139.9373951904,92,92.0,0.8857737369999086,1.06730474699998,1.592224189000035,0.0003117680000741,1.5925359570001092,0.0199975256403999,0.0002023958705909
synthetic_true_func_2d_n30000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,7204.558550054237,4777312.023860484,253,253.0,0.0522401749999517,0.4581608639998649,0.6318259449999459,0.0003253009999752,0.6321512459999212,0.0200005121874729,0.0003488382035511
