M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_residual_max,eig_residual_median,eps,exact_apply_mode,gamma,has_nufft,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,version
35721,expanded_box,topk,8192,,8192,0,"[51, 51]","[103, 103]",10609,topk,8192,,8192,80000,10609,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,auto,41,42,7.137892963422174e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,1e-05,inverse,29999999.999961257,True,nan,0,50,diag,0.001,0,0,0,1800814096,False,41.0,matern,0.1,1.5,1.0,0,100000,btab_auto_topk_8192,189,42,41,1000,30000000,cufinufft,binned_c1,50,41,7.137892963422174e-07,pcg,converged,41,True,0.1,0,55.201049494353015,0.00034838112610391267,0.020000520789786074,0,0.1,exact,ok,0.000649630190477659,0.02728446800006168,0.0016490770243854612,0.06761215799980391,204445.14526602367,25112,,0.007015763000026709,4.581870731721122e-05,0.0018785670000056598,4.739263414421657e-05,0.0019430979999128795,0.0014544714390218004,0.05963332899989382,4.689574579999999,3.7196742649999806,0.6306731180000043,0.0,0.20979911099999526,5.72271707322371e-05,0.002346314000021721,,0.0002673440000080518,0.17309619000002385,5.192763787999979,0.16074965699999666,5.313912373999983,0.12942808600001854,5.487008564000007,5.487275908000015,1e-06,v6_btab
35721,expanded_box,topk,16384,,16384,0,"[72, 72]","[145, 145]",21025,topk,16384,,16384,80000,21025,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,auto,12,13,9.555739986892363e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,1e-05,inverse,29999999.99996126,True,0.4989416398827565,50,50,diag,0.001,553,565,564,0,False,12.0,matern,0.1,1.5,1.0,1336336,100000,btab_auto_topk_16384,189,13,12,1000,30000000,cufinufft,binned_c1,50,12,9.555739986892363e-07,fgmres,converged,12,True,0.1,0,10.254141230310388,0.0004037510242996087,0.02000159760492697,0,0.1,inner_pcg,ok,0.0007199473846132885,0.00935931599997275,0.06117410433332301,0.7340892519998761,48256.93027999157,14696,,0.0030933759999811627,5.1108416675068234e-05,0.0006133010001008188,4.8281583336991694e-05,0.0005793790000439003,0.051735297499992804,0.6208235699999136,0.15022955300003105,0.0,0.0,0.15022955300003105,0.0,0.009288343916665553,0.11146012699998664,,0.00022611299999653056,0.17312980700000935,0.15423369100000173,0.16029014600002256,2.4922993739999697,0.0,2.665429180999979,2.6656552939999756,1e-06,v6_btab
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,4.338354874744426e-14,2.3400427712689462e-15,960,418,418,,418,192,25921,9800,79632384,8947.581835805362,89475.81835805361,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,121,122,9.70332378577216e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,192,0,192,192,0,0,2,35721,4.338354874744426e-14,2.3400427712689462e-15,1e-05,boxeig,29999999.99996126,True,nan,0,0,,nan,0,0,0,0,False,121.0,matern,0.1,1.5,1.0,1648656,100000,btab_boxeig_topk_20480_q192,189,122,121,1000,30000000,cufinufft,binned_c1,50,121,9.70332378577216e-07,pcg,converged,121,True,0.1,0,6.111744864992144,0.00032945740917408807,0.02000097215841249,0,0.1,boxeig,ok,0.0006530868688509943,0.0796765979998213,0.0004586515785126909,0.0554968410000356,24573.35802504388,9800,89475.81835805361,0.0034028579999585418,4.6445289254651556e-05,0.005619879999812838,4.111436363409441e-05,0.004974837999725423,0.00027049960330492647,0.032730451999896104,1.5712328179999986,0.0,0.0,0.003726739000001089,0.0,5.780178512320486e-05,0.006994015999907788,1.5675060789999975,0.8129823460000125,0.18270810899997514,1.6827820809999707,0.1613922930000058,1.8948850140000104,0.0,2.0775931229999856,2.890575468999998,1e-06,v7_btab_boxeig
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,3.366180980248405e-14,5.908685203904771e-15,1280,546,546,,546,256,25921,9800,106176512,4505.961538268199,45059.61538268199,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,82,83,9.047320433917964e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,35721,3.366180980248405e-14,5.908685203904771e-15,1e-05,boxeig,29999999.999961257,True,nan,0,0,,nan,0,0,0,0,False,82.0,matern,0.1,1.5,1.0,1648656,100000,btab_boxeig_topk_20480_q256,189,83,82,1000,30000000,cufinufft,binned_c1,50,82,9.047320433917964e-07,pcg,converged,82,True,0.1,0,6.111744864992144,0.00032582909616437207,0.020001025832400387,0,0.1,boxeig,ok,0.0007291785060227863,0.06052181599989126,0.0004997726585422586,0.04098135800046521,24573.35802504388,9800,45059.61538268199,0.0035415080000120724,4.9629963411195895e-05,0.004069656999718063,4.6435878053538236e-05,0.0038077420003901352,0.0002938166219524458,0.024092963000100553,0.5055153289999907,0.0,0.0,0.0010550069999908374,0.0,6.145758536659719e-05,0.00503952200006097,0.5044603219999999,0.1074270619999993,0.17328412699998808,0.5098741909999944,0.15510804500001996,0.669727120999994,0.0,0.8430112479999821,0.9504383099999814,1e-06,v7_btab_boxeig
35721,expanded_box,topk,32768,,32768,0,"[94, 94]","[189, 189]",35721,topk,32768,,32768,80000,35721,cheap,30,0.01,,cupy,2.0275357171359903e-14,2.3215983033768363e-15,960,418,418,,418,192,35721,0,109737984,8947.584634376346,89475.84634376345,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,92,93,8.537349350380809e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,192,0,192,192,0,0,2,35721,2.0275357171359903e-14,2.3215983033768363e-15,1e-05,boxeig,29999999.999961257,True,nan,0,0,,nan,0,0,0,0,False,92.0,matern,0.1,1.5,1.0,2274064,100000,btab_boxeig_topk_32768_q192,189,93,92,1000,30000000,cufinufft,binned_c1,50,92,8.537349350380809e-07,pcg,converged,92,True,0.1,0,0.0,0.0003291925730324412,0.020001027574471374,0,0.1,boxeig,ok,0.0007216857634430639,0.06711677600020494,0.0004681958260874808,0.04307401600004823,0.0,0,89475.84634376345,0.004397125999958007,1.854526086753555e-05,0.0017061639998132705,3.315260869508956e-05,0.0030500399999482397,0.00030880758695695437,0.028410298000039802,0.4212542280000662,0.0,0.0,0.000932204000037018,0.0,6.208740217000073e-05,0.005712040999640067,0.42032202400002916,0.08256376399998544,0.17290381399999433,0.42645244199997023,0.15469387500002085,0.600567189000003,0.0,0.7734710029999974,0.8560347669999828,1e-06,v7_btab_boxeig
35721,expanded_box,topk,32768,,32768,0,"[94, 94]","[189, 189]",35721,topk,32768,,32768,80000,35721,cheap,30,0.01,,cupy,3.5357632289207525e-14,4.209031302966669e-15,1280,546,546,,546,256,35721,0,146317312,4505.964081704711,45059.64081704711,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,66,67,9.501038321640504e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,35721,3.5357632289207525e-14,4.209031302966669e-15,1e-05,boxeig,29999999.999961257,True,nan,0,0,,nan,0,0,0,0,False,66.0,matern,0.1,1.5,1.0,2274064,100000,btab_boxeig_topk_32768_q256,189,67,66,1000,30000000,cufinufft,binned_c1,50,66,9.501038321640504e-07,pcg,converged,66,True,0.1,0,0.0,0.00032846456319633163,0.020001051448624216,0,0.1,boxeig,ok,0.0007412265671681875,0.04966218000026856,0.0005156356363613668,0.03403195199985021,0.0,0,45059.64081704711,0.00448362399998814,1.890289393651818e-05,0.0012475909998101997,3.5068636365029747e-05,0.0023145300000919633,0.0003541890757581066,0.023376479000035033,0.5022330969999871,0.0,0.0,0.0009675119999883464,0.0,6.090860606009025e-05,0.0040199679999659566,0.5012655849999987,0.10921494199999415,0.17483809800000927,0.5076715229999991,0.15497617400001218,0.6387027339999918,0.0,0.813540832000001,0.9227557739999952,1e-06,v7_btab_boxeig
35721,expanded_box,topk,32768,,32768,0,"[94, 94]","[189, 189]",35721,topk,32768,,32768,80000,35721,cheap,30,0.01,,cupy,5.529963528572891e-14,6.467399315901569e-15,1600,674,674,,674,320,35721,0,182896640,2692.894498540812,26928.944985408118,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,40,41,9.877758290684322e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,320,0,320,320,0,0,2,35721,5.529963528572891e-14,6.467399315901569e-15,1e-05,boxeig,29999999.99996126,True,nan,0,0,,nan,0,0,0,0,False,40.0,matern,0.1,1.5,1.0,2274064,100000,btab_boxeig_topk_32768_q320,189,41,40,1000,30000000,cufinufft,binned_c1,50,40,9.877758290684322e-07,pcg,converged,40,True,0.1,0,0.0,0.0003100802819388232,0.020001376810921564,0,0.1,boxeig,ok,0.0007814368292720357,0.032038910000153464,0.0005825763250001615,0.023303053000006457,0.0,0,26928.944985408118,0.004395865999981652,2.0873174997859677e-05,0.0008349269999143871,3.598899999559535e-05,0.001439559999823814,0.0004105565500040598,0.01642226200016239,0.6384517370000253,0.0,0.0,0.0009055390000298758,0.0,6.421217500189869e-05,0.0025684870000759474,0.6375461979999955,0.13349598599995716,0.17349817199999507,0.643914857000027,0.1545102019999831,0.729885414000023,0.0,0.9033835860000181,1.0368795719999753,1e-06,v7_btab_boxeig
35721,expanded_box,topk,35721,,36864,0,"[94, 94]","[189, 189]",35721,topk,35721,,36864,80000,35721,cheap,30,0.01,,cupy,5.180745020609379e-14,2.636460721215941e-15,960,418,418,,418,192,35721,0,109737984,8947.584634376348,89475.84634376348,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,92,93,8.536733045315461e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,192,0,192,192,0,0,2,35721,5.180745020609379e-14,2.636460721215941e-15,1e-05,boxeig,29999999.999961257,True,nan,0,0,,nan,0,0,0,0,False,92.0,matern,0.1,1.5,1.0,2274064,100000,btab_boxeig_topk_36864_q192,189,93,92,1000,30000000,cufinufft,binned_c1,50,92,8.536733045315461e-07,pcg,converged,92,True,0.1,0,0.0,0.00032919368965008024,0.020001027574368908,0,0.1,boxeig,ok,0.0007225516128992924,0.0671972999996342,0.00046857623913269987,0.04310901400020839,0.0,0,89475.84634376348,0.004570712999964144,1.9368108696134502e-05,0.0017818660000443742,3.463688043056031e-05,0.0031865929996115483,0.00030789210869324563,0.0283260739997786,0.36401698100007707,0.0,0.0,0.0009122260000253846,0.0,6.096028260779586e-05,0.005608345999917219,0.3631047550000517,0.0813022390000242,0.17290117999999666,0.3694045180000103,0.15490833300003715,0.5451229929999499,0.0,0.7180241729999466,0.7993264119999708,1e-06,v7_btab_boxeig
35721,expanded_box,topk,35721,,36864,0,"[94, 94]","[189, 189]",35721,topk,35721,,36864,80000,35721,cheap,30,0.01,,cupy,9.59046992511495e-14,4.696783047178128e-15,1280,546,546,,546,256,35721,0,146317312,4505.964081704711,45059.64081704711,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,66,67,9.321302960584344e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,35721,9.59046992511495e-14,4.696783047178128e-15,1e-05,boxeig,29999999.999961257,True,nan,0,0,,nan,0,0,0,0,False,66.0,matern,0.1,1.5,1.0,2274064,100000,btab_boxeig_topk_36864_q256,189,67,66,1000,30000000,cufinufft,binned_c1,50,66,9.321302960584344e-07,pcg,converged,66,True,0.1,0,0.0,0.00032847375098373226,0.020001051471433447,0,0.1,boxeig,ok,0.0008312482985057789,0.05569363599988719,0.00051372715150957,0.033905991999631624,0.0,0,45059.64081704711,0.004591172999994342,1.898621212086999e-05,0.0012530899999774192,3.448877272961853e-05,0.0022762590001548233,0.00035282804545765816,0.02328665100020544,1.3109633849999796,0.0,0.0,0.000904300999991392,0.0,6.132045454919397e-05,0.004047150000246802,1.3100590839999882,0.10764647799999238,0.17296136800001705,1.316494844000033,0.15409678200001053,1.4653360689999886,0.0,1.6382974370000056,1.745943914999998,1e-06,v7_btab_boxeig
35721,expanded_box,topk,35721,,36864,0,"[94, 94]","[189, 189]",35721,topk,35721,,36864,80000,35721,cheap,30,0.01,,cupy,9.712832057357575e-14,6.498680693830587e-15,1600,674,674,,674,320,35721,0,182896640,2692.8944985408066,26928.944985408063,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,40,41,9.877758291892102e-07,0,,2,synthetic_true_func_2d_n30000000,False,NVIDIA A100-SXM4-40GB,cheap,320,0,320,320,0,0,2,35721,9.712832057357575e-14,6.498680693830587e-15,1e-05,boxeig,29999999.999961257,True,nan,0,0,,nan,0,0,0,0,False,40.0,matern,0.1,1.5,1.0,2274064,100000,btab_boxeig_topk_36864_q320,189,41,40,1000,30000000,cufinufft,binned_c1,50,40,9.877758291892102e-07,pcg,converged,40,True,0.1,0,0.0,0.0003100802782809691,0.02000137681091711,0,0.1,boxeig,ok,0.000770427292683585,0.03158751900002699,0.0005759192749991371,0.023036770999965483,0.0,0,26928.944985408063,0.004679719000023397,2.0136575000151424e-05,0.000805463000006057,3.518957499863973e-05,0.001407582999945589,0.0004056419750028795,0.01622567900011518,0.6119877410000072,0.0,0.0,0.0009313859999906526,0.0,6.536405000758804e-05,0.002614562000303522,0.6110563550000165,0.13394455499997093,0.1729692030000365,0.6177194260000078,0.1544490979999864,0.7025662249999982,0.0,0.8755354280000347,1.0094799830000056,1e-06,v7_btab_boxeig
