dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_20480_q192,c1,topk_20480,192.0,20480.0,25921.0,25921.0,9800.0,6.111745189407724,24573.359331718053,8161.626308709726,81616.26308709725,81616.26308709725,1.6850596115254814e-14,2.898563022350657e-15,79632384.0,418.0,418.0,418.0,cupy,1246,1246.0,0.3625419930000362,0.3677063929999917,2.494116727000005,2.668137860999991,0.0820338529999844,2.7501717139999755,0.0278777177305551,0.0278584731569079
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_20480_q256,c1,topk_20480,256.0,20480.0,25921.0,25921.0,9800.0,6.111745189407724,24573.359331718053,4196.355175584569,41963.55175584569,41963.55175584569,2.957448823810746e-14,6.569103271957781e-15,106176512.0,546.0,546.0,546.0,cupy,885,885.0,0.4828218960000185,0.488113181000017,2.0289089390000186,2.210224782000012,0.1087858710000091,2.3190106530000207,0.0278778928453962,0.0278586185207123
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_32768_q192,c1,topk_32768,192.0,32768.0,35721.0,35721.0,0.0,0.0,0.0,8161.6525458986625,81616.52545898662,81616.52545898662,1.607111216805734e-14,3.0511624650872465e-15,109737984.0,418.0,418.0,418.0,cupy,545,545.0,0.654660395999997,0.6608264439999516,1.621319562999986,1.7950176049999982,0.0821831970000062,1.8772008020000044,0.0278796249669077,0.0278605948098496
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_32768_q256,c1,topk_32768,256.0,32768.0,35721.0,35721.0,0.0,0.0,0.0,4196.375021403677,41963.75021403677,41963.75021403677,3.625058671960455e-14,6.210525364808336e-15,146317312.0,546.0,546.0,546.0,cupy,382,382.0,0.5141279030000305,0.5204622019999761,1.2088987209999686,1.3816611679999935,0.1080130139999937,1.4896741819999877,0.0278812245453677,0.0278621459727474
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_32768_q320,c1,topk_32768,320.0,32768.0,35721.0,35721.0,0.0,0.0,0.0,2487.320147873814,24873.20147873814,24873.20147873814,5.4139993532334255e-14,8.677854557061487e-15,182896640.0,674.0,674.0,674.0,cupy,295,295.0,0.6096685140000204,0.6161483569999859,1.166105717999983,1.3390744349999864,0.1351520069999878,1.4742264419999742,0.0278816438092056,0.0278626009357194
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_36864_q192,c1,topk_36864,192.0,35721.0,35721.0,35721.0,0.0,0.0,0.0,8161.652545898665,81616.52545898665,81616.52545898665,1.7234134795054375e-14,3.1895759759432946e-15,109737984.0,418.0,418.0,418.0,cupy,545,545.0,0.3667969889999654,0.37311811699999,1.320571282000003,1.4929366480000112,0.0820882829999618,1.575024930999973,0.0278796243073863,0.0278605941614779
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_36864_q256,c1,topk_36864,256.0,35721.0,35721.0,35721.0,0.0,0.0,0.0,4196.37502140368,41963.7502140368,41963.7502140368,6.211519545605848e-14,6.0708878187821336e-15,146317312.0,546.0,546.0,546.0,cupy,387,387.0,0.4831329220000384,0.4895561740000289,1.1891584809999929,1.3617087150000202,0.1089034060000244,1.470612121000045,0.0278807240501471,0.0278616375415046
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_36864_q320,c1,topk_36864,320.0,35721.0,35721.0,35721.0,0.0,0.0,0.0,2487.3201478738138,24873.201478738138,24873.201478738138,5.6061290450043623e-14,8.188165152671733e-15,182896640.0,674.0,674.0,674.0,cupy,295,295.0,0.6415160610000044,0.6480885959999796,1.2094067980000318,1.3817780800000037,0.1360607180000101,1.517838798000014,0.0278816458724146,0.0278626017810965
synthetic_true_func_2d_n30000000,1e-05,btab_boxeig_topk_20480_q192,c1,topk_20480,192.0,20480.0,25921.0,25921.0,9800.0,6.111744864992144,24573.35802504388,8947.581835805362,89475.81835805361,89475.81835805361,4.338354874744426e-14,2.3400427712689466e-15,79632384.0,418.0,418.0,418.0,cupy,121,121.0,1.5675060789999975,1.6827820809999707,1.8948850140000104,2.0775931229999856,0.8129823460000125,2.890575468999998,0.0200009721584124,0.000329457409174
synthetic_true_func_2d_n30000000,1e-05,btab_boxeig_topk_20480_q256,c1,topk_20480,256.0,20480.0,25921.0,25921.0,9800.0,6.111744864992144,24573.35802504388,4505.961538268199,45059.61538268199,45059.61538268199,3.3661809802484055e-14,5.908685203904771e-15,106176512.0,546.0,546.0,546.0,cupy,82,82.0,0.5044603219999999,0.5098741909999944,0.669727120999994,0.8430112479999821,0.1074270619999993,0.9504383099999814,0.0200010258324003,0.0003258290961643
