dataset_stem,eps,method,route,precompute_mode,selector_tag,S_kind,btab_active_size_raw,btab_box_size,active_size,box_size,tail_size,rho_max_T,tail_energy,btab_diagnostic_mode,time_post_diagnostics,time_total_with_diagnostics,diagnostic_n_matvec,diagnostic_n_A_matvec,diagnostic_n_ASS_matvec,diagnostic_n_precond,diagnostic_n_eig_matvec,diagnostic_n_power_iter
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_auto_topk_16384,inverse,c1,topk_16384,expanded_box,16384.0,21025.0,16384.0,21025.0,14696.0,10.25414177370542,48256.9328440468,cheap,0.0002097449999496,2.090497993999918,0.0,0.0,0.0,0.0,0.0,0.0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_20480_q192,boxeig,c1,topk_20480,expanded_box,20480.0,25921.0,20480.0,25921.0,9800.0,6.111745189407724,24573.359331718053,cheap,0.0820338529999844,2.7501717139999755,192.0,0.0,192.0,0.0,192.0,0.0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_20480_q256,boxeig,c1,topk_20480,expanded_box,20480.0,25921.0,20480.0,25921.0,9800.0,6.111745189407724,24573.359331718053,cheap,0.1087858710000091,2.3190106530000207,256.0,0.0,256.0,0.0,256.0,0.0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_32768_q192,boxeig,c1,topk_32768,expanded_box,32768.0,35721.0,32768.0,35721.0,0.0,0.0,0.0,cheap,0.0821831970000062,1.8772008020000044,192.0,0.0,192.0,0.0,192.0,0.0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_32768_q256,boxeig,c1,topk_32768,expanded_box,32768.0,35721.0,32768.0,35721.0,0.0,0.0,0.0,cheap,0.1080130139999937,1.4896741819999877,256.0,0.0,256.0,0.0,256.0,0.0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_32768_q320,boxeig,c1,topk_32768,expanded_box,32768.0,35721.0,32768.0,35721.0,0.0,0.0,0.0,cheap,0.1351520069999878,1.4742264419999742,320.0,0.0,320.0,0.0,320.0,0.0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_36864_q192,boxeig,c1,topk_36864,expanded_box,35721.0,35721.0,35721.0,35721.0,0.0,0.0,0.0,cheap,0.0820882829999618,1.575024930999973,192.0,0.0,192.0,0.0,192.0,0.0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_36864_q256,boxeig,c1,topk_36864,expanded_box,35721.0,35721.0,35721.0,35721.0,0.0,0.0,0.0,cheap,0.1089034060000244,1.470612121000045,256.0,0.0,256.0,0.0,256.0,0.0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_36864_q320,boxeig,c1,topk_36864,expanded_box,35721.0,35721.0,35721.0,35721.0,0.0,0.0,0.0,cheap,0.1360607180000101,1.517838798000014,320.0,0.0,320.0,0.0,320.0,0.0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_auto_topk_8192,inverse,c1,topk_8192,expanded_box,8192.0,10609.0,8192.0,10609.0,25112.0,55.2010523946633,204445.1560834745,cheap,0.0002789270000107,4.20357457199998,0.0,0.0,0.0,0.0,0.0,0.0
