M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,,672,673,9.095397612955198e-07,,,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,True,,,,,,,,,,,False,672.0,matern,0.1,1.5,1.0,,,100000,plain_cg,189,673,,1000,300000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.00011447814111148552,0.020000131964240574,0,,,ok,,0.0023253206552760375,1.5649408010007733,,,,,,,,,,,,,,,,,,,,,,,,4.563016022999989,,1.5370128999999793,2.5160052020000307,,7.079022549999991,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,,160,161,9.988576023914703e-07,,,nan,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,98,3,nan,,281851.3733052652,0.006500511699983337,,,5,482,0.0009977987455629213,0.4809389953613281,1e-05,,,True,[],,,,,,,,,,False,160.0,matern,0.1,1.5,1.0,nan,,100000,eigenpro_pcg_q90,189,161,160,1000,300000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.00011884958525965176,0.020000195865825212,0,,,ok,,0.0006440242111799725,0.10368789799997558,0.00026970491250750684,0.04315278600120109,,,[],,,,,,,,,,,,,,,,,1.9843338039999026,,3.6144360350000397,0.44662321800001337,1.5311115509999809,0.249084627000002,,6.294477683999958,,1e-06,90,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_c,,,,,,,74,75,9.766189561881513e-07,,,nan,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,35721,188,3,nan,,102134.81704077379,0.00235241169987874,,,5,932,0.0005281708598648529,0.492255241394043,1e-05,,,True,[],,,,,,,,,,False,74.0,matern,0.1,1.5,1.0,nan,,100000,eigenpro_pcg_q180,189,75,74,1000,300000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.00011953572038718027,0.020000248795232073,0,,,ok,,0.0006474919599925973,0.0485618969994448,0.00026233766216382965,0.019412987000123394,,,[],,,,,,,,,,,,,,,,,0.5889235500000041,,1.5197814529999505,0.00030646899995190324,1.532647026999939,0.11655836200009162,,2.225569833999998,,1e-06,180,v3
35721,expanded_box,topk,8192,,8192,0,"[51, 51]","[103, 103]",10609,topk,8192,,8192,80000,10609,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,auto,95,96,8.070965949745904e-07,0,,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,299999999.9996127,True,,nan,0,50,diag,0.001,0,0,0,1800814096,False,95.0,matern,0.1,1.5,1.0,,0,100000,btab_auto_topk_8192,189,96,95,1000,300000000,cufinufft,binned_c1,50,95,8.070965949745904e-07,pcg,converged,95,,True,0.1,0,552.0105234307598,0.00012686202378840218,0.02000001755726844,0,0.1,exact,ok,,0.0006514022083419965,0.06253461200083166,0.0016474919578944249,0.15651173599997037,2044451.5589106625,25112,,,0.007750719999989997,4.476761052477454e-05,0.004252922999853581,5.013487368375392e-05,0.004762812999956623,0.001450028410521267,0.13775269899952036,4.667160635999949,3.692932196000015,0.6393519119999382,0.0,0.206912109999962,5.7608957895114914e-05,0.0054728510000359165,,,0.00033294799993655033,1.5197413170000118,5.1628268120000484,1.528053084000021,5.442816040999901,0.12796441800003322,6.962557357999913,6.962890305999849,1e-06,,v6_btab
35721,expanded_box,topk,16384,,16384,0,"[72, 72]","[145, 145]",21025,topk,16384,,16384,80000,21025,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,auto,16,17,9.195073198461847e-07,0,,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,35721,,,,,,,,,,,,,1e-05,inverse,299999999.9996127,True,,1.0713037320688905,50,50,diag,0.001,752,768,767,0,False,16.0,matern,0.1,1.5,1.0,,1336336,100000,btab_auto_topk_16384,189,17,16,1000,300000000,cufinufft,binned_c1,50,16,9.195073198461847e-07,fgmres,converged,16,,True,0.1,0,102.54141764040138,0.0006390564434333066,0.020007192672906172,0,0.1,inner_pcg,ok,,0.0006935307647127582,0.01179002300011689,0.05815043637498718,0.9304069819997949,482569.3279844036,14696,,,0.0034599800000023606,5.192924999875004e-05,0.0008308679999800006,4.7854687473147806e-05,0.0007656749995703649,0.05102534875000231,0.8164055800000369,0.15200060300003315,0.0,0.0,0.15200060300003315,0.0,0.006979302937494936,0.11166884699991897,,,0.0002680830000372225,1.5197742889999972,0.15647741099996892,1.5314307539999845,2.6583057600000757,0.0,4.178080049000073,4.17834813200011,1e-06,,v6_btab
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,2.3368317990373327e-14,2.256322150668585e-15,960,418,418,,418,192,25921,9800,79632384,89456.6280743095,894566.280743095,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,101,102,9.824543938151912e-07,0,,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,192,0,192,192,0,0,2,35721,,,,,,,2.3368317990373327e-14,2.256322150668585e-15,,,,,1e-05,boxeig,299999999.9996127,True,,nan,0,0,,nan,0,0,0,0,False,101.0,matern,0.1,1.5,1.0,,1648656,100000,btab_boxeig_topk_20480_q192,189,102,101,1000,300000000,cufinufft,binned_c1,50,101,9.824543938151912e-07,pcg,converged,101,,True,0.1,0,61.117451836374016,0.0001457018366782825,0.020000242612861548,0,0.1,boxeig,ok,,0.0006517402156929415,0.06647750200068003,0.00045546267326001426,0.04600172999926144,245733.59308476458,9800,,894566.280743095,0.003433134000033533,4.670336633947468e-05,0.004717040000286943,4.0446633658917775e-05,0.004085109999550696,0.00026825292078602514,0.02709354499938854,1.5673536419999436,0.0,0.0,0.0035524800000530377,0.0,5.707328712713494e-05,0.005764401999840629,1.5638011619998906,,0.8036347940000041,1.5195048980000365,1.6781737569999677,1.5354518060000828,1.8547359239998968,0.0,3.3742408219999334,4.1778756159999375,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,20480,,20480,0,"[80, 80]","[161, 161]",25921,topk,20480,,20480,80000,25921,cheap,30,0.01,,cupy,3.93890687499945e-14,4.107112792473517e-15,1280,546,546,,546,256,25921,9800,106176512,45062.63596412849,450626.35964128486,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,64,65,9.534479480446753e-07,0,,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,35721,,,,,,,3.93890687499945e-14,4.107112792473517e-15,,,,,1e-05,boxeig,299999999.9996127,True,,nan,0,0,,nan,0,0,0,0,False,64.0,matern,0.1,1.5,1.0,,1648656,100000,btab_boxeig_topk_20480_q256,189,65,64,1000,300000000,cufinufft,binned_c1,50,64,9.534479480446753e-07,pcg,converged,64,,True,0.1,0,61.117451836374016,0.00016054531486401377,0.020000367828043278,0,0.1,boxeig,ok,,0.0007617524769347466,0.049513911000758526,0.000519875921863644,0.03327205899927321,245733.59308476458,9800,,450626.35964128486,0.0036472319999347746,5.155982812965476e-05,0.0032998290002979047,4.649150000268776e-05,0.0029754560001720165,0.00030815803125072705,0.01972211400004653,0.5118604429999323,0.0,0.0,0.0012045099999795639,0.0,6.373206250742669e-05,0.004078852000475308,0.5106559329999527,,0.10856559199999083,1.5212389600000051,0.5163653979999481,1.5367401480000353,0.6463146359999428,0.0,2.167553595999948,2.2761191879999387,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,32768,,32768,0,"[94, 94]","[189, 189]",35721,topk,32768,,32768,80000,35721,cheap,30,0.01,,cupy,1.9074049916682402e-14,2.5677203074408388e-15,960,418,418,,418,192,35721,0,109737984,89456.65521530206,894566.5521530205,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,57,58,9.890501938247929e-07,0,,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,192,0,192,192,0,0,2,35721,,,,,,,1.9074049916682402e-14,2.5677203074408388e-15,,,,,1e-05,boxeig,299999999.9996127,True,,nan,0,0,,nan,0,0,0,0,False,57.0,matern,0.1,1.5,1.0,,2274064,100000,btab_boxeig_topk_32768_q192,189,58,57,1000,300000000,cufinufft,binned_c1,50,57,9.890501938247929e-07,pcg,converged,57,,True,0.1,0,0.0,0.00012217158726794016,0.020000294065093807,0,0.1,boxeig,ok,,0.0007814785344831323,0.04532575500002167,0.0005052180526307207,0.02879742899995108,0.0,0,,894566.5521530205,0.004616677999933927,1.9881421059452758e-05,0.0011332410003888072,3.7539999997885355e-05,0.0021397799998794653,0.0003333756666738178,0.019002413000407614,0.579272873999912,0.0,0.0,0.0011844079999718815,0.0,6.450614035744813e-05,0.003676850000374543,0.5780884659999401,,0.08277901899998596,1.5212406269999974,0.5847249449999481,1.536927897000055,0.7018374819999735,0.0,2.223078108999971,2.305857127999957,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,32768,,32768,0,"[94, 94]","[189, 189]",35721,topk,32768,,32768,80000,35721,cheap,30,0.01,,cupy,8.922256793045536e-14,4.347654350899247e-15,1280,546,546,,546,256,35721,0,146317312,45062.6607479746,450626.607479746,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,39,40,9.517493679382615e-07,0,,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,35721,,,,,,,8.922256793045536e-14,4.347654350899247e-15,,,,,1e-05,boxeig,299999999.9996127,True,,nan,0,0,,nan,0,0,0,0,False,39.0,matern,0.1,1.5,1.0,,2274064,100000,btab_boxeig_topk_32768_q256,189,40,39,1000,300000000,cufinufft,binned_c1,50,39,9.517493679382615e-07,pcg,converged,39,,True,0.1,0,0.0,0.00012386609953341673,0.020000320642153298,0,0.1,boxeig,ok,,0.0007851843249909507,0.03140737299963803,0.0005410750512883402,0.02110192700024527,0.0,0,,450626.607479746,0.004578160000050957,2.0143230766478107e-05,0.0007855859998926462,3.688930770551498e-05,0.0014386830005150841,0.0003680119743672222,0.014352467000321667,0.5333968300000151,0.0,0.0,0.0010848509999732414,0.0,6.614420513601661e-05,0.0025796240003046478,0.5323119790000419,,0.10858209699995314,1.5206297270000277,0.5389480520000234,1.5329100310000285,0.6211603770000238,0.0,2.1417901040000515,2.2503722010000047,1e-06,,v7_btab_boxeig
35721,expanded_box,topk,32768,,32768,0,"[94, 94]","[189, 189]",35721,topk,32768,,32768,80000,35721,cheap,30,0.01,,cupy,5.850867483533423e-14,7.145034346277245e-15,1600,674,674,,674,320,35721,0,182896640,26922.12747087247,269221.2747087247,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,28,29,9.420415805280437e-07,0,,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,320,0,320,320,0,0,2,35721,,,,,,,5.850867483533423e-14,7.145034346277245e-15,,,,,1e-05,boxeig,299999999.9996127,True,,nan,0,0,,nan,0,0,0,0,False,28.0,matern,0.1,1.5,1.0,,2274064,100000,btab_boxeig_topk_32768_q320,189,29,28,1000,300000000,cufinufft,binned_c1,50,28,9.420415805280437e-07,pcg,converged,28,,True,0.1,0,0.0,0.00012881733298971212,0.02000037550634389,0,0.1,boxeig,ok,,0.0007919732413836692,0.022967224000126407,0.000591512071431615,0.01656233800008522,0.0,0,,269221.2747087247,0.004568548999941413,2.084939285802128e-05,0.0005837830000245958,3.674210714572317e-05,0.0010287790000802488,0.0004187926428593463,0.011726194000061696,0.6896134880000773,0.0,0.0,0.0009780070000715568,0.0,6.57388928776267e-05,0.0018406890005735477,0.6886354810000057,,0.13573433199996998,1.520383010000046,0.6954020020000371,1.525200775999906,0.7568654980000247,0.0,2.2772485080000706,2.4129828400000406,1e-06,,v7_btab_boxeig
