M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_residual_max,eig_residual_median,eps,error_message,error_type,exact_apply_mode,gamma,has_nufft,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,traceback,version
1225,expanded_box,topk,1225,,2048,0,"[17, 17]","[35, 35]",1225,topk,1225,,2048,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,auto,3,4,2.390280117989094e-09,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,,,inverse,299999999.9993526,True,nan,0,50,diag,0.001,0,0,0,24010000,False,3.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_2048,35,4,3,1000,300000000,cufinufft,binned_c1,50,3,2.390280117989094e-09,pcg,converged,3,True,0.1,0,0.0,0.00039149507515883326,0.020005528770133018,0,0.1,exact,ok,0.0007086642499700702,0.0028346569998802806,0.00026784666662630724,0.0008035399998789217,0.0,0,,0.0054260260000091876,1.8143666655608588e-05,5.4430999966825766e-05,4.222666666464647e-05,0.00012667999999393942,0.0001002580000128243,0.0003007740000384729,0.7883025419999967,0.4259537379999756,0.12719148500002575,0.0,0.13291674899994632,6.126766667572762e-05,0.00018380300002718286,,7.384899993212457e-05,1.4911039260000507,1.2707535519999738,1.5253201630000603,1.2768056679999518,0.10224057000004905,2.7679095940000025,2.7679834429999346,1e-07,,v6_btab
1225,expanded_box,topk,1225,,4096,0,"[17, 17]","[35, 35]",1225,topk,1225,,4096,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,auto,3,4,2.3902763463763316e-09,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,,,inverse,299999999.9993526,True,nan,0,50,diag,0.001,0,0,0,24010000,False,3.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_4096,35,4,3,1000,300000000,cufinufft,binned_c1,50,3,2.3902763463763316e-09,pcg,converged,3,True,0.1,0,0.0,0.00039149507514347895,0.020005528770132272,0,0.1,exact,ok,0.0006918362499845898,0.0027673449999383593,0.00023986633334516227,0.0007195990000354868,0.0,0,,0.0005700389999674371,1.660166666776301e-05,4.9805000003289024e-05,3.357866664070267e-05,0.00010073599992210802,9.08716666572218e-05,0.0002726149999716654,0.04382147499995881,0.03769308199991883,0.0030290139999351595,0.0,0.002673320000099011,5.4431666664337776e-05,0.00016329499999301333,,4.6987000018816616e-05,1.490769994999937,0.045194720000040434,1.5081686390000186,0.05100004300004457,0.0004260590000058073,1.5417700379999815,1.5418170250000003,1e-07,,v6_btab
1225,expanded_box,topk,1225,,8192,0,"[17, 17]","[35, 35]",1225,topk,1225,,8192,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,auto,3,4,2.390276030336963e-09,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,,,inverse,299999999.9993526,True,nan,0,50,diag,0.001,0,0,0,24010000,False,3.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_8192,35,4,3,1000,300000000,cufinufft,binned_c1,50,3,2.390276030336963e-09,pcg,converged,3,True,0.1,0,0.0,0.0003914950750786959,0.02000552877013138,0,0.1,exact,ok,0.0006843064999486614,0.0027372259997946458,0.0002428966666532991,0.0007286899999598972,0.0,0,,0.000565228999903411,1.6541666658061633e-05,4.96249999741849e-05,3.32670000110132e-05,9.98010000330396e-05,9.342333335856286e-05,0.0002802700000756886,0.039888184999995246,0.033766521000075045,0.0030220169999211066,0.0,0.0026700650000748283,5.871300000611276e-05,0.00017613900001833827,,3.881199995703355e-05,1.4910010680000596,0.04121116600003916,1.5187305220000553,0.047025872999938656,0.0004295819999242667,1.5380269409999983,1.5380657529999553,1e-07,,v6_btab
1225,expanded_box,topk,1225,,16384,0,"[17, 17]","[35, 35]",1225,topk,1225,,16384,80000,1225,cheap,30,0.01,,,,,,,,,,,,,,,,,inverse,20000,group_c,50,diag,0.001,50,auto,auto,3,4,2.3902671106552143e-09,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,0,0,0,0,0,0,2,1225,,,1e-05,,,inverse,299999999.9993526,True,nan,0,50,diag,0.001,0,0,0,24010000,False,3.0,SE,0.1,1.5,1.0,0,20000,btab_auto_topk_16384,35,4,3,1000,300000000,cufinufft,binned_c1,50,3,2.3902671106552143e-09,pcg,converged,3,True,0.1,0,0.0,0.0003914950751634912,0.0200055287701332,0,0.1,exact,ok,0.0006751555000050757,0.002700622000020303,0.00023913733336182,0.00071741200008546,0.0,0,,0.0005405299999665658,1.6566333329137706e-05,4.969899998741312e-05,3.405033332152622e-05,0.00010215099996457866,9.407266664614629e-05,0.0002822179999384389,0.03985801800001809,0.033745728999974745,0.0030216919999475067,0.0,0.0026654350000399063,5.3133333305292275e-05,0.00015939999991587683,,6.053499998870393e-05,1.4908408539999982,0.04116758600002868,1.5234677639999745,0.046952040999940436,0.0004251620000559342,1.5377928949999387,1.5378534299999274,1e-07,,v6_btab
1225,expanded_box,topk,1225,,16384,0,"[17, 17]","[35, 35]",1225,topk,1225,,16384,80000,1225,cheap,30,0.01,,cupy,9.762780571794907e-13,1.119360155919995e-14,960,418,418,,418,192,1225,0,3766272,1203.6937486448958,12036.937486448956,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,40,41,7.78417187595389e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,192,0,192,192,0,0,2,1225,9.762780571794907e-13,1.119360155919995e-14,1e-05,,,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,40.0,SE,0.1,1.5,1.0,76176,20000,btab_boxeig_topk_16384_q192,35,41,40,1000,300000000,cufinufft,binned_c1,50,40,7.78417187595389e-08,pcg,converged,40,True,0.1,0,0.0,0.0003895083183316174,0.020005385921788733,0,0.1,boxeig,ok,0.000633363414627505,0.025967899999727706,0.00037586834999956407,0.015034733999982564,0.0,0,12036.937486448956,0.0005768309999893972,1.7157924997945883e-05,0.0006863169999178353,3.0017399993198524e-05,0.001200695999727941,0.00023218115000247507,0.009287246000099003,1.4160918979999906,0.0,0.0,0.0008544370000436174,0.0,5.556717500496688e-05,0.0022226870001986754,1.415237460999947,0.7709469919999492,1.4909082689999877,1.518527574000018,1.5194158689999995,1.5847127309999678,0.0,3.0756209999999555,3.8465679919999047,1e-07,,v7_btab_boxeig
1225,expanded_box,topk,1225,,16384,0,"[17, 17]","[35, 35]",1225,topk,1225,,16384,80000,1225,cheap,30,0.01,,cupy,2.529069776076542e-11,6.176649048260735e-14,1280,546,546,,546,256,1225,0,5021696,61.61548814255022,616.1548814255021,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,7,8,6.547649864210581e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,1225,2.529069776076542e-11,6.176649048260735e-14,1e-05,,,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,7.0,SE,0.1,1.5,1.0,76176,20000,btab_boxeig_topk_16384_q256,35,8,7,1000,300000000,cufinufft,binned_c1,50,7,6.547649864210581e-08,pcg,converged,7,True,0.1,0,0.0,0.000373647947544653,0.02000506786695222,0,0.1,boxeig,ok,0.0007841884999919557,0.006273507999935646,0.0004540059999921401,0.0031780419999449805,0.0,0,616.1548814255021,0.0005415450000327837,2.1100857143859946e-05,0.0001477060000070196,3.4304285739900866e-05,0.00024013000017930608,0.0002835232857023584,0.001984662999916509,0.4654768899999908,0.0,0.0,0.0008997429999908491,0.0,6.726428570605744e-05,0.00047084999994240206,0.46457714699999997,0.10244230699993295,1.4911644300000262,0.46648144200003117,1.5177464959999725,0.4815179380000245,0.0,1.9726823680000507,2.0751246749999837,1e-07,,v7_btab_boxeig
1225,expanded_box,topk,1225,,16384,0,"[17, 17]","[35, 35]",1225,topk,1225,,16384,80000,1225,cheap,30,0.01,,cupy,3.623488979119802e-10,1.6042330695403867e-13,1600,674,674,,674,320,1225,0,6277120,4.1084242465736835,41.084242465736835,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,1,2,7.240274789172577e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,320,0,320,320,0,0,2,1225,3.623488979119802e-10,1.6042330695403867e-13,1e-05,,,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,1.0,SE,0.1,1.5,1.0,76176,20000,btab_boxeig_topk_16384_q320,35,2,1,1000,300000000,cufinufft,binned_c1,50,1,7.240274789172577e-08,pcg,converged,1,True,0.1,0,0.0,0.0003377553589190398,0.02000412675528851,0,0.1,boxeig,ok,0.0008612740000444319,0.0017225480000888638,0.0004895060000080775,0.0004895060000080775,0.0,0,41.084242465736835,0.0006840889999466526,1.977300007638405e-05,1.977300007638405e-05,4.710400003204995e-05,4.710400003204995e-05,0.00030730299999959243,0.00030730299999959243,0.5889617739999267,0.0,0.0,0.0008599809999623176,0.0,6.372400002874201e-05,6.372400002874201e-05,0.5881017929999643,0.12790769500008992,1.491575240999964,0.5901216709999062,1.524452211000039,0.5936384020000105,0.0,2.0852136429999746,2.2131213380000645,1e-07,,v7_btab_boxeig
1225,expanded_box,topk,1225,,20480,0,"[17, 17]","[35, 35]",1225,topk,1225,,20480,80000,1225,cheap,30,0.01,,cupy,1.2467024587197167e-12,1.2527703766238077e-14,960,418,418,,418,192,1225,0,3766272,1203.6937486448871,12036.937486448871,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,40,41,7.198400817172425e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,192,0,192,192,0,0,2,1225,1.2467024587197167e-12,1.2527703766238077e-14,1e-05,,,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,40.0,SE,0.1,1.5,1.0,76176,20000,btab_boxeig_topk_20480_q192,35,41,40,1000,300000000,cufinufft,binned_c1,50,40,7.198400817172425e-08,pcg,converged,40,True,0.1,0,0.0,0.0003895072934851185,0.020005385917443858,0,0.1,boxeig,ok,0.0007482404146397063,0.03067785700022796,0.0004335195750229559,0.017340783000918236,0.0,0,12036.937486448871,0.0005606879999504599,2.094244999568673e-05,0.0008376979998274692,3.295577499500269e-05,0.0013182309998001074,0.00026693980000231933,0.010677592000092773,0.3568890479999709,0.0,0.0,0.00085997500002577,0.0,6.401604999553e-05,0.0025606419998212004,0.35602907299994513,0.08045689100003983,1.4906206150000116,0.358048374999953,1.5190566899999567,0.4355399229999648,0.0,1.9261605379999764,2.0066174290000163,1e-07,,v7_btab_boxeig
1225,expanded_box,topk,1225,,20480,0,"[17, 17]","[35, 35]",1225,topk,1225,,20480,80000,1225,cheap,30,0.01,,cupy,6.695264198415084e-11,3.9964876466708016e-14,1280,546,546,,546,256,1225,0,5021696,61.61548814251757,616.1548814251756,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,7,8,6.550415749616257e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,1225,6.695264198415084e-11,3.9964876466708016e-14,1e-05,,,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,7.0,SE,0.1,1.5,1.0,76176,20000,btab_boxeig_topk_20480_q256,35,8,7,1000,300000000,cufinufft,binned_c1,50,7,6.550415749616257e-08,pcg,converged,7,True,0.1,0,0.0,0.00037364798591141464,0.020005067869515537,0,0.1,boxeig,ok,0.0007655148749989849,0.006124118999991879,0.00043147385716630585,0.003020317000164141,0.0,0,616.1548814251756,0.0005362629999581259,1.954114285191671e-05,0.00013678799996341695,3.259285709386209e-05,0.00022814999965703464,0.00026806271427761075,0.0018764389999432751,0.4561908120000453,0.0,0.0,0.0008835380000391524,0.0,6.394414284776368e-05,0.0004476089999343458,0.45530727400000615,0.10151125599998068,1.4915205339999602,0.45716540000000805,1.5171446949999563,0.47204775099999097,0.0,1.9635682849999512,2.065079540999932,1e-07,,v7_btab_boxeig
1225,expanded_box,topk,1225,,20480,0,"[17, 17]","[35, 35]",1225,topk,1225,,20480,80000,1225,cheap,30,0.01,,cupy,7.088403023084896e-10,1.6060890021940232e-13,1600,674,674,,674,320,1225,0,6277120,4.10842424657102,41.0842424657102,0.001,boxeig,20000,group_c,50,diag,0.001,50,auto,boxeig,1,2,7.224597152470783e-08,0,,2,synthetic_true_func_2d_n300000000,False,NVIDIA A100-SXM4-40GB,cheap,320,0,320,320,0,0,2,1225,7.088403023084896e-10,1.6060890021940232e-13,1e-05,,,boxeig,299999999.9993526,True,nan,0,0,,nan,0,0,0,0,False,1.0,SE,0.1,1.5,1.0,76176,20000,btab_boxeig_topk_20480_q320,35,2,1,1000,300000000,cufinufft,binned_c1,50,1,7.224597152470783e-08,pcg,converged,1,True,0.1,0,0.0,0.00033775548649262745,0.02000412675851901,0,0.1,boxeig,ok,0.0008672344999922643,0.0017344689999845286,0.000459567000007155,0.000459567000007155,0.0,0,41.0842424657102,0.0005562510000345355,2.0051999968018208e-05,2.0051999968018208e-05,3.2742000030339113e-05,3.2742000030339113e-05,0.00029485499999282183,0.00029485499999282183,0.5698997640000698,0.0,0.0,0.0008475739999767029,0.0,6.108500008394913e-05,6.108500008394913e-05,0.5690521900000931,0.12678633400003037,1.4913420540000288,0.5709147190000294,1.5184003620000794,0.5744041179999613,0.0,2.06574617199999,2.1925325060000205,1e-07,,v7_btab_boxeig
